Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,199.90666666666664,-12.821111111111112,3.63,4.007,104.5,14.2,30.6,6.55,310.0,17726,303.9
2023-07-06 00:00:00.000,199.7895833333333,-12.702777777777778,3.709,4.007,99.6,14.5,30.7,3.46,327.2,16968,304.1
2023-07-11 00:00:00.000,199.7766666666666,-12.626944444444446,3.789,4.005,94.8,14.7,30.7,1.98,34.1,16275,304.2
2023-07-16 00:00:00.000,199.86374999999995,-12.592777777777778,3.87,4.004,90.1,14.7,30.8,3.97,83.9,15651,304.3
2023-07-21 00:00:00.000,200.04416666666665,-12.598333333333334,3.95,4.001,85.6,14.7,30.8,6.65,96.4,15097,304.3
2024-02-16 00:00:00.000,236.88916666666663,-24.898611111111112,3.411,3.49,86.3,16.4,30.3,12.2,123.3,69107,280.8
2024-02-21 00:00:00.000,237.20749999999998,-25.115000000000002,3.305,3.466,91.0,16.6,30.2,9.45,131.6,75033,280.0
2024-02-26 00:00:00.000,237.40541666666664,-25.316666666666666,3.199,3.443,95.8,16.6,30.1,6.86,147.9,81725,279.2
2024-03-02 00:00:00.000,237.4720833333333,-25.501944444444444,3.093,3.418,100.7,16.6,30.0,5.29,181.0,89340,278.3
2024-03-07 00:00:00.000,237.39416666666662,-25.668055555555558,2.987,3.393,105.7,16.4,29.9,6.27,221.8,98081,277.3
2024-03-12 00:00:00.000,237.15916666666664,-25.81222222222222,2.884,3.368,110.8,16.0,29.8,9.46,245.3,108210,276.2
2024-03-17 00:00:00.000,236.75416666666663,-25.930555555555557,2.782,3.341,116.1,15.5,29.7,13.67,256.8,120059,274.9
2024-03-22 00:00:00.000,236.16874999999996,-26.01833333333333,2.683,3.315,121.5,14.8,29.6,18.42,263.3,134046,273.4
2024-03-27 00:00:00.000,235.39374999999998,-26.070555555555554,2.588,3.287,127.1,14.0,29.4,23.54,267.6,150650,271.6
2024-04-01 00:00:00.000,234.42125,-26.08111111111111,2.497,3.259,132.8,13.0,29.3,28.94,270.8,170316,89.5
2024-06-10 00:00:00.000,208.08291666666665,-19.640277777777776,1.994,2.79,133.3,15.4,28.6,49.54,295.2,120015,61.9
2024-06-15 00:00:00.000,206.595,-18.956944444444442,2.016,2.751,127.0,17.1,28.6,44.1,296.8,109188,61.6
2024-06-20 00:00:00.000,205.30916666666664,-18.320555555555554,2.043,2.71,121.0,18.8,28.7,38.34,298.5,99831,61.4
2024-06-25 00:00:00.000,204.2283333333333,-17.740555555555556,2.074,2.669,115.1,20.2,28.7,32.44,300.5,91666,61.2
2024-06-30 00:00:00.000,203.35166666666666,-17.22472222222222,2.107,2.626,109.4,21.4,28.8,26.52,303.0,84477,61.0
2024-07-05 00:00:00.000,202.67458333333332,-16.778055555555554,2.142,2.583,103.9,22.5,28.8,20.69,306.6,78100,60.8
2024-07-10 00:00:00.000,202.1920833333333,-16.403333333333332,2.178,2.538,98.6,23.3,28.8,15.11,312.2,72408,60.6
2024-07-15 00:00:00.000,201.89374999999995,-16.101111111111113,2.215,2.493,93.5,24.0,28.8,10.01,322.9,67304,60.4
2024-07-20 00:00:00.000,201.76999999999995,-15.870000000000001,2.251,2.446,88.6,24.5,28.8,5.99,348.8,62707,60.2
2025-02-15 00:00:00.000,232.97374999999997,-19.223333333333333,1.206,1.57,90.9,39.0,26.9,41.67,275.9,36738,290.1
2025-02-20 00:00:00.000,231.3495833333333,-19.038333333333334,1.189,1.642,97.4,36.7,26.9,51.21,277.7,38667,289.8
2025-02-25 00:00:00.000,229.38916666666663,-18.759166666666665,1.172,1.711,104.3,34.1,26.9,61.41,279.3,40724,289.6
2025-03-02 00:00:00.000,227.08124999999998,-18.37027777777778,1.156,1.778,111.6,31.2,26.9,71.92,280.8,42895,289.5
2025-03-07 00:00:00.000,224.43208333333328,-17.858611111111113,1.143,1.842,119.1,28.1,26.9,82.15,282.2,45165,289.4
2025-03-12 00:00:00.000,221.4695833333333,-17.215,1.134,1.905,127.0,24.6,26.8,91.48,283.5,47507,289.5
2025-05-16 00:00:00.000,186.6583333333333,-5.375,1.782,2.581,133.2,16.6,28.2,32.42,294.0,52031,306.8
2025-05-21 00:00:00.000,185.79291666666663,-4.986111111111112,1.883,2.624,127.4,17.8,28.4,24.44,294.6,46775,311.4
2025-05-26 00:00:00.000,185.16333333333333,-4.693611111111111,1.989,2.667,121.9,18.8,28.6,17.21,295.5,40607,317.7
2025-05-31 00:00:00.000,184.7458333333333,-4.49,2.097,2.708,116.7,19.5,28.8,10.7,297.0,33911,326.3
2025-06-05 00:00:00.000,184.51791666666665,-4.366944444444444,2.208,2.749,111.6,20.1,28.9,4.95,301.4,27352,338.9
2025-06-10 00:00:00.000,184.45666666666665,-4.315277777777777,2.321,2.788,106.8,20.4,29.1,0.72,40.7,22010,357.8
2025-06-15 00:00:00.000,184.54291666666666,-4.3277777777777775,2.434,2.827,102.1,20.6,29.2,4.78,105.3,19405,23.4
2025-06-20 00:00:00.000,184.76,-4.397222222222223,2.549,2.865,97.5,20.6,29.3,8.77,109.2,20490,49.2
2025-06-25 00:00:00.000,185.09291666666667,-4.518055555555556,2.663,2.902,93.1,20.5,29.5,12.35,110.5,24399,68.3
2025-06-30 00:00:00.000,185.5295833333333,-4.684444444444445,2.778,2.938,88.8,20.2,29.6,15.53,111.3,29661,80.8
2026-02-05 00:00:00.000,225.68791666666664,-20.647777777777776,3.825,3.895,86.7,14.6,30.7,6.05,134.3,20925,296.8
2026-02-10 00:00:00.000,225.78666666666666,-20.775555555555556,3.749,3.905,91.7,14.6,30.6,3.64,160.9,21971,296.3
2026-02-15 00:00:00.000,225.77041666666665,-20.87611111111111,3.674,3.914,96.7,14.5,30.6,3.36,219.7,23151,295.8
2026-02-20 00:00:00.000,225.63124999999997,-20.946944444444444,3.599,3.923,101.8,14.3,30.6,5.89,253.6,24464,295.4
2026-02-25 00:00:00.000,225.36499999999998,-20.985833333333336,3.525,3.931,107.1,13.9,30.5,9.32,265.9,25902,295.1
2026-03-02 00:00:00.000,224.9670833333333,-20.990833333333335,3.453,3.939,112.5,13.4,30.4,13.02,271.7,27453,294.8
2026-03-07 00:00:00.000,224.43499999999997,-20.959166666666665,3.384,3.947,117.9,12.8,30.4,16.87,275.2,29099,294.7
2026-03-12 00:00:00.000,223.76749999999996,-20.887777777777778,3.318,3.954,123.5,12.1,30.3,20.79,277.6,30815,294.6
2026-03-17 00:00:00.000,222.96499999999997,-20.77472222222222,3.256,3.961,129.2,11.2,30.2,24.71,279.4,32569,294.7
2026-06-05 00:00:00.000,203.08374999999998,-14.576944444444445,3.25,4.006,132.5,10.8,30.2,26.32,295.4,32946,304.0
2026-06-10 00:00:00.000,202.3270833333333,-14.219722222222222,3.312,4.005,127.0,11.7,30.3,22.6,296.6,31172,304.6
2026-06-15 00:00:00.000,201.69416666666666,-13.90388888888889,3.378,4.004,121.5,12.5,30.4,18.81,298.0,29425,305.1
2026-06-20 00:00:00.000,201.1858333333333,-13.631944444444445,3.448,4.002,116.2,13.2,30.5,15.03,299.9,27739,305.6
2026-06-25 00:00:00.000,200.79916666666662,-13.405000000000001,3.521,4.0,111.0,13.7,30.5,11.35,302.7,26143,306.1
2026-06-30 00:00:00.000,200.5295833333333,-13.223333333333333,3.596,3.997,106.0,14.2,30.6,7.83,307.6,24655,306.5
2026-07-05 00:00:00.000,200.37249999999997,-13.085833333333333,3.673,3.994,101.0,14.5,30.6,4.58,319.1,23288,306.9
