Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-11-13 00:00:00.000,157.0545833333333,43.263333333333335,11.001,11.023,88.7,5.2,25.6,8.13,41.9,37,278.4
2023-11-18 00:00:00.000,157.28041666666664,43.474444444444444,10.935,11.031,93.0,5.1,25.6,7.95,33.8,37,278.4
2023-11-23 00:00:00.000,157.45999999999995,43.703611111111115,10.871,11.038,97.2,5.1,25.6,7.9,25.4,38,278.3
2023-11-28 00:00:00.000,157.59166666666664,43.94972222222222,10.807,11.046,101.5,5.0,25.6,7.96,16.9,38,278.2
2023-12-03 00:00:00.000,157.67416666666665,44.21083333333333,10.745,11.054,105.8,4.9,25.6,8.14,8.6,38,278.1
2023-12-08 00:00:00.000,157.70499999999998,44.48555555555556,10.685,11.061,110.0,4.8,25.6,8.42,0.7,39,277.9
2023-12-13 00:00:00.000,157.6833333333333,44.77166666666667,10.628,11.069,114.2,4.7,25.6,8.79,353.3,39,277.7
2023-12-18 00:00:00.000,157.6083333333333,45.066944444444445,10.575,11.076,118.4,4.5,25.5,9.22,346.5,39,277.4
2023-12-23 00:00:00.000,157.47999999999996,45.36833333333333,10.525,11.084,122.4,4.3,25.5,9.67,340.3,39,277.1
2023-12-28 00:00:00.000,157.29916666666662,45.67305555555555,10.48,11.091,126.3,4.1,25.5,10.14,334.7,39,276.8
2024-01-02 00:00:00.000,157.06624999999997,45.97833333333333,10.44,11.099,130.1,3.9,25.5,10.6,329.5,40,276.4
2024-01-07 00:00:00.000,156.78291666666664,46.280833333333334,10.404,11.106,133.7,3.7,25.5,11.04,324.7,40,276.0
2024-03-07 00:00:00.000,150.95708333333332,48.61222222222222,10.474,11.191,134.4,3.6,25.5,10.34,276.5,38,89.8
2024-03-12 00:00:00.000,150.45125,48.63666666666666,10.521,11.198,131.0,3.8,25.5,9.78,271.7,38,89.4
2024-03-17 00:00:00.000,149.97249999999997,48.63194444444444,10.573,11.205,127.4,4.0,25.5,9.2,266.5,37,89.0
2024-03-22 00:00:00.000,149.52666666666664,48.59916666666667,10.629,11.212,123.6,4.2,25.6,8.6,260.7,37,88.7
2024-03-27 00:00:00.000,149.11874999999998,48.53972222222222,10.69,11.218,119.7,4.4,25.6,8.01,254.2,37,88.4
2024-04-01 00:00:00.000,148.7520833333333,48.45472222222222,10.755,11.225,115.7,4.6,25.6,7.45,247.0,36,88.2
2024-04-06 00:00:00.000,148.42999999999998,48.346111111111114,10.823,11.232,111.7,4.7,25.6,6.96,238.8,36,88.1
2024-04-11 00:00:00.000,148.1558333333333,48.21527777777778,10.894,11.238,107.6,4.9,25.7,6.55,229.6,36,88.0
2024-04-16 00:00:00.000,147.93166666666664,48.064166666666665,10.967,11.245,103.5,5.0,25.7,6.25,219.6,35,88.0
2024-04-21 00:00:00.000,147.75833333333333,47.89472222222222,11.042,11.251,99.5,5.1,25.7,6.1,209.1,35,88.0
