Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2024-01-07 00:00:00.000,193.28916666666663,-20.747777777777777,7.367,7.357,85.6,7.7,23.8,9.35,146.9,33,295.5
2024-01-12 00:00:00.000,193.44416666666663,-21.0,7.288,7.359,90.3,7.7,23.8,8.11,154.0,34,295.6
2024-01-17 00:00:00.000,193.54291666666666,-21.233333333333334,7.21,7.362,95.1,7.6,23.8,6.98,163.6,34,295.6
2024-01-22 00:00:00.000,193.58499999999998,-21.445833333333333,7.132,7.364,99.9,7.6,23.7,6.07,176.5,35,295.7
2024-01-27 00:00:00.000,193.56916666666663,-21.636388888888888,7.055,7.367,104.7,7.4,23.7,5.51,193.1,35,295.8
2024-02-01 00:00:00.000,193.49541666666664,-21.803333333333335,6.981,7.369,109.6,7.2,23.7,5.45,211.6,36,295.9
2024-02-06 00:00:00.000,193.36416666666662,-21.94527777777778,6.908,7.372,114.5,7.0,23.7,5.89,229.1,36,296.0
2024-02-11 00:00:00.000,193.17583333333332,-22.060277777777777,6.839,7.374,119.4,6.7,23.6,6.74,243.2,36,296.2
2024-02-16 00:00:00.000,192.93208333333328,-22.147222222222222,6.774,7.377,124.4,6.3,23.6,7.81,253.8,37,296.4
2024-02-21 00:00:00.000,192.63666666666666,-22.205,6.713,7.379,129.3,6.0,23.5,9.0,261.7,37,296.6
2024-02-26 00:00:00.000,192.29249999999996,-22.233611111111113,6.656,7.381,134.2,5.5,23.5,10.2,267.7,38,296.8
2024-05-21 00:00:00.000,184.88458333333332,-19.302222222222223,6.72,7.415,130.3,6.0,23.6,8.78,319.9,35,300.0
2024-05-26 00:00:00.000,184.71125,-19.084999999999997,6.781,7.416,125.6,6.4,23.6,7.56,326.6,35,300.0
2024-05-31 00:00:00.000,184.59166666666664,-18.88222222222222,6.847,7.418,120.9,6.7,23.6,6.4,335.8,35,300.0
2024-06-05 00:00:00.000,184.52666666666664,-18.69611111111111,6.916,7.419,116.2,7.0,23.7,5.41,348.6,34,299.9
2024-06-10 00:00:00.000,184.51666666666665,-18.528888888888886,6.988,7.421,111.5,7.3,23.7,4.74,6.0,34,299.8
2024-06-15 00:00:00.000,184.56125,-18.38222222222222,7.063,7.422,106.9,7.5,23.7,4.56,26.5,34,299.7
2024-06-20 00:00:00.000,184.65916666666664,-18.256944444444443,7.139,7.424,102.4,7.7,23.8,4.93,45.9,33,299.5
2024-06-25 00:00:00.000,184.80916666666664,-18.153888888888886,7.217,7.425,97.9,7.8,23.8,5.71,61.2,33,299.3
2024-06-30 00:00:00.000,185.0095833333333,-18.073888888888888,7.297,7.427,93.4,7.9,23.8,6.75,72.2,33,299.1
2024-07-05 00:00:00.000,185.25916666666663,-18.016944444444444,7.376,7.428,89.0,7.9,23.9,7.92,80.2,32,298.9
