Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-16 00:00:00.000,250.76958333333326,-3.441666666666667,14.823,15.542,133.7,2.7,29.4,7.01,252.0,262,340.6
2023-07-21 00:00:00.000,250.55708333333328,-3.517777777777778,14.899,15.561,129.2,2.9,29.4,6.5,248.3,261,340.9
2023-07-26 00:00:00.000,250.36666666666665,-3.6016666666666666,14.979,15.579,124.7,3.1,29.5,5.98,243.9,260,341.2
2023-07-31 00:00:00.000,250.19916666666663,-3.693055555555556,15.064,15.598,120.1,3.2,29.5,5.46,238.7,260,341.5
2023-08-05 00:00:00.000,250.05541666666667,-3.790833333333333,15.152,15.616,115.5,3.4,29.5,4.96,232.4,259,341.7
2023-08-10 00:00:00.000,249.9366666666666,-3.894722222222222,15.243,15.634,110.9,3.5,29.5,4.51,224.8,258,342.0
2023-08-15 00:00:00.000,249.84374999999997,-4.003888888888889,15.337,15.652,106.3,3.6,29.5,4.12,215.5,257,342.1
2023-08-20 00:00:00.000,249.77666666666664,-4.118055555555555,15.433,15.671,101.7,3.6,29.6,3.84,204.7,257,342.3
2023-08-25 00:00:00.000,249.73624999999998,-4.236111111111112,15.531,15.689,97.1,3.7,29.6,3.69,192.7,256,342.4
2023-08-30 00:00:00.000,249.72249999999994,-4.3575,15.63,15.707,92.6,3.7,29.6,3.69,180.4,256,342.5
2023-09-04 00:00:00.000,249.73458333333332,-4.4816666666666665,15.729,15.725,88.0,3.7,29.6,3.83,168.7,256,342.5
2024-03-07 00:00:00.000,257.5408333333333,-6.3613888888888885,16.36,16.382,89.5,3.5,29.8,1.94,26.4,293,332.6
2024-03-12 00:00:00.000,257.5566666666667,-6.301944444444445,16.294,16.399,94.3,3.5,29.8,1.82,2.5,295,332.6
2024-03-17 00:00:00.000,257.54625,-6.240277777777778,16.23,16.416,99.1,3.4,29.8,2.01,339.2,296,332.5
2024-03-22 00:00:00.000,257.50916666666666,-6.177222222222222,16.166,16.433,103.9,3.4,29.8,2.42,322.0,297,332.5
2024-03-27 00:00:00.000,257.44624999999996,-6.1130555555555555,16.104,16.451,108.7,3.3,29.7,2.97,310.4,298,332.6
2024-04-01 00:00:00.000,257.35749999999996,-6.0488888888888885,16.045,16.468,113.4,3.2,29.7,3.58,302.5,299,332.6
2024-04-06 00:00:00.000,257.24375,-5.985,15.988,16.485,118.2,3.1,29.7,4.21,296.8,300,332.7
2024-04-11 00:00:00.000,257.1058333333333,-5.9225,15.935,16.502,123.0,2.9,29.7,4.84,292.5,301,332.8
2024-04-16 00:00:00.000,256.9445833333333,-5.861666666666666,15.886,16.519,127.7,2.8,29.7,5.44,289.1,301,333.0
2024-04-21 00:00:00.000,256.76166666666666,-5.803611111111111,15.842,16.537,132.4,2.6,29.7,6.01,286.4,302,333.2
2024-07-20 00:00:00.000,252.12499999999997,-5.768888888888889,16.148,16.841,131.7,2.6,29.8,6.13,252.0,291,339.4
