Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-09-04 00:00:00.000,310.0045833333333,-45.81166666666666,17.639,18.336,132.6,2.3,29.1,7.13,271.6
2023-09-09 00:00:00.000,309.6745833333333,-45.79888888888889,17.718,18.362,128.5,2.5,29.1,6.69,275.0
2023-09-14 00:00:00.000,309.36791666666664,-45.77333333333333,17.802,18.388,124.3,2.6,29.1,6.23,278.7
2023-09-19 00:00:00.000,309.08666666666664,-45.736111111111114,17.891,18.414,120.0,2.7,29.1,5.75,283.0
2023-09-24 00:00:00.000,308.83374999999995,-45.6875,17.983,18.44,115.7,2.8,29.2,5.26,287.9
2023-09-29 00:00:00.000,308.60958333333326,-45.62861111111111,18.079,18.465,111.2,2.9,29.2,4.78,293.6
2023-10-04 00:00:00.000,308.4158333333333,-45.559999999999995,18.177,18.491,106.8,3.0,29.2,4.34,300.3
2023-10-09 00:00:00.000,308.25333333333333,-45.48305555555556,18.278,18.517,102.3,3.0,29.2,3.93,308.3
2023-10-14 00:00:00.000,308.12291666666664,-45.39805555555556,18.38,18.542,97.8,3.1,29.2,3.58,317.8
2023-10-19 00:00:00.000,308.025,-45.30638888888888,18.484,18.568,93.3,3.1,29.3,3.33,328.8
2023-10-24 00:00:00.000,307.9599999999999,-45.20888888888889,18.588,18.594,88.8,3.1,29.3,3.18,341.0
2024-04-21 00:00:00.000,315.19333333333327,-43.905833333333334,19.535,19.505,86.8,2.9,29.5,3.52,163.2
2024-04-26 00:00:00.000,315.22666666666663,-44.02194444444444,19.482,19.53,91.2,3.0,29.5,3.62,173.4
2024-05-01 00:00:00.000,315.2316666666666,-44.14555555555555,19.43,19.555,95.6,2.9,29.5,3.81,182.9
2024-05-06 00:00:00.000,315.2083333333333,-44.275277777777774,19.379,19.58,100.0,2.9,29.5,4.07,191.6
2024-05-11 00:00:00.000,315.15541666666667,-44.41083333333333,19.329,19.605,104.4,2.9,29.5,4.38,199.3
2024-05-16 00:00:00.000,315.0733333333333,-44.55083333333333,19.281,19.63,108.8,2.8,29.5,4.74,205.9
2024-05-21 00:00:00.000,314.96208333333334,-44.69444444444444,19.236,19.655,113.1,2.7,29.4,5.11,211.6
2024-05-26 00:00:00.000,314.8225,-44.840833333333336,19.193,19.68,117.4,2.6,29.4,5.5,216.6
2024-05-31 00:00:00.000,314.6541666666666,-44.98861111111111,19.154,19.704,121.6,2.5,29.4,5.89,221.0
2024-06-05 00:00:00.000,314.4583333333333,-45.136944444444445,19.119,19.729,125.8,2.4,29.4,6.27,224.9
2024-06-10 00:00:00.000,314.2358333333333,-45.284166666666664,19.088,19.754,129.9,2.3,29.4,6.63,228.5
2024-06-15 00:00:00.000,313.98791666666665,-45.42944444444444,19.062,19.779,133.8,2.1,29.4,6.97,231.7
2024-09-03 00:00:00.000,308.46791666666667,-46.6675,19.492,20.174,131.4,2.1,29.5,6.36,273.4
2024-09-08 00:00:00.000,308.16999999999996,-46.64888888888889,19.571,20.198,127.4,2.3,29.5,5.96,277.0
2024-09-13 00:00:00.000,307.8937499999999,-46.61944444444445,19.654,20.223,123.2,2.4,29.5,5.55,280.9
2024-09-18 00:00:00.000,307.64166666666665,-46.57916666666667,19.742,20.247,118.9,2.5,29.6,5.13,285.4
2024-09-23 00:00:00.000,307.41499999999996,-46.52916666666667,19.834,20.272,114.6,2.6,29.6,4.7,290.5
2024-09-28 00:00:00.000,307.2149999999999,-46.469722222222224,19.928,20.296,110.2,2.7,29.6,4.29,296.4
2024-10-03 00:00:00.000,307.0433333333333,-46.401944444444446,20.026,20.321,105.8,2.7,29.6,3.9,303.5
2024-10-08 00:00:00.000,306.9004166666666,-46.32638888888889,20.125,20.345,101.4,2.8,29.6,3.56,311.8
2024-10-13 00:00:00.000,306.78749999999997,-46.244166666666665,20.226,20.37,96.9,2.8,29.6,3.27,321.5
2024-10-18 00:00:00.000,306.70416666666665,-46.155833333333334,20.328,20.394,92.4,2.8,29.7,3.08,332.5
2024-10-23 00:00:00.000,306.6504166666667,-46.0625,20.43,20.419,88.0,2.8,29.7,2.98,344.3
2025-04-21 00:00:00.000,313.4575,-44.91111111111111,21.297,21.287,88.1,2.7,29.8,3.28,165.6
