Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,357.9291666666667,-11.674166666666666,4.705,5.064,105.0,11.2,21.9,10.79,128.0,1,83.5
2023-07-06 00:00:00.000,358.1833333333333,-11.913611111111111,4.634,5.065,109.5,10.9,21.9,10.05,140.3,1,83.4
2023-07-11 00:00:00.000,358.3658333333333,-12.189166666666667,4.565,5.066,114.1,10.6,21.9,9.78,154.1,1,83.4
2023-07-16 00:00:00.000,358.47416666666663,-12.5,4.498,5.067,118.8,10.1,21.8,10.06,168.1,1,83.3
2023-07-21 00:00:00.000,358.5066666666666,-12.844722222222222,4.435,5.067,123.5,9.6,21.8,10.83,180.8,1,83.3
2023-07-26 00:00:00.000,358.46416666666664,-13.221111111111112,4.376,5.068,128.3,9.1,21.7,11.97,191.3,1,83.3
2023-07-31 00:00:00.000,358.34666666666664,-13.625833333333334,4.321,5.069,133.1,8.4,21.7,13.32,199.7,1,83.3
2023-10-24 00:00:00.000,350.6083333333333,-19.902777777777775,4.368,5.085,131.7,8.4,21.7,8.82,252.9,1,86.4
2023-10-29 00:00:00.000,350.34458333333333,-19.96611111111111,4.429,5.086,126.8,9.0,21.7,6.53,259.4,1,86.6
2023-11-03 00:00:00.000,350.1541666666666,-19.983611111111113,4.493,5.087,121.8,9.5,21.8,4.32,271.8,1,86.6
2023-11-08 00:00:00.000,350.03958333333327,-19.9575,4.561,5.088,117.0,10.0,21.8,2.57,303.8,1,86.7
2023-11-13 00:00:00.000,350.0033333333333,-19.88888888888889,4.633,5.089,112.1,10.4,21.9,2.67,2.1,1,86.7
2023-11-18 00:00:00.000,350.04666666666657,-19.780555555555555,4.707,5.09,107.4,10.7,21.9,4.49,31.4,1,86.7
2023-11-23 00:00:00.000,350.16874999999993,-19.634444444444444,4.783,5.091,102.6,10.9,22.0,6.71,42.8,1,86.6
2023-11-28 00:00:00.000,350.36875,-19.453611111111112,4.86,5.092,98.0,11.1,22.0,8.96,48.7,1,86.5
2023-12-03 00:00:00.000,350.64374999999995,-19.240555555555556,4.939,5.093,93.4,11.1,22.1,11.18,52.2,1,86.4
2023-12-08 00:00:00.000,350.9920833333333,-18.997500000000002,5.017,5.094,88.9,11.1,22.1,13.35,54.7,1,86.2
2024-07-15 00:00:00.000,31.405416666666664,-7.101111111111111,5.113,5.147,86.2,11.4,22.2,17.94,106.3,1,76.4
2024-07-20 00:00:00.000,31.954583333333332,-7.286111111111111,5.042,5.149,90.3,11.4,22.1,16.6,111.4,1,76.2
2024-07-25 00:00:00.000,32.44291666666666,-7.504722222222222,4.971,5.15,94.4,11.3,22.1,15.32,117.4,1,76.1
2024-07-30 00:00:00.000,32.86749999999999,-7.756666666666667,4.901,5.151,98.6,11.2,22.1,14.14,124.7,1,76.0
2024-08-04 00:00:00.000,33.22416666666667,-8.04111111111111,4.831,5.153,102.8,11.1,22.0,13.13,133.3,1,75.8
2024-08-09 00:00:00.000,33.510416666666664,-8.356388888888889,4.764,5.154,107.1,10.8,22.0,12.37,143.2,1,75.7
2024-08-14 00:00:00.000,33.72333333333333,-8.700833333333332,4.698,5.155,111.4,10.5,22.0,11.94,154.1,1,75.6
2024-08-19 00:00:00.000,33.86083333333333,-9.071666666666667,4.635,5.157,115.8,10.2,21.9,11.87,165.5,1,75.5
2024-08-24 00:00:00.000,33.92249999999999,-9.466111111111111,4.575,5.158,120.2,9.8,21.9,12.18,176.8,1,75.5
2024-08-29 00:00:00.000,33.90708333333333,-9.881111111111112,4.519,5.159,124.6,9.3,21.8,12.82,187.2,1,75.4
2024-09-03 00:00:00.000,33.81333333333333,-10.3125,4.467,5.161,128.9,8.7,21.8,13.71,196.5,1,75.4
2024-09-08 00:00:00.000,33.64333333333333,-10.755555555555556,4.419,5.162,133.3,8.2,21.7,14.74,204.6,1,75.4
2024-11-22 00:00:00.000,26.17583333333333,-14.900555555555556,4.456,5.183,133.3,8.0,21.7,12.34,277.7,1,77.2
2024-11-27 00:00:00.000,25.784166666666668,-14.82,4.509,5.184,128.8,8.5,21.8,10.91,286.9,1,77.3
2024-12-02 00:00:00.000,25.457916666666662,-14.689444444444444,4.566,5.186,124.3,9.0,21.8,9.66,298.7,1,77.4
2024-12-07 00:00:00.000,25.201249999999995,-14.511944444444444,4.628,5.187,119.7,9.5,21.9,8.77,313.2,1,77.4
2024-12-12 00:00:00.000,25.018749999999994,-14.290277777777778,4.694,5.189,115.1,9.9,21.9,8.4,329.9,1,77.5
2024-12-17 00:00:00.000,24.91166666666666,-14.028611111111111,4.762,5.19,110.6,10.2,22.0,8.66,346.6,1,77.5
2024-12-22 00:00:00.000,24.88083333333333,-13.729722222222222,4.833,5.192,106.0,10.5,22.0,9.48,1.4,1,77.5
2024-12-27 00:00:00.000,24.92708333333333,-13.397499999999999,4.906,5.193,101.5,10.7,22.1,10.72,13.3,1,77.4
2025-01-01 00:00:00.000,25.049583333333327,-13.035,4.98,5.194,97.1,10.8,22.1,12.22,22.6,1,77.4
2025-01-06 00:00:00.000,25.247499999999995,-12.64611111111111,5.056,5.196,92.7,10.9,22.1,13.85,29.7,1,77.3
2025-01-11 00:00:00.000,25.51833333333333,-12.234444444444444,5.132,5.197,88.4,10.9,22.2,15.52,35.4,1,77.2
2025-08-24 00:00:00.000,64.63125,-1.146388888888889,5.192,5.262,88.4,11.1,22.2,15.69,116.7,1,72.7
2025-08-29 00:00:00.000,65.06541666666665,-1.3916666666666666,5.122,5.263,92.5,11.1,22.2,14.25,122.6,1,72.6
2025-09-03 00:00:00.000,65.43124999999998,-1.6569444444444443,5.052,5.265,96.6,11.0,22.2,12.89,129.7,1,72.4
2025-09-08 00:00:00.000,65.72583333333333,-1.94,4.983,5.266,100.8,10.8,22.1,11.68,138.5,1,72.3
2025-09-13 00:00:00.000,65.94666666666666,-2.2391666666666667,4.916,5.268,105.1,10.6,22.1,10.7,149.1,1,72.2
2025-09-18 00:00:00.000,66.09125,-2.551388888888889,4.85,5.269,109.4,10.4,22.1,10.05,161.7,1,72.1
2025-09-23 00:00:00.000,66.15708333333333,-2.8741666666666665,4.786,5.271,113.7,10.0,22.0,9.83,175.4,1,72.0
2025-09-28 00:00:00.000,66.14333333333333,-3.2033333333333336,4.726,5.272,118.1,9.7,22.0,10.07,189.2,1,71.9
2025-10-03 00:00:00.000,66.05,-3.5355555555555553,4.669,5.273,122.4,9.2,21.9,10.73,201.7,1,71.9
2025-10-08 00:00:00.000,65.87833333333333,-3.866111111111111,4.616,5.275,126.8,8.7,21.9,11.7,212.5,1,71.8
2025-10-13 00:00:00.000,65.62999999999998,-4.1913888888888895,4.567,5.276,131.1,8.2,21.9,12.88,221.6,1,71.8
2025-12-27 00:00:00.000,57.456666666666656,-5.510555555555555,4.578,5.297,132.9,7.8,21.8,14.38,298.2,1,73.0
2026-01-01 00:00:00.000,57.06541666666666,-5.264722222222222,4.63,5.298,128.5,8.3,21.9,13.3,306.6,1,73.0
2026-01-06 00:00:00.000,56.743333333333325,-4.982777777777778,4.686,5.3,124.0,8.8,21.9,12.4,316.3,1,73.1
2026-01-11 00:00:00.000,56.49374999999999,-4.668055555555556,4.747,5.301,119.5,9.3,22.0,11.76,327.4,1,73.1
2026-01-16 00:00:00.000,56.31999999999999,-4.324166666666667,4.812,5.302,115.0,9.7,22.0,11.46,339.4,1,73.2
2026-01-21 00:00:00.000,56.22416666666666,-3.954166666666667,4.879,5.304,110.4,10.0,22.1,11.57,351.6,1,73.2
2026-01-26 00:00:00.000,56.207499999999996,-3.5619444444444444,4.95,5.305,105.9,10.3,22.1,12.07,3.2,1,73.2
2026-01-31 00:00:00.000,56.26958333333333,-3.151944444444444,5.022,5.306,101.5,10.5,22.2,12.9,13.5,1,73.2
2026-02-05 00:00:00.000,56.408333333333324,-2.727222222222222,5.096,5.308,97.0,10.6,22.2,13.97,22.3,1,73.2
2026-02-10 00:00:00.000,56.622499999999995,-2.290833333333333,5.171,5.309,92.7,10.7,22.2,15.22,29.6,1,73.2
2026-02-15 00:00:00.000,56.91,-1.8458333333333334,5.246,5.31,88.3,10.7,22.3,16.58,35.8,1,73.2
2026-09-28 00:00:00.000,95.34708333333332,5.035,5.289,5.365,89.0,10.8,22.3,12.5,118.0,0,73.5
2026-10-03 00:00:00.000,95.68166666666666,4.838055555555555,5.215,5.366,93.3,10.7,22.3,10.72,123.6,0,73.4
2026-10-08 00:00:00.000,95.94333333333333,4.6402777777777775,5.141,5.367,97.7,10.6,22.2,8.96,131.4,0,73.3
2026-10-13 00:00:00.000,96.13,4.443888888888889,5.069,5.368,102.1,10.5,22.2,7.33,142.8,0,73.2
2026-10-18 00:00:00.000,96.23958333333333,4.251944444444445,4.998,5.369,106.7,10.2,22.2,6.05,159.7,0,73.2
2026-10-23 00:00:00.000,96.27041666666665,4.066666666666666,4.928,5.37,111.3,9.9,22.1,5.43,182.8,0,73.1
2026-10-28 00:00:00.000,96.22208333333333,3.891111111111111,4.862,5.371,115.9,9.6,22.1,5.73,207.3,0,73.1
2026-11-02 00:00:00.000,96.09458333333333,3.7280555555555557,4.798,5.372,120.6,9.1,22.0,6.85,226.9,0,73.0
2026-11-07 00:00:00.000,95.88833333333334,3.5799999999999996,4.738,5.373,125.4,8.6,22.0,8.44,240.4,0,73.0
2026-11-12 00:00:00.000,95.60541666666666,3.450555555555556,4.682,5.374,130.2,8.1,21.9,10.24,249.6,1,73.0
2026-11-17 00:00:00.000,95.24916666666664,3.3425000000000002,4.632,5.375,134.9,7.5,21.9,12.07,256.1,1,73.0
2027-01-31 00:00:00.000,86.75999999999999,5.243888888888889,4.667,5.39,133.2,7.7,21.9,14.35,312.6,1,74.0
2027-02-05 00:00:00.000,86.44291666666666,5.5744444444444445,4.723,5.391,128.4,8.2,22.0,13.11,320.5,1,74.0
2027-02-10 00:00:00.000,86.20166666666665,5.916944444444445,4.783,5.392,123.6,8.8,22.0,12.03,330.0,0,74.1
2027-02-15 00:00:00.000,86.03999999999999,6.268055555555556,4.848,5.393,118.7,9.2,22.1,11.23,341.1,0,74.2
2027-02-20 00:00:00.000,85.95833333333333,6.624722222222223,4.916,5.393,113.9,9.6,22.1,10.82,353.4,0,74.2
2027-02-25 00:00:00.000,85.95666666666665,6.983888888888889,4.987,5.394,109.2,10.0,22.2,10.86,6.1,0,74.3
2027-03-02 00:00:00.000,86.03541666666666,7.343611111111111,5.061,5.395,104.5,10.2,22.2,11.33,18.1,0,74.3
2027-03-07 00:00:00.000,86.19249999999998,7.701388888888889,5.136,5.396,99.9,10.4,22.2,12.17,28.7,0,74.4
2027-03-12 00:00:00.000,86.4275,8.054722222222223,5.213,5.397,95.3,10.6,22.3,13.27,37.6,0,74.5
2027-03-17 00:00:00.000,86.73708333333332,8.401388888888889,5.291,5.398,90.8,10.6,22.3,14.54,44.9,0,74.6
2027-03-22 00:00:00.000,87.11833333333333,8.739999999999998,5.369,5.399,86.4,10.6,22.4,15.89,50.9,0,74.7
