Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,345.2054166666666,-7.325277777777777,12.298,12.762,115.1,4.1,29.5,3.15,248.4,1150,58.9
2023-07-06 00:00:00.000,345.0924999999999,-7.369722222222221,12.239,12.777,120.0,4.0,29.4,4.07,248.3,1156,58.9
2023-07-11 00:00:00.000,344.95166666666665,-7.4255555555555555,12.184,12.792,124.9,3.7,29.4,4.96,248.3,1162,58.9
2023-07-16 00:00:00.000,344.7833333333333,-7.491944444444444,12.132,12.807,129.8,3.5,29.4,5.81,248.3,1167,58.9
2023-07-21 00:00:00.000,344.58874999999995,-7.568611111111111,12.086,12.822,134.8,3.2,29.4,6.62,248.3,1172,58.9
2023-10-19 00:00:00.000,339.5608333333333,-9.45,12.392,13.086,132.6,3.2,29.5,5.92,251.4,1124,59.4
2023-10-24 00:00:00.000,339.3845833333333,-9.5075,12.472,13.1,127.4,3.5,29.5,5.05,252.1,1116,59.4
2023-10-29 00:00:00.000,339.23625,-9.553611111111111,12.557,13.115,122.3,3.7,29.5,4.15,253.0,1108,59.4
2023-11-03 00:00:00.000,339.11625,-9.588055555555556,12.647,13.129,117.1,3.9,29.6,3.22,254.5,1100,59.4
2023-11-08 00:00:00.000,339.02666666666664,-9.61111111111111,12.739,13.143,112.0,4.0,29.6,2.27,257.2,1093,59.4
2023-11-13 00:00:00.000,338.9670833333333,-9.621666666666668,12.835,13.158,107.0,4.1,29.6,1.3,263.9,1085,59.4
2023-11-18 00:00:00.000,338.9387499999999,-9.620277777777778,12.932,13.172,101.9,4.2,29.6,0.44,301.3,1078,59.4
2023-11-23 00:00:00.000,338.9416666666666,-9.606666666666666,13.032,13.186,96.9,4.3,29.7,0.8,42.5,1071,59.4
2023-11-28 00:00:00.000,338.9754166666666,-9.580833333333333,13.132,13.2,91.8,4.3,29.7,1.73,56.8,1065,59.4
2023-12-03 00:00:00.000,339.03916666666663,-9.543611111111112,13.232,13.214,86.9,4.3,29.7,2.67,60.9,1059,59.4
2024-06-05 00:00:00.000,348.86625,-5.254166666666666,13.739,13.719,86.8,4.2,29.9,2.22,64.1,1164,58.9
2024-06-10 00:00:00.000,348.91958333333326,-5.2275,13.668,13.732,91.5,4.2,29.8,1.34,62.2,1172,58.9
2024-06-15 00:00:00.000,348.94541666666663,-5.2125,13.597,13.745,96.3,4.2,29.8,0.46,52.4,1179,58.9
2024-06-20 00:00:00.000,348.94374999999997,-5.208888888888889,13.528,13.758,101.0,4.2,29.8,0.47,261.5,1187,58.9
2024-06-25 00:00:00.000,348.91458333333327,-5.216944444444445,13.459,13.772,105.8,4.1,29.8,1.35,252.1,1194,58.9
2024-06-30 00:00:00.000,348.8579166666666,-5.236666666666666,13.393,13.785,110.7,4.0,29.8,2.24,250.2,1201,58.9
2024-07-05 00:00:00.000,348.77374999999995,-5.2675,13.329,13.798,115.5,3.8,29.8,3.11,249.4,1208,58.9
2024-07-10 00:00:00.000,348.6633333333333,-5.309444444444444,13.268,13.811,120.4,3.6,29.8,3.96,248.9,1214,58.9
2024-07-15 00:00:00.000,348.52666666666664,-5.362222222222222,13.211,13.823,125.3,3.4,29.7,4.78,248.7,1220,59.0
2024-07-20 00:00:00.000,348.3654166666666,-5.425000000000001,13.158,13.836,130.3,3.2,29.7,5.55,248.5,1224,59.0
2024-10-23 00:00:00.000,343.4983333333333,-7.313055555555556,13.389,14.077,132.3,3.0,29.8,5.59,249.9,1177,59.2
2024-10-28 00:00:00.000,343.33416666666665,-7.371944444444444,13.468,14.089,127.1,3.2,29.8,4.8,250.4,1169,59.2
2024-11-02 00:00:00.000,343.195,-7.420555555555556,13.551,14.102,122.0,3.4,29.8,3.96,251.0,1162,59.2
2024-11-07 00:00:00.000,343.0829166666667,-7.457777777777778,13.639,14.114,116.8,3.6,29.9,3.08,251.9,1154,59.2
2024-11-12 00:00:00.000,342.99875,-7.484166666666667,13.73,14.126,111.7,3.7,29.9,2.18,253.7,1146,59.2
2024-11-17 00:00:00.000,342.9420833333333,-7.498888888888889,13.824,14.139,106.6,3.8,29.9,1.28,257.8,1139,59.2
2024-11-22 00:00:00.000,342.91416666666663,-7.501944444444445,13.92,14.151,101.6,3.9,29.9,0.41,280.6,1132,59.2
2024-11-27 00:00:00.000,342.91499999999996,-7.493888888888889,14.017,14.163,96.5,4.0,30.0,0.62,46.6,1125,59.2
2024-12-02 00:00:00.000,342.9441666666666,-7.473888888888889,14.116,14.175,91.5,4.0,30.0,1.51,59.3,1119,59.2
2024-12-07 00:00:00.000,343.0020833333333,-7.4425,14.214,14.188,86.5,4.0,30.0,2.4,62.5,1113,59.2
2025-06-10 00:00:00.000,352.00833333333327,-3.4372222222222226,14.627,14.622,87.7,4.0,30.1,1.84,61.5,1227,59.1
2025-06-15 00:00:00.000,352.04999999999995,-3.413333333333333,14.554,14.633,92.5,4.0,30.1,1.02,57.0,1235,59.1
2025-06-20 00:00:00.000,352.06541666666664,-3.4002777777777777,14.482,14.644,97.2,3.9,30.1,0.24,20.5,1243,59.1
2025-06-25 00:00:00.000,352.0554166666666,-3.3983333333333334,14.41,14.656,102.0,3.9,30.1,0.7,261.3,1251,59.1
2025-06-30 00:00:00.000,352.0191666666666,-3.407222222222222,14.341,14.667,106.8,3.8,30.1,1.53,253.4,1258,59.1
2025-07-05 00:00:00.000,351.9575,-3.427222222222222,14.273,14.678,111.6,3.7,30.1,2.36,251.2,1264,59.1
2025-07-10 00:00:00.000,351.8704166666666,-3.4580555555555557,14.207,14.689,116.5,3.6,30.0,3.17,250.1,1271,59.1
2025-07-15 00:00:00.000,351.75874999999996,-3.4991666666666665,14.145,14.7,121.4,3.4,30.0,3.95,249.5,1277,59.1
2025-07-20 00:00:00.000,351.6233333333333,-3.5502777777777776,14.087,14.711,126.3,3.2,30.0,4.71,249.1,1282,59.1
2025-07-25 00:00:00.000,351.465,-3.611388888888889,14.033,14.722,131.2,3.0,30.0,5.44,248.8,1286,59.1
2025-10-28 00:00:00.000,346.8641666666666,-5.438611111111111,14.254,14.928,131.3,2.9,30.0,5.24,248.8,1233,59.1
2025-11-02 00:00:00.000,346.71208333333334,-5.496944444444445,14.332,14.939,126.2,3.1,30.1,4.48,249.1,1225,59.1
2025-11-07 00:00:00.000,346.58416666666665,-5.545277777777778,14.415,14.95,121.0,3.3,30.1,3.69,249.4,1217,59.1
2025-11-12 00:00:00.000,346.48124999999993,-5.583333333333333,14.501,14.96,115.9,3.4,30.1,2.87,250.0,1210,59.1
2025-11-17 00:00:00.000,346.4041666666666,-5.610555555555555,14.591,14.971,110.8,3.5,30.1,2.02,251.0,1202,59.1
2025-11-22 00:00:00.000,346.35374999999993,-5.626944444444445,14.684,14.981,105.7,3.6,30.2,1.15,253.8,1195,59.1
2025-11-27 00:00:00.000,346.3299999999999,-5.631944444444445,14.779,14.992,100.6,3.7,30.2,0.3,272.7,1188,59.1
2025-12-02 00:00:00.000,346.33374999999995,-5.6258333333333335,14.875,15.002,95.5,3.8,30.2,0.61,55.3,1182,59.1
2025-12-07 00:00:00.000,346.3637499999999,-5.608888888888888,14.972,15.013,90.5,3.8,30.2,1.46,62.4,1175,59.1
2025-12-12 00:00:00.000,346.4204166666666,-5.5808333333333335,15.068,15.023,85.5,3.7,30.2,2.3,64.2,1170,59.1
2026-06-15 00:00:00.000,354.82583333333326,-1.7963888888888888,15.377,15.393,89.0,3.8,30.3,1.48,58.2,1296,59.3
2026-06-20 00:00:00.000,354.8554166666666,-1.7755555555555556,15.303,15.403,93.8,3.8,30.3,0.7,48.4,1304,59.3
2026-06-25 00:00:00.000,354.86041666666665,-1.7652777777777777,15.229,15.413,98.5,3.7,30.3,0.26,306.1,1312,59.3
2026-06-30 00:00:00.000,354.84124999999995,-1.7652777777777777,15.156,15.422,103.3,3.7,30.3,0.95,260.2,1319,59.3
2026-07-05 00:00:00.000,354.7979166666666,-1.776111111111111,15.085,15.432,108.1,3.6,30.3,1.73,254.1,1326,59.3
2026-07-10 00:00:00.000,354.73041666666666,-1.7969444444444442,15.016,15.441,113.0,3.5,30.3,2.52,251.8,1333,59.3
2026-07-15 00:00:00.000,354.63874999999996,-1.8283333333333334,14.95,15.451,117.8,3.3,30.2,3.29,250.6,1339,59.3
2026-07-20 00:00:00.000,354.52374999999995,-1.8697222222222223,14.887,15.46,122.7,3.2,30.2,4.03,249.8,1344,59.3
2026-07-25 00:00:00.000,354.3866666666666,-1.9208333333333332,14.828,15.469,127.6,3.0,30.2,4.74,249.3,1349,59.3
2026-07-30 00:00:00.000,354.22875,-1.9811111111111113,14.774,15.479,132.6,2.8,30.2,5.41,249.0,1353,59.3
2026-11-02 00:00:00.000,349.8333333333333,-3.756666666666667,14.997,15.653,130.0,2.8,30.2,4.89,247.9,1292,59.1
2026-11-07 00:00:00.000,349.69333333333327,-3.813611111111111,15.075,15.662,124.8,3.0,30.3,4.16,247.9,1285,59.1
2026-11-12 00:00:00.000,349.57625,-3.8608333333333333,15.158,15.671,119.7,3.1,30.3,3.39,248.1,1277,59.1
2026-11-17 00:00:00.000,349.4833333333333,-3.897777777777778,15.244,15.68,114.5,3.3,30.3,2.59,248.3,1269,59.1
2026-11-22 00:00:00.000,349.41541666666666,-3.924444444444444,15.333,15.689,109.4,3.4,30.3,1.78,248.8,1261,59.1
2026-11-27 00:00:00.000,349.3725,-3.9405555555555556,15.425,15.698,104.3,3.5,30.4,0.96,250.2,1254,59.1
2026-12-02 00:00:00.000,349.355,-3.9461111111111116,15.519,15.707,99.2,3.6,30.4,0.14,269.2,1247,59.1
2026-12-07 00:00:00.000,349.3633333333333,-3.9408333333333334,15.613,15.716,94.2,3.6,30.4,0.71,63.0,1241,59.1
2026-12-12 00:00:00.000,349.3975,-3.924444444444444,15.709,15.725,89.1,3.6,30.4,1.54,65.2,1235,59.1
2027-06-15 00:00:00.000,357.3670833333333,-0.3144444444444444,16.078,16.037,85.9,3.6,30.5,1.88,58.7,1361,59.5
2027-06-20 00:00:00.000,357.40916666666664,-0.28694444444444445,16.002,16.045,90.6,3.6,30.5,1.14,53.3,1370,59.5
2027-06-25 00:00:00.000,357.42791666666665,-0.26916666666666667,15.926,16.053,95.3,3.6,30.5,0.44,29.5,1378,59.5
2027-06-30 00:00:00.000,357.4233333333333,-0.26166666666666666,15.851,16.061,100.1,3.6,30.5,0.5,278.7,1385,59.5
2027-07-05 00:00:00.000,357.3954166666666,-0.2644444444444444,15.777,16.069,104.9,3.5,30.5,1.22,259.0,1393,59.5
2027-07-10 00:00:00.000,357.34375,-0.2772222222222222,15.705,16.077,109.7,3.4,30.4,1.97,254.2,1400,59.5
2027-07-15 00:00:00.000,357.26874999999995,-0.3,15.635,16.085,114.6,3.3,30.4,2.71,252.1,1406,59.5
2027-07-20 00:00:00.000,357.1716666666666,-0.33249999999999996,15.569,16.093,119.4,3.2,30.4,3.43,250.9,1412,59.5
2027-07-25 00:00:00.000,357.0529166666666,-0.3747222222222222,15.506,16.1,124.3,3.0,30.4,4.13,250.1,1417,59.5
2027-07-30 00:00:00.000,356.91291666666666,-0.4261111111111111,15.447,16.108,129.3,2.8,30.4,4.81,249.6,1422,59.5
2027-08-04 00:00:00.000,356.7529166666667,-0.48638888888888887,15.392,16.116,134.2,2.6,30.4,5.44,249.1,1426,59.5
