Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-26 00:00:00.000,262.71958333333333,-0.1361111111111111,1.112,1.962,134.5,21.7,23.9,57.28,234.5,13237,275.4
2023-07-31 00:00:00.000,261.395,-1.1969444444444444,1.217,2.022,129.6,22.7,24.2,45.09,227.6,12250,273.3
2023-08-05 00:00:00.000,260.4745833333333,-2.1675,1.326,2.08,124.9,23.6,24.4,35.68,218.6,11279,271.6
2023-08-10 00:00:00.000,259.88875,-3.058333333333333,1.438,2.136,120.3,24.2,24.7,28.77,207.1,10355,270.2
2023-08-15 00:00:00.000,259.58375,-3.8775,1.552,2.191,115.7,24.6,24.9,24.19,192.8,9494,88.9
2023-08-20 00:00:00.000,259.5170833333333,-4.6325,1.668,2.244,111.3,24.8,25.1,21.77,176.9,8702,87.7
2023-08-25 00:00:00.000,259.6525,-5.328611111111111,1.786,2.296,107.1,24.9,25.3,21.15,161.4,7978,86.6
2023-08-30 00:00:00.000,259.96,-5.970277777777778,1.906,2.347,102.9,24.8,25.5,21.75,148.2,7321,85.6
2023-09-04 00:00:00.000,260.41375,-6.561944444444444,2.025,2.397,98.8,24.6,25.7,23.04,137.7,6725,84.6
2023-09-09 00:00:00.000,260.99499999999995,-7.107222222222222,2.146,2.445,94.8,24.2,25.8,24.67,129.5,6185,83.6
2023-09-14 00:00:00.000,261.68749999999994,-7.609444444444444,2.266,2.492,90.8,23.8,26.0,26.41,123.2,5696,82.6
2023-09-19 00:00:00.000,262.47749999999996,-8.070555555555556,2.385,2.538,86.9,23.3,26.1,28.11,118.1,5253,81.7
2024-04-26 00:00:00.000,308.55041666666665,-1.1719444444444445,3.736,3.791,85.5,15.3,27.7,13.65,10.5,819,60.2
2024-05-01 00:00:00.000,308.58124999999995,-0.7302777777777778,3.671,3.806,90.0,15.3,27.7,13.08,357.0,846,61.3
2024-05-06 00:00:00.000,308.50333333333333,-0.30194444444444446,3.606,3.821,94.6,15.3,27.6,13.23,342.3,878,62.3
2024-05-11 00:00:00.000,308.3120833333333,0.10916666666666668,3.542,3.835,99.2,15.1,27.6,14.17,328.1,913,63.3
2024-05-16 00:00:00.000,308.00333333333333,0.49916666666666665,3.478,3.849,103.9,14.8,27.6,15.84,315.7,953,64.3
2024-05-21 00:00:00.000,307.5745833333333,0.8641666666666666,3.416,3.862,108.7,14.4,27.5,18.06,305.7,997,65.1
2024-05-26 00:00:00.000,307.0241666666666,1.2,3.357,3.875,113.6,13.9,27.5,20.7,297.6,1043,65.9
2024-05-31 00:00:00.000,306.35166666666663,1.5025,3.3,3.887,118.5,13.2,27.4,23.61,291.2,1093,66.5
2024-06-05 00:00:00.000,305.5566666666666,1.7672222222222222,3.246,3.899,123.5,12.5,27.4,26.66,285.9,1144,67.1
2024-06-10 00:00:00.000,304.64333333333326,1.9891666666666667,3.197,3.91,128.5,11.7,27.3,29.72,281.6,1196,67.6
2024-06-15 00:00:00.000,303.6175,2.1638888888888888,3.153,3.921,133.4,10.8,27.3,32.67,277.9,1248,67.9
2024-08-24 00:00:00.000,285.9158333333333,-0.7388888888888888,3.278,4.026,132.1,10.7,27.4,29.13,242.6,1362,65.5
2024-08-29 00:00:00.000,285.1141666666666,-1.1883333333333332,3.339,4.03,127.2,11.5,27.5,26.01,238.6,1323,65.2
2024-09-03 00:00:00.000,284.43625,-1.6394444444444445,3.405,4.034,122.2,12.2,27.5,22.86,233.8,1281,64.9
2024-09-08 00:00:00.000,283.88375,-2.086388888888889,3.474,4.037,117.3,12.8,27.6,19.81,227.8,1238,64.7
2024-09-13 00:00:00.000,283.45583333333326,-2.524722222222222,3.548,4.04,112.4,13.3,27.7,16.99,220.2,1196,64.5
2024-09-18 00:00:00.000,283.1508333333333,-2.950277777777778,3.623,4.042,107.6,13.7,27.7,14.54,210.4,1154,64.3
2024-09-23 00:00:00.000,282.96416666666664,-3.36,3.701,4.044,102.8,14.0,27.8,12.63,197.8,1113,64.1
2024-09-28 00:00:00.000,282.89166666666665,-3.751388888888889,3.781,4.046,98.1,14.2,27.8,11.45,182.5,1075,64.1
2024-10-03 00:00:00.000,282.9291666666667,-4.121944444444444,3.861,4.047,93.5,14.3,27.9,11.12,165.9,1039,64.0
2024-10-08 00:00:00.000,283.07125,-4.469722222222222,3.941,4.047,88.9,14.3,27.9,11.6,150.3,1005,64.0
2025-05-11 00:00:00.000,317.48374999999993,4.508333333333334,3.53,3.652,88.9,16.0,27.5,16.88,11.5,2645,68.6
2025-05-16 00:00:00.000,317.54291666666666,5.056666666666667,3.433,3.633,93.2,16.1,27.5,16.34,0.5,2764,68.0
2025-05-21 00:00:00.000,317.49125,5.596388888888889,3.337,3.612,97.6,16.1,27.4,16.36,348.4,2883,67.4
2025-05-26 00:00:00.000,317.31999999999994,6.123611111111111,3.242,3.592,102.0,16.0,27.3,17.06,335.9,3003,66.7
2025-05-31 00:00:00.000,317.02124999999995,6.632777777777778,3.148,3.57,106.5,15.8,27.2,18.49,324.0,3121,65.9
2025-06-05 00:00:00.000,316.5883333333333,7.118888888888889,3.055,3.548,111.0,15.5,27.1,20.6,313.5,3235,65.0
2025-06-10 00:00:00.000,316.0154166666666,7.575555555555555,2.966,3.526,115.7,15.0,27.0,23.29,304.5,3342,64.0
2025-06-15 00:00:00.000,315.2966666666666,7.996944444444445,2.879,3.503,120.3,14.5,26.9,26.46,297.0,3440,62.9
2025-06-20 00:00:00.000,314.42791666666665,8.375,2.796,3.479,125.0,13.8,26.8,29.99,290.7,3526,61.6
2025-06-25 00:00:00.000,313.40666666666664,8.701944444444443,2.717,3.455,129.6,13.1,26.7,33.75,285.4,3595,60.2
2025-06-30 00:00:00.000,312.2345833333333,8.968333333333334,2.643,3.43,134.2,12.3,26.6,37.58,280.7,3643,58.6
2025-08-29 00:00:00.000,292.3766666666666,5.697500000000001,2.308,3.083,132.7,13.9,26.2,47.33,243.3,2149,14.3
2025-09-03 00:00:00.000,291.0354166666666,4.973888888888889,2.326,3.049,127.7,15.2,26.2,43.74,239.7,1973,7.0
2025-09-08 00:00:00.000,289.8533333333333,4.229722222222223,2.35,3.015,122.6,16.3,26.2,39.86,235.6,1821,359.2
2025-09-13 00:00:00.000,288.83916666666664,3.476388888888889,2.379,2.98,117.5,17.4,26.3,35.84,230.9,1697,350.9
2025-09-18 00:00:00.000,287.9983333333333,2.7244444444444444,2.41,2.945,112.5,18.4,26.3,31.82,225.1,1601,342.4
2025-09-23 00:00:00.000,287.3341666666666,1.9836111111111112,2.445,2.908,107.4,19.2,26.3,27.95,218.2,1528,334.1
2025-09-28 00:00:00.000,286.84541666666667,1.2619444444444445,2.482,2.871,102.5,19.9,26.4,24.46,209.5,1474,326.1
2025-10-03 00:00:00.000,286.52791666666667,0.5666666666666667,2.52,2.832,97.6,20.5,26.4,21.57,198.9,1432,318.7
2025-10-08 00:00:00.000,286.3762499999999,-0.09722222222222221,2.559,2.793,92.9,20.9,26.4,19.52,186.3,1397,311.8
2025-10-13 00:00:00.000,286.38291666666663,-0.7258333333333333,2.597,2.753,88.2,21.2,26.4,18.48,172.2,1363,305.6
2026-05-21 00:00:00.000,329.20625,5.729722222222223,0.696,1.191,86.4,58.0,22.8,152.53,277.7,57196,74.1
2026-05-26 00:00:00.000,323.95166666666665,6.348888888888888,0.688,1.279,95.6,52.0,22.7,163.28,275.8,48943,70.9
2026-05-31 00:00:00.000,318.3141666666666,6.808888888888888,0.684,1.362,105.0,46.0,22.7,173.66,273.6,40236,66.3
2026-06-05 00:00:00.000,312.34499999999997,7.059166666666666,0.686,1.442,114.6,39.8,22.7,181.66,271.2,31258,59.3
2026-06-10 00:00:00.000,306.1670833333333,7.060555555555555,0.696,1.519,124.0,33.7,22.6,185.36,268.8,22649,48.0
2026-06-15 00:00:00.000,299.965,6.795833333333333,0.716,1.592,133.0,27.8,22.6,183.37,266.3,15595,28.6
2026-07-30 00:00:00.000,265.47249999999997,-1.2222222222222223,1.326,2.158,134.0,19.8,24.4,50.46,238.1,14554,272.6
2026-08-04 00:00:00.000,264.23291666666665,-2.086388888888889,1.428,2.212,129.1,20.9,24.6,40.52,231.6,13719,270.9
2026-08-09 00:00:00.000,263.3358333333333,-2.8991666666666664,1.535,2.265,124.2,21.7,24.9,32.42,223.2,12846,89.5
2026-08-14 00:00:00.000,262.7366666666666,-3.6616666666666666,1.645,2.317,119.4,22.4,25.1,26.13,212.1,11975,88.2
2026-08-19 00:00:00.000,262.3954166666667,-4.374722222222222,1.757,2.367,114.8,22.8,25.3,21.74,198.0,11131,87.1
2026-08-24 00:00:00.000,262.27708333333334,-5.040555555555556,1.872,2.416,110.3,23.1,25.5,19.28,181.5,10329,86.0
2026-08-29 00:00:00.000,262.35125,-5.660555555555556,1.988,2.464,105.9,23.2,25.7,18.58,165.0,9576,85.0
2026-09-03 00:00:00.000,262.5920833333333,-6.237222222222222,2.105,2.51,101.6,23.2,25.8,19.17,150.5,8875,84.0
2026-09-08 00:00:00.000,262.97875,-6.773333333333333,2.223,2.556,97.4,23.0,26.0,20.56,138.9,8227,83.1
2026-09-13 00:00:00.000,263.4945833333333,-7.269722222222222,2.341,2.6,93.3,22.7,26.1,22.31,129.9,7628,82.1
2026-09-18 00:00:00.000,264.12416666666667,-7.728055555555556,2.459,2.644,89.2,22.3,26.2,24.16,123.1,7078,81.2
2026-09-23 00:00:00.000,264.85249999999996,-8.148888888888889,2.576,2.686,85.3,21.9,26.4,25.96,117.7,6571,80.3
2027-05-01 00:00:00.000,308.75833333333327,-0.6711111111111111,3.723,3.841,89.1,15.2,27.7,13.09,0.3,1163,60.2
2027-05-06 00:00:00.000,308.70625,-0.24166666666666667,3.657,3.854,93.6,15.1,27.7,13.05,345.7,1204,61.3
2027-05-11 00:00:00.000,308.54291666666666,0.1711111111111111,3.591,3.867,98.3,15.0,27.7,13.8,331.3,1251,62.3
2027-05-16 00:00:00.000,308.26374999999996,0.5641666666666667,3.526,3.88,103.0,14.7,27.6,15.28,318.5,1303,63.3
