Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-08-05 00:00:00.000,270.59708333333333,-50.44361111111111,11.673,12.372,131.8,3.5,24.5,9.92,274.9,21,22.3
2023-08-10 00:00:00.000,270.10208333333327,-50.40888888888889,11.743,12.388,127.6,3.7,24.6,9.12,277.8,21,23.2
2023-08-15 00:00:00.000,269.65333333333325,-50.36138888888889,11.817,12.404,123.4,3.9,24.6,8.27,281.1,21,24.0
2023-08-20 00:00:00.000,269.25416666666666,-50.30361111111111,11.896,12.42,119.1,4.1,24.6,7.4,284.7,21,24.7
2023-08-25 00:00:00.000,268.90708333333333,-50.23694444444445,11.979,12.436,114.8,4.2,24.6,6.5,289.0,21,25.4
2023-08-30 00:00:00.000,268.6133333333333,-50.163333333333334,12.064,12.452,110.4,4.4,24.7,5.62,294.1,21,25.9
2023-09-04 00:00:00.000,268.37375,-50.08444444444444,12.152,12.468,106.0,4.5,24.7,4.75,300.6,21,26.4
2023-09-09 00:00:00.000,268.18874999999997,-50.00222222222222,12.243,12.484,101.6,4.5,24.7,3.94,309.5,21,26.8
2023-09-14 00:00:00.000,268.05791666666664,-49.918055555555554,12.334,12.499,97.1,4.6,24.7,3.23,321.9,20,27.1
2023-09-19 00:00:00.000,267.9816666666667,-49.833333333333336,12.427,12.515,92.7,4.6,24.8,2.71,339.4,20,27.3
2023-09-24 00:00:00.000,267.95875,-49.74944444444444,12.52,12.531,88.3,4.6,24.8,2.48,1.5,20,27.4
2024-03-27 00:00:00.000,281.27625,-52.71027777777778,13.091,13.109,88.8,4.4,25.0,8.12,176.1,22,2.1
2024-04-01 00:00:00.000,281.28,-52.98305555555556,13.031,13.124,93.1,4.4,25.0,8.26,182.9,22,2.0
2024-04-06 00:00:00.000,281.2295833333333,-53.26027777777778,12.972,13.139,97.4,4.3,24.9,8.48,189.5,22,2.1
2024-04-11 00:00:00.000,281.12333333333333,-53.540277777777774,12.914,13.155,101.7,4.3,24.9,8.77,195.9,23,2.2
2024-04-16 00:00:00.000,280.9599999999999,-53.82166666666667,12.858,13.17,106.0,4.2,24.9,9.1,201.9,23,2.5
