Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-11-28 00:00:00.000,143.93916666666667,-29.523055555555555,15.57,15.555,87.3,3.6,30.2,7.21,198.8,18,353.6
2023-12-03 00:00:00.000,143.83499999999998,-29.745555555555555,15.526,15.576,91.1,3.6,30.2,7.21,205.5,18,353.8
2023-12-08 00:00:00.000,143.70083333333332,-29.956666666666667,15.482,15.597,94.9,3.6,30.2,7.27,212.2,18,354.0
2023-12-13 00:00:00.000,143.53666666666663,-30.154999999999998,15.439,15.619,98.7,3.6,30.2,7.37,218.9,19,354.2
2023-12-18 00:00:00.000,143.34375,-30.33861111111111,15.397,15.64,102.5,3.5,30.1,7.52,225.4,19,354.5
2023-12-23 00:00:00.000,143.12374999999997,-30.50611111111111,15.358,15.661,106.2,3.5,30.1,7.69,231.7,19,354.8
2023-12-28 00:00:00.000,142.8775,-30.65611111111111,15.321,15.682,109.9,3.4,30.1,7.9,237.6,19,355.2
2024-01-02 00:00:00.000,142.60708333333332,-30.7875,15.286,15.703,113.4,3.3,30.1,8.13,243.3,19,355.5
2024-01-07 00:00:00.000,142.3145833333333,-30.899166666666666,15.255,15.724,116.9,3.2,30.1,8.36,248.7,19,355.9
2024-01-12 00:00:00.000,142.0025,-30.990000000000002,15.228,15.745,120.1,3.1,30.1,8.6,253.8,19,356.4
2024-01-17 00:00:00.000,141.67375,-31.05888888888889,15.205,15.766,123.3,3.0,30.1,8.82,258.7,19,356.8
2024-01-22 00:00:00.000,141.33083333333332,-31.105555555555558,15.186,15.787,126.1,2.9,30.1,9.02,263.2,19,357.3
2024-01-27 00:00:00.000,140.9770833333333,-31.129722222222224,15.173,15.808,128.7,2.8,30.1,9.19,267.6,19,357.8
2024-02-01 00:00:00.000,140.61624999999998,-31.13111111111111,15.165,15.829,131.0,2.7,30.1,9.34,271.8,20,358.3
2024-02-06 00:00:00.000,140.25124999999997,-31.110277777777778,15.161,15.85,132.9,2.6,30.1,9.45,275.8,20,358.7
2024-02-11 00:00:00.000,139.88541666666666,-31.0675,15.164,15.87,134.4,2.5,30.1,9.52,279.8,20,359.3
