Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-09-14 00:00:00.000,83.48458333333332,20.22611111111111,11.143,11.131,86.7,5.2,24.0,4.38,97.5,7,88.0
2023-09-19 00:00:00.000,83.61958333333332,20.20611111111111,11.078,11.15,91.5,5.2,24.0,3.32,101.0,7,88.0
2023-09-24 00:00:00.000,83.71583333333332,20.184166666666666,11.014,11.168,96.3,5.1,24.0,2.25,107.7,7,88.1
2023-09-29 00:00:00.000,83.77208333333333,20.160555555555554,10.951,11.187,101.1,5.0,24.0,1.27,125.3,7,88.1
2023-10-04 00:00:00.000,83.78916666666666,20.135555555555555,10.889,11.206,106.0,4.9,23.9,0.78,186.0,7,88.2
2023-10-09 00:00:00.000,83.76624999999999,20.10888888888889,10.828,11.225,110.9,4.8,23.9,1.45,235.9,7,88.2
2023-10-14 00:00:00.000,83.70416666666665,20.08138888888889,10.771,11.243,115.9,4.6,23.9,2.46,249.9,7,88.2
2023-10-19 00:00:00.000,83.60291666666666,20.052777777777777,10.717,11.262,121.0,4.3,23.9,3.49,255.6,7,88.2
2023-10-24 00:00:00.000,83.46458333333332,20.02361111111111,10.666,11.281,126.1,4.1,23.9,4.5,258.7,7,88.2
2023-10-29 00:00:00.000,83.29041666666666,19.99388888888889,10.62,11.299,131.2,3.8,23.9,5.47,260.6,7,88.2
2024-01-27 00:00:00.000,77.90583333333332,19.626944444444444,10.951,11.637,132.3,3.6,24.0,5.22,270.9,6,86.5
2024-02-01 00:00:00.000,77.73791666666666,19.631666666666668,11.034,11.655,127.1,3.9,24.0,4.25,272.6,6,86.4
2024-02-06 00:00:00.000,77.60583333333332,19.640277777777776,11.123,11.674,121.9,4.1,24.0,3.24,275.5,6,86.4
2024-02-11 00:00:00.000,77.51041666666666,19.6525,11.215,11.693,116.8,4.3,24.1,2.2,281.1,6,86.3
2024-02-16 00:00:00.000,77.45291666666667,19.668333333333333,11.311,11.711,111.7,4.5,24.1,1.21,296.3,6,86.3
2024-02-21 00:00:00.000,77.43374999999999,19.688055555555557,11.409,11.73,106.6,4.6,24.1,0.64,0.4,6,86.2
2024-02-26 00:00:00.000,77.45333333333333,19.710833333333333,11.509,11.749,101.6,4.7,24.2,1.31,55.8,6,86.2
2024-03-02 00:00:00.000,77.51041666666666,19.736944444444447,11.611,11.768,96.7,4.8,24.2,2.3,69.0,6,86.2
2024-03-07 00:00:00.000,77.60541666666667,19.765833333333333,11.714,11.786,91.8,4.8,24.2,3.33,74.1,6,86.2
2024-03-12 00:00:00.000,77.7375,19.797500000000003,11.817,11.805,86.9,4.8,24.2,4.35,76.9,6,86.2
2024-09-23 00:00:00.000,92.44375,20.209444444444443,12.531,12.533,87.8,4.6,24.5,3.31,102.8,9,271.1
2024-09-28 00:00:00.000,92.54083333333332,20.185277777777777,12.466,12.551,92.6,4.6,24.5,2.36,107.9,9,271.2
2024-10-03 00:00:00.000,92.60291666666666,20.161388888888887,12.401,12.57,97.5,4.5,24.5,1.43,119.7,9,271.2
2024-10-08 00:00:00.000,92.62916666666665,20.138055555555557,12.337,12.589,102.4,4.4,24.4,0.73,161.0,9,271.3
2024-10-13 00:00:00.000,92.61999999999999,20.115833333333335,12.274,12.607,107.3,4.3,24.4,1.01,229.3,9,271.3
