Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-11-18 00:00:00.000,156.42666666666665,30.942222222222224,10.453,10.475,88.6,5.4,28.1,5.21,55.0,84,301.7
2023-11-23 00:00:00.000,156.57166666666663,31.05027777777778,10.381,10.483,93.3,5.4,28.1,4.72,42.2,84,301.7
2023-11-28 00:00:00.000,156.67333333333332,31.17527777777778,10.309,10.491,98.0,5.3,28.1,4.48,27.1,85,301.7
2023-12-03 00:00:00.000,156.73041666666666,31.316111111111113,10.238,10.499,102.7,5.3,28.1,4.54,11.3,86,301.7
2023-12-08 00:00:00.000,156.7420833333333,31.471944444444443,10.169,10.507,107.5,5.1,28.1,4.9,356.6,86,301.6
2023-12-13 00:00:00.000,156.70749999999998,31.641388888888887,10.102,10.515,112.3,5.0,28.0,5.48,344.3,87,301.5
2023-12-18 00:00:00.000,156.62625,31.823333333333334,10.038,10.523,117.1,4.8,28.0,6.21,334.6,88,301.4
2023-12-23 00:00:00.000,156.4983333333333,32.015,9.977,10.53,121.9,4.5,28.0,7.02,326.9,88,301.3
2023-12-28 00:00:00.000,156.32541666666665,32.215,9.921,10.538,126.7,4.3,28.0,7.86,320.9,89,301.2
2024-01-02 00:00:00.000,156.10791666666665,32.420833333333334,9.869,10.546,131.4,4.0,27.9,8.7,315.8,89,301.0
2024-03-22 00:00:00.000,149.50291666666666,34.545833333333334,9.947,10.662,133.9,3.9,28.0,9.14,267.0,85,297.8
2024-03-27 00:00:00.000,149.14999999999998,34.51888888888889,10.009,10.669,129.3,4.1,28.0,8.38,262.3,85,297.7
2024-04-01 00:00:00.000,148.83208333333332,34.47083333333334,10.076,10.676,124.7,4.4,28.0,7.6,256.7,84,297.6
2024-04-06 00:00:00.000,148.5525,34.40222222222222,10.147,10.683,120.1,4.6,28.1,6.84,249.9,83,297.6
2024-04-11 00:00:00.000,148.31375,34.31444444444444,10.221,10.69,115.4,4.9,28.1,6.14,241.6,83,297.5
2024-04-16 00:00:00.000,148.1175,34.20805555555556,10.299,10.697,110.8,5.0,28.1,5.54,231.5,82,297.5
2024-04-21 00:00:00.000,147.9645833333333,34.085,10.38,10.703,106.2,5.2,28.1,5.1,219.5,81,297.6
2024-04-26 00:00:00.000,147.8558333333333,33.94611111111111,10.463,10.71,101.6,5.3,28.2,4.89,206.2,81,297.6
2024-05-01 00:00:00.000,147.79166666666666,33.793055555555554,10.547,10.717,97.0,5.4,28.2,4.91,192.4,80,297.7
2024-05-06 00:00:00.000,147.77124999999998,33.62694444444445,10.632,10.724,92.5,5.4,28.2,5.17,179.6,80,297.8
2024-05-11 00:00:00.000,147.79458333333332,33.44888888888889,10.717,10.73,88.0,5.4,28.2,5.62,168.5,79,297.9
2024-11-22 00:00:00.000,162.47624999999996,27.70888888888889,10.965,10.957,87.0,5.2,28.3,4.94,61.0,93,304.4
2024-11-27 00:00:00.000,162.61999999999998,27.797500000000003,10.889,10.962,91.7,5.2,28.3,4.39,48.5,94,304.4
2024-12-02 00:00:00.000,162.72375,27.902777777777775,10.813,10.967,96.4,5.1,28.3,4.06,33.0,95,304.4
2024-12-07 00:00:00.000,162.78624999999997,28.024444444444445,10.738,10.972,101.2,5.1,28.3,4.04,15.9,96,304.4
2024-12-12 00:00:00.000,162.8070833333333,28.161388888888887,10.665,10.977,106.0,4.9,28.2,4.32,359.9,97,304.3
2024-12-17 00:00:00.000,162.78583333333333,28.31222222222222,10.593,10.982,110.8,4.8,28.2,4.86,346.6,97,304.2
2024-12-22 00:00:00.000,162.72166666666666,28.47583333333333,10.525,10.987,115.7,4.6,28.2,5.56,336.1,98,304.1
2024-12-27 00:00:00.000,162.615,28.650555555555552,10.46,10.992,120.5,4.4,28.2,6.36,328.0,99,304.0
2025-01-01 00:00:00.000,162.4658333333333,28.834722222222222,10.398,10.996,125.3,4.2,28.1,7.2,321.6,99,303.9
2025-01-06 00:00:00.000,162.27541666666664,29.02611111111111,10.342,11.001,130.1,3.9,28.1,8.03,316.5,99,303.8
2025-01-11 00:00:00.000,162.04541666666665,29.222499999999997,10.29,11.006,134.9,3.6,28.1,8.83,312.3,100,303.7
2025-04-01 00:00:00.000,155.84249999999997,31.209444444444443,10.388,11.076,131.6,3.9,28.1,8.43,266.5,95,301.2
2025-04-06 00:00:00.000,155.53041666666667,31.181944444444447,10.45,11.08,126.9,4.1,28.2,7.67,261.5,94,301.1
2025-04-11 00:00:00.000,155.2520833333333,31.134166666666665,10.516,11.084,122.3,4.4,28.2,6.91,255.6,93,301.1
2025-04-16 00:00:00.000,155.00958333333332,31.06722222222222,10.587,11.088,117.6,4.6,28.2,6.19,248.3,93,301.1
2025-04-21 00:00:00.000,154.8045833333333,30.981944444444444,10.661,11.092,113.0,4.8,28.3,5.54,239.3,92,301.1
2025-04-26 00:00:00.000,154.63916666666665,30.879166666666666,10.738,11.096,108.3,4.9,28.3,5.02,228.3,91,301.2
2025-05-01 00:00:00.000,154.51375,30.759722222222223,10.818,11.1,103.7,5.1,28.3,4.68,215.3,91,301.2
2025-05-06 00:00:00.000,154.4295833333333,30.625,10.899,11.104,99.1,5.1,28.3,4.57,201.2,90,301.3
2025-05-11 00:00:00.000,154.38583333333332,30.476388888888888,10.981,11.107,94.6,5.2,28.3,4.7,187.4,89,301.4
2025-05-16 00:00:00.000,154.38208333333333,30.315,11.064,11.111,90.0,5.2,28.4,5.04,175.1,89,301.5
2025-05-21 00:00:00.000,154.41833333333332,30.141944444444444,11.147,11.115,85.6,5.2,28.4,5.55,164.9,89,301.6
2025-11-27 00:00:00.000,167.89624999999998,24.425833333333333,11.259,11.228,85.7,5.0,28.4,4.76,66.2,105,306.5
2025-12-02 00:00:00.000,168.03749999999997,24.498333333333335,11.179,11.231,90.5,5.0,28.4,4.14,54.1,106,306.5
2025-12-07 00:00:00.000,168.1420833333333,24.587777777777777,11.1,11.233,95.2,5.0,28.4,3.74,38.5,107,306.5
2025-12-12 00:00:00.000,168.20791666666665,24.693333333333335,11.021,11.235,100.0,5.0,28.4,3.63,20.4,108,306.4
2025-12-17 00:00:00.000,168.2345833333333,24.81416666666667,10.944,11.237,104.9,4.9,28.3,3.86,2.7,109,306.4
2025-12-22 00:00:00.000,168.22124999999997,24.95,10.869,11.239,109.8,4.7,28.3,4.37,347.9,109,306.3
2025-12-27 00:00:00.000,168.1670833333333,25.098888888888887,10.796,11.241,114.6,4.6,28.3,5.07,336.5,110,306.2
2026-01-01 00:00:00.000,168.0725,25.259444444444444,10.726,11.243,119.5,4.4,28.3,5.87,328.1,111,306.1
2026-01-06 00:00:00.000,167.93833333333333,25.43,10.661,11.245,124.4,4.1,28.2,6.71,321.6,111,306.0
2026-01-11 00:00:00.000,167.76541666666662,25.609166666666667,10.599,11.247,129.2,3.9,28.2,7.56,316.5,112,305.9
2026-01-16 00:00:00.000,167.55416666666665,25.794722222222223,10.543,11.249,134.1,3.6,28.2,8.38,312.3,112,305.8
2026-04-06 00:00:00.000,161.67708333333334,27.83861111111111,10.564,11.275,133.4,3.7,28.2,8.52,269.6,107,304.0
2026-04-11 00:00:00.000,161.36999999999998,27.826666666666668,10.622,11.276,128.8,4.0,28.2,7.78,265.1,106,303.9
2026-04-16 00:00:00.000,161.09374999999997,27.794722222222223,10.685,11.278,124.1,4.2,28.3,7.02,259.8,105,303.9
2026-04-21 00:00:00.000,160.85041666666666,27.74361111111111,10.752,11.279,119.4,4.5,28.3,6.27,253.1,104,304.0
2026-04-26 00:00:00.000,160.64249999999996,27.67388888888889,10.823,11.28,114.7,4.6,28.3,5.57,244.9,103,304.0
2026-05-01 00:00:00.000,160.4708333333333,27.586388888888887,10.896,11.281,110.0,4.8,28.3,4.98,234.7,103,304.0
2026-05-06 00:00:00.000,160.33666666666667,27.481944444444444,10.973,11.282,105.4,4.9,28.4,4.55,222.3,102,304.1
2026-05-11 00:00:00.000,160.24041666666665,27.362222222222222,11.051,11.283,100.8,5.0,28.4,4.34,208.2,101,304.2
2026-05-16 00:00:00.000,160.18291666666664,27.22722222222222,11.131,11.284,96.2,5.1,28.4,4.38,193.6,101,304.2
2026-05-21 00:00:00.000,160.1633333333333,27.078888888888887,11.211,11.285,91.6,5.1,28.4,4.65,180.0,100,304.3
2026-05-26 00:00:00.000,160.18249999999998,26.91777777777778,11.292,11.286,87.1,5.1,28.4,5.11,168.6,100,304.4
2026-12-07 00:00:00.000,173.11624999999998,21.084444444444443,11.263,11.295,89.4,5.0,28.4,4.0,60.3,120,308.1
2026-12-12 00:00:00.000,173.22208333333333,21.15888888888889,11.18,11.295,94.2,5.0,28.4,3.49,44.5,121,308.1
2026-12-17 00:00:00.000,173.29083333333332,21.25027777777778,11.098,11.294,99.0,4.9,28.4,3.28,25.1,122,308.0
2026-12-22 00:00:00.000,173.32166666666666,21.356944444444444,11.017,11.294,103.9,4.9,28.4,3.45,5.4,123,308.0
2026-12-27 00:00:00.000,173.31375,21.47861111111111,10.938,11.293,108.8,4.7,28.3,3.93,348.9,124,307.9
2027-01-01 00:00:00.000,173.26749999999998,21.61388888888889,10.861,11.292,113.7,4.6,28.3,4.64,336.5,125,307.9
2027-01-06 00:00:00.000,173.18166666666664,21.761944444444445,10.787,11.292,118.7,4.4,28.3,5.47,327.5,126,307.8
2027-01-11 00:00:00.000,173.05666666666664,21.921111111111113,10.717,11.291,123.6,4.2,28.3,6.34,320.9,126,307.7
2027-01-16 00:00:00.000,172.89416666666665,22.089444444444442,10.652,11.29,128.5,3.9,28.2,7.22,315.7,127,307.6
2027-01-21 00:00:00.000,172.69458333333333,22.265,10.591,11.289,133.4,3.6,28.2,8.06,311.6,128,307.5
2027-04-16 00:00:00.000,166.70291666666665,24.351111111111113,10.594,11.27,130.4,3.9,28.2,7.94,267.9,120,306.2
2027-04-21 00:00:00.000,166.42749999999998,24.331944444444446,10.653,11.268,125.7,4.2,28.3,7.17,263.0,119,306.3
2027-04-26 00:00:00.000,166.1833333333333,24.29361111111111,10.717,11.267,120.9,4.4,28.3,6.4,257.1,118,306.3
2027-05-01 00:00:00.000,165.97208333333333,24.236666666666668,10.784,11.265,116.2,4.6,28.3,5.67,249.5,118,306.3
2027-05-06 00:00:00.000,165.79583333333332,24.161666666666665,10.855,11.264,111.5,4.8,28.3,5.01,239.9,117,306.4
2027-05-11 00:00:00.000,165.65541666666664,24.069444444444443,10.928,11.262,106.8,4.9,28.3,4.5,227.9,116,306.5
2027-05-16 00:00:00.000,165.5520833333333,23.961111111111112,11.004,11.261,102.2,5.0,28.4,4.19,213.7,115,306.5
2027-05-21 00:00:00.000,165.48583333333335,23.83722222222222,11.081,11.259,97.6,5.1,28.4,4.14,198.5,114,306.6
2027-05-26 00:00:00.000,165.45666666666665,23.699444444444445,11.159,11.257,93.0,5.2,28.4,4.35,183.9,114,306.7
2027-05-31 00:00:00.000,165.46375,23.548055555555557,11.237,11.255,88.5,5.2,28.4,4.78,171.5,113,306.8
