Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,218.87791666666664,26.563333333333333,12.291,12.563,103.2,4.5,29.5,9.75,228.9,1357,59.5
2023-07-06 00:00:00.000,218.62166666666664,26.341666666666665,12.37,12.579,99.5,4.6,29.6,9.41,223.1,1359,59.3
2023-07-11 00:00:00.000,218.40041666666664,26.105833333333333,12.451,12.594,95.8,4.6,29.6,9.11,217.0,1360,59.1
2023-07-16 00:00:00.000,218.2145833333333,25.857222222222223,12.533,12.609,92.0,4.6,29.6,8.87,210.7,1360,58.9
2023-07-21 00:00:00.000,218.0645833333333,25.598055555555554,12.615,12.625,88.3,4.6,29.6,8.69,204.2,1361,58.7
2024-01-22 00:00:00.000,225.2270833333333,20.889444444444443,13.196,13.174,86.6,4.3,29.8,5.35,19.1,1328,52.8
2024-01-27 00:00:00.000,225.2733333333333,21.064722222222223,13.139,13.188,90.7,4.3,29.8,5.52,8.8,1332,53.0
2024-02-01 00:00:00.000,225.28708333333333,21.252777777777776,13.083,13.202,94.8,4.3,29.8,5.82,359.0,1337,53.1
2024-02-06 00:00:00.000,225.26624999999999,21.452222222222222,13.027,13.216,98.9,4.2,29.8,6.23,350.2,1342,53.3
2024-02-11 00:00:00.000,225.21041666666665,21.66111111111111,12.972,13.23,103.1,4.2,29.7,6.72,342.2,1348,53.5
2024-02-16 00:00:00.000,225.11916666666664,21.87777777777778,12.92,13.244,107.1,4.1,29.7,7.26,335.3,1354,53.8
2024-02-21 00:00:00.000,224.99249999999998,22.1,12.87,13.259,111.1,4.0,29.7,7.84,329.2,1361,54.0
2024-02-26 00:00:00.000,224.83041666666662,22.325833333333332,12.823,13.273,115.1,3.9,29.7,8.43,323.8,1368,54.3
2024-03-02 00:00:00.000,224.63374999999996,22.552777777777777,12.779,13.287,118.9,3.7,29.7,9.02,319.0,1376,54.5
2024-03-07 00:00:00.000,224.4029166666666,22.778888888888886,12.739,13.301,122.6,3.6,29.7,9.61,314.6,1384,54.8
2024-03-12 00:00:00.000,224.1395833333333,23.001666666666665,12.704,13.315,126.2,3.5,29.7,10.17,310.6,1392,55.1
2024-03-17 00:00:00.000,223.84458333333328,23.218888888888888,12.674,13.328,129.5,3.3,29.7,10.68,306.9,1401,55.4
2024-03-22 00:00:00.000,223.52083333333331,23.42777777777778,12.648,13.342,132.6,3.2,29.7,11.13,303.4,1410,55.7
2024-05-16 00:00:00.000,218.8808333333333,24.655277777777776,12.769,13.493,134.2,3.1,29.7,11.82,269.2,1511,57.7
2024-05-21 00:00:00.000,218.45333333333332,24.638055555555557,12.817,13.507,131.3,3.2,29.7,11.5,265.7,1519,57.8
2024-05-26 00:00:00.000,218.04041666666663,24.597777777777775,12.87,13.52,128.3,3.4,29.7,11.14,262.0,1525,57.8
2024-05-31 00:00:00.000,217.64541666666662,24.53527777777778,12.927,13.534,125.0,3.5,29.8,10.75,258.2,1531,57.8
2024-06-05 00:00:00.000,217.27041666666662,24.45111111111111,12.99,13.547,121.5,3.7,29.8,10.34,254.0,1536,57.8
2024-06-10 00:00:00.000,216.9183333333333,24.34611111111111,13.056,13.561,117.9,3.8,29.8,9.9,249.6,1541,57.7
2024-06-15 00:00:00.000,216.59208333333333,24.22111111111111,13.126,13.574,114.2,3.9,29.8,9.47,244.8,1545,57.6
2024-06-20 00:00:00.000,216.29249999999996,24.078055555555554,13.2,13.587,110.4,4.0,29.8,9.05,239.7,1548,57.5
2024-06-25 00:00:00.000,216.02166666666665,23.9175,13.276,13.601,106.5,4.1,29.9,8.65,234.3,1550,57.4
2024-06-30 00:00:00.000,215.7808333333333,23.74138888888889,13.355,13.614,102.7,4.2,29.9,8.29,228.4,1552,57.3
2024-07-05 00:00:00.000,215.57041666666666,23.551111111111112,13.436,13.627,98.8,4.2,29.9,7.97,222.1,1553,57.2
2024-07-10 00:00:00.000,215.3920833333333,23.347777777777775,13.517,13.641,94.8,4.3,29.9,7.71,215.5,1554,57.0
2024-07-15 00:00:00.000,215.24541666666664,23.133055555555558,13.6,13.654,90.9,4.3,29.9,7.51,208.7,1553,56.8
2024-07-20 00:00:00.000,215.1308333333333,22.909166666666664,13.683,13.667,87.0,4.3,29.9,7.37,201.7,1553,56.7
2025-01-21 00:00:00.000,221.86416666666662,18.73611111111111,14.127,14.135,88.5,4.0,30.1,4.61,15.4,1522,50.9
2025-01-26 00:00:00.000,221.89249999999996,18.890555555555554,14.065,14.147,92.8,4.0,30.1,4.83,4.3,1527,51.0
2025-01-31 00:00:00.000,221.8895833333333,19.05666666666667,14.004,14.159,97.1,4.0,30.1,5.16,354.1,1533,51.2
