Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2024-01-07 00:00:00.000,192.10208333333333,-22.699444444444445,8.836,8.819,85.8,6.4,22.9,7.43,150.1,2,289.3
2024-01-12 00:00:00.000,192.2120833333333,-22.90583333333333,8.77,8.835,90.6,6.4,22.9,6.4,158.2,2,289.4
2024-01-17 00:00:00.000,192.27416666666664,-23.095,8.705,8.85,95.3,6.4,22.9,5.49,169.1,2,289.5
2024-01-22 00:00:00.000,192.28749999999997,-23.265,8.64,8.866,100.1,6.3,22.8,4.82,183.5,2,289.7
2024-01-27 00:00:00.000,192.25291666666664,-23.415,8.577,8.881,104.9,6.1,22.8,4.49,201.1,2,289.9
2024-02-01 00:00:00.000,192.17,-23.54361111111111,8.515,8.897,109.8,6.0,22.8,4.58,219.7,2,290.0
2024-02-06 00:00:00.000,192.04041666666666,-23.649722222222223,8.456,8.912,114.6,5.8,22.8,5.07,236.0,2,290.2
2024-02-11 00:00:00.000,191.86458333333331,-23.731944444444444,8.4,8.928,119.5,5.5,22.8,5.82,248.9,2,290.5
2024-02-16 00:00:00.000,191.64541666666665,-23.789722222222224,8.348,8.943,124.4,5.2,22.7,6.73,258.4,2,290.7
2024-02-21 00:00:00.000,191.3858333333333,-23.821944444444444,8.3,8.959,129.2,4.9,22.7,7.68,265.6,2,290.9
2024-02-26 00:00:00.000,191.08874999999995,-23.828611111111112,8.258,8.974,134.0,4.5,22.7,8.63,271.2,2,291.1
2024-05-21 00:00:00.000,185.10541666666666,-21.076666666666668,8.54,9.233,130.8,4.8,22.8,7.65,324.9,2,293.0
2024-05-26 00:00:00.000,184.96916666666664,-20.873055555555556,8.614,9.248,126.2,5.1,22.9,6.77,331.6,2,292.9
2024-05-31 00:00:00.000,184.87583333333333,-20.68027777777778,8.692,9.263,121.6,5.4,22.9,5.95,340.1,2,292.7
2024-06-05 00:00:00.000,184.82541666666665,-20.50027777777778,8.774,9.278,117.0,5.6,22.9,5.25,351.2,2,292.5
2024-06-10 00:00:00.000,184.81874999999997,-20.334999999999997,8.859,9.293,112.4,5.8,23.0,4.75,5.2,2,292.3
2024-06-15 00:00:00.000,184.8558333333333,-20.185555555555556,8.947,9.308,107.8,6.0,23.0,4.54,21.3,2,292.1
2024-06-20 00:00:00.000,184.93541666666664,-20.053055555555556,9.037,9.323,103.3,6.1,23.0,4.67,37.4,1,291.8
2024-06-25 00:00:00.000,185.05666666666664,-19.938333333333333,9.129,9.338,98.8,6.2,23.1,5.1,51.6,1,291.6
2024-06-30 00:00:00.000,185.21874999999997,-19.842222222222222,9.222,9.353,94.3,6.2,23.1,5.75,63.1,1,291.3
2024-07-05 00:00:00.000,185.41999999999996,-19.764722222222222,9.315,9.368,89.9,6.2,23.1,6.55,71.9,1,291.1
2024-07-10 00:00:00.000,185.65958333333333,-19.706666666666667,9.409,9.383,85.4,6.2,23.1,7.43,78.7,1,290.8
2025-01-21 00:00:00.000,203.11041666666665,-26.366111111111113,9.905,9.947,89.6,5.7,23.4,5.31,155.0,2,285.4
2025-01-26 00:00:00.000,203.17166666666665,-26.519166666666667,9.837,9.962,94.4,5.7,23.3,4.48,166.5,2,285.5
2025-01-31 00:00:00.000,203.1883333333333,-26.656388888888888,9.77,9.976,99.3,5.6,23.3,3.87,182.4,2,285.6
2025-02-05 00:00:00.000,203.15958333333333,-26.776666666666667,9.704,9.99,104.1,5.5,23.3,3.61,202.1,2,285.7
2025-02-10 00:00:00.000,203.08666666666664,-26.879166666666666,9.639,10.004,109.0,5.4,23.3,3.77,222.2,2,285.9
2025-02-15 00:00:00.000,202.97041666666667,-26.962777777777777,9.578,10.018,113.8,5.2,23.3,4.29,238.9,2,286.0
2025-02-20 00:00:00.000,202.81208333333333,-27.026666666666667,9.519,10.032,118.7,5.0,23.3,5.05,251.3,2,286.2
2025-02-25 00:00:00.000,202.61333333333332,-27.07027777777778,9.464,10.046,123.6,4.7,23.2,5.92,260.4,2,286.4
2025-03-02 00:00:00.000,202.37624999999997,-27.092499999999998,9.413,10.059,128.5,4.4,23.2,6.83,267.1,2,286.6
2025-03-07 00:00:00.000,202.10375,-27.093333333333334,9.367,10.073,133.3,4.1,23.2,7.72,272.2,2,286.7
2025-05-31 00:00:00.000,196.33541666666665,-24.628333333333334,9.589,10.306,132.9,4.1,23.3,7.53,319.9,2,288.6
2025-06-05 00:00:00.000,196.17666666666665,-24.44,9.661,10.32,128.3,4.4,23.3,6.72,325.4,2,288.5
2025-06-10 00:00:00.000,196.05624999999998,-24.260277777777777,9.736,10.333,123.7,4.7,23.4,5.92,332.3,2,288.4
2025-06-15 00:00:00.000,195.97583333333333,-24.090833333333332,9.816,10.347,119.0,4.9,23.4,5.19,341.2,2,288.3
2025-06-20 00:00:00.000,195.9345833333333,-23.93305555555556,9.899,10.36,114.4,5.1,23.4,4.58,352.8,2,288.1
2025-06-25 00:00:00.000,195.93374999999997,-23.78805555555556,9.985,10.374,109.8,5.3,23.5,4.17,7.2,2,288.0
2025-06-30 00:00:00.000,195.9725,-23.6575,10.074,10.387,105.2,5.4,23.5,4.04,23.6,2,287.8
2025-07-05 00:00:00.000,196.05124999999998,-23.541944444444447,10.165,10.401,100.7,5.5,23.5,4.21,39.8,2,287.6
2025-07-10 00:00:00.000,196.16833333333332,-23.441944444444445,10.256,10.414,96.1,5.6,23.5,4.65,53.6,2,287.4
2025-07-15 00:00:00.000,196.3225,-23.358055555555556,10.349,10.427,91.6,5.6,23.6,5.27,64.5,2,287.2
2025-07-20 00:00:00.000,196.51333333333332,-23.290555555555557,10.442,10.441,87.2,5.6,23.6,6.01,72.9,2,287.0
2026-01-26 00:00:00.000,212.31416666666667,-28.416944444444447,10.957,10.931,85.9,5.2,23.8,5.08,145.3,3,281.5
2026-01-31 00:00:00.000,212.40291666666664,-28.55027777777778,10.887,10.944,90.7,5.2,23.7,4.22,154.8,3,281.5
2026-02-05 00:00:00.000,212.45041666666665,-28.67138888888889,10.817,10.956,95.6,5.1,23.7,3.51,168.5,3,281.6
2026-02-10 00:00:00.000,212.45583333333332,-28.779166666666665,10.747,10.969,100.4,5.1,23.7,3.05,187.7,3,281.7
2026-02-15 00:00:00.000,212.41958333333332,-28.8725,10.679,10.981,105.3,5.0,23.7,2.99,210.4,3,281.8
2026-02-20 00:00:00.000,212.34124999999997,-28.950555555555553,10.613,10.994,110.2,4.8,23.7,3.34,230.9,3,281.9
2026-02-25 00:00:00.000,212.2220833333333,-29.0125,10.55,11.006,115.1,4.7,23.7,3.99,246.1,3,282.0
2026-03-02 00:00:00.000,212.06374999999997,-29.058055555555555,10.49,11.018,120.0,4.5,23.6,4.78,256.6,3,282.2
2026-03-07 00:00:00.000,211.8683333333333,-29.08611111111111,10.433,11.031,124.9,4.2,23.6,5.63,264.1,3,282.3
2026-03-12 00:00:00.000,211.6375,-29.09638888888889,10.381,11.043,129.7,4.0,23.6,6.49,269.6,3,282.5
2026-03-17 00:00:00.000,211.37375,-29.08888888888889,10.334,11.055,134.6,3.7,23.6,7.33,273.9,3,282.6
2026-06-10 00:00:00.000,205.80666666666664,-26.86861111111111,10.545,11.261,133.0,3.8,23.7,7.06,316.7,3,284.4
2026-06-15 00:00:00.000,205.64291666666665,-26.700555555555553,10.615,11.273,128.3,4.1,23.7,6.3,321.7,3,284.4
2026-06-20 00:00:00.000,205.51541666666662,-26.539722222222224,10.69,11.285,123.7,4.3,23.7,5.54,328.1,3,284.3
2026-06-25 00:00:00.000,205.42499999999998,-26.3875,10.769,11.297,119.0,4.5,23.8,4.82,336.4,3,284.2
2026-06-30 00:00:00.000,205.3720833333333,-26.24527777777778,10.852,11.309,114.4,4.7,23.8,4.21,347.3,3,284.1
2026-07-05 00:00:00.000,205.35666666666665,-26.11416666666667,10.937,11.321,109.7,4.8,23.8,3.77,1.3,3,284.0
2026-07-10 00:00:00.000,205.3783333333333,-25.994722222222222,11.025,11.333,105.1,5.0,23.8,3.57,17.8,3,283.8
2026-07-15 00:00:00.000,205.43749999999997,-25.888055555555557,11.115,11.344,100.5,5.1,23.9,3.66,35.0,3,283.7
2026-07-20 00:00:00.000,205.53374999999997,-25.794722222222223,11.206,11.356,95.9,5.1,23.9,4.03,50.0,3,283.5
2026-07-25 00:00:00.000,205.66541666666663,-25.715555555555554,11.298,11.368,91.4,5.1,23.9,4.59,61.9,3,283.4
2026-07-30 00:00:00.000,205.83249999999998,-25.650555555555552,11.39,11.38,86.9,5.1,23.9,5.27,70.8,3,283.2
2027-02-05 00:00:00.000,220.47374999999997,-29.78777777777778,11.797,11.81,88.4,4.8,24.1,3.98,145.9,3,277.8
2027-02-10 00:00:00.000,220.5395833333333,-29.892222222222223,11.725,11.821,93.2,4.8,24.1,3.21,158.1,3,277.9
2027-02-15 00:00:00.000,220.56541666666664,-29.98611111111111,11.653,11.832,98.1,4.7,24.0,2.65,176.6,3,277.9
2027-02-20 00:00:00.000,220.55166666666662,-30.068055555555556,11.582,11.843,102.9,4.7,24.0,2.45,201.0,3,278.0
2027-02-25 00:00:00.000,220.4983333333333,-30.138055555555557,11.513,11.853,107.8,4.6,24.0,2.68,224.8,3,278.1
2027-03-02 00:00:00.000,220.4058333333333,-30.195,11.446,11.864,112.7,4.4,24.0,3.26,242.6,3,278.2
2027-03-07 00:00:00.000,220.27499999999998,-30.238055555555558,11.382,11.875,117.7,4.2,24.0,4.02,254.4,3,278.3
2027-03-12 00:00:00.000,220.10791666666663,-30.266944444444444,11.321,11.886,122.6,4.0,24.0,4.84,262.4,3,278.4
2027-03-17 00:00:00.000,219.90541666666664,-30.280833333333334,11.265,11.897,127.5,3.8,23.9,5.67,268.0,4,278.6
2027-03-22 00:00:00.000,219.6708333333333,-30.279999999999998,11.213,11.907,132.4,3.5,23.9,6.48,272.3,4,278.7
2027-06-20 00:00:00.000,214.0258333333333,-28.252222222222223,11.398,12.097,131.6,3.6,24.0,6.42,314.5,3,280.5
2027-06-25 00:00:00.000,213.86874999999998,-28.104722222222225,11.47,12.108,126.9,3.8,24.0,5.7,319.4,3,280.5
2027-06-30 00:00:00.000,213.74583333333328,-27.96388888888889,11.545,12.118,122.2,4.1,24.0,4.98,325.8,3,280.4
2027-07-05 00:00:00.000,213.65791666666664,-27.830277777777777,11.625,12.128,117.5,4.3,24.1,4.3,334.4,3,280.4
2027-07-10 00:00:00.000,213.6058333333333,-27.705555555555556,11.707,12.139,112.9,4.4,24.1,3.72,345.9,3,280.3
2027-07-15 00:00:00.000,213.5895833333333,-27.590277777777775,11.793,12.149,108.2,4.6,24.1,3.3,0.8,3,280.2
2027-07-20 00:00:00.000,213.60916666666662,-27.485555555555557,11.881,12.159,103.6,4.7,24.1,3.14,18.5,3,280.1
2027-07-25 00:00:00.000,213.66416666666663,-27.391666666666666,11.97,12.169,98.9,4.7,24.2,3.27,36.2,3,279.9
2027-07-30 00:00:00.000,213.75416666666663,-27.309722222222224,12.061,12.179,94.3,4.8,24.2,3.66,51.4,3,279.8
2027-08-04 00:00:00.000,213.87875,-27.239444444444445,12.152,12.19,89.7,4.8,24.2,4.24,63.1,3,279.7
