Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,354.1125,7.648055555555555,4.547,4.842,100.8,11.9,28.3,6.48,298.6,1969,65.5
2023-07-06 00:00:00.000,353.87791666666664,7.733888888888889,4.473,4.848,105.7,11.6,28.2,8.52,283.9,2028,65.5
2023-07-11 00:00:00.000,353.55541666666664,7.783055555555555,4.401,4.853,110.6,11.3,28.2,10.95,274.7,2086,65.4
2023-07-16 00:00:00.000,353.1433333333333,7.793333333333333,4.331,4.859,115.7,10.9,28.1,13.59,268.7,2144,65.3
2023-07-21 00:00:00.000,352.6416666666666,7.762222222222222,4.265,4.864,120.8,10.3,28.1,16.32,264.5,2198,65.2
2023-07-26 00:00:00.000,352.0516666666666,7.6883333333333335,4.202,4.869,126.0,9.7,28.0,19.05,261.3,2250,65.0
2023-07-31 00:00:00.000,351.37624999999997,7.570277777777777,4.143,4.874,131.3,9.0,28.0,21.72,258.8,2296,64.8
2023-10-19 00:00:00.000,336.5995833333333,1.446388888888889,4.173,4.906,133.0,8.5,28.0,21.93,236.3,1800,61.2
2023-10-24 00:00:00.000,336.03708333333327,1.055,4.236,4.906,127.5,9.3,28.0,19.16,233.9,1722,61.2
2023-10-29 00:00:00.000,335.56791666666663,0.6944444444444444,4.304,4.905,122.1,9.9,28.1,16.34,230.8,1648,61.2
2023-11-03 00:00:00.000,335.1929166666666,0.36666666666666664,4.377,4.904,116.7,10.4,28.2,13.54,226.5,1578,61.3
2023-11-08 00:00:00.000,334.91249999999997,0.07388888888888889,4.452,4.902,111.5,10.8,28.2,10.82,220.4,1513,61.5
2023-11-13 00:00:00.000,334.72541666666666,-0.1825,4.53,4.901,106.3,11.2,28.3,8.3,210.7,1454,61.7
2023-11-18 00:00:00.000,334.6295833333333,-0.4013888888888889,4.611,4.899,101.1,11.4,28.3,6.2,194.3,1401,62.0
2023-11-23 00:00:00.000,334.6220833333333,-0.5827777777777777,4.692,4.896,96.1,11.6,28.4,4.99,167.7,1356,62.3
2023-11-28 00:00:00.000,334.6991666666666,-0.7266666666666667,4.774,4.894,91.1,11.6,28.4,5.15,136.9,1317,62.7
2023-12-03 00:00:00.000,334.85541666666666,-0.8338888888888889,4.856,4.891,86.2,11.6,28.4,6.43,114.5,1285,63.1
2024-06-25 00:00:00.000,0.7954166666666665,10.384722222222221,4.411,4.505,88.7,13.0,28.1,7.31,20.4,4831,66.9
2024-06-30 00:00:00.000,0.84,10.599444444444446,4.314,4.489,93.3,13.1,28.0,6.02,0.6,5000,66.6
2024-07-05 00:00:00.000,0.7979166666666666,10.784444444444444,4.216,4.472,98.0,13.0,28.0,5.7,333.0,5164,66.3
2024-07-10 00:00:00.000,0.6629166666666666,10.936666666666667,4.119,4.455,102.7,12.9,27.9,6.72,307.0,5319,65.9
2024-07-15 00:00:00.000,0.4316666666666666,11.052777777777779,4.024,4.438,107.6,12.6,27.8,8.77,289.4,5464,65.5
2024-07-20 00:00:00.000,0.09999999999999999,11.129722222222222,3.93,4.42,112.5,12.3,27.8,11.4,278.5,5594,65.1
2024-07-25 00:00:00.000,359.6649999999999,11.164166666666667,3.839,4.402,117.5,11.8,27.7,14.35,271.5,5705,64.6
2024-07-30 00:00:00.000,359.1241666666666,11.152777777777779,3.751,4.383,122.7,11.2,27.6,17.53,266.5,5793,64.0
