Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-11-23 00:00:00.000,155.18,12.5775,13.171,13.168,87.7,4.3,25.5,2.91,97.8,19,286.3
2023-11-28 00:00:00.000,155.26291666666665,12.570277777777777,13.105,13.187,92.6,4.3,25.5,1.99,91.1,19,286.3
2023-12-03 00:00:00.000,155.31541666666664,12.575,13.039,13.206,97.7,4.2,25.5,1.12,73.6,19,286.3
2023-12-08 00:00:00.000,155.33666666666664,12.59138888888889,12.974,13.226,102.7,4.2,25.4,0.69,13.2,19,286.3
2023-12-13 00:00:00.000,155.32625,12.619722222222222,12.911,13.245,107.8,4.1,25.4,1.28,323.4,19,286.2
2023-12-18 00:00:00.000,155.2845833333333,12.659722222222223,12.85,13.264,112.9,3.9,25.4,2.16,309.4,19,286.2
2023-12-23 00:00:00.000,155.21249999999998,12.71111111111111,12.792,13.283,118.1,3.7,25.4,3.07,303.7,19,286.2
2023-12-28 00:00:00.000,155.11041666666665,12.773055555555556,12.737,13.303,123.3,3.5,25.4,3.96,300.6,19,286.1
2024-01-02 00:00:00.000,154.9795833333333,12.845277777777778,12.687,13.322,128.5,3.3,25.4,4.82,298.6,20,286.1
2024-01-07 00:00:00.000,154.82166666666663,12.926944444444445,12.641,13.341,133.8,3.0,25.3,5.63,297.3,20,286.0
2024-04-06 00:00:00.000,150.37083333333334,14.718333333333334,13.009,13.685,130.9,3.2,25.5,4.83,289.0,18,284.4
2024-04-11 00:00:00.000,150.22666666666663,14.765555555555556,13.093,13.704,125.8,3.4,25.5,4.01,288.3,18,284.4
2024-04-16 00:00:00.000,150.10875,14.802222222222223,13.181,13.723,120.8,3.6,25.5,3.15,287.4,18,284.3
2024-04-21 00:00:00.000,150.01916666666665,14.828333333333333,13.274,13.742,115.9,3.8,25.6,2.28,285.8,18,284.3
2024-04-26 00:00:00.000,149.95791666666665,14.84388888888889,13.369,13.761,110.9,3.9,25.6,1.4,282.5,18,284.3
2024-05-01 00:00:00.000,149.92499999999998,14.848611111111111,13.467,13.78,106.1,4.0,25.6,0.53,268.5,18,284.3
2024-05-06 00:00:00.000,149.92125,14.842777777777778,13.567,13.799,101.2,4.1,25.6,0.46,136.3,18,284.3
2024-05-11 00:00:00.000,149.94666666666666,14.826666666666666,13.668,13.818,96.4,4.2,25.7,1.32,119.1,18,284.3
2024-05-16 00:00:00.000,150.0008333333333,14.800277777777778,13.771,13.837,91.6,4.2,25.7,2.2,115.5,17,284.3
2024-05-21 00:00:00.000,150.08333333333331,14.76361111111111,13.873,13.855,86.9,4.2,25.7,3.05,114.0,17,284.4
2024-11-27 00:00:00.000,160.70916666666665,11.045833333333333,14.587,14.567,86.9,3.9,25.9,2.6,97.0,21,287.4
2024-12-02 00:00:00.000,160.78291666666667,11.040833333333333,14.52,14.585,91.9,3.9,25.9,1.77,89.3,21,287.4
