Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,2.9291666666666663,-4.946944444444445,1.664,2.065,97.9,29.2,23.3,13.39,111.9,0,68.9
2023-07-06 00:00:00.000,3.2499999999999996,-5.156388888888889,1.644,2.111,102.4,28.1,23.2,10.13,138.5,0,68.0
2023-07-11 00:00:00.000,3.3762499999999998,-5.453055555555555,1.625,2.156,107.1,26.8,23.2,10.24,175.6,0,67.1
2023-07-16 00:00:00.000,3.300833333333333,-5.837222222222222,1.607,2.2,112.1,25.3,23.2,13.88,202.4,0,66.3
2023-07-21 00:00:00.000,3.0204166666666667,-6.3069444444444445,1.59,2.244,117.2,23.7,23.2,19.14,216.7,0,65.7
2023-07-26 00:00:00.000,2.5337499999999995,-6.858055555555556,1.575,2.288,122.6,22.0,23.1,24.9,224.7,0,65.2
2023-07-31 00:00:00.000,1.8458333333333332,-7.483055555555556,1.563,2.331,128.1,20.0,23.1,30.62,229.8,0,64.9
2023-08-05 00:00:00.000,0.9641666666666666,-8.171944444444444,1.554,2.373,133.9,17.9,23.1,36.07,233.4,0,64.6
2023-10-19 00:00:00.000,342.4729166666666,-15.884166666666665,2.183,2.947,132.3,14.5,24.2,13.52,272.6,0,69.7
2023-10-24 00:00:00.000,342.08624999999995,-15.830833333333333,2.274,2.981,127.1,15.4,24.3,9.21,286.2,0,69.9
2023-10-29 00:00:00.000,341.85749999999996,-15.715277777777777,2.369,3.015,122.0,16.2,24.4,6.18,314.4,0,70.1
2023-11-03 00:00:00.000,341.7775,-15.544444444444444,2.467,3.049,117.1,16.8,24.6,5.91,357.6,0,70.3
2023-11-08 00:00:00.000,341.8375,-15.323611111111111,2.567,3.082,112.3,17.3,24.7,8.19,26.6,0,70.4
2023-11-13 00:00:00.000,342.0283333333333,-15.057777777777778,2.67,3.115,107.6,17.6,24.8,11.3,40.4,0,70.4
2023-11-18 00:00:00.000,342.34,-14.751111111111111,2.774,3.147,103.0,17.8,24.9,14.49,47.6,0,70.5
2023-11-23 00:00:00.000,342.7629166666666,-14.408611111111112,2.88,3.179,98.5,17.9,25.0,17.51,52.0,0,70.5
2023-11-28 00:00:00.000,343.28583333333324,-14.033888888888889,2.986,3.211,94.1,17.9,25.1,20.29,54.8,0,70.5
2023-12-03 00:00:00.000,343.9,-13.630555555555556,3.093,3.242,89.7,17.7,25.2,22.85,56.9,0,70.4
