Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,210.53166666666664,-6.066111111111111,2.15,2.698,111.8,20.5,26.1,11.34,213.0,12296,301.4
2023-07-06 00:00:00.000,210.41,-6.396666666666667,2.269,2.745,107.1,20.7,26.2,10.37,186.7,11473,301.0
2023-07-11 00:00:00.000,210.44458333333333,-6.751666666666667,2.389,2.792,102.5,20.8,26.4,11.44,163.8,10697,300.7
2023-07-16 00:00:00.000,210.61874999999998,-7.1274999999999995,2.511,2.838,98.0,20.8,26.5,13.56,148.5,9972,300.5
2023-07-21 00:00:00.000,210.91583333333332,-7.521388888888889,2.633,2.882,93.7,20.6,26.6,16.0,138.8,9296,300.3
2023-07-26 00:00:00.000,211.3225,-7.929444444444445,2.754,2.926,89.5,20.3,26.8,18.41,132.5,8668,300.1
2023-07-31 00:00:00.000,211.82583333333332,-8.349444444444446,2.875,2.97,85.3,19.9,26.9,20.65,128.1,8087,300.0
2024-03-02 00:00:00.000,250.86916666666662,-20.853611111111114,4.157,4.264,89.4,13.4,28.2,2.17,113.0,1583,307.5
2024-03-07 00:00:00.000,250.8866666666666,-20.875555555555557,4.092,4.283,94.4,13.4,28.2,1.15,246.1,1634,307.0
2024-03-12 00:00:00.000,250.79249999999996,-20.884444444444444,4.026,4.303,99.5,13.2,28.2,4.25,269.0,1693,306.3
2024-03-17 00:00:00.000,250.58249999999998,-20.880277777777778,3.962,4.322,104.7,12.9,28.1,7.53,272.5,1758,305.7
2024-03-22 00:00:00.000,250.25458333333333,-20.862222222222222,3.899,4.341,109.9,12.5,28.1,10.89,274.0,1830,305.1
2024-03-27 00:00:00.000,249.80708333333328,-20.829722222222223,3.838,4.359,115.3,11.9,28.1,14.28,274.8,1909,304.4
2024-04-01 00:00:00.000,249.23999999999995,-20.78222222222222,3.781,4.377,120.8,11.3,28.0,17.67,275.4,1992,303.8
2024-04-06 00:00:00.000,248.55333333333328,-20.71833333333333,3.727,4.394,126.3,10.6,28.0,21.03,275.9,2081,303.2
2024-04-11 00:00:00.000,247.7504166666666,-20.63722222222222,3.678,4.412,132.0,9.7,27.9,24.27,276.4,2172,302.7
2024-06-30 00:00:00.000,229.55166666666665,-17.830833333333334,3.88,4.638,133.5,9.2,28.1,21.96,280.7,2683,302.4
2024-07-05 00:00:00.000,228.8495833333333,-17.70583333333333,3.954,4.65,128.0,9.9,28.2,18.84,280.4,2629,302.7
2024-07-10 00:00:00.000,228.25499999999997,-17.604722222222225,4.032,4.661,122.7,10.6,28.3,15.67,279.8,2570,302.9
