Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-09-14 00:00:00.000,81.48666666666666,21.378055555555555,7.639,7.679,88.5,7.5,24.5,5.16,98.3,8,89.4
2023-09-19 00:00:00.000,81.64166666666665,21.35138888888889,7.569,7.692,93.3,7.5,24.5,3.63,103.7,8,89.5
2023-09-24 00:00:00.000,81.73916666666666,21.320833333333333,7.5,7.705,98.1,7.4,24.4,2.15,116.7,8,89.6
2023-09-29 00:00:00.000,81.77874999999999,21.286944444444448,7.431,7.718,102.9,7.3,24.4,1.11,164.8,8,89.6
2023-10-04 00:00:00.000,81.75958333333332,21.249722222222225,7.364,7.73,107.9,7.1,24.4,1.79,229.4,9,89.7
2023-10-09 00:00:00.000,81.68124999999999,21.209444444444443,7.3,7.743,112.9,6.8,24.4,3.27,247.3,9,89.7
2023-10-14 00:00:00.000,81.54374999999999,21.16583333333333,7.238,7.755,117.9,6.5,24.3,4.87,253.8,9,89.7
2023-10-19 00:00:00.000,81.34791666666666,21.11916666666667,7.179,7.768,123.1,6.2,24.3,6.45,257.1,9,89.7
2023-10-24 00:00:00.000,81.095,21.06972222222222,7.125,7.78,128.3,5.8,24.3,7.99,259.0,9,89.7
2023-10-29 00:00:00.000,80.78833333333333,21.0175,7.075,7.792,133.5,5.3,24.2,9.45,260.2,9,89.6
2024-01-22 00:00:00.000,72.64749999999998,20.069444444444443,7.296,7.995,132.6,5.2,24.4,8.47,264.4,8,88.1
2024-01-27 00:00:00.000,72.37458333333332,20.04527777777778,7.372,8.006,127.2,5.6,24.4,6.95,264.9,7,88.0
2024-02-01 00:00:00.000,72.15666666666665,20.028333333333332,7.452,8.017,122.0,6.0,24.5,5.38,265.8,7,88.0
2024-02-06 00:00:00.000,71.99499999999999,20.01888888888889,7.537,8.029,116.7,6.3,24.5,3.76,267.4,7,87.9
2024-02-11 00:00:00.000,71.89041666666665,20.016944444444444,7.624,8.04,111.6,6.6,24.5,2.13,271.4,7,87.9
2024-02-16 00:00:00.000,71.84374999999999,20.022222222222222,7.715,8.051,106.5,6.8,24.6,0.57,298.2,7,87.9
2024-02-21 00:00:00.000,71.85458333333332,20.034722222222225,7.807,8.062,101.5,6.9,24.6,1.2,66.6,7,87.9
2024-02-26 00:00:00.000,71.92124999999999,20.05388888888889,7.901,8.073,96.5,7.0,24.6,2.75,75.8,7,87.9
2024-03-02 00:00:00.000,72.04291666666666,20.079444444444444,7.996,8.084,91.6,7.0,24.7,4.27,78.4,7,87.9
2024-03-07 00:00:00.000,72.21791666666665,20.110833333333336,8.091,8.095,86.8,7.0,24.7,5.76,79.7,7,87.9
2024-09-23 00:00:00.000,93.3625,20.619722222222222,8.487,8.494,87.0,6.8,24.9,4.84,105.1,13,274.2
2024-09-28 00:00:00.000,93.50333333333332,20.578055555555554,8.413,8.502,91.7,6.8,24.9,3.48,111.0,13,274.2
2024-10-03 00:00:00.000,93.59291666666665,20.53666666666667,8.339,8.511,96.6,6.7,24.9,2.16,124.7,13,274.3
2024-10-08 00:00:00.000,93.62958333333333,20.496111111111112,8.265,8.52,101.4,6.6,24.8,1.23,166.8,13,274.4
2024-10-13 00:00:00.000,93.61291666666666,20.456666666666667,8.193,8.529,106.4,6.4,24.8,1.69,226.5,13,274.4
2024-10-18 00:00:00.000,93.54249999999999,20.41861111111111,8.123,8.538,111.4,6.2,24.8,2.95,247.7,14,274.4
2024-10-23 00:00:00.000,93.41875,20.381944444444446,8.056,8.546,116.5,6.0,24.8,4.36,255.7,14,274.4
