Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-26 00:00:00.000,32.35458333333333,11.909166666666668,11.89,11.902,88.2,4.9,25.0,3.88,96.8,1808,85.8
2023-07-31 00:00:00.000,32.47,11.888055555555555,11.828,11.923,92.9,4.9,25.0,3.02,105.6,1816,85.8
2023-08-05 00:00:00.000,32.55291666666666,11.855,11.767,11.944,97.6,4.8,25.0,2.28,120.8,1823,85.8
2023-08-10 00:00:00.000,32.603333333333325,11.81,11.707,11.965,102.4,4.7,24.9,1.83,146.8,1830,85.7
2023-08-15 00:00:00.000,32.62083333333332,11.753055555555555,11.648,11.987,107.2,4.6,24.9,1.88,179.0,1838,85.7
2023-08-20 00:00:00.000,32.60583333333333,11.684444444444445,11.591,12.008,112.0,4.5,24.9,2.42,202.5,1845,85.6
2023-08-25 00:00:00.000,32.55833333333333,11.604166666666666,11.537,12.029,116.9,4.3,24.9,3.18,215.9,1852,85.5
2023-08-30 00:00:00.000,32.479166666666664,11.513055555555555,11.487,12.05,121.8,4.1,24.9,4.01,223.7,1858,85.4
2023-09-04 00:00:00.000,32.370416666666664,11.411111111111111,11.44,12.071,126.8,3.8,24.9,4.85,228.6,1865,85.4
2023-09-09 00:00:00.000,32.23208333333333,11.299166666666666,11.397,12.092,131.8,3.6,24.8,5.69,231.9,1871,85.3
2023-12-08 00:00:00.000,27.879166666666666,8.778333333333334,11.773,12.474,133.7,3.3,25.0,5.36,238.3,1865,83.6
2023-12-13 00:00:00.000,27.739583333333332,8.690277777777778,11.859,12.495,128.5,3.5,25.0,4.46,236.6,1858,83.6
2023-12-18 00:00:00.000,27.62875,8.614722222222222,11.95,12.516,123.2,3.8,25.0,3.52,233.8,1851,83.5
2023-12-23 00:00:00.000,27.547916666666666,8.551666666666668,12.045,12.538,118.1,4.0,25.1,2.57,228.8,1843,83.5
2023-12-28 00:00:00.000,27.49833333333333,8.501666666666667,12.143,12.559,112.9,4.1,25.1,1.65,217.5,1835,83.5
2024-01-02 00:00:00.000,27.480416666666663,8.464722222222221,12.245,12.58,107.8,4.3,25.1,0.92,183.7,1826,83.4
2024-01-07 00:00:00.000,27.49458333333333,8.440555555555555,12.348,12.601,102.7,4.4,25.1,1.04,120.6,1817,83.4
2024-01-12 00:00:00.000,27.54083333333333,8.429444444444444,12.454,12.622,97.7,4.4,25.2,1.85,94.5,1808,83.4
2024-01-17 00:00:00.000,27.61875,8.430833333333332,12.56,12.644,92.6,4.5,25.2,2.8,85.3,1799,83.4
2024-01-22 00:00:00.000,27.72833333333333,8.444722222222222,12.667,12.665,87.7,4.5,25.2,3.75,81.0,1790,83.5
2024-07-30 00:00:00.000,40.11249999999999,11.070277777777777,13.507,13.471,85.8,4.3,25.5,3.74,103.6,1710,86.0
2024-08-04 00:00:00.000,40.22166666666666,11.036111111111111,13.445,13.492,90.5,4.3,25.5,3.03,112.8,1717,85.9
2024-08-09 00:00:00.000,40.302083333333336,10.992222222222221,13.383,13.513,95.2,4.3,25.5,2.42,127.1,1724,85.9
2024-08-14 00:00:00.000,40.352916666666665,10.93888888888889,13.322,13.535,100.0,4.2,25.5,2.05,148.6,1730,85.8
2024-08-19 00:00:00.000,40.37458333333333,10.875833333333334,13.262,13.556,104.8,4.1,25.4,2.03,174.2,1737,85.7
2024-08-24 00:00:00.000,40.36708333333333,10.80388888888889,13.205,13.577,109.6,4.0,25.4,2.38,195.9,1744,85.7
2024-08-29 00:00:00.000,40.330416666666665,10.723055555555556,13.149,13.598,114.5,3.9,25.4,2.96,210.6,1750,85.6
2024-09-03 00:00:00.000,40.265,10.633888888888889,13.096,13.619,119.4,3.7,25.4,3.65,219.9,1756,85.5
2024-09-08 00:00:00.000,40.17166666666666,10.536666666666667,13.047,13.64,124.3,3.5,25.4,4.37,226.1,1761,85.4
2024-09-13 00:00:00.000,40.051666666666655,10.431944444444444,13.003,13.662,129.3,3.3,25.4,5.09,230.4,1767,85.3
2024-09-18 00:00:00.000,39.90624999999999,10.320833333333333,12.962,13.683,134.3,3.0,25.4,5.77,233.6,1771,85.2
2024-12-17 00:00:00.000,35.78458333333333,8.281666666666668,13.401,14.063,130.8,3.0,25.5,4.6,247.7,1747,83.7
2024-12-22 00:00:00.000,35.653749999999995,8.22888888888889,13.489,14.084,125.6,3.3,25.5,3.78,247.9,1740,83.7
2024-12-27 00:00:00.000,35.549166666666665,8.186944444444444,13.582,14.106,120.4,3.4,25.5,2.92,248.0,1733,83.6
2025-01-01 00:00:00.000,35.471666666666664,8.15611111111111,13.679,14.127,115.3,3.6,25.6,2.03,248.1,1725,83.6
2025-01-06 00:00:00.000,35.42249999999999,8.136388888888888,13.779,14.148,110.2,3.7,25.6,1.12,247.6,1717,83.6
2025-01-11 00:00:00.000,35.40208333333333,8.127777777777778,13.881,14.169,105.1,3.8,25.6,0.21,240.4,1709,83.6
2025-01-16 00:00:00.000,35.41083333333333,8.129722222222222,13.986,14.19,100.0,3.9,25.6,0.71,72.4,1700,83.6
2025-01-21 00:00:00.000,35.447916666666664,8.141944444444444,14.091,14.211,95.0,4.0,25.7,1.62,71.2,1692,83.6
2025-01-26 00:00:00.000,35.513749999999995,8.164166666666667,14.198,14.232,90.0,4.0,25.7,2.51,71.0,1683,83.7
2025-08-09 00:00:00.000,46.32583333333333,10.237777777777778,15.025,15.051,89.5,3.9,25.9,2.86,119.7,1628,86.0
2025-08-14 00:00:00.000,46.39708333333333,10.186388888888889,14.963,15.072,94.2,3.8,25.9,2.38,134.0,1634,85.9
2025-08-19 00:00:00.000,46.44208333333333,10.127500000000001,14.902,15.093,99.0,3.8,25.9,2.1,153.8,1640,85.9
2025-08-24 00:00:00.000,46.459999999999994,10.060833333333335,14.842,15.114,103.8,3.7,25.9,2.11,176.3,1646,85.8
2025-08-29 00:00:00.000,46.451249999999995,9.986944444444443,14.783,15.135,108.6,3.6,25.9,2.41,195.6,1652,85.7
2025-09-03 00:00:00.000,46.41624999999999,9.90611111111111,14.727,15.156,113.4,3.5,25.9,2.9,209.5,1658,85.6
2025-09-08 00:00:00.000,46.355,9.819166666666666,14.673,15.177,118.3,3.4,25.9,3.47,218.9,1663,85.6
2025-09-13 00:00:00.000,46.26875,9.726111111111111,14.623,15.198,123.2,3.2,25.9,4.09,225.4,1668,85.5
2025-09-18 00:00:00.000,46.15833333333333,9.627777777777778,14.577,15.218,128.1,3.0,25.8,4.72,230.2,1673,85.4
2025-09-23 00:00:00.000,46.024166666666666,9.524444444444445,14.536,15.239,133.1,2.8,25.8,5.33,233.7,1677,85.3
2025-12-22 00:00:00.000,42.12874999999999,7.833055555555555,14.944,15.614,131.6,2.7,25.9,4.51,254.9,1648,83.8
2025-12-27 00:00:00.000,41.993333333333325,7.798611111111111,15.031,15.635,126.4,2.9,26.0,3.78,256.5,1641,83.8
2026-01-01 00:00:00.000,41.881249999999994,7.773888888888889,15.122,15.656,121.3,3.1,26.0,3.03,258.6,1634,83.8
2026-01-06 00:00:00.000,41.793749999999996,7.7588888888888885,15.218,15.676,116.2,3.2,26.0,2.26,262.1,1626,83.8
2026-01-11 00:00:00.000,41.731249999999996,7.753055555555555,15.317,15.697,111.1,3.4,26.0,1.48,268.9,1619,83.8
2026-01-16 00:00:00.000,41.69458333333333,7.756944444444445,15.418,15.718,106.0,3.4,26.1,0.75,289.6,1611,83.8
