Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,196.99166666666667,-14.989722222222222,8.476,8.756,102.7,6.5,29.9,1.76,0.7,0,302.3
2023-07-06 00:00:00.000,197.01499999999996,-14.94,8.572,8.77,97.9,6.6,29.9,1.79,47.4,0,302.3
2023-07-11 00:00:00.000,197.08249999999995,-14.908611111111112,8.668,8.784,93.3,6.6,30.0,2.68,75.5,0,302.2
2023-07-16 00:00:00.000,197.19291666666663,-14.895277777777777,8.764,8.798,88.6,6.6,30.0,3.83,88.1,0,302.2
2024-01-27 00:00:00.000,212.76999999999998,-21.168055555555558,9.271,9.297,88.5,6.1,30.2,3.68,151.0,0,297.1
2024-02-01 00:00:00.000,212.81041666666664,-21.26833333333333,9.197,9.308,93.4,6.1,30.2,2.83,170.3,0,297.1
2024-02-06 00:00:00.000,212.80374999999998,-21.353611111111114,9.124,9.32,98.4,6.0,30.2,2.48,200.3,1,297.1
2024-02-11 00:00:00.000,212.74874999999997,-21.423333333333336,9.051,9.331,103.5,5.9,30.1,2.88,230.0,1,297.1
2024-02-16 00:00:00.000,212.64583333333331,-21.476666666666667,8.981,9.342,108.6,5.8,30.1,3.79,249.1,1,297.2
2024-02-21 00:00:00.000,212.49499999999998,-21.513055555555557,8.913,9.353,113.7,5.6,30.1,4.92,260.2,1,297.2
2024-02-26 00:00:00.000,212.29833333333332,-21.53222222222222,8.847,9.364,118.8,5.3,30.1,6.14,267.1,1,297.3
2024-03-02 00:00:00.000,212.05666666666664,-21.53388888888889,8.786,9.375,124.0,5.0,30.1,7.36,271.7,1,297.4
2024-03-07 00:00:00.000,211.77166666666665,-21.5175,8.729,9.386,129.1,4.7,30.0,8.57,275.1,1,297.5
2024-03-12 00:00:00.000,211.44624999999996,-21.483055555555556,8.676,9.397,134.3,4.3,30.0,9.71,277.7,1,297.6
2024-06-05 00:00:00.000,204.13374999999996,-19.09,8.837,9.573,134.2,4.4,30.1,9.19,300.0,1,300.1
2024-06-10 00:00:00.000,203.87291666666667,-18.941944444444445,8.908,9.582,129.3,4.7,30.1,8.05,302.1,1,300.2
2024-06-15 00:00:00.000,203.6533333333333,-18.80527777777778,8.983,9.592,124.3,5.0,30.1,6.87,304.8,1,300.3
2024-06-20 00:00:00.000,203.47583333333333,-18.680833333333336,9.062,9.602,119.4,5.3,30.2,5.68,308.5,1,300.3
2024-06-25 00:00:00.000,203.3408333333333,-18.56972222222222,9.144,9.611,114.6,5.5,30.2,4.49,314.0,1,300.4
2024-06-30 00:00:00.000,203.24874999999997,-18.473055555555554,9.23,9.621,109.7,5.7,30.2,3.35,323.2,1,300.4
2024-07-05 00:00:00.000,203.2,-18.391388888888887,9.318,9.63,104.9,5.9,30.3,2.35,340.6,1,300.4
