Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-12-08 00:00:00.000,159.6545833333333,-7.072777777777778,0.791,1.277,91.3,50.4,23.2,125.06,277.0,10723,299.5
2023-12-13 00:00:00.000,155.30083333333332,-6.472777777777778,0.784,1.365,100.4,45.2,23.1,136.93,278.7,9096,303.2
2023-12-18 00:00:00.000,150.57916666666665,-5.677222222222222,0.78,1.448,109.8,39.7,23.1,148.62,280.5,7451,308.4
2023-12-23 00:00:00.000,145.53624999999997,-4.671666666666667,0.782,1.529,119.5,34.1,23.1,158.21,282.1,5820,315.9
2023-12-28 00:00:00.000,140.2770833333333,-3.465555555555556,0.791,1.606,129.3,28.3,23.0,164.0,283.7,4315,328.0
2024-02-21 00:00:00.000,102.88041666666665,10.181388888888888,1.557,2.322,130.3,19.0,25.0,35.57,308.1,3240,89.2
2024-02-26 00:00:00.000,102.08958333333331,10.870833333333334,1.671,2.378,124.7,20.0,25.3,27.11,315.9,3038,270.1
2024-03-02 00:00:00.000,101.58499999999998,11.481388888888889,1.788,2.432,119.4,20.8,25.5,20.46,327.4,2835,270.9
2024-03-07 00:00:00.000,101.32749999999999,12.021944444444445,1.908,2.486,114.2,21.3,25.7,15.82,344.5,2637,271.7
2024-03-12 00:00:00.000,101.28625,12.499722222222221,2.03,2.538,109.3,21.7,25.9,13.55,7.0,2449,272.3
2024-03-17 00:00:00.000,101.43166666666666,12.920277777777777,2.154,2.589,104.5,21.8,26.1,13.59,29.7,2271,273.0
2024-03-22 00:00:00.000,101.73791666666666,13.28888888888889,2.278,2.639,99.9,21.8,26.2,15.13,47.0,2105,273.6
2024-03-27 00:00:00.000,102.18249999999998,13.609444444444444,2.403,2.688,95.4,21.7,26.4,17.29,58.8,1952,274.2
2024-04-01 00:00:00.000,102.74666666666666,13.886666666666667,2.528,2.736,91.1,21.4,26.5,19.59,66.9,1810,274.7
2024-04-06 00:00:00.000,103.41499999999998,14.123611111111112,2.653,2.784,86.8,21.0,26.6,21.83,72.6,1679,275.3
