Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,204.76333333333332,3.2305555555555556,5.362,5.675,102.8,10.1,23.8,17.97,267.3,,
2023-07-06 00:00:00.000,204.20833333333331,3.187222222222222,5.463,5.688,97.6,10.2,23.8,15.41,263.6,,
2023-07-11 00:00:00.000,203.73999999999998,3.1166666666666667,5.565,5.702,92.6,10.3,23.9,13.01,258.9,,
2023-07-16 00:00:00.000,203.35541666666666,3.0208333333333335,5.668,5.716,87.6,10.2,23.9,10.81,252.6,,
2024-01-17 00:00:00.000,209.83833333333328,-1.2163888888888887,6.172,6.213,87.9,9.1,24.2,8.92,311.9,,
2024-01-22 00:00:00.000,209.58041666666662,-1.0027777777777778,6.094,6.226,93.2,9.1,24.2,11.19,307.8,,
2024-01-27 00:00:00.000,209.24791666666664,-0.7591666666666667,6.016,6.239,98.6,9.0,24.2,13.55,304.9,,
2024-02-01 00:00:00.000,208.83916666666664,-0.4855555555555556,5.94,6.252,104.0,8.8,24.1,15.99,302.8,,
2024-02-06 00:00:00.000,208.35124999999996,-0.1825,5.866,6.265,109.6,8.5,24.1,18.47,301.0,,
2024-02-11 00:00:00.000,207.7833333333333,0.14888888888888888,5.794,6.278,115.2,8.2,24.1,20.97,299.6,,
2024-02-16 00:00:00.000,207.13583333333332,0.5072222222222222,5.727,6.291,120.8,7.7,24.0,23.43,298.4,,
2024-02-21 00:00:00.000,206.41,0.8897222222222222,5.665,6.304,126.5,7.2,24.0,25.79,297.3,,
2024-02-26 00:00:00.000,205.6083333333333,1.2941666666666665,5.608,6.317,132.3,6.7,23.9,28.04,296.3,,
2024-05-11 00:00:00.000,189.75041666666664,7.0811111111111105,5.755,6.505,134.7,6.3,24.1,27.41,283.0,,
2024-05-16 00:00:00.000,188.88708333333332,7.269444444444445,5.831,6.518,129.2,6.9,24.1,25.21,281.7,,
2024-05-21 00:00:00.000,188.09249999999997,7.422777777777778,5.913,6.53,123.8,7.4,24.2,22.95,280.2,,
2024-05-26 00:00:00.000,187.36916666666662,7.541666666666667,6.0,6.542,118.4,7.8,24.2,20.66,278.5,,
