Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-12-03 00:00:00.000,156.81666666666663,-13.736388888888888,7.812,7.814,86.5,7.2,27.0,9.1,228.7,,
2023-12-08 00:00:00.000,156.55291666666665,-13.927222222222222,7.748,7.834,91.4,7.2,26.9,10.11,237.4,,
2023-12-13 00:00:00.000,156.23125,-14.098055555555556,7.684,7.853,96.3,7.2,26.9,11.3,244.8,,
2023-12-18 00:00:00.000,155.84999999999997,-14.246666666666666,7.622,7.873,101.2,7.0,26.9,12.61,251.1,,
2023-12-23 00:00:00.000,155.4108333333333,-14.370000000000001,7.561,7.892,106.2,6.9,26.9,14.0,256.3,,
2023-12-28 00:00:00.000,154.9145833333333,-14.466666666666667,7.502,7.912,111.2,6.7,26.9,15.43,260.8,,
2024-01-02 00:00:00.000,154.36291666666665,-14.534166666666666,7.447,7.931,116.2,6.4,26.8,16.88,264.7,,
2024-01-07 00:00:00.000,153.75833333333333,-14.570555555555556,7.396,7.95,121.2,6.1,26.8,18.31,268.1,,
2024-01-12 00:00:00.000,153.10375,-14.574444444444444,7.35,7.97,126.2,5.7,26.8,19.68,271.2,,
2024-01-17 00:00:00.000,152.40458333333333,-14.543888888888889,7.309,7.989,131.0,5.3,26.8,20.96,273.9,,
2024-04-01 00:00:00.000,141.14416666666665,-10.621111111111112,7.582,8.269,130.7,5.3,26.9,19.04,305.4,,
2024-04-06 00:00:00.000,140.64541666666665,-10.255555555555556,7.658,8.287,126.1,5.6,27.0,17.65,308.1,,
2024-04-11 00:00:00.000,140.20291666666665,-9.896944444444443,7.739,8.305,121.4,5.9,27.0,16.2,311.0,,
2024-04-16 00:00:00.000,139.81791666666663,-9.54861111111111,7.825,8.323,116.6,6.2,27.0,14.72,314.2,,
2024-04-21 00:00:00.000,139.48958333333331,-9.213055555555554,7.914,8.341,111.9,6.4,27.1,13.26,318.0,,
2024-04-26 00:00:00.000,139.21791666666667,-8.892777777777777,8.007,8.359,107.1,6.6,27.1,11.83,322.3,,
2024-05-01 00:00:00.000,139.00166666666667,-8.589444444444444,8.102,8.377,102.4,6.7,27.2,10.46,327.6,,
2024-05-06 00:00:00.000,138.83916666666667,-8.304722222222223,8.199,8.395,97.8,6.8,27.2,9.18,334.0,,
2024-05-11 00:00:00.000,138.7295833333333,-8.04,8.297,8.412,93.1,6.9,27.2,8.03,341.8,,
2024-05-16 00:00:00.000,138.66999999999996,-7.796388888888889,8.395,8.43,88.5,6.9,27.3,7.06,351.5,,
