Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-08-10 00:00:00.000,50.80249999999999,4.223055555555556,8.954,8.965,87.4,6.5,24.6,9.54,155.9,11,328.2
2023-08-15 00:00:00.000,50.91124999999999,3.925,8.899,8.992,92.0,6.5,24.6,9.54,164.2,11,328.2
2023-08-20 00:00:00.000,50.97583333333333,3.611388888888889,8.846,9.019,96.7,6.4,24.6,9.71,172.5,11,328.2
2023-08-25 00:00:00.000,50.995416666666664,3.2830555555555554,8.793,9.047,101.4,6.3,24.5,10.05,180.5,11,328.2
2023-08-30 00:00:00.000,50.969583333333325,2.941666666666667,8.742,9.074,106.1,6.1,24.5,10.53,187.9,11,328.2
2023-09-04 00:00:00.000,50.89874999999999,2.5877777777777777,8.693,9.102,110.9,5.9,24.5,11.14,194.5,11,328.2
2023-09-09 00:00:00.000,50.782916666666665,2.223055555555556,8.647,9.129,115.7,5.7,24.5,11.84,200.5,11,328.2
2023-09-14 00:00:00.000,50.62291666666666,1.848888888888889,8.604,9.157,120.5,5.4,24.5,12.6,205.7,11,328.2
2023-09-19 00:00:00.000,50.418749999999996,1.4672222222222224,8.566,9.184,125.4,5.1,24.5,13.37,210.3,11,328.3
2023-09-24 00:00:00.000,50.17333333333333,1.08,8.532,9.212,130.2,4.8,24.4,14.14,214.3,11,328.3
2023-09-29 00:00:00.000,49.88833333333332,0.6897222222222222,8.504,9.239,134.9,4.4,24.4,14.86,217.8,11,328.3
2023-12-18 00:00:00.000,43.31374999999999,-4.0905555555555555,9.005,9.678,130.9,4.4,24.7,10.07,246.7,11,328.7
2023-12-23 00:00:00.000,43.02291666666666,-4.211111111111111,9.095,9.706,126.0,4.7,24.7,8.77,248.2,11,328.7
2023-12-28 00:00:00.000,42.769999999999996,-4.308333333333334,9.189,9.733,121.1,5.0,24.7,7.44,249.7,11,328.7
2024-01-02 00:00:00.000,42.55708333333333,-4.383055555555555,9.287,9.761,116.2,5.2,24.8,6.07,251.6,11,328.7
2024-01-07 00:00:00.000,42.38541666666666,-4.436388888888889,9.388,9.788,111.3,5.4,24.8,4.69,254.1,11,328.8
2024-01-12 00:00:00.000,42.25583333333332,-4.469444444444445,9.493,9.816,106.4,5.5,24.9,3.3,257.8,11,328.8
2024-01-17 00:00:00.000,42.16958333333332,-4.483611111111111,9.599,9.843,101.5,5.6,24.9,1.94,265.3,11,328.8
2024-01-22 00:00:00.000,42.12624999999999,-4.480555555555556,9.707,9.87,96.7,5.7,24.9,0.74,296.5,11,328.8
2024-01-27 00:00:00.000,42.12499999999999,-4.461944444444445,9.816,9.898,91.9,5.7,25.0,0.97,37.7,11,328.8
2024-02-01 00:00:00.000,42.16541666666666,-4.429722222222223,9.925,9.925,87.2,5.7,25.0,2.16,57.6,11,328.8
