Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,18.449166666666667,-8.375277777777779,5.111,5.125,85.1,11.4,26.7,13.12,116.5,0,280.6
2023-07-06 00:00:00.000,18.81333333333333,-8.589166666666667,5.04,5.131,89.4,11.4,26.7,12.09,125.3,0,280.6
2023-07-11 00:00:00.000,19.112916666666663,-8.841111111111111,4.968,5.137,93.8,11.4,26.7,11.32,135.9,0,280.5
2023-07-16 00:00:00.000,19.343749999999996,-9.131111111111112,4.897,5.143,98.3,11.3,26.6,10.93,148.1,0,280.5
2023-07-21 00:00:00.000,19.50208333333333,-9.458888888888888,4.826,5.149,102.9,11.1,26.6,11.0,161.0,0,280.4
2023-07-26 00:00:00.000,19.584999999999997,-9.823888888888888,4.758,5.154,107.5,10.8,26.6,11.56,173.4,0,280.5
2023-07-31 00:00:00.000,19.59083333333333,-10.224166666666667,4.691,5.16,112.1,10.5,26.5,12.56,184.6,0,280.5
2023-08-05 00:00:00.000,19.517083333333332,-10.657777777777778,4.627,5.165,116.8,10.1,26.5,13.9,194.0,0,280.5
2023-08-10 00:00:00.000,19.362499999999997,-11.1225,4.567,5.17,121.6,9.6,26.4,15.49,201.8,0,280.6
2023-08-15 00:00:00.000,19.12583333333333,-11.615277777777777,4.51,5.175,126.3,9.1,26.4,17.23,208.3,0,280.7
2023-08-20 00:00:00.000,18.80708333333333,-12.132222222222223,4.457,5.179,131.1,8.5,26.3,19.0,213.7,0,280.8
2023-11-08 00:00:00.000,7.780833333333334,-18.69638888888889,4.521,5.226,131.1,8.2,26.4,16.48,262.1,0,286.2
2023-11-13 00:00:00.000,7.2420833333333325,-18.745555555555555,4.582,5.227,126.1,8.8,26.4,14.29,267.2,0,286.5
2023-11-18 00:00:00.000,6.777916666666666,-18.743333333333336,4.647,5.228,121.2,9.3,26.5,12.1,273.8,0,286.7
2023-11-23 00:00:00.000,6.393333333333333,-18.6925,4.716,5.229,116.3,9.7,26.5,10.03,282.8,0,286.9
2023-11-28 00:00:00.000,6.09,-18.596666666666664,4.789,5.23,111.4,10.1,26.6,8.24,295.3,0,287.1
2023-12-03 00:00:00.000,5.869583333333333,-18.45888888888889,4.864,5.23,106.5,10.4,26.6,6.96,312.9,0,287.2
2023-12-08 00:00:00.000,5.732083333333332,-18.28222222222222,4.941,5.231,101.7,10.6,26.7,6.46,334.9,0,287.2
2023-12-13 00:00:00.000,5.676666666666666,-18.07,5.019,5.231,97.0,10.8,26.7,6.88,356.6,0,287.2
2023-12-18 00:00:00.000,5.702916666666666,-17.825555555555557,5.098,5.231,92.3,10.8,26.7,8.0,13.6,0,287.1
2023-12-23 00:00:00.000,5.807916666666666,-17.552500000000002,5.177,5.231,87.7,10.8,26.8,9.51,25.5,0,287.0
2024-07-20 00:00:00.000,36.90083333333333,-8.531111111111112,5.012,5.047,86.2,11.6,26.7,15.78,123.3,0,274.9
2024-07-25 00:00:00.000,37.314583333333324,-8.83888888888889,4.93,5.039,90.3,11.6,26.6,14.99,130.9,0,274.8
2024-07-30 00:00:00.000,37.66374999999999,-9.185277777777777,4.847,5.03,94.5,11.6,26.6,14.4,139.6,0,274.8
2024-08-04 00:00:00.000,37.94333333333333,-9.570277777777777,4.765,5.021,98.8,11.5,26.5,14.09,149.3,0,274.8
2024-08-09 00:00:00.000,38.14874999999999,-9.992222222222221,4.684,5.012,103.1,11.4,26.5,14.1,159.5,0,274.8
2024-08-14 00:00:00.000,38.276666666666664,-10.45,4.605,5.002,107.4,11.1,26.4,14.48,169.7,0,274.8
2024-08-19 00:00:00.000,38.32374999999999,-10.94111111111111,4.528,4.993,111.8,10.8,26.4,15.21,179.4,0,274.9
2024-08-24 00:00:00.000,38.28666666666666,-11.462777777777777,4.454,4.983,116.2,10.5,26.3,16.25,188.3,0,275.0
2024-08-29 00:00:00.000,38.16291666666666,-12.011944444444444,4.383,4.973,120.6,10.1,26.3,17.56,196.3,0,275.1
2024-09-03 00:00:00.000,37.95041666666666,-12.584444444444445,4.316,4.963,124.9,9.6,26.2,19.03,203.3,0,275.3
2024-09-08 00:00:00.000,37.648333333333326,-13.174999999999999,4.253,4.952,129.2,9.1,26.2,20.59,209.5,0,275.5
2024-09-13 00:00:00.000,37.2575,-13.777222222222223,4.196,4.942,133.4,8.5,26.1,22.15,214.9,0,275.8
2024-11-17 00:00:00.000,27.186666666666664,-19.289444444444445,4.04,4.784,134.4,8.5,25.9,22.13,264.6,0,281.8
2024-11-22 00:00:00.000,26.43875,-19.325277777777778,4.074,4.771,130.1,9.1,26.0,20.27,269.7,0,282.2
2024-11-27 00:00:00.000,25.757916666666663,-19.296111111111113,4.114,4.757,125.6,9.7,26.0,18.33,275.7,0,282.6
2024-12-02 00:00:00.000,25.15291666666666,-19.204444444444444,4.158,4.743,121.1,10.3,26.1,16.4,282.9,0,282.9
2024-12-07 00:00:00.000,24.631666666666664,-19.05388888888889,4.207,4.729,116.5,10.7,26.1,14.57,291.6,0,283.1
2024-12-12 00:00:00.000,24.198749999999997,-18.848333333333333,4.258,4.714,111.9,11.2,26.1,13.0,302.2,0,283.2
2024-12-17 00:00:00.000,23.8575,-18.593055555555555,4.313,4.699,107.3,11.5,26.2,11.84,314.9,0,283.2
2024-12-22 00:00:00.000,23.60958333333333,-18.29277777777778,4.369,4.685,102.7,11.8,26.2,11.22,329.3,0,283.2
2024-12-27 00:00:00.000,23.455,-17.951666666666664,4.427,4.669,98.2,12.0,26.2,11.22,344.2,0,283.1
2025-01-01 00:00:00.000,23.394583333333333,-17.57472222222222,4.486,4.654,93.7,12.2,26.3,11.82,358.0,0,282.9
2025-01-06 00:00:00.000,23.42583333333333,-17.16611111111111,4.545,4.638,89.3,12.2,26.3,12.87,9.9,0,282.6
2025-08-24 00:00:00.000,67.41375,-7.195277777777778,3.56,3.648,86.9,16.1,25.4,27.47,125.1,1,85.1
2025-08-29 00:00:00.000,68.13208333333333,-7.745833333333334,3.466,3.62,90.5,16.2,25.3,26.58,130.5,1,85.1
2025-09-03 00:00:00.000,68.77208333333333,-8.345555555555556,3.374,3.591,94.2,16.3,25.2,25.79,136.5,1,85.2
2025-09-08 00:00:00.000,69.32583333333334,-8.992777777777777,3.281,3.562,97.9,16.3,25.1,25.15,143.2,1,85.3
2025-09-13 00:00:00.000,69.78666666666666,-9.687222222222223,3.19,3.533,101.6,16.2,25.1,24.71,150.5,1,85.5
2025-09-18 00:00:00.000,70.14541666666666,-10.42611111111111,3.101,3.504,105.4,16.1,25.0,24.52,158.5,1,85.7
2025-09-23 00:00:00.000,70.39291666666666,-11.206944444444444,3.013,3.474,109.1,15.8,24.9,24.64,167.0,1,85.9
2025-09-28 00:00:00.000,70.52041666666665,-12.024444444444445,2.928,3.444,112.9,15.6,24.8,25.09,175.6,1,86.2
2025-10-03 00:00:00.000,70.52083333333333,-12.8725,2.846,3.413,116.6,15.2,24.7,25.91,184.2,1,86.6
2025-10-08 00:00:00.000,70.38749999999999,-13.744166666666667,2.767,3.382,120.2,14.8,24.6,27.08,192.6,1,87.0
2025-10-13 00:00:00.000,70.11375,-14.631111111111112,2.692,3.351,123.8,14.3,24.5,28.56,200.6,1,87.5
2025-10-18 00:00:00.000,69.69416666666666,-15.522777777777778,2.621,3.32,127.2,13.8,24.4,30.28,208.2,1,88.0
2025-10-23 00:00:00.000,69.12499999999999,-16.40583333333333,2.555,3.288,130.3,13.3,24.3,32.11,215.2,1,88.7
2025-10-28 00:00:00.000,68.40708333333332,-17.265833333333333,2.494,3.255,133.2,12.9,24.2,33.96,221.9,1,89.4
2025-12-07 00:00:00.000,58.69333333333333,-21.381666666666668,2.216,2.984,133.8,13.8,23.8,38.88,268.2,1,277.3
2025-12-12 00:00:00.000,57.324166666666656,-21.352500000000003,2.208,2.948,130.9,14.6,23.8,37.63,274.5,1,278.2
2025-12-17 00:00:00.000,56.01833333333333,-21.183611111111112,2.206,2.912,127.6,15.5,23.8,36.07,281.4,1,278.9
2025-12-22 00:00:00.000,54.80541666666666,-20.878611111111113,2.208,2.876,124.0,16.5,23.8,34.3,288.9,1,279.5
2025-12-27 00:00:00.000,53.711249999999986,-20.445555555555554,2.214,2.839,120.2,17.4,23.8,32.47,297.2,1,279.9
2026-01-01 00:00:00.000,52.75583333333332,-19.894444444444446,2.224,2.801,116.2,18.4,23.8,30.78,306.2,1,280.1
2026-01-06 00:00:00.000,51.95375,-19.23777777777778,2.238,2.764,112.2,19.2,23.9,29.43,316.0,1,280.0
2026-01-11 00:00:00.000,51.31499999999999,-18.487222222222222,2.254,2.725,108.2,20.1,23.9,28.55,326.5,1,279.6
2026-01-16 00:00:00.000,50.84749999999999,-17.654444444444444,2.272,2.687,104.1,20.8,23.9,28.27,337.4,1,278.9
2026-01-21 00:00:00.000,50.55499999999999,-16.75138888888889,2.291,2.648,100.1,21.5,23.9,28.63,348.2,1,278.0
