Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,231.93249999999998,-5.128333333333333,11.44,12.13,130.9,3.6,21.6,5.41,253.4,1,299.8
2023-07-06 00:00:00.000,231.7720833333333,-5.185277777777778,11.497,12.125,126.2,3.9,21.6,4.78,246.8,1,301.2
2023-07-11 00:00:00.000,231.63916666666663,-5.253611111111111,11.557,12.12,121.5,4.1,21.6,4.18,238.0,1,302.5
2023-07-16 00:00:00.000,231.53541666666666,-5.332777777777777,11.622,12.115,116.8,4.3,21.6,3.67,226.3,1,303.8
2023-07-21 00:00:00.000,231.46208333333328,-5.422777777777778,11.689,12.11,112.2,4.5,21.7,3.33,211.2,1,305.1
2023-07-26 00:00:00.000,231.41999999999996,-5.5225,11.76,12.105,107.5,4.6,21.7,3.24,193.8,1,306.3
2023-07-31 00:00:00.000,231.40999999999997,-5.631944444444445,11.832,12.1,102.9,4.7,21.7,3.42,176.9,1,307.3
2023-08-05 00:00:00.000,231.43249999999998,-5.75,11.907,12.095,98.3,4.8,21.7,3.84,162.6,1,308.2
2023-08-10 00:00:00.000,231.4870833333333,-5.876388888888889,11.982,12.09,93.7,4.8,21.7,4.44,151.6,1,309.0
2023-08-15 00:00:00.000,231.57416666666663,-6.010277777777778,12.057,12.085,89.2,4.8,21.7,5.15,143.3,1,309.5
2024-02-21 00:00:00.000,245.57208333333332,-10.01888888888889,11.93,11.904,86.1,4.8,21.7,5.16,81.4,2,291.2
2024-02-26 00:00:00.000,245.72791666666663,-9.989722222222222,11.843,11.9,90.9,4.8,21.7,4.21,76.6,2,291.0
2024-03-02 00:00:00.000,245.84916666666666,-9.954166666666666,11.755,11.895,95.7,4.8,21.6,3.28,69.3,2,290.7
2024-03-07 00:00:00.000,245.93541666666664,-9.9125,11.669,11.891,100.6,4.7,21.6,2.42,56.7,2,290.5
2024-03-12 00:00:00.000,245.98624999999998,-9.865833333333333,11.583,11.886,105.4,4.6,21.6,1.77,33.2,2,290.3
2024-03-17 00:00:00.000,246.00124999999994,-9.814166666666667,11.5,11.882,110.3,4.5,21.6,1.61,357.1,2,290.1
2024-03-22 00:00:00.000,245.9808333333333,-9.758888888888889,11.419,11.877,115.1,4.4,21.6,2.04,326.9,2,289.9
2024-03-27 00:00:00.000,245.9258333333333,-9.700277777777776,11.342,11.873,120.0,4.2,21.5,2.78,310.1,2,289.8
2024-04-01 00:00:00.000,245.83749999999995,-9.639444444444443,11.268,11.868,124.9,4.0,21.5,3.62,300.8,2,289.7
2024-04-06 00:00:00.000,245.71624999999997,-9.577222222222222,11.198,11.864,129.8,3.7,21.5,4.47,294.9,2,289.7
2024-04-11 00:00:00.000,245.56374999999997,-9.514166666666666,11.133,11.859,134.7,3.4,21.4,5.3,290.9,2,289.7
2024-07-10 00:00:00.000,240.83124999999995,-9.203888888888889,11.08,11.781,131.7,3.7,21.4,5.47,251.4,2,296.0
2024-07-15 00:00:00.000,240.67041666666665,-9.266666666666667,11.138,11.777,126.9,4.0,21.5,4.78,245.0,2,296.6
2024-07-20 00:00:00.000,240.53916666666666,-9.338611111111112,11.199,11.772,122.2,4.2,21.5,4.13,236.2,2,297.2
