Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-21 00:00:00.000,249.02499999999998,-12.700555555555555,13.298,13.985,130.9,3.1,22.5,4.58,250.3,,
2023-07-26 00:00:00.000,248.89041666666662,-12.755,13.365,13.989,126.1,3.4,22.5,3.96,244.3,,
2023-07-31 00:00:00.000,248.78124999999997,-12.815000000000001,13.437,13.992,121.4,3.6,22.6,3.38,236.0,,
2023-08-05 00:00:00.000,248.69916666666663,-12.880833333333333,13.512,13.995,116.6,3.7,22.6,2.86,224.3,,
2023-08-10 00:00:00.000,248.64499999999998,-12.951666666666666,13.59,13.999,111.8,3.9,22.6,2.5,208.0,,
2023-08-15 00:00:00.000,248.61916666666662,-13.027777777777779,13.671,14.002,107.1,4.0,22.6,2.37,187.8,,
2023-08-20 00:00:00.000,248.62291666666664,-13.108333333333333,13.754,14.006,102.4,4.0,22.6,2.54,167.8,,
2023-08-25 00:00:00.000,248.65624999999997,-13.193333333333333,13.839,14.009,97.7,4.1,22.7,2.96,151.8,,
2023-08-30 00:00:00.000,248.71874999999997,-13.282222222222224,13.924,14.013,93.0,4.1,22.7,3.53,140.3,,
2023-09-04 00:00:00.000,248.8108333333333,-13.374444444444444,14.01,14.016,88.3,4.1,22.7,4.19,132.2,,
2024-03-07 00:00:00.000,260.79749999999996,-15.644444444444444,14.194,14.151,85.5,4.0,22.7,3.88,86.0,,
2024-03-12 00:00:00.000,260.91624999999993,-15.634166666666665,14.113,14.155,90.4,4.0,22.7,3.02,83.6,,
2024-03-17 00:00:00.000,261.0045833333333,-15.621944444444445,14.033,14.159,95.2,4.0,22.7,2.15,79.4,,
2024-03-22 00:00:00.000,261.06249999999994,-15.608055555555556,13.953,14.163,100.1,4.0,22.7,1.3,70.3,,
2024-03-27 00:00:00.000,261.0895833333333,-15.592777777777778,13.875,14.166,105.0,3.9,22.7,0.59,36.0,,
2024-04-01 00:00:00.000,261.08624999999995,-15.576666666666666,13.799,14.17,109.9,3.8,22.7,0.73,313.0,,
2024-04-06 00:00:00.000,261.0529166666666,-15.559722222222224,13.725,14.174,114.8,3.7,22.6,1.49,290.0,,
2024-04-11 00:00:00.000,260.98958333333326,-15.542777777777777,13.654,14.178,119.7,3.5,22.6,2.31,282.8,,
2024-04-16 00:00:00.000,260.8979166666666,-15.525833333333335,13.587,14.182,124.7,3.3,22.6,3.1,279.3,,
2024-04-21 00:00:00.000,260.7783333333333,-15.509444444444444,13.524,14.186,129.6,3.1,22.6,3.86,277.1,,
2024-04-26 00:00:00.000,260.6333333333333,-15.494166666666667,13.466,14.189,134.5,2.9,22.6,4.57,275.6,,
2024-07-25 00:00:00.000,256.4045833333333,-15.693333333333333,13.534,14.26,134.2,2.9,22.6,4.81,253.3,,
2024-07-30 00:00:00.000,256.2570833333333,-15.741666666666665,13.599,14.264,129.3,3.2,22.6,4.19,248.9,,
2024-08-04 00:00:00.000,256.1345833333333,-15.793611111111112,13.669,14.268,124.5,3.4,22.6,3.55,242.8,,
2024-08-09 00:00:00.000,256.0383333333333,-15.849722222222223,13.743,14.272,119.7,3.5,22.7,2.94,233.8,,
2024-08-14 00:00:00.000,255.96999999999997,-15.909166666666668,13.821,14.276,114.9,3.7,22.7,2.41,220.3,,
2024-08-19 00:00:00.000,255.93041666666664,-15.972222222222223,13.901,14.28,110.1,3.8,22.7,2.07,200.7,,
2024-08-24 00:00:00.000,255.91958333333332,-16.038611111111113,13.984,14.284,105.3,3.9,22.7,2.03,177.0,,
2024-08-29 00:00:00.000,255.93791666666664,-16.1075,14.069,14.288,100.5,4.0,22.7,2.32,155.6,,
2024-09-03 00:00:00.000,255.98583333333332,-16.179166666666667,14.155,14.292,95.8,4.0,22.7,2.84,140.3,,
2024-09-08 00:00:00.000,256.06374999999997,-16.253055555555555,14.242,14.296,91.0,4.0,22.8,3.49,130.2,,
