Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-12-28 00:00:00.000,190.54416666666665,1.2444444444444445,5.17,5.203,86.5,10.9,25.7,8.71,98.5,,
2024-01-02 00:00:00.000,190.79666666666665,1.2175,5.095,5.211,91.3,10.9,25.6,6.52,92.7,,
2024-01-07 00:00:00.000,190.9770833333333,1.223888888888889,5.02,5.219,96.2,10.8,25.6,4.35,80.9,,
2024-01-12 00:00:00.000,191.08166666666662,1.2638888888888888,4.946,5.226,101.2,10.6,25.6,2.62,49.1,,
2024-01-17 00:00:00.000,191.1083333333333,1.3380555555555556,4.873,5.234,106.3,10.4,25.5,2.77,351.6,,
2024-01-22 00:00:00.000,191.05416666666662,1.446388888888889,4.801,5.241,111.4,10.1,25.5,4.7,323.0,,
2024-01-27 00:00:00.000,190.91916666666665,1.5880555555555558,4.732,5.248,116.6,9.7,25.4,7.09,312.0,,
2024-02-01 00:00:00.000,190.7025,1.7622222222222221,4.667,5.255,121.9,9.2,25.4,9.6,306.5,,
2024-02-06 00:00:00.000,190.40458333333333,1.9680555555555557,4.605,5.262,127.3,8.6,25.3,12.12,303.1,,
2024-02-11 00:00:00.000,190.02624999999995,2.2036111111111114,4.548,5.268,132.8,7.9,25.3,14.58,300.9,,
2024-05-06 00:00:00.000,178.74416666666664,6.769444444444445,4.646,5.353,130.3,8.3,25.4,13.1,281.5,,
2024-05-11 00:00:00.000,178.34999999999997,6.839166666666666,4.712,5.357,125.1,8.9,25.5,10.75,278.4,,
2024-05-16 00:00:00.000,178.03041666666667,6.87388888888889,4.782,5.36,120.0,9.4,25.5,8.41,273.5,,
2024-05-21 00:00:00.000,177.78624999999997,6.874166666666667,4.856,5.363,115.0,9.8,25.6,6.16,265.4,,
2024-05-26 00:00:00.000,177.61791666666667,6.841388888888889,4.933,5.366,110.1,10.2,25.6,4.16,249.4,,
2024-05-31 00:00:00.000,177.52416666666667,6.776666666666666,5.012,5.369,105.3,10.5,25.7,2.94,215.0,,
2024-06-05 00:00:00.000,177.50416666666663,6.681388888888889,5.093,5.371,100.5,10.7,25.7,3.34,171.6,,
2024-06-10 00:00:00.000,177.55624999999998,6.556666666666667,5.175,5.374,95.8,10.8,25.7,4.91,148.0,,
2024-06-15 00:00:00.000,177.6783333333333,6.404444444444445,5.257,5.376,91.3,10.9,25.8,6.8,137.0,,
2024-06-20 00:00:00.000,177.86666666666665,6.226111111111111,5.339,5.378,86.7,10.9,25.8,8.71,131.0,,
2025-01-16 00:00:00.000,206.37416666666664,-6.373333333333333,5.236,5.311,89.0,10.7,25.7,8.03,100.3,,
2025-01-21 00:00:00.000,206.60416666666666,-6.406944444444445,5.148,5.305,93.8,10.7,25.7,5.82,95.7,,
2025-01-26 00:00:00.000,206.76124999999996,-6.411388888888889,5.06,5.3,98.8,10.6,25.7,3.58,85.0,,
2025-01-31 00:00:00.000,206.8420833333333,-6.386111111111112,4.973,5.294,103.8,10.4,25.6,1.74,45.7,,
2025-02-05 00:00:00.000,206.84416666666664,-6.330555555555556,4.887,5.288,108.8,10.2,25.6,2.41,331.7,,
2025-02-10 00:00:00.000,206.76499999999996,-6.244722222222222,4.804,5.282,114.0,9.8,25.5,4.68,310.2,,
2025-02-15 00:00:00.000,206.60416666666666,-6.129166666666666,4.723,5.276,119.2,9.4,25.4,7.18,303.0,,
2025-02-20 00:00:00.000,206.3608333333333,-5.984166666666667,4.646,5.27,124.5,8.9,25.4,9.75,299.4,,
2025-02-25 00:00:00.000,206.03541666666663,-5.810555555555555,4.574,5.263,129.9,8.3,25.3,12.3,297.3,,
2025-05-21 00:00:00.000,194.4883333333333,-1.4941666666666666,4.371,5.125,133.9,8.2,25.2,15.55,283.9,,
2025-05-26 00:00:00.000,194.02124999999998,-1.386388888888889,4.421,5.115,128.7,8.9,25.2,13.18,281.9,,
2025-05-31 00:00:00.000,193.63,-1.3127777777777778,4.475,5.105,123.5,9.5,25.3,10.72,279.1,,
2025-06-05 00:00:00.000,193.31624999999997,-1.273611111111111,4.534,5.095,118.4,10.1,25.3,8.25,274.6,,
2025-06-10 00:00:00.000,193.08208333333332,-1.2686111111111111,4.595,5.085,113.4,10.6,25.4,5.85,266.5,,
2025-06-15 00:00:00.000,192.92666666666665,-1.2969444444444442,4.659,5.074,108.5,10.9,25.4,3.73,248.9,,
2025-06-20 00:00:00.000,192.8495833333333,-1.357777777777778,4.725,5.064,103.7,11.2,25.4,2.57,206.2,,
2025-06-25 00:00:00.000,192.85041666666666,-1.4502777777777778,4.793,5.053,99.0,11.5,25.5,3.45,160.1,,
2025-06-30 00:00:00.000,192.92749999999998,-1.5733333333333333,4.861,5.042,94.4,11.6,25.5,5.37,140.3,,
2025-07-05 00:00:00.000,193.07833333333332,-1.725277777777778,4.93,5.03,89.8,11.7,25.5,7.49,131.6,,
2025-07-10 00:00:00.000,193.29958333333332,-1.9044444444444444,4.999,5.019,85.3,11.6,25.5,9.6,126.9,,
2026-02-05 00:00:00.000,228.35791666666663,-15.497499999999999,4.32,4.358,85.7,13.0,25.0,14.92,104.1,,
2026-02-10 00:00:00.000,228.81999999999996,-15.607777777777777,4.219,4.338,90.3,13.1,24.9,12.55,103.7,,
2026-02-15 00:00:00.000,229.2,-15.695277777777777,4.118,4.317,95.0,13.2,24.9,10.0,103.1,,
2026-02-20 00:00:00.000,229.49249999999998,-15.759166666666667,4.017,4.296,99.7,13.1,24.8,7.28,102.3,,
2026-02-25 00:00:00.000,229.69125,-15.79861111111111,3.918,4.275,104.5,12.9,24.7,4.41,100.7,,
2026-03-02 00:00:00.000,229.79166666666663,-15.813611111111111,3.82,4.254,109.5,12.7,24.6,1.43,93.0,,
2026-03-07 00:00:00.000,229.78874999999996,-15.803611111111111,3.724,4.232,114.5,12.3,24.6,1.75,293.3,,
2026-03-12 00:00:00.000,229.67874999999998,-15.767222222222223,3.631,4.211,119.6,11.8,24.5,4.99,287.3,,
2026-03-17 00:00:00.000,229.45791666666665,-15.704722222222221,3.541,4.189,124.8,11.2,24.4,8.33,285.9,,
2026-03-22 00:00:00.000,229.12375,-15.615277777777777,3.455,4.166,130.1,10.5,24.3,11.71,285.3,,
2026-06-15 00:00:00.000,214.15208333333334,-11.935833333333333,2.99,3.75,132.3,11.6,23.8,19.07,281.3,,
2026-06-20 00:00:00.000,213.57041666666663,-11.830277777777777,3.022,3.723,127.0,12.6,23.8,15.64,279.6,,
2026-06-25 00:00:00.000,213.10291666666663,-11.763333333333334,3.058,3.696,121.8,13.5,23.9,12.1,276.8,,
2026-06-30 00:00:00.000,212.75291666666664,-11.735555555555555,3.098,3.668,116.7,14.3,23.9,8.56,271.6,,
2026-07-05 00:00:00.000,212.5208333333333,-11.747499999999999,3.14,3.641,111.7,15.0,24.0,5.17,259.4,,
2026-07-10 00:00:00.000,212.40666666666664,-11.799166666666666,3.185,3.613,106.8,15.6,24.0,2.69,217.2,,
2026-07-15 00:00:00.000,212.41,-11.889999999999999,3.231,3.584,102.1,16.1,24.0,3.77,151.4,,
2026-07-20 00:00:00.000,212.52874999999997,-12.019166666666667,3.278,3.556,97.5,16.5,24.1,6.79,130.7,,
2026-07-25 00:00:00.000,212.75916666666663,-12.185,3.325,3.527,93.0,16.7,24.1,10.02,123.3,,
2026-07-30 00:00:00.000,213.0983333333333,-12.385277777777777,3.372,3.498,88.6,16.9,24.1,13.19,119.6,,
