Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-11-23 00:00:00.000,153.2870833333333,6.685833333333334,6.208,6.24,87.3,9.1,24.9,8.07,106.1,163,273.4
2023-11-28 00:00:00.000,153.51666666666665,6.622777777777778,6.15,6.264,92.1,9.1,24.9,6.12,104.5,165,273.4
2023-12-03 00:00:00.000,153.68416666666664,6.583888888888889,6.092,6.288,97.0,9.0,24.8,4.13,101.1,168,273.5
2023-12-08 00:00:00.000,153.78833333333333,6.570277777777777,6.035,6.313,101.9,8.8,24.8,2.14,90.5,171,273.5
2023-12-13 00:00:00.000,153.82749999999996,6.583055555555555,5.979,6.337,107.0,8.5,24.8,0.8,14.1,173,273.5
2023-12-18 00:00:00.000,153.80124999999998,6.6225000000000005,5.926,6.362,112.1,8.2,24.8,2.36,312.5,176,273.5
2023-12-23 00:00:00.000,153.71124999999998,6.689166666666667,5.875,6.386,117.3,7.9,24.7,4.36,303.5,178,273.5
2023-12-28 00:00:00.000,153.55791666666664,6.7825,5.827,6.41,122.5,7.4,24.7,6.35,300.3,181,273.5
2024-01-02 00:00:00.000,153.34374999999997,6.902500000000001,5.784,6.434,127.9,6.9,24.7,8.29,298.8,183,273.4
2024-01-07 00:00:00.000,153.0708333333333,7.048611111111111,5.745,6.458,133.2,6.4,24.7,10.15,297.9,185,273.4
2024-04-01 00:00:00.000,145.5770833333333,11.137777777777778,6.148,6.864,132.6,6.1,24.9,8.75,308.5,179,271.0
2024-04-06 00:00:00.000,145.3720833333333,11.309444444444445,6.233,6.888,127.5,6.6,25.0,7.1,313.0,177,270.9
2024-04-11 00:00:00.000,145.22416666666663,11.460277777777778,6.322,6.911,122.4,7.0,25.0,5.47,320.3,175,270.8
2024-04-16 00:00:00.000,145.13458333333332,11.589722222222223,6.416,6.935,117.4,7.4,25.1,3.98,333.6,173,270.8
2024-04-21 00:00:00.000,145.10333333333332,11.698055555555555,6.512,6.958,112.4,7.7,25.1,2.92,358.6,171,270.7
2024-04-26 00:00:00.000,145.1295833333333,11.784722222222221,6.612,6.981,107.5,7.9,25.2,2.79,35.1,170,270.7
2024-05-01 00:00:00.000,145.2120833333333,11.850277777777777,6.713,7.005,102.7,8.1,25.2,3.64,63.0,168,270.6
