Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,354.20875,-9.706666666666665,7.708,8.075,107.7,6.9,22.2,2.01,138.9,1.0,66.7
2023-07-06 00:00:00.000,354.23,-9.766666666666667,7.642,8.084,112.4,6.7,22.2,2.08,181.8,1.0,66.8
2023-07-11 00:00:00.000,354.2045833333333,-9.845277777777778,7.578,8.093,117.2,6.4,22.2,3.0,208.9,1.0,66.8
2023-07-16 00:00:00.000,354.1320833333333,-9.941666666666666,7.518,8.103,122.0,6.1,22.2,4.23,221.8,1.0,66.9
2023-07-21 00:00:00.000,354.01374999999996,-10.055000000000001,7.461,8.112,126.9,5.8,22.1,5.53,228.8,1.0,67.0
2023-07-26 00:00:00.000,353.8504166666666,-10.18388888888889,7.409,8.121,131.8,5.4,22.1,6.81,233.2,1.0,67.1
2023-10-24 00:00:00.000,347.62708333333336,-12.735,7.57,8.284,133.3,5.0,22.2,6.81,262.1,,
2023-10-29 00:00:00.000,347.41749999999996,-12.755555555555556,7.642,8.293,128.2,5.4,22.2,5.52,266.9,,
2023-11-03 00:00:00.000,347.2508333333333,-12.755,7.719,8.302,123.1,5.7,22.3,4.23,274.6,,
2023-11-08 00:00:00.000,347.1295833333333,-12.733055555555556,7.799,8.311,118.0,6.0,22.3,3.03,288.7,,
2023-11-13 00:00:00.000,347.05499999999995,-12.69,7.884,8.32,113.0,6.3,22.3,2.19,317.2,,
2023-11-18 00:00:00.000,347.0283333333333,-12.626111111111111,7.97,8.329,108.0,6.5,22.4,2.23,358.0,,
2023-11-23 00:00:00.000,347.0495833333333,-12.541944444444445,8.06,8.338,103.0,6.6,22.4,3.12,25.2,,
2023-11-28 00:00:00.000,347.11875,-12.438333333333334,8.15,8.347,98.1,6.7,22.4,4.35,38.7,,
2023-12-03 00:00:00.000,347.23499999999996,-12.315833333333334,8.242,8.356,93.2,6.8,22.5,5.68,46.0,,
2023-12-08 00:00:00.000,347.3970833333333,-12.175277777777778,8.334,8.365,88.4,6.8,22.5,7.03,50.5,,
2024-06-25 00:00:00.000,6.791666666666666,-3.6344444444444446,8.678,8.717,88.8,6.7,22.7,5.81,81.6,,
2024-06-30 00:00:00.000,6.963749999999999,-3.615277777777778,8.606,8.725,93.4,6.7,22.6,4.54,86.2,,
2024-07-05 00:00:00.000,7.094166666666665,-3.6144444444444446,8.534,8.734,98.0,6.6,22.6,3.29,94.4,,
2024-07-10 00:00:00.000,7.182499999999999,-3.6322222222222225,8.463,8.742,102.7,6.5,22.6,2.16,111.9,,
2024-07-15 00:00:00.000,7.227916666666666,-3.6680555555555556,8.393,8.751,107.4,6.4,22.6,1.52,151.9,,
2024-07-20 00:00:00.000,7.230416666666666,-3.721388888888889,8.326,8.759,112.1,6.2,22.6,1.95,196.9,,
2024-07-25 00:00:00.000,7.1899999999999995,-3.7919444444444443,8.261,8.768,116.9,5.9,22.5,3.0,217.9,,
2024-07-30 00:00:00.000,7.107499999999999,-3.878888888888889,8.199,8.777,121.8,5.6,22.5,4.22,227.5,,
2024-08-04 00:00:00.000,6.982916666666665,-3.981388888888889,8.141,8.785,126.7,5.3,22.5,5.46,232.8,,
2024-08-09 00:00:00.000,6.817499999999999,-4.098333333333333,8.087,8.794,131.6,4.9,22.4,6.67,236.2,,
2024-11-07 00:00:00.000,0.8845833333333333,-6.508333333333334,8.238,8.945,133.2,4.6,22.5,6.76,260.8,,
2024-11-12 00:00:00.000,0.6795833333333333,-6.534722222222222,8.31,8.953,128.0,5.0,22.5,5.55,264.9,,
2024-11-17 00:00:00.000,0.5141666666666665,-6.541111111111111,8.386,8.961,122.9,5.3,22.6,4.32,271.4,,
2024-11-22 00:00:00.000,0.39,-6.5275,8.467,8.97,117.7,5.6,22.6,3.15,282.9,,
2024-11-27 00:00:00.000,0.3083333333333333,-6.494166666666667,8.551,8.978,112.7,5.8,22.6,2.21,306.0,,
2024-12-02 00:00:00.000,0.27041666666666664,-6.440833333333334,8.638,8.986,107.6,6.0,22.7,1.95,345.9,,
2024-12-07 00:00:00.000,0.27625,-6.368333333333333,8.728,8.994,102.6,6.1,22.7,2.61,18.8,,
2024-12-12 00:00:00.000,0.32624999999999993,-6.276666666666666,8.819,9.003,97.6,6.2,22.7,3.71,35.3,,
2024-12-17 00:00:00.000,0.41999999999999993,-6.166944444444445,8.91,9.011,92.7,6.3,22.8,4.93,43.9,,
2024-12-22 00:00:00.000,0.5558333333333333,-6.04,9.003,9.019,87.8,6.3,22.8,6.19,49.0,,
2025-07-05 00:00:00.000,17.785833333333333,1.696388888888889,9.346,9.328,85.9,6.2,22.9,5.77,79.1,,
2025-07-10 00:00:00.000,17.95583333333333,1.7247222222222223,9.273,9.336,90.4,6.3,22.9,4.58,82.4,,
2025-07-15 00:00:00.000,18.087916666666665,1.7366666666666668,9.199,9.344,95.1,6.2,22.9,3.38,88.1,,
2025-07-20 00:00:00.000,18.180416666666662,1.7322222222222223,9.126,9.351,99.7,6.1,22.9,2.21,99.8,,
2025-07-25 00:00:00.000,18.23333333333333,1.7113888888888888,9.054,9.359,104.4,6.0,22.9,1.3,132.0,,
2025-07-30 00:00:00.000,18.244999999999997,1.6744444444444444,8.984,9.367,109.2,5.9,22.9,1.37,190.8,,
2025-08-04 00:00:00.000,18.21625,1.6219444444444444,8.916,9.374,114.0,5.7,22.8,2.33,219.1,,
2025-08-09 00:00:00.000,18.14708333333333,1.5541666666666667,8.851,9.382,118.8,5.4,22.8,3.49,229.8,,
2025-08-14 00:00:00.000,18.03833333333333,1.4719444444444445,8.789,9.389,123.7,5.1,22.8,4.68,235.2,,
2025-08-19 00:00:00.000,17.891249999999996,1.376111111111111,8.731,9.397,128.7,4.8,22.7,5.86,238.4,,
2025-08-24 00:00:00.000,17.706249999999997,1.2677777777777777,8.678,9.404,133.7,4.5,22.7,6.99,240.6,,
2025-11-22 00:00:00.000,11.932916666666664,-0.9055555555555556,8.862,9.537,130.8,4.5,22.8,6.18,261.3,,
2025-11-27 00:00:00.000,11.747916666666667,-0.9275,8.936,9.545,125.6,4.8,22.8,5.0,265.6,,
2025-12-02 00:00:00.000,11.60125,-0.9313888888888888,9.014,9.552,120.5,5.1,22.9,3.82,272.4,,
2025-12-07 00:00:00.000,11.493749999999999,-0.9166666666666666,9.096,9.559,115.3,5.3,22.9,2.71,285.1,,
2025-12-12 00:00:00.000,11.427083333333332,-0.8841666666666667,9.181,9.566,110.2,5.5,22.9,1.87,312.0,,
2025-12-17 00:00:00.000,11.40125,-0.8333333333333334,9.269,9.573,105.2,5.7,23.0,1.8,355.3,,
2025-12-22 00:00:00.000,11.417083333333332,-0.765,9.359,9.581,100.1,5.8,23.0,2.57,25.4,,
2025-12-27 00:00:00.000,11.474583333333333,-0.6791666666666666,9.449,9.588,95.1,5.9,23.0,3.67,39.6,,
2026-01-01 00:00:00.000,11.572916666666666,-0.5766666666666667,9.541,9.595,90.2,5.9,23.0,4.85,47.0,,
2026-01-06 00:00:00.000,11.710833333333333,-0.45861111111111114,9.632,9.602,85.3,5.9,23.1,6.05,51.4,,
2026-07-20 00:00:00.000,27.739166666666666,6.401666666666667,9.835,9.868,88.9,5.9,23.2,4.39,80.5,,
2026-07-25 00:00:00.000,27.865416666666665,6.418333333333334,9.759,9.874,93.5,5.9,23.1,3.23,84.9,,
2026-07-30 00:00:00.000,27.954166666666662,6.420833333333333,9.684,9.881,98.2,5.8,23.1,2.08,93.9,,
2026-08-04 00:00:00.000,28.00458333333333,6.408888888888889,9.61,9.887,102.9,5.7,23.1,1.08,121.8,,
2026-08-09 00:00:00.000,28.01583333333333,6.382777777777777,9.538,9.893,107.7,5.6,23.1,1.03,194.0,,
