Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-10-29 00:00:00.000,130.76916666666665,20.86416666666667,3.432,3.528,87.3,16.3,23.6,17.0,93.6
2023-11-03 00:00:00.000,131.31958333333333,20.843055555555555,3.381,3.553,91.8,16.2,23.7,13.87,90.8
2023-11-08 00:00:00.000,131.75708333333333,20.852777777777778,3.329,3.579,96.4,16.0,23.7,10.64,85.8
2023-11-13 00:00:00.000,132.07541666666668,20.895,3.278,3.604,101.2,15.6,23.7,7.43,76.1
2023-11-18 00:00:00.000,132.26999999999998,20.971666666666664,3.228,3.628,106.0,15.2,23.7,4.64,52.6
2023-11-23 00:00:00.000,132.33791666666664,21.083055555555557,3.18,3.653,111.1,14.6,23.8,3.86,1.5
2023-11-28 00:00:00.000,132.27666666666664,21.229166666666664,3.134,3.678,116.2,13.9,23.8,6.03,324.2
2023-12-03 00:00:00.000,132.08499999999998,21.40861111111111,3.091,3.702,121.5,13.1,23.8,9.28,309.3
2023-12-08 00:00:00.000,131.76249999999996,21.620555555555555,3.051,3.726,126.9,12.2,23.8,12.78,302.2
2023-12-13 00:00:00.000,131.31083333333333,21.861666666666668,3.016,3.75,132.4,11.2,23.9,16.25,298.1
2024-03-02 00:00:00.000,117.60374999999998,25.46861111111111,3.373,4.114,133.1,10.1,24.4,12.0,275.3
2024-03-07 00:00:00.000,117.22208333333332,25.49277777777778,3.452,4.135,127.8,10.9,24.5,8.73,272.3
2024-03-12 00:00:00.000,116.96,25.49277777777778,3.536,4.156,122.6,11.6,24.5,5.48,266.2
2024-03-17 00:00:00.000,116.81749999999998,25.46972222222222,3.624,4.177,117.5,12.2,24.6,2.49,245.9
2024-03-22 00:00:00.000,116.79083333333332,25.425555555555558,3.715,4.198,112.5,12.7,24.7,1.81,153.3
2024-03-27 00:00:00.000,116.87583333333332,25.362222222222222,3.808,4.219,107.6,13.0,24.8,4.35,120.0
2024-04-01 00:00:00.000,117.06708333333333,25.28111111111111,3.903,4.239,102.9,13.3,24.9,7.11,112.2
2024-04-06 00:00:00.000,117.35916666666664,25.183333333333334,3.999,4.26,98.3,13.4,24.9,9.78,108.9
2024-04-11 00:00:00.000,117.74666666666666,25.07,4.096,4.28,93.7,13.5,25.0,12.32,107.1
2024-04-16 00:00:00.000,118.22333333333333,24.941666666666666,4.194,4.3,89.3,13.5,25.1,14.69,106.1
2024-11-27 00:00:00.000,160.24041666666665,13.565000000000001,4.98,5.047,88.2,11.3,25.7,9.48,94.8
2024-12-02 00:00:00.000,160.5266666666666,13.554722222222223,4.911,5.06,93.0,11.2,25.7,7.24,88.6
2024-12-07 00:00:00.000,160.73583333333332,13.576944444444445,4.843,5.073,97.9,11.1,25.6,5.07,76.7
2024-12-12 00:00:00.000,160.86458333333331,13.632777777777779,4.775,5.086,102.9,10.9,25.6,3.37,49.7
2024-12-17 00:00:00.000,160.91124999999997,13.721944444444444,4.709,5.099,107.9,10.6,25.6,3.18,2.6
2024-12-22 00:00:00.000,160.87375,13.844722222222222,4.645,5.111,113.0,10.2,25.5,4.79,330.8
2024-12-27 00:00:00.000,160.7508333333333,14.000555555555556,4.584,5.124,118.3,9.7,25.5,7.07,316.8
2025-01-01 00:00:00.000,160.54125,14.188333333333334,4.526,5.136,123.6,9.2,25.4,9.54,309.7
2025-01-06 00:00:00.000,160.24666666666664,14.40611111111111,4.473,5.149,129.0,8.5,25.4,12.0,305.5
2025-01-11 00:00:00.000,159.8695833333333,14.651666666666667,4.424,5.161,134.5,7.8,25.3,14.37,302.6
2025-04-01 00:00:00.000,149.3020833333333,18.745555555555555,4.599,5.336,133.5,7.8,25.5,12.65,281.3
2025-04-06 00:00:00.000,148.90416666666664,18.81222222222222,4.669,5.346,128.2,8.5,25.6,10.3,278.5
2025-04-11 00:00:00.000,148.58499999999998,18.846944444444443,4.743,5.356,123.1,9.0,25.6,7.95,274.2
2025-04-16 00:00:00.000,148.34624999999997,18.85138888888889,4.821,5.365,118.0,9.5,25.7,5.65,266.7
2025-04-21 00:00:00.000,148.18791666666667,18.82611111111111,4.902,5.375,113.0,9.9,25.7,3.55,250.4
2025-04-26 00:00:00.000,148.10999999999999,18.772499999999997,4.986,5.384,108.1,10.2,25.8,2.29,208.0
2025-05-01 00:00:00.000,148.11166666666668,18.691666666666666,5.072,5.393,103.3,10.5,25.9,3.04,157.7
2025-05-06 00:00:00.000,148.19041666666664,18.585277777777776,5.159,5.402,98.6,10.6,25.9,4.86,137.1
2025-05-11 00:00:00.000,148.3433333333333,18.455,5.247,5.411,94.0,10.7,25.9,6.85,128.4
2025-05-16 00:00:00.000,148.56708333333333,18.302222222222223,5.336,5.42,89.4,10.7,26.0,8.83,123.8
2025-12-17 00:00:00.000,178.83041666666662,6.44,5.615,5.676,88.6,10.0,26.2,8.14,95.6
2025-12-22 00:00:00.000,179.06958333333333,6.4286111111111115,5.535,5.68,93.4,10.0,26.1,6.15,88.8
2025-12-27 00:00:00.000,179.2420833333333,6.448333333333333,5.456,5.683,98.3,9.9,26.1,4.25,75.5
2026-01-01 00:00:00.000,179.34499999999997,6.499722222222222,5.378,5.686,103.3,9.7,26.1,2.85,45.1
2026-01-06 00:00:00.000,179.37666666666664,6.5825,5.301,5.689,108.4,9.4,26.0,2.96,357.5
2026-01-11 00:00:00.000,179.33583333333328,6.696666666666667,5.226,5.691,113.5,9.1,26.0,4.54,329.2
2026-01-16 00:00:00.000,179.22041666666664,6.841944444444444,5.155,5.694,118.8,8.7,25.9,6.62,316.7
2026-01-21 00:00:00.000,179.0308333333333,7.0175,5.087,5.696,124.1,8.2,25.9,8.84,310.2
2026-01-26 00:00:00.000,178.76749999999996,7.221388888888889,5.023,5.699,129.4,7.7,25.8,11.04,306.2
2026-01-31 00:00:00.000,178.43291666666664,7.451388888888889,4.963,5.701,134.8,7.0,25.8,13.17,303.5
2026-04-21 00:00:00.000,168.90916666666664,11.5525,4.971,5.719,134.4,7.2,25.8,12.99,283.7
2026-04-26 00:00:00.000,168.5120833333333,11.63888888888889,5.03,5.719,129.2,7.8,25.9,10.91,281.1
2026-05-01 00:00:00.000,168.18166666666662,11.692777777777778,5.094,5.719,124.1,8.4,25.9,8.78,277.4
2026-05-06 00:00:00.000,167.91958333333332,11.714722222222221,5.162,5.719,119.0,8.9,26.0,6.68,271.6
2026-05-11 00:00:00.000,167.7275,11.705277777777777,5.233,5.719,114.0,9.3,26.0,4.67,260.8
2026-05-16 00:00:00.000,167.60625,11.665555555555557,5.307,5.719,109.2,9.6,26.0,3.02,236.8
2026-05-21 00:00:00.000,167.55541666666664,11.595833333333333,5.383,5.718,104.4,9.9,26.1,2.57,190.3
2026-05-26 00:00:00.000,167.57416666666663,11.497777777777777,5.46,5.718,99.6,10.1,26.1,3.7,155.1
