Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-10-29 00:00:00.000,131.05166666666662,20.81833333333333,3.447,3.538,87.1,16.3,29.7,17.09,93.8
2023-11-03 00:00:00.000,131.60541666666666,20.79527777777778,3.396,3.564,91.6,16.2,29.7,13.98,91.0
2023-11-08 00:00:00.000,132.04666666666668,20.803055555555556,3.345,3.589,96.2,15.9,29.7,10.77,86.2
2023-11-13 00:00:00.000,132.36999999999998,20.84361111111111,3.294,3.614,100.9,15.6,29.7,7.56,76.8
2023-11-18 00:00:00.000,132.57,20.918333333333333,3.243,3.639,105.8,15.2,29.8,4.74,54.4
2023-11-23 00:00:00.000,132.64416666666665,21.02777777777778,3.195,3.663,110.8,14.6,29.8,3.82,4.2
2023-11-28 00:00:00.000,132.58958333333334,21.172222222222224,3.148,3.688,115.9,13.9,29.8,5.88,325.4
2023-12-03 00:00:00.000,132.40541666666664,21.35,3.105,3.712,121.2,13.1,29.9,9.09,309.9
2023-12-08 00:00:00.000,132.09041666666667,21.560555555555556,3.065,3.736,126.5,12.2,29.9,12.57,302.6
2023-12-13 00:00:00.000,131.64708333333334,21.800555555555555,3.029,3.76,132.1,11.2,29.9,16.04,298.3
2024-03-02 00:00:00.000,117.96374999999998,25.43277777777778,3.378,4.122,133.4,10.1,30.9,12.21,275.5
2024-03-07 00:00:00.000,117.57416666666666,25.459166666666665,3.457,4.144,128.1,10.9,31.0,8.95,272.6
2024-03-12 00:00:00.000,117.30416666666665,25.460277777777776,3.541,4.165,122.9,11.6,31.1,5.71,266.8
2024-03-17 00:00:00.000,117.15291666666664,25.43861111111111,3.628,4.186,117.8,12.1,31.2,2.69,248.6
2024-03-22 00:00:00.000,117.11749999999998,25.395555555555553,3.719,4.206,112.8,12.6,31.3,1.69,160.0
2024-03-27 00:00:00.000,117.19374999999998,25.333055555555557,3.812,4.227,107.9,13.0,31.4,4.14,121.4
2024-04-01 00:00:00.000,117.37624999999997,25.2525,3.907,4.248,103.2,13.2,31.5,6.89,112.8
2024-04-06 00:00:00.000,117.65999999999998,25.154999999999998,4.003,4.268,98.5,13.4,31.6,9.57,109.3
2024-04-11 00:00:00.000,118.03916666666666,25.041666666666668,4.1,4.288,94.0,13.5,31.7,12.11,107.4
2024-04-16 00:00:00.000,118.50791666666666,24.913055555555555,4.197,4.308,89.6,13.5,31.8,14.48,106.3
2024-04-21 00:00:00.000,119.05874999999999,24.770555555555553,4.295,4.328,85.2,13.4,31.9,16.68,105.6
2024-11-27 00:00:00.000,160.41166666666663,13.504444444444445,4.987,5.051,88.1,11.3,33.6,9.56,95.0
2024-12-02 00:00:00.000,160.70041666666663,13.492777777777777,4.919,5.064,92.8,11.2,33.5,7.32,88.9
2024-12-07 00:00:00.000,160.9120833333333,13.51388888888889,4.85,5.077,97.7,11.1,33.5,5.14,77.3
2024-12-12 00:00:00.000,161.04374999999996,13.568333333333333,4.783,5.09,102.7,10.9,33.5,3.41,51.2
2024-12-17 00:00:00.000,161.0933333333333,13.65638888888889,4.717,5.103,107.7,10.6,33.5,3.15,4.3
2024-12-22 00:00:00.000,161.05916666666664,13.777777777777779,4.653,5.116,112.9,10.2,33.5,4.71,331.6
2024-12-27 00:00:00.000,160.9395833333333,13.932222222222222,4.591,5.128,118.1,9.7,33.5,6.98,317.2
2025-01-01 00:00:00.000,160.73333333333332,14.11888888888889,4.533,5.14,123.4,9.2,33.5,9.44,310.0
2025-01-06 00:00:00.000,160.44249999999997,14.335833333333333,4.479,5.153,128.8,8.6,33.5,11.9,305.6
2025-01-11 00:00:00.000,160.06874999999997,14.58,4.43,5.165,134.3,7.8,33.5,14.28,302.7
2025-04-01 00:00:00.000,149.51291666666665,18.683333333333334,4.6,5.339,133.7,7.8,33.9,12.74,281.4
2025-04-06 00:00:00.000,149.11166666666668,18.75138888888889,4.669,5.349,128.4,8.4,33.9,10.4,278.6
2025-04-11 00:00:00.000,148.7895833333333,18.7875,4.743,5.359,123.3,9.0,34.0,8.04,274.4
2025-04-16 00:00:00.000,148.54749999999999,18.793055555555558,4.821,5.368,118.2,9.5,34.0,5.74,267.2
2025-04-21 00:00:00.000,148.3858333333333,18.76888888888889,4.902,5.377,113.2,9.9,34.1,3.64,251.5
2025-04-26 00:00:00.000,148.3045833333333,18.71638888888889,4.985,5.387,108.3,10.2,34.1,2.31,210.6
2025-05-01 00:00:00.000,148.30249999999998,18.636666666666667,5.071,5.396,103.5,10.5,34.2,2.98,159.2
2025-05-06 00:00:00.000,148.37791666666664,18.531388888888888,5.158,5.405,98.8,10.6,34.2,4.78,137.7
2025-05-11 00:00:00.000,148.5275,18.401666666666664,5.246,5.414,94.1,10.7,34.3,6.77,128.7
2025-05-16 00:00:00.000,148.7475,18.249722222222225,5.335,5.422,89.6,10.7,34.3,8.74,124.0
2025-05-21 00:00:00.000,149.03499999999997,18.07638888888889,5.423,5.431,85.1,10.7,34.4,10.65,121.1
2025-12-17 00:00:00.000,178.98749999999995,6.371666666666666,5.617,5.676,88.4,10.0,34.8,8.22,95.8
2025-12-22 00:00:00.000,179.2295833333333,6.359166666666666,5.538,5.679,93.3,10.0,34.8,6.23,89.2
2025-12-27 00:00:00.000,179.40416666666664,6.377777777777777,5.458,5.682,98.2,9.9,34.8,4.32,76.2
2026-01-01 00:00:00.000,179.51,6.427777777777778,5.38,5.685,103.2,9.7,34.7,2.88,46.8
2026-01-06 00:00:00.000,179.54458333333332,6.509166666666666,5.303,5.688,108.2,9.5,34.7,2.92,359.1
2026-01-11 00:00:00.000,179.50624999999997,6.622222222222223,5.228,5.69,113.4,9.1,34.7,4.46,329.9
2026-01-16 00:00:00.000,179.39374999999998,6.766388888888889,5.156,5.693,118.6,8.7,34.7,6.54,317.0
2026-01-21 00:00:00.000,179.20708333333332,6.940833333333334,5.088,5.695,123.9,8.2,34.6,8.75,310.4
2026-01-26 00:00:00.000,178.94624999999996,7.143611111111111,5.024,5.698,129.2,7.7,34.6,10.96,306.3
2026-01-31 00:00:00.000,178.61458333333334,7.372777777777777,4.964,5.7,134.6,7.1,34.6,13.09,303.6
2026-04-21 00:00:00.000,169.09291666666667,11.479722222222222,4.967,5.717,134.6,7.2,34.6,13.07,283.8
2026-04-26 00:00:00.000,168.6933333333333,11.567499999999999,5.026,5.717,129.4,7.8,34.6,10.99,281.2
2026-05-01 00:00:00.000,168.35999999999999,11.6225,5.089,5.717,124.3,8.4,34.7,8.87,277.6
2026-05-06 00:00:00.000,168.09541666666664,11.645833333333332,5.157,5.717,119.2,8.9,34.7,6.76,271.9
2026-05-11 00:00:00.000,167.9008333333333,11.6375,5.227,5.717,114.2,9.3,34.7,4.74,261.4
2026-05-16 00:00:00.000,167.77666666666664,11.598611111111111,5.301,5.716,109.3,9.6,34.8,3.07,238.1
2026-05-21 00:00:00.000,167.7233333333333,11.530000000000001,5.377,5.716,104.5,9.9,34.8,2.55,192.2
2026-05-26 00:00:00.000,167.73958333333331,11.432777777777778,5.455,5.715,99.8,10.1,34.8,3.64,156.0
2026-05-31 00:00:00.000,167.82333333333332,11.308611111111112,5.533,5.714,95.2,10.2,34.9,5.36,140.1
2026-06-05 00:00:00.000,167.9725,11.159166666666668,5.612,5.713,90.6,10.2,34.9,7.2,132.3
2026-06-10 00:00:00.000,168.18458333333328,10.985833333333332,5.691,5.712,86.1,10.2,34.9,9.05,127.9
2027-01-06 00:00:00.000,196.68541666666664,-1.2738888888888888,5.482,5.555,89.2,10.2,34.6,8.79,97.4
2027-01-11 00:00:00.000,196.9433333333333,-1.2969444444444442,5.393,5.549,94.0,10.2,34.5,6.74,92.0
2027-01-16 00:00:00.000,197.13374999999996,-1.2897222222222222,5.304,5.542,98.9,10.1,34.5,4.71,81.8
2027-01-21 00:00:00.000,197.25374999999997,-1.2519444444444445,5.217,5.536,103.9,9.9,34.5,2.98,57.8
