Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-08-30 00:00:00.000,66.88458333333332,18.186666666666667,3.557,3.664,88.0,16.0,27.4,10.85,78.7
2023-09-04 00:00:00.000,67.20291666666667,18.249166666666667,3.507,3.691,92.5,15.8,27.4,7.67,77.8
2023-09-09 00:00:00.000,67.40874999999998,18.295,3.456,3.719,97.2,15.6,27.4,4.35,74.9
2023-09-14 00:00:00.000,67.49624999999999,18.32472222222222,3.406,3.746,101.9,15.2,27.4,1.0,49.5
2023-09-19 00:00:00.000,67.46124999999999,18.33861111111111,3.357,3.773,106.8,14.8,27.4,2.79,273.6
2023-09-24 00:00:00.000,67.30041666666666,18.336666666666666,3.31,3.8,111.9,14.2,27.4,6.39,267.4
2023-09-29 00:00:00.000,67.0125,18.319166666666668,3.265,3.826,117.0,13.5,27.4,10.03,265.7
2023-10-04 00:00:00.000,66.59833333333333,18.28638888888889,3.223,3.852,122.3,12.7,27.4,13.65,264.9
2023-10-09 00:00:00.000,66.05833333333332,18.238055555555558,3.185,3.878,127.8,11.8,27.4,17.23,264.4
2023-10-14 00:00:00.000,65.39666666666666,18.174166666666668,3.151,3.903,133.3,10.7,27.4,20.66,264.0
2024-01-02 00:00:00.000,49.96041666666666,16.504166666666666,3.563,4.274,131.1,10.0,28.1,14.39,268.8
2024-01-07 00:00:00.000,49.51749999999999,16.506666666666668,3.647,4.295,125.6,10.7,28.1,11.1,272.3
2024-01-12 00:00:00.000,49.18958333333333,16.534444444444446,3.736,4.316,120.3,11.4,28.2,7.88,278.9
2024-01-17 00:00:00.000,48.974999999999994,16.587777777777777,3.828,4.336,115.0,11.9,28.3,4.96,293.5
2024-01-22 00:00:00.000,48.871666666666655,16.665555555555553,3.924,4.357,109.8,12.3,28.4,3.05,332.2
2024-01-27 00:00:00.000,48.87458333333333,16.766944444444444,4.021,4.377,104.8,12.6,28.4,3.72,24.8
2024-02-01 00:00:00.000,48.979166666666664,16.890555555555554,4.12,4.396,99.8,12.8,28.5,5.96,47.6
2024-02-06 00:00:00.000,49.17999999999999,17.034444444444446,4.22,4.416,95.0,12.9,28.6,8.47,57.0
2024-02-11 00:00:00.000,49.47249999999999,17.197777777777777,4.32,4.435,90.2,12.9,28.6,10.94,61.8
2024-02-16 00:00:00.000,49.851249999999986,17.378333333333334,4.421,4.454,85.6,12.8,28.7,13.28,64.8
2024-09-18 00:00:00.000,87.55249999999998,24.829444444444444,5.01,5.066,87.5,11.4,29.5,7.54,72.7
2024-09-23 00:00:00.000,87.77458333333331,24.904444444444444,4.938,5.075,92.1,11.4,29.5,5.37,65.1
2024-09-28 00:00:00.000,87.90916666666665,24.979999999999997,4.866,5.085,96.9,11.3,29.5,3.32,46.7
2024-10-03 00:00:00.000,87.95124999999999,25.05638888888889,4.794,5.094,101.8,11.1,29.5,2.3,356.7
2024-10-08 00:00:00.000,87.89833333333331,25.13277777777778,4.724,5.103,106.8,10.8,29.4,3.59,309.8
2024-10-13 00:00:00.000,87.74749999999999,25.209722222222222,4.656,5.112,111.8,10.4,29.4,5.9,292.9
2024-10-18 00:00:00.000,87.49791666666665,25.285833333333336,4.59,5.12,117.0,10.0,29.4,8.43,285.6
2024-10-23 00:00:00.000,87.14916666666666,25.360555555555557,4.528,5.129,122.3,9.4,29.4,11.03,281.6
2024-10-28 00:00:00.000,86.70083333333332,25.43277777777778,4.469,5.137,127.7,8.8,29.4,13.63,278.9
2024-11-02 00:00:00.000,86.15583333333332,25.50138888888889,4.415,5.145,133.2,8.1,29.3,16.17,277.0
2025-01-21 00:00:00.000,72.41083333333333,25.362222222222222,4.523,5.247,133.2,7.9,29.5,15.25,263.8
2025-01-26 00:00:00.000,71.89874999999998,25.309722222222224,4.591,5.251,127.7,8.5,29.5,12.68,263.2
2025-01-31 00:00:00.000,71.48333333333332,25.263333333333332,4.664,5.256,122.2,9.1,29.5,10.02,262.6
2025-02-05 00:00:00.000,71.16666666666666,25.224166666666665,4.74,5.26,116.9,9.6,29.6,7.33,261.8
2025-02-10 00:00:00.000,70.94874999999999,25.19361111111111,4.819,5.264,111.6,10.0,29.6,4.67,260.3
2025-02-15 00:00:00.000,70.82708333333333,25.172222222222224,4.901,5.267,106.5,10.4,29.7,2.06,256.0
2025-02-20 00:00:00.000,70.80041666666666,25.160555555555554,4.985,5.271,101.4,10.6,29.7,0.57,111.2
2025-02-25 00:00:00.000,70.86499999999998,25.15861111111111,5.071,5.274,96.4,10.7,29.7,2.98,88.3
2025-03-02 00:00:00.000,71.01874999999998,25.16638888888889,5.156,5.277,91.5,10.8,29.8,5.36,85.9
2025-03-07 00:00:00.000,71.2575,25.183611111111112,5.242,5.28,86.8,10.8,29.8,7.62,85.1
2025-10-03 00:00:00.000,105.67458333333332,26.620833333333334,5.186,5.207,85.7,11.0,29.7,9.02,79.7
2025-10-08 00:00:00.000,105.96583333333332,26.679722222222225,5.098,5.201,90.4,11.1,29.7,7.0,74.0
2025-10-13 00:00:00.000,106.17499999999998,26.749444444444446,5.011,5.195,95.1,11.0,29.7,4.99,63.2
2025-10-18 00:00:00.000,106.29624999999999,26.83,4.923,5.189,99.9,10.9,29.6,3.3,38.3
2025-10-23 00:00:00.000,106.32583333333332,26.921944444444446,4.837,5.182,104.9,10.7,29.6,2.97,350.8
2025-10-28 00:00:00.000,106.25999999999998,27.025277777777777,4.752,5.176,109.9,10.4,29.5,4.48,316.7
2025-11-02 00:00:00.000,106.09541666666665,27.139444444444443,4.67,5.169,115.1,10.0,29.5,6.75,302.0
2025-11-07 00:00:00.000,105.83041666666665,27.263333333333332,4.59,5.162,120.3,9.5,29.4,9.24,294.6
2025-11-12 00:00:00.000,105.46458333333332,27.395555555555553,4.515,5.154,125.6,9.0,29.4,11.83,290.2
2025-11-17 00:00:00.000,104.99666666666666,27.534722222222225,4.443,5.147,131.0,8.3,29.4,14.43,287.2
2026-02-05 00:00:00.000,90.82166666666666,28.713055555555556,4.257,4.999,134.7,8.1,29.1,17.22,265.9
2026-02-10 00:00:00.000,90.21791666666665,28.668055555555558,4.307,4.988,129.1,8.8,29.2,14.64,264.3
2026-02-15 00:00:00.000,89.71624999999999,28.616111111111113,4.362,4.977,123.7,9.5,29.2,11.94,262.1
2026-02-20 00:00:00.000,89.32083333333333,28.559444444444445,4.42,4.966,118.3,10.1,29.2,9.18,259.0
2026-02-25 00:00:00.000,89.03291666666665,28.499722222222225,4.483,4.954,113.0,10.6,29.2,6.44,253.5
2026-03-02 00:00:00.000,88.85208333333333,28.438333333333333,4.548,4.943,107.9,11.0,29.2,3.84,241.3
2026-03-07 00:00:00.000,88.77666666666666,28.376944444444444,4.615,4.931,102.8,11.3,29.2,1.94,198.7
2026-03-12 00:00:00.000,88.80416666666666,28.31638888888889,4.683,4.919,97.9,11.5,29.3,2.73,131.2
2026-03-17 00:00:00.000,88.93124999999999,28.256944444444443,4.752,4.906,93.0,11.7,29.3,4.98,110.6
2026-03-22 00:00:00.000,89.155,28.199444444444445,4.822,4.894,88.2,11.7,29.3,7.35,103.4
2026-10-28 00:00:00.000,132.3475,23.764444444444443,4.066,4.117,85.9,13.9,28.2,15.67,90.4
2026-11-02 00:00:00.000,132.8770833333333,23.774444444444445,3.964,4.094,90.4,14.0,28.1,13.4,87.0
2026-11-07 00:00:00.000,133.31958333333333,23.81277777777778,3.861,4.07,95.0,14.0,28.0,11.0,81.6
2026-11-12 00:00:00.000,133.66708333333332,23.8825,3.759,4.046,99.8,14.0,27.9,8.57,72.5
2026-11-17 00:00:00.000,133.91291666666666,23.985277777777778,3.658,4.022,104.6,13.8,27.9,6.38,55.8
2026-11-22 00:00:00.000,134.04999999999998,24.122222222222224,3.559,3.998,109.5,13.5,27.8,5.13,25.4
2026-11-27 00:00:00.000,134.07166666666666,24.294722222222223,3.461,3.974,114.5,13.1,27.7,5.8,349.6
2026-12-02 00:00:00.000,133.97124999999997,24.502777777777776,3.366,3.949,119.7,12.5,27.6,8.13,326.6
2026-12-07 00:00:00.000,133.74208333333334,24.746944444444445,3.275,3.924,124.9,11.9,27.5,11.25,314.3
2026-12-12 00:00:00.000,133.37875,25.02583333333333,3.188,3.898,130.3,11.1,27.4,14.7,307.0
2027-03-02 00:00:00.000,116.01958333333332,29.433333333333334,2.714,3.45,131.4,12.4,26.5,22.44,270.8
2027-03-07 00:00:00.000,115.23458333333332,29.424444444444447,2.743,3.419,125.8,13.6,26.5,18.55,267.4
2027-03-12 00:00:00.000,114.60374999999998,29.378888888888888,2.776,3.388,120.4,14.7,26.5,14.54,262.6
2027-03-17 00:00:00.000,114.13249999999998,29.300833333333333,2.812,3.357,115.1,15.6,26.5,10.59,254.7
2027-03-22 00:00:00.000,113.82291666666666,29.19361111111111,2.852,3.325,109.9,16.4,26.5,7.01,239.0
2027-03-27 00:00:00.000,113.67249999999999,29.060833333333335,2.893,3.293,104.9,17.0,26.5,4.72,203.3
2027-04-01 00:00:00.000,113.67916666666665,28.905555555555555,2.935,3.26,100.0,17.6,26.5,5.44,156.2
2027-04-06 00:00:00.000,113.83874999999999,28.729444444444443,2.978,3.228,95.3,18.0,26.5,8.31,132.1
