Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-01 00:00:00.000,236.7595833333333,8.646388888888888,10.294,10.944,127.6,4.2,18.6,13.99,272.6
2023-07-06 00:00:00.000,236.30458333333328,8.657222222222222,10.376,10.967,123.3,4.4,18.6,12.99,270.2
2023-07-11 00:00:00.000,235.88416666666666,8.648888888888889,10.463,10.991,118.9,4.6,18.6,11.95,267.5
2023-07-16 00:00:00.000,235.49999999999997,8.622777777777777,10.554,11.015,114.6,4.8,18.6,10.89,264.5
2023-07-21 00:00:00.000,235.15374999999995,8.579722222222221,10.648,11.039,110.1,5.0,18.7,9.82,261.1
2023-07-26 00:00:00.000,234.84666666666664,8.521666666666668,10.744,11.062,105.7,5.1,18.7,8.75,257.1
2023-07-31 00:00:00.000,234.57874999999996,8.450277777777776,10.843,11.086,101.3,5.2,18.7,7.72,252.4
2023-08-05 00:00:00.000,234.35083333333333,8.366944444444444,10.943,11.11,96.8,5.2,18.7,6.73,246.7
2023-08-10 00:00:00.000,234.1620833333333,8.273055555555556,11.045,11.133,92.4,5.2,18.7,5.82,239.5
2023-08-15 00:00:00.000,234.01291666666665,8.170555555555556,11.146,11.157,88.0,5.2,18.8,5.0,230.3
2024-02-11 00:00:00.000,240.03541666666663,8.729444444444445,12.042,12.017,86.2,4.7,19.1,8.04,355.3
2024-02-16 00:00:00.000,239.99541666666664,9.001944444444444,11.988,12.041,90.7,4.7,19.1,8.52,348.4
2024-02-21 00:00:00.000,239.91916666666663,9.285277777777777,11.934,12.065,95.3,4.7,19.1,9.08,342.0
2024-02-26 00:00:00.000,239.8058333333333,9.577222222222222,11.881,12.088,99.8,4.6,19.1,9.7,336.3
2024-03-02 00:00:00.000,239.65541666666664,9.876666666666667,11.83,12.112,104.3,4.5,19.1,10.36,331.1
2024-03-07 00:00:00.000,239.46749999999997,10.181666666666667,11.78,12.136,108.8,4.4,19.1,11.05,326.5
2024-03-12 00:00:00.000,239.2420833333333,10.490555555555554,11.734,12.16,113.2,4.3,19.1,11.75,322.3
2024-03-17 00:00:00.000,238.98041666666663,10.800833333333333,11.691,12.184,117.6,4.1,19.1,12.44,318.5
2024-03-22 00:00:00.000,238.68291666666664,11.110555555555555,11.653,12.208,121.9,4.0,19.1,13.1,315.0
