Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-01 00:00:00.000,235.09291666666664,-0.6438888888888888,9.172,9.875,131.5,4.4,24.8,5.88,279.9
2023-07-06 00:00:00.000,234.91625,-0.6186111111111111,9.253,9.898,127.0,4.7,24.8,4.83,275.9
2023-07-11 00:00:00.000,234.77291666666665,-0.6105555555555555,9.337,9.92,122.4,5.0,24.8,3.77,269.9
2023-07-16 00:00:00.000,234.66541666666663,-0.6188888888888889,9.426,9.942,117.9,5.2,24.8,2.73,259.7
2023-07-21 00:00:00.000,234.59458333333328,-0.6427777777777778,9.517,9.964,113.4,5.4,24.9,1.82,239.0
2023-07-26 00:00:00.000,234.56166666666664,-0.6808333333333333,9.612,9.987,108.9,5.5,24.9,1.41,197.2
2023-07-31 00:00:00.000,234.56666666666663,-0.7325,9.709,10.009,104.4,5.6,24.9,1.88,157.1
2023-08-05 00:00:00.000,234.60999999999996,-0.7958333333333333,9.807,10.032,99.9,5.7,25.0,2.79,137.9
2023-08-10 00:00:00.000,234.69124999999997,-0.87,9.907,10.054,95.5,5.8,25.0,3.84,128.4
2023-08-15 00:00:00.000,234.81041666666664,-0.9541666666666666,10.007,10.076,91.0,5.8,25.0,4.91,122.7
2023-08-20 00:00:00.000,234.9670833333333,-1.0466666666666669,10.108,10.099,86.6,5.7,25.1,5.99,118.8
2024-02-26 00:00:00.000,251.4270833333333,-1.0369444444444444,10.977,10.966,86.7,5.2,25.6,8.35,41.2
2024-03-02 00:00:00.000,251.5916666666666,-0.8233333333333334,10.922,10.989,91.3,5.2,25.6,7.85,33.9
2024-03-07 00:00:00.000,251.71916666666664,-0.6027777777777777,10.866,11.012,95.8,5.1,25.6,7.46,25.8
2024-03-12 00:00:00.000,251.80791666666664,-0.37611111111111106,10.812,11.035,100.4,5.1,25.6,7.19,16.9
2024-03-17 00:00:00.000,251.85833333333332,-0.14472222222222222,10.759,11.058,105.0,5.0,25.6,7.06,7.7
2024-03-22 00:00:00.000,251.8708333333333,0.08972222222222222,10.708,11.081,109.5,4.9,25.6,7.07,358.5
2024-03-27 00:00:00.000,251.84583333333333,0.3261111111111111,10.66,11.104,114.1,4.7,25.6,7.21,349.6
2024-04-01 00:00:00.000,251.78458333333333,0.5625,10.615,11.128,118.6,4.5,25.6,7.47,341.4
2024-04-06 00:00:00.000,251.68708333333328,0.7975,10.574,11.151,123.0,4.3,25.6,7.81,333.9
2024-04-11 00:00:00.000,251.55583333333328,1.0294444444444444,10.536,11.174,127.4,4.1,25.6,8.2,327.3
2024-04-16 00:00:00.000,251.3920833333333,1.2569444444444444,10.504,11.197,131.7,3.8,25.6,8.61,321.4
2024-07-10 00:00:00.000,246.7220833333333,3.1705555555555556,10.898,11.593,131.2,3.8,25.8,6.04,262.5
2024-07-15 00:00:00.000,246.5358333333333,3.1369444444444445,10.976,11.616,127.0,4.0,25.9,5.31,256.6
2024-07-20 00:00:00.000,246.37791666666666,3.089166666666667,11.058,11.64,122.8,4.2,25.9,4.6,249.0
2024-07-25 00:00:00.000,246.24958333333328,3.0277777777777777,11.144,11.663,118.5,4.4,25.9,3.94,239.0
2024-07-30 00:00:00.000,246.1529166666666,2.954166666666667,11.233,11.686,114.2,4.5,25.9,3.4,225.6
2024-08-04 00:00:00.000,246.08791666666664,2.8694444444444445,11.326,11.71,109.9,4.7,26.0,3.06,208.2
2024-08-09 00:00:00.000,246.05666666666662,2.775,11.421,11.733,105.6,4.8,26.0,3.01,188.5
2024-08-14 00:00:00.000,246.05874999999992,2.6713888888888886,11.517,11.756,101.2,4.8,26.0,3.27,170.0
2024-08-19 00:00:00.000,246.09416666666664,2.560833333333333,11.615,11.78,96.9,4.9,26.0,3.76,155.3
2024-08-24 00:00:00.000,246.1633333333333,2.443888888888889,11.714,11.803,92.6,4.9,26.1,4.41,144.4
2024-08-29 00:00:00.000,246.26541666666668,2.322222222222222,11.813,11.827,88.3,4.9,26.1,5.14,136.3
2025-03-07 00:00:00.000,259.79166666666663,2.633611111111111,12.718,12.72,87.9,4.5,26.6,7.27,32.5
2025-03-12 00:00:00.000,259.9058333333333,2.840277777777778,12.665,12.743,92.3,4.5,26.6,6.91,25.0
2025-03-17 00:00:00.000,259.9866666666666,3.0505555555555555,12.613,12.767,96.7,4.4,26.6,6.64,16.9
2025-03-22 00:00:00.000,260.0345833333333,3.263333333333333,12.561,12.79,101.1,4.4,26.6,6.47,8.4
2025-03-27 00:00:00.000,260.0495833333333,3.4769444444444444,12.512,12.814,105.5,4.3,26.6,6.42,359.6
2025-04-01 00:00:00.000,260.03125,3.6905555555555556,12.464,12.837,109.8,4.2,26.6,6.47,350.8
2025-04-06 00:00:00.000,259.9808333333333,3.902222222222222,12.419,12.861,114.2,4.1,26.6,6.61,342.6
2025-04-11 00:00:00.000,259.8995833333333,4.110555555555555,12.377,12.884,118.4,3.9,26.6,6.83,334.9
2025-04-16 00:00:00.000,259.78791666666666,4.314166666666667,12.339,12.908,122.6,3.8,26.6,7.11,328.0
2025-04-21 00:00:00.000,259.6479166666666,4.511666666666667,12.305,12.932,126.8,3.6,26.6,7.42,321.7
2025-04-26 00:00:00.000,259.48083333333335,4.701666666666667,12.276,12.955,130.8,3.4,26.6,7.74,316.0
2025-05-01 00:00:00.000,259.28875,4.8825,12.251,12.979,134.6,3.2,26.6,8.06,310.9
2025-07-15 00:00:00.000,255.355,5.905,12.618,13.332,133.0,3.2,26.8,6.31,256.7
2025-07-20 00:00:00.000,255.15999999999994,5.849722222222222,12.69,13.356,129.2,3.4,26.8,5.78,251.2
2025-07-25 00:00:00.000,254.98874999999998,5.7813888888888885,12.767,13.379,125.3,3.6,26.8,5.25,244.8
2025-07-30 00:00:00.000,254.8420833333333,5.7011111111111115,12.848,13.403,121.2,3.7,26.8,4.74,237.1
2025-08-04 00:00:00.000,254.7224999999999,5.609999999999999,12.933,13.426,117.1,3.9,26.8,4.28,227.7
2025-08-09 00:00:00.000,254.6304166666666,5.509166666666666,13.021,13.45,113.0,4.0,26.9,3.92,216.4
2025-08-14 00:00:00.000,254.56708333333327,5.4,13.112,13.473,108.8,4.1,26.9,3.69,203.4
2025-08-19 00:00:00.000,254.53249999999997,5.283611111111111,13.206,13.497,104.6,4.2,26.9,3.64,189.3
2025-08-24 00:00:00.000,254.5279166666666,5.161111111111111,13.301,13.52,100.4,4.2,26.9,3.77,175.3
2025-08-29 00:00:00.000,254.5529166666666,5.033611111111111,13.397,13.544,96.2,4.3,27.0,4.06,162.7
2025-09-03 00:00:00.000,254.60833333333326,4.902777777777779,13.495,13.568,92.0,4.3,27.0,4.49,152.1
2025-09-08 00:00:00.000,254.6929166666666,4.769722222222222,13.592,13.591,87.8,4.2,27.0,4.99,143.5
2026-03-12 00:00:00.000,266.0466666666666,5.197500000000001,14.495,14.461,86.1,3.9,27.4,6.6,30.3
2026-03-17 00:00:00.000,266.1433333333333,5.388888888888889,14.444,14.484,90.4,3.9,27.4,6.28,23.1
2026-03-22 00:00:00.000,266.21124999999995,5.5825,14.393,14.508,94.7,3.9,27.4,6.04,15.2
2026-03-27 00:00:00.000,266.2495833333333,5.776944444444444,14.343,14.531,98.9,3.9,27.4,5.87,6.9
2026-04-01 00:00:00.000,266.25875,5.970833333333333,14.294,14.555,103.2,3.8,27.4,5.8,358.4
