Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-12-28 00:00:00.000,187.51541666666662,-8.753055555555555,8.773,8.747,85.3,6.4,21.5,6.54,220.9
2024-01-02 00:00:00.000,187.34666666666664,-8.909444444444444,8.711,8.774,90.5,6.4,21.5,7.24,232.3
2024-01-07 00:00:00.000,187.1283333333333,-9.047777777777778,8.649,8.801,95.7,6.4,21.5,8.18,241.7
2024-01-12 00:00:00.000,186.85999999999996,-9.167222222222222,8.588,8.828,100.9,6.3,21.5,9.31,249.3
2024-01-17 00:00:00.000,186.5408333333333,-9.267222222222223,8.529,8.854,106.3,6.1,21.4,10.54,255.2
2024-01-22 00:00:00.000,186.17166666666665,-9.347222222222223,8.472,8.881,111.6,5.9,21.4,11.84,259.8
2024-01-27 00:00:00.000,185.75374999999997,-9.406944444444445,8.418,8.908,117.0,5.7,21.5,13.16,263.5
2024-02-01 00:00:00.000,185.28875,-9.445833333333333,8.368,8.935,122.4,5.3,21.5,14.47,266.6
2024-02-06 00:00:00.000,184.7783333333333,-9.464166666666666,8.322,8.961,127.9,5.0,21.5,15.74,269.1
2024-02-11 00:00:00.000,184.22583333333333,-9.461666666666666,8.282,8.988,133.4,4.6,21.5,16.95,271.3
2024-05-06 00:00:00.000,173.3825,-7.549166666666666,8.753,9.441,130.6,4.7,21.7,13.68,284.4
2024-05-11 00:00:00.000,172.9595833333333,-7.441666666666667,8.846,9.468,125.5,5.0,21.7,12.29,284.3
2024-05-16 00:00:00.000,172.58249999999998,-7.3469444444444445,8.943,9.494,120.3,5.3,21.7,10.85,284.1
2024-05-21 00:00:00.000,172.25166666666664,-7.266111111111111,9.045,9.521,115.3,5.5,21.8,9.41,283.5
2024-05-26 00:00:00.000,171.96749999999997,-7.200277777777778,9.149,9.547,110.3,5.7,21.8,7.97,282.7
2024-05-31 00:00:00.000,171.72916666666666,-7.15,9.256,9.574,105.3,5.9,21.8,6.54,281.2
2024-06-05 00:00:00.000,171.53625,-7.115555555555555,9.365,9.6,100.4,6.0,21.8,5.13,278.8
2024-06-10 00:00:00.000,171.38791666666665,-7.097777777777777,9.476,9.627,95.6,6.0,21.9,3.77,274.3
2024-06-15 00:00:00.000,171.28291666666664,-7.0969444444444445,9.587,9.653,90.7,6.0,21.9,2.51,264.9
2024-06-20 00:00:00.000,171.21916666666667,-7.112777777777778,9.698,9.68,86.0,6.0,21.9,1.48,240.7
2024-12-22 00:00:00.000,177.52458333333334,-14.537222222222223,10.659,10.649,86.7,5.3,22.4,6.83,216.7
2024-12-27 00:00:00.000,177.36374999999998,-14.712499999999999,10.599,10.675,91.8,5.3,22.4,7.29,226.4
2025-01-01 00:00:00.000,177.16125,-14.871944444444445,10.54,10.701,96.8,5.2,22.4,7.9,234.9
2025-01-06 00:00:00.000,176.91749999999996,-15.015,10.481,10.727,101.9,5.1,22.4,8.65,242.3
