Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-08-25 00:00:00.000,48.87499999999999,60.651666666666664,11.295,11.293,87.3,5.1,26.8,12.03,345.3
2023-08-30 00:00:00.000,48.627916666666664,61.03444444444444,11.258,11.32,90.9,5.1,26.8,12.07,339.8
2023-09-04 00:00:00.000,48.301249999999996,61.40611111111111,11.222,11.347,94.5,5.1,26.8,12.15,334.3
2023-09-09 00:00:00.000,47.894166666666656,61.76361111111111,11.187,11.374,98.2,5.0,26.8,12.26,328.8
2023-09-14 00:00:00.000,47.404999999999994,62.10416666666667,11.153,11.401,101.7,5.0,26.8,12.41,323.2
2023-09-19 00:00:00.000,46.83458333333333,62.425,11.122,11.428,105.3,4.9,26.8,12.58,317.6
2023-09-24 00:00:00.000,46.184999999999995,62.723055555555554,11.092,11.455,108.8,4.8,26.8,12.77,312.2
2023-09-29 00:00:00.000,45.45958333333333,62.99583333333334,11.066,11.482,112.1,4.6,26.8,12.97,306.9
2023-10-04 00:00:00.000,44.66333333333333,63.240833333333335,11.043,11.509,115.4,4.5,26.8,13.17,301.6
2023-10-09 00:00:00.000,43.801666666666655,63.455000000000005,11.024,11.536,118.6,4.4,26.8,13.36,296.4
2023-10-14 00:00:00.000,42.88166666666667,63.63666666666666,11.009,11.563,121.5,4.2,26.8,13.53,291.4
2023-10-19 00:00:00.000,41.91333333333333,63.78333333333333,10.999,11.59,124.3,4.1,26.8,13.67,286.4
2023-10-24 00:00:00.000,40.906666666666666,63.89361111111111,10.993,11.616,126.8,3.9,26.9,13.77,281.6
2023-10-29 00:00:00.000,39.873749999999994,63.966944444444444,10.993,11.643,129.0,3.8,26.9,13.82,276.8
2023-11-03 00:00:00.000,38.82666666666667,64.00333333333333,10.998,11.67,130.8,3.7,26.9,13.82,272.2
2023-11-08 00:00:00.000,37.77708333333332,64.00222222222222,11.008,11.697,132.2,3.6,26.9,13.77,267.6
2023-11-13 00:00:00.000,36.738749999999996,63.96472222222223,11.024,11.724,133.2,3.5,26.9,13.65,263.0
2023-11-18 00:00:00.000,35.723749999999995,63.8925,11.046,11.751,133.7,3.5,26.9,13.46,258.6
2023-11-23 00:00:00.000,34.74416666666666,63.7875,11.074,11.778,133.7,3.5,26.9,13.19,254.1
2023-11-28 00:00:00.000,33.81166666666666,63.65277777777778,11.108,11.805,133.2,3.5,26.9,12.87,249.7
2023-12-03 00:00:00.000,32.93416666666666,63.49111111111111,11.147,11.832,132.2,3.5,27.0,12.48,245.3
2023-12-08 00:00:00.000,32.120416666666664,63.30583333333333,11.192,11.859,130.7,3.6,27.0,12.04,240.8
2023-12-13 00:00:00.000,31.3775,63.100833333333334,11.243,11.885,128.9,3.7,27.0,11.53,236.2
2023-12-18 00:00:00.000,30.71041666666666,62.87972222222222,11.299,11.912,126.6,3.8,27.0,10.97,231.5
2023-12-23 00:00:00.000,30.12291666666666,62.64694444444444,11.359,11.939,124.1,3.9,27.0,10.37,226.6
2023-12-28 00:00:00.000,29.6175,62.406388888888884,11.425,11.966,121.3,4.0,27.1,9.74,221.5
2024-01-02 00:00:00.000,29.194166666666664,62.16166666666666,11.494,11.993,118.4,4.1,27.1,9.11,216.0
2024-01-07 00:00:00.000,28.852916666666662,61.91638888888889,11.568,12.019,115.2,4.2,27.1,8.47,210.0
2024-01-12 00:00:00.000,28.593333333333327,61.674166666666665,11.645,12.046,111.9,4.3,27.1,7.84,203.5
2024-01-17 00:00:00.000,28.413749999999997,61.43833333333333,11.725,12.073,108.5,4.4,27.2,7.24,196.2
2024-01-22 00:00:00.000,28.311249999999998,61.211666666666666,11.808,12.1,105.0,4.5,27.2,6.7,188.1
2024-01-27 00:00:00.000,28.282499999999995,60.99722222222222,11.892,12.127,101.5,4.6,27.2,6.24,179.1
2024-02-01 00:00:00.000,28.323749999999997,60.796388888888885,11.979,12.153,97.9,4.6,27.2,5.89,169.2
2024-02-06 00:00:00.000,28.431666666666665,60.61194444444445,12.066,12.18,94.3,4.6,27.3,5.67,158.7
2024-02-11 00:00:00.000,28.602499999999996,60.44499999999999,12.155,12.207,90.7,4.6,27.3,5.58,147.8
2024-02-16 00:00:00.000,28.832499999999996,60.2975,12.243,12.234,87.1,4.6,27.3,5.63,137.1
2024-08-24 00:00:00.000,44.92999999999999,67.8461111111111,13.267,13.241,86.4,4.4,27.8,10.81,342.4
2024-08-29 00:00:00.000,44.59625,68.18416666666667,13.237,13.268,89.5,4.4,27.8,10.82,337.1
2024-09-03 00:00:00.000,44.17333333333333,68.50972222222222,13.208,13.294,92.7,4.3,27.8,10.85,331.7
2024-09-08 00:00:00.000,43.65958333333332,68.82027777777778,13.179,13.32,95.9,4.3,27.8,10.9,326.2
2024-09-13 00:00:00.000,43.05499999999999,69.11305555555555,13.151,13.347,99.0,4.3,27.8,10.97,320.7
2024-09-18 00:00:00.000,42.36124999999999,69.38555555555556,13.125,13.373,102.1,4.2,27.9,11.05,315.2
2024-09-23 00:00:00.000,41.58124999999999,69.635,13.102,13.399,105.2,4.1,27.9,11.15,309.7
2024-09-28 00:00:00.000,40.71916666666666,69.85888888888888,13.08,13.425,108.1,4.1,27.9,11.25,304.1
2024-10-03 00:00:00.000,39.78083333333333,70.05499999999999,13.062,13.452,110.9,4.0,27.9,11.35,298.6
2024-10-08 00:00:00.000,38.77458333333333,70.22055555555556,13.046,13.478,113.6,3.9,27.9,11.45,293.1
2024-10-13 00:00:00.000,37.71041666666666,70.35416666666666,13.034,13.504,116.2,3.8,27.9,11.53,287.7
2024-10-18 00:00:00.000,36.60124999999999,70.45416666666667,13.026,13.53,118.5,3.7,27.9,11.59,282.4
2024-10-23 00:00:00.000,35.45916666666666,70.51944444444445,13.022,13.556,120.7,3.6,27.9,11.64,277.1
2024-10-28 00:00:00.000,34.29749999999999,70.54972222222221,13.022,13.583,122.5,3.5,27.9,11.66,271.9
2024-11-02 00:00:00.000,33.13166666666667,70.545,13.027,13.609,124.1,3.5,27.9,11.64,266.7
2024-11-07 00:00:00.000,31.976666666666663,70.50527777777778,13.037,13.635,125.4,3.4,27.9,11.58,261.6
2024-11-12 00:00:00.000,30.847499999999993,70.43222222222222,13.052,13.661,126.3,3.3,27.9,11.48,256.5
2024-11-17 00:00:00.000,29.757916666666663,70.3275,13.071,13.687,126.9,3.3,27.9,11.35,251.6
2024-11-22 00:00:00.000,28.719999999999995,70.19361111111111,13.096,13.713,127.0,3.3,28.0,11.17,246.6
2024-11-27 00:00:00.000,27.74458333333333,70.03277777777778,13.126,13.739,126.8,3.3,28.0,10.95,241.7
2024-12-02 00:00:00.000,26.841249999999995,69.84805555555555,13.16,13.765,126.2,3.3,28.0,10.69,236.7
2024-12-07 00:00:00.000,26.017916666666665,69.64277777777778,13.2,13.792,125.2,3.3,28.0,10.38,231.7
2024-12-12 00:00:00.000,25.28083333333333,69.42083333333333,13.245,13.818,123.9,3.4,28.0,10.03,226.7
2024-12-17 00:00:00.000,24.63333333333333,69.18555555555555,13.294,13.844,122.2,3.4,28.0,9.66,221.7
