Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-09-24 00:00:00.000,93.96624999999999,35.558611111111105,9.309,9.313,87.1,6.2,23.7,4.95,312.4
2023-09-29 00:00:00.000,93.78791666666666,35.671388888888885,9.257,9.348,92.1,6.1,23.7,6.11,303.9
2023-10-04 00:00:00.000,93.55041666666666,35.785555555555554,9.206,9.382,97.1,6.1,23.7,7.36,297.9
2023-10-09 00:00:00.000,93.25333333333332,35.900555555555556,9.155,9.416,102.1,6.0,23.7,8.67,293.4
2023-10-14 00:00:00.000,92.89541666666666,36.015,9.106,9.45,107.2,5.8,23.7,10.01,289.9
2023-10-19 00:00:00.000,92.47749999999999,36.12694444444445,9.06,9.484,112.4,5.6,23.7,11.35,287.0
2023-10-24 00:00:00.000,92.0,36.235,9.016,9.518,117.6,5.3,23.8,12.67,284.5
2023-10-29 00:00:00.000,91.46458333333332,36.337500000000006,8.977,9.552,122.8,5.0,23.8,13.93,282.3
2023-11-03 00:00:00.000,90.87416666666665,36.43277777777777,8.942,9.585,128.1,4.7,23.8,15.14,280.4
2023-11-08 00:00:00.000,90.23166666666665,36.51888888888889,8.912,9.619,133.3,4.3,23.8,16.28,278.6
2024-01-27 00:00:00.000,77.99416666666666,35.918055555555554,9.463,10.154,132.5,4.1,24.1,14.2,253.4
2024-02-01 00:00:00.000,77.46166666666666,35.78111111111111,9.561,10.187,127.2,4.4,24.1,12.96,251.3
2024-02-06 00:00:00.000,76.98583333333332,35.64194444444444,9.664,10.22,121.9,4.7,24.1,11.67,249.0
2024-02-11 00:00:00.000,76.56875,35.50222222222222,9.772,10.253,116.7,4.9,24.1,10.35,246.2
2024-02-16 00:00:00.000,76.21041666666666,35.36388888888889,9.883,10.286,111.5,5.1,24.1,9.04,242.9
2024-02-21 00:00:00.000,75.91083333333333,35.22805555555556,9.997,10.319,106.3,5.3,24.2,7.75,238.7
2024-02-26 00:00:00.000,75.66916666666665,35.096111111111114,10.114,10.352,101.2,5.4,24.2,6.52,233.4
2024-03-02 00:00:00.000,75.48416666666665,34.969166666666666,10.232,10.385,96.2,5.4,24.2,5.37,226.1
2024-03-07 00:00:00.000,75.35374999999998,34.848333333333336,10.351,10.418,91.2,5.5,24.2,4.35,215.8
2024-03-12 00:00:00.000,75.27708333333332,34.73416666666667,10.47,10.451,86.2,5.4,24.3,3.55,200.8
2024-09-13 00:00:00.000,84.05916666666666,35.016666666666666,11.675,11.638,85.4,4.9,24.8,3.06,319.7
2024-09-18 00:00:00.000,83.95624999999998,35.094166666666666,11.621,11.669,90.3,4.9,24.8,3.85,306.9
2024-09-23 00:00:00.000,83.80833333333331,35.17055555555555,11.567,11.701,95.2,4.9,24.8,4.77,298.4
2024-09-28 00:00:00.000,83.61416666666665,35.24527777777778,11.514,11.732,100.1,4.8,24.8,5.76,292.5
2024-10-03 00:00:00.000,83.37374999999999,35.31722222222223,11.463,11.763,105.1,4.7,24.8,6.8,288.1
2024-10-08 00:00:00.000,83.08666666666664,35.385555555555555,11.413,11.794,110.1,4.6,24.8,7.84,284.7
2024-10-13 00:00:00.000,82.75416666666666,35.44916666666666,11.366,11.826,115.2,4.4,24.8,8.87,281.9
2024-10-18 00:00:00.000,82.37708333333333,35.50694444444444,11.323,11.857,120.3,4.2,24.8,9.87,279.6
2024-10-23 00:00:00.000,81.95791666666666,35.558055555555555,11.283,11.888,125.5,3.9,24.8,10.83,277.5
2024-10-28 00:00:00.000,81.49791666666667,35.60138888888889,11.249,11.919,130.6,3.6,24.8,11.75,275.7
2025-01-21 00:00:00.000,71.75333333333332,34.730555555555554,11.756,12.444,132.6,3.3,25.0,11.01,251.1
2025-01-26 00:00:00.000,71.35125,34.611111111111114,11.851,12.474,127.4,3.6,25.0,10.06,249.1
2025-01-31 00:00:00.000,70.99249999999999,34.49166666666667,11.952,12.505,122.2,3.8,25.0,9.07,246.8
2025-02-05 00:00:00.000,70.67791666666666,34.37305555555555,12.056,12.535,117.0,4.0,25.1,8.05,244.0
2025-02-10 00:00:00.000,70.40833333333333,34.25694444444444,12.165,12.566,111.9,4.2,25.1,7.03,240.7
2025-02-15 00:00:00.000,70.18374999999999,34.14388888888889,12.276,12.596,106.8,4.3,25.1,6.02,236.4
2025-02-20 00:00:00.000,70.00416666666666,34.035,12.39,12.627,101.7,4.4,25.1,5.05,230.8
2025-02-25 00:00:00.000,69.86874999999999,33.93138888888889,12.505,12.657,96.6,4.5,25.1,4.14,223.0
2025-03-02 00:00:00.000,69.77708333333332,33.833333333333336,12.621,12.688,91.6,4.5,25.2,3.34,211.6
2025-03-07 00:00:00.000,69.72791666666664,33.74166666666667,12.737,12.718,86.7,4.5,25.2,2.74,195.1
2025-09-08 00:00:00.000,77.4725,34.27055555555555,13.856,13.82,85.9,4.2,25.6,2.33,321.6
2025-09-13 00:00:00.000,77.39583333333333,34.33027777777778,13.801,13.849,90.7,4.2,25.6,2.95,306.7
2025-09-18 00:00:00.000,77.28166666666665,34.38777777777778,13.745,13.879,95.6,4.1,25.6,3.7,297.1
2025-09-23 00:00:00.000,77.12958333333333,34.44222222222222,13.69,13.908,100.5,4.1,25.6,4.52,290.5
2025-09-28 00:00:00.000,76.93958333333332,34.49305555555556,13.637,13.937,105.4,4.0,25.6,5.37,285.8
2025-10-03 00:00:00.000,76.71166666666666,34.53944444444444,13.586,13.966,110.4,3.9,25.6,6.23,282.2
2025-10-08 00:00:00.000,76.44749999999999,34.580555555555556,13.538,13.995,115.4,3.7,25.6,7.07,279.4
2025-10-13 00:00:00.000,76.14708333333331,34.61611111111111,13.492,14.024,120.4,3.5,25.6,7.91,277.0
2025-10-18 00:00:00.000,75.81208333333332,34.644999999999996,13.451,14.054,125.5,3.3,25.6,8.71,275.0
2025-10-23 00:00:00.000,75.44458333333333,34.666666666666664,13.415,14.083,130.6,3.1,25.6,9.47,273.2
2026-01-16 00:00:00.000,67.55791666666666,33.74194444444444,13.868,14.573,134.4,2.8,25.8,9.32,250.3
2026-01-21 00:00:00.000,67.22333333333333,33.63722222222222,13.96,14.601,129.2,3.0,25.8,8.55,248.4
2026-01-26 00:00:00.000,66.9225,33.5325,14.056,14.63,124.0,3.2,25.8,7.73,246.2
2026-01-31 00:00:00.000,66.6575,33.42916666666667,14.158,14.659,118.9,3.4,25.8,6.9,243.6
2026-02-05 00:00:00.000,66.42916666666666,33.32833333333333,14.263,14.687,113.7,3.5,25.8,6.06,240.5
2026-02-10 00:00:00.000,66.2375,33.230555555555554,14.371,14.716,108.6,3.6,25.8,5.21,236.5
2026-02-15 00:00:00.000,66.0825,33.13666666666666,14.482,14.744,103.5,3.7,25.8,4.39,231.2
2026-02-20 00:00:00.000,65.96499999999999,33.0475,14.595,14.773,98.5,3.8,25.8,3.6,223.8
2026-02-25 00:00:00.000,65.88416666666666,32.96361111111111,14.708,14.801,93.5,3.8,25.9,2.9,213.1
2026-03-02 00:00:00.000,65.83875,32.885555555555555,14.823,14.829,88.5,3.8,25.9,2.36,197.3
2026-09-08 00:00:00.000,72.70624999999998,33.55583333333333,15.867,15.893,89.6,3.6,26.2,2.23,310.7
2026-09-13 00:00:00.000,72.62249999999999,33.60305555555556,15.81,15.92,94.5,3.6,26.2,2.85,298.6
2026-09-18 00:00:00.000,72.50624999999998,33.64666666666667,15.754,15.948,99.3,3.6,26.2,3.53,290.8
2026-09-23 00:00:00.000,72.35791666666665,33.686388888888885,15.699,15.975,104.2,3.5,26.2,4.26,285.4
2026-09-28 00:00:00.000,72.1775,33.72166666666667,15.645,16.003,109.2,3.4,26.2,4.99,281.4
2026-10-03 00:00:00.000,71.96583333333332,33.75194444444445,15.595,16.03,114.1,3.3,26.2,5.72,278.3
2026-10-08 00:00:00.000,71.72374999999998,33.776666666666664,15.547,16.058,119.1,3.1,26.2,6.45,275.8
2026-10-13 00:00:00.000,71.45166666666665,33.79527777777778,15.503,16.085,124.2,2.9,26.2,7.15,273.7
2026-10-18 00:00:00.000,71.15166666666666,33.8075,15.464,16.112,129.2,2.7,26.2,7.82,271.9
2026-10-23 00:00:00.000,70.82541666666665,33.812777777777775,15.43,16.14,134.3,2.5,26.3,8.43,270.3
2027-01-16 00:00:00.000,64.19749999999999,32.824444444444445,15.93,16.602,131.8,2.5,26.4,7.65,248.4
2027-01-21 00:00:00.000,63.929583333333326,32.73083333333334,16.023,16.629,126.7,2.7,26.4,6.97,246.4
2027-01-26 00:00:00.000,63.69166666666666,32.63861111111111,16.12,16.656,121.5,2.9,26.4,6.27,244.1
2027-01-31 00:00:00.000,63.48375,32.54833333333333,16.222,16.683,116.4,3.0,26.4,5.55,241.2
2027-02-05 00:00:00.000,63.307083333333324,32.461111111111116,16.327,16.71,111.3,3.2,26.4,4.81,237.7
2027-02-10 00:00:00.000,63.162499999999994,32.37722222222222,16.435,16.737,106.2,3.2,26.4,4.08,233.0
2027-02-15 00:00:00.000,63.04999999999999,32.2975,16.545,16.764,101.1,3.3,26.4,3.38,226.6
2027-02-20 00:00:00.000,62.96875,32.22277777777778,16.657,16.791,96.1,3.4,26.4,2.73,217.5
2027-02-25 00:00:00.000,62.91875,32.153055555555554,16.77,16.818,91.1,3.4,26.5,2.2,203.8
2027-03-02 00:00:00.000,62.89874999999999,32.08888888888889,16.882,16.845,86.1,3.4,26.5,1.84,183.8
