Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-01 00:00:00.000,209.7833333333333,8.823055555555555,12.051,12.35,104.9,4.6,17.3,7.14,206.0
2023-07-06 00:00:00.000,209.69375,8.60361111111111,12.146,12.37,100.4,4.6,17.3,7.09,198.0
2023-07-11 00:00:00.000,209.63541666666666,8.373611111111112,12.243,12.389,95.9,4.7,17.4,7.16,190.1
2023-07-16 00:00:00.000,209.60875,8.133888888888889,12.34,12.409,91.5,4.7,17.4,7.33,182.5
2023-07-21 00:00:00.000,209.61333333333332,7.885555555555555,12.438,12.428,87.1,4.7,17.4,7.59,175.4
2024-01-27 00:00:00.000,219.40249999999997,0.34888888888888886,13.156,13.181,89.3,4.3,17.8,2.01,106.7
2024-02-01 00:00:00.000,219.45125,0.3347222222222222,13.093,13.201,94.2,4.3,17.8,1.03,105.4
2024-02-06 00:00:00.000,219.4683333333333,0.33055555555555555,13.03,13.221,99.1,4.2,17.8,0.04,4   069.3
2024-02-11 00:00:00.000,219.45374999999999,0.33555555555555555,12.968,13.241,104.0,4.1,17.8,0.96,287.0
2024-02-16 00:00:00.000,219.40708333333333,0.34888888888888886,12.909,13.261,108.9,4.0,17.8,1.94,285.5
2024-02-21 00:00:00.000,219.32916666666665,0.3697222222222222,12.852,13.282,113.8,3.9,17.8,2.9,284.5
2024-02-26 00:00:00.000,219.22041666666664,0.3969444444444445,12.797,13.302,118.7,3.7,17.8,3.83,283.7
2024-03-02 00:00:00.000,219.08166666666665,0.4297222222222222,12.747,13.322,123.7,3.5,17.8,4.73,282.9
2024-03-07 00:00:00.000,218.91375,0.46694444444444444,12.7,13.342,128.6,3.3,17.8,5.59,282.1
2024-03-12 00:00:00.000,218.71791666666664,0.5072222222222222,12.659,13.362,133.5,3.1,17.8,6.39,281.3
2024-06-10 00:00:00.000,213.4308333333333,0.5030555555555556,13.047,13.727,130.4,3.2,18.0,7.08,248.9
2024-06-15 00:00:00.000,213.22249999999997,0.41222222222222227,13.13,13.747,125.7,3.4,18.0,6.56,243.9
2024-06-20 00:00:00.000,213.03874999999996,0.31027777777777776,13.217,13.768,121.0,3.6,18.0,6.06,237.9
2024-06-25 00:00:00.000,212.8808333333333,0.19749999999999998,13.308,13.788,116.3,3.8,18.0,5.61,230.8
2024-06-30 00:00:00.000,212.74916666666664,0.07416666666666666,13.402,13.808,111.6,3.9,18.0,5.23,222.5
2024-07-05 00:00:00.000,212.64541666666662,-0.059444444444444446,13.499,13.829,106.9,4.0,18.1,4.96,213.0
2024-07-10 00:00:00.000,212.56916666666663,-0.20305555555555557,13.598,13.849,102.2,4.1,18.1,4.82,202.7
2024-07-15 00:00:00.000,212.52166666666665,-0.35583333333333333,13.699,13.87,97.6,4.2,18.1,4.82,192.1
2024-07-20 00:00:00.000,212.50166666666664,-0.5169444444444445,13.8,13.89,93.0,4.2,18.1,4.96,182.0
2024-07-25 00:00:00.000,212.5095833333333,-0.6863888888888889,13.902,13.911,88.4,4.2,18.1,5.23,172.9
2025-01-26 00:00:00.000,221.1370833333333,-6.839166666666666,14.722,14.672,85.1,3.8,18.5,2.49,126.1
2025-01-31 00:00:00.000,221.1904166666666,-6.8838888888888885,14.658,14.692,90.1,3.8,18.5,1.68,135.7
2025-02-05 00:00:00.000,221.21583333333328,-6.919722222222222,14.593,14.713,95.1,3.8,18.5,1.0,161.1
2025-02-10 00:00:00.000,221.21249999999995,-6.947222222222223,14.529,14.734,100.1,3.8,18.5,0.88,216.7
2025-02-15 00:00:00.000,221.18041666666664,-6.966944444444445,14.466,14.755,105.1,3.7,18.5,1.46,250.9
2025-02-20 00:00:00.000,221.11999999999995,-6.978888888888889,14.406,14.775,110.1,3.6,18.5,2.23,263.4
2025-02-25 00:00:00.000,221.03124999999997,-6.984166666666667,14.348,14.796,115.2,3.5,18.5,3.05,269.0
2025-03-02 00:00:00.000,220.91541666666666,-6.982777777777778,14.293,14.817,120.3,3.3,18.5,3.86,272.0
2025-03-07 00:00:00.000,220.77249999999998,-6.975555555555555,14.241,14.837,125.3,3.1,18.5,4.65,273.6
2025-03-12 00:00:00.000,220.60416666666663,-6.963333333333334,14.195,14.858,130.4,2.9,18.5,5.39,274.6
2025-06-15 00:00:00.000,215.58041666666662,-6.838055555555555,14.562,15.253,131.4,2.9,18.6,5.91,256.9
