Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-10-19 00:00:00.000,118.11999999999999,4.4675,16.4,16.359,85.9,3.5,22.7,2.99,148.6
2023-10-24 00:00:00.000,118.15916666666666,4.384722222222223,16.34,16.381,90.6,3.5,22.7,2.55,161.8
2023-10-29 00:00:00.000,118.17291666666665,4.306388888888889,16.279,16.402,95.4,3.5,22.7,2.27,179.2
2023-11-03 00:00:00.000,118.16125,4.233333333333333,16.22,16.424,100.2,3.4,22.7,2.23,199.2
2023-11-08 00:00:00.000,118.12416666666667,4.166111111111111,16.161,16.445,105.0,3.3,22.7,2.43,217.9
2023-11-13 00:00:00.000,118.06166666666667,4.105555555555555,16.105,16.467,109.8,3.2,22.7,2.82,232.7
2023-11-18 00:00:00.000,117.97458333333331,4.052222222222222,16.051,16.488,114.7,3.1,22.7,3.33,243.4
2023-11-23 00:00:00.000,117.86333333333332,4.006666666666667,16.0,16.51,119.5,3.0,22.7,3.88,251.2
2023-11-28 00:00:00.000,117.72958333333332,3.9691666666666667,15.953,16.531,124.4,2.8,22.7,4.45,257.0
2023-12-03 00:00:00.000,117.57416666666666,3.940277777777778,15.911,16.552,129.3,2.6,22.7,5.01,261.5
2023-12-08 00:00:00.000,117.39874999999998,3.92,15.873,16.574,134.1,2.4,22.7,5.55,265.2
2024-03-02 00:00:00.000,113.60416666666666,4.835,16.271,16.936,130.8,2.5,22.8,5.14,304.8
2024-03-07 00:00:00.000,113.47374999999998,4.933055555555556,16.354,16.957,126.1,2.7,22.9,4.63,309.5
2024-03-12 00:00:00.000,113.36541666666665,5.031111111111111,16.441,16.978,121.3,2.9,22.9,4.11,315.6
2024-03-17 00:00:00.000,113.28124999999999,5.128611111111111,16.533,16.999,116.5,3.0,22.9,3.62,323.3
2024-03-22 00:00:00.000,113.22083333333332,5.224444444444445,16.627,17.02,111.7,3.1,22.9,3.19,333.2
2024-03-27 00:00:00.000,113.18499999999999,5.317777777777778,16.725,17.041,106.9,3.2,22.9,2.86,345.7
2024-04-01 00:00:00.000,113.17333333333332,5.408611111111111,16.824,17.063,102.1,3.3,23.0,2.67,0.6
2024-04-06 00:00:00.000,113.18666666666665,5.495833333333334,16.926,17.084,97.4,3.3,23.0,2.67,16.6
2024-04-11 00:00:00.000,113.22416666666665,5.578888888888889,17.028,17.105,92.7,3.4,23.0,2.84,31.5
2024-04-16 00:00:00.000,113.28624999999998,5.657222222222223,17.131,17.126,88.0,3.4,23.0,3.16,44.0
2024-10-23 00:00:00.000,121.59041666666664,4.4255555555555555,17.942,17.918,87.0,3.2,23.3,2.48,153.2
2024-10-28 00:00:00.000,121.61624999999998,4.353888888888888,17.881,17.939,91.8,3.2,23.3,2.12,168.5
2024-11-02 00:00:00.000,121.61833333333331,4.287222222222222,17.819,17.96,96.6,3.1,23.3,1.94,188.3
2024-11-07 00:00:00.000,121.5970833333333,4.225833333333333,17.758,17.98,101.4,3.1,23.3,2.0,209.3
2024-11-12 00:00:00.000,121.55291666666665,4.170833333333333,17.699,18.001,106.3,3.0,23.3,2.28,227.0
2024-11-17 00:00:00.000,121.48583333333335,4.1225,17.641,18.022,111.1,2.9,23.3,2.7,240.0
2024-11-22 00:00:00.000,121.39666666666666,4.0808333333333335,17.587,18.042,116.0,2.8,23.3,3.2,249.2
2024-11-27 00:00:00.000,121.28625,4.046944444444445,17.536,18.063,120.9,2.7,23.3,3.73,256.0
2024-12-02 00:00:00.000,121.15499999999999,4.020833333333333,17.489,18.083,125.8,2.5,23.3,4.27,261.1
2024-12-07 00:00:00.000,121.00458333333333,4.002777777777778,17.446,18.104,130.7,2.4,23.3,4.79,265.1
2025-03-02 00:00:00.000,117.46833333333332,4.848333333333333,17.738,18.451,134.9,2.2,23.4,5.17,301.6
2025-03-07 00:00:00.000,117.33041666666665,4.938888888888889,17.816,18.472,130.1,2.4,23.4,4.7,305.4
2025-03-12 00:00:00.000,117.21249999999999,5.029444444444445,17.9,18.492,125.3,2.5,23.4,4.21,310.1
2025-03-17 00:00:00.000,117.11499999999998,5.1194444444444445,17.987,18.512,120.5,2.7,23.4,3.73,315.9
2025-03-22 00:00:00.000,117.03874999999998,5.208055555555556,18.079,18.533,115.7,2.8,23.5,3.28,323.4
2025-03-27 00:00:00.000,116.98458333333332,5.294722222222222,18.173,18.553,110.9,2.9,23.5,2.87,333.3
2025-04-01 00:00:00.000,116.95291666666665,5.378611111111111,18.271,18.573,106.1,3.0,23.5,2.55,346.1
2025-04-06 00:00:00.000,116.94374999999998,5.4591666666666665,18.37,18.593,101.4,3.0,23.5,2.36,1.5
