Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-01 00:00:00.000,288.9545833333333,24.947777777777777,22.192,22.871,131.0,1.9,27.8,6.79,278.3
2023-07-06 00:00:00.000,288.70625,24.973333333333333,22.2,22.894,132.1,1.9,27.8,6.8,274.7
2023-07-11 00:00:00.000,288.45666666666665,24.985,22.214,22.916,132.8,1.9,27.8,6.79,271.2
2023-07-16 00:00:00.000,288.2075,24.982777777777777,22.232,22.939,133.1,1.9,27.8,6.75,267.6
2023-07-21 00:00:00.000,287.96124999999995,24.966666666666665,22.256,22.961,133.0,1.9,27.8,6.68,264.1
2023-07-26 00:00:00.000,287.71958333333333,24.93722222222222,22.285,22.984,132.5,1.9,27.9,6.58,260.6
2023-07-31 00:00:00.000,287.4845833333333,24.89472222222222,22.32,23.006,131.6,1.9,27.9,6.46,257.0
2023-08-05 00:00:00.000,287.25749999999994,24.840277777777775,22.359,23.028,130.3,1.9,27.9,6.32,253.3
2023-08-10 00:00:00.000,287.0404166666666,24.774166666666666,22.404,23.051,128.7,2.0,27.9,6.15,249.5
2023-08-15 00:00:00.000,286.8345833333333,24.697222222222223,22.453,23.073,126.8,2.0,27.9,5.97,245.6
2023-08-20 00:00:00.000,286.6420833333333,24.610000000000003,22.506,23.095,124.6,2.1,27.9,5.76,241.5
2023-08-25 00:00:00.000,286.46374999999995,24.514166666666668,22.564,23.118,122.1,2.1,27.9,5.54,237.2
2023-08-30 00:00:00.000,286.3012499999999,24.410277777777775,22.626,23.14,119.5,2.2,27.9,5.31,232.6
2023-09-04 00:00:00.000,286.15541666666667,24.299444444444447,22.692,23.163,116.7,2.2,27.9,5.07,227.7
2023-09-09 00:00:00.000,286.0270833333333,24.18277777777778,22.762,23.185,113.7,2.3,27.9,4.84,222.4
2023-09-14 00:00:00.000,285.9170833333333,24.061666666666667,22.834,23.207,110.6,2.3,27.9,4.61,216.7
2023-09-19 00:00:00.000,285.82625,23.936666666666667,22.909,23.23,107.4,2.4,28.0,4.39,210.4
2023-09-24 00:00:00.000,285.75541666666663,23.809722222222224,22.986,23.252,104.1,2.4,28.0,4.18,203.7
2023-09-29 00:00:00.000,285.70375,23.681944444444447,23.066,23.274,100.8,2.4,28.0,4.01,196.5
2023-10-04 00:00:00.000,285.6725,23.55388888888889,23.147,23.296,97.4,2.4,28.0,3.87,188.8
2023-10-09 00:00:00.000,285.6608333333333,23.427222222222223,23.229,23.319,94.0,2.4,28.0,3.77,180.7
2023-10-14 00:00:00.000,285.6691666666667,23.303055555555556,23.311,23.341,90.5,2.4,28.0,3.72,172.3
2023-10-19 00:00:00.000,285.69708333333335,23.182222222222222,23.394,23.363,87.0,2.4,28.0,3.71,163.8
2024-04-11 00:00:00.000,290.54749999999996,24.88,24.192,24.138,85.7,2.4,28.2,5.21,355.0
2024-04-16 00:00:00.000,290.52125,25.051666666666666,24.155,24.16,89.1,2.4,28.2,5.21,349.2
2024-04-21 00:00:00.000,290.4758333333333,25.22083333333333,24.118,24.182,92.4,2.4,28.2,5.23,343.5
2024-04-26 00:00:00.000,290.4116666666667,25.38611111111111,24.082,24.204,95.8,2.4,28.2,5.28,337.8
2024-05-01 00:00:00.000,290.32875,25.54638888888889,24.046,24.226,99.1,2.4,28.2,5.34,332.2
2024-05-06 00:00:00.000,290.2279166666666,25.70111111111111,24.012,24.248,102.3,2.3,28.2,5.42,326.8
2024-05-11 00:00:00.000,290.1091666666666,25.84861111111111,23.98,24.27,105.5,2.3,28.2,5.52,321.5
2024-05-16 00:00:00.000,289.97375,25.988333333333333,23.95,24.292,108.6,2.3,28.3,5.61,316.4
2024-05-21 00:00:00.000,289.8225,26.11916666666667,23.923,24.314,111.6,2.2,28.3,5.71,311.5
2024-05-26 00:00:00.000,289.65625,26.240277777777777,23.898,24.336,114.5,2.2,28.3,5.82,306.8
