Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-08-05 00:00:00.000,51.16749999999999,-6.029444444444445,18.195,18.143,85.4,3.2,25.4,4.04,132.5
2023-08-10 00:00:00.000,51.25666666666665,-6.1241666666666665,18.141,18.165,89.8,3.2,25.4,3.76,141.4
2023-08-15 00:00:00.000,51.32458333333333,-6.2252777777777775,18.088,18.188,94.1,3.2,25.4,3.57,151.6
2023-08-20 00:00:00.000,51.370416666666664,-6.332777777777777,18.035,18.211,98.5,3.2,25.4,3.47,162.6
2023-08-25 00:00:00.000,51.394166666666656,-6.445555555555556,17.983,18.234,102.8,3.1,25.4,3.48,173.8
2023-08-30 00:00:00.000,51.395416666666655,-6.563055555555556,17.932,18.257,107.2,3.0,25.4,3.59,184.5
2023-09-04 00:00:00.000,51.37499999999999,-6.683888888888889,17.884,18.28,111.6,2.9,25.4,3.79,194.3
2023-09-09 00:00:00.000,51.332499999999996,-6.8075,17.839,18.303,116.0,2.8,25.4,4.06,203.0
2023-09-14 00:00:00.000,51.26875,-6.932777777777778,17.797,18.325,120.3,2.7,25.4,4.38,210.4
2023-09-19 00:00:00.000,51.18416666666666,-7.0586111111111105,17.759,18.348,124.6,2.6,25.4,4.72,216.8
2023-09-24 00:00:00.000,51.07916666666666,-7.184166666666667,17.725,18.371,128.9,2.4,25.4,5.06,222.3
2023-09-29 00:00:00.000,50.95541666666666,-7.308055555555556,17.695,18.394,133.0,2.3,25.4,5.4,227.0
2023-12-18 00:00:00.000,47.83624999999999,-8.292777777777777,18.088,18.758,131.8,2.2,25.5,4.95,279.1
2023-12-23 00:00:00.000,47.679583333333326,-8.260833333333334,18.167,18.781,127.4,2.4,25.5,4.56,284.4
2023-12-28 00:00:00.000,47.53916666666665,-8.217222222222222,18.25,18.803,123.0,2.5,25.5,4.18,290.6
2024-01-02 00:00:00.000,47.41666666666666,-8.162777777777778,18.337,18.826,118.5,2.6,25.6,3.81,298.1
2024-01-07 00:00:00.000,47.313333333333325,-8.097777777777779,18.429,18.849,113.9,2.7,25.6,3.48,307.1
2024-01-12 00:00:00.000,47.23,-8.023055555555556,18.523,18.871,109.3,2.8,25.6,3.22,317.8
2024-01-17 00:00:00.000,47.16749999999999,-7.938888888888889,18.62,18.894,104.7,2.9,25.6,3.06,330.0
2024-01-22 00:00:00.000,47.127083333333324,-7.846388888888889,18.719,18.917,100.1,2.9,25.6,3.02,343.0
2024-01-27 00:00:00.000,47.10833333333333,-7.746388888888889,18.819,18.939,95.5,3.0,25.6,3.11,355.7
2024-02-01 00:00:00.000,47.11125,-7.639722222222222,18.921,18.962,90.9,3.0,25.7,3.32,7.2
2024-02-06 00:00:00.000,47.13625,-7.527222222222222,19.022,18.985,86.4,3.0,25.7,3.62,17.2
2024-08-09 00:00:00.000,54.59374999999999,-5.637499999999999,19.859,19.818,86.2,2.9,26.0,3.6,136.8
2024-08-14 00:00:00.000,54.66624999999999,-5.728055555555556,19.805,19.84,90.5,2.9,26.0,3.37,146.3
2024-08-19 00:00:00.000,54.71874999999999,-5.824166666666667,19.751,19.863,94.9,2.9,26.0,3.23,156.7
2024-08-24 00:00:00.000,54.75166666666666,-5.925277777777778,19.698,19.885,99.2,2.9,26.0,3.17,167.8
2024-08-29 00:00:00.000,54.76374999999999,-6.030833333333334,19.646,19.907,103.6,2.8,26.0,3.22,178.9
2024-09-03 00:00:00.000,54.75541666666666,-6.139722222222223,19.595,19.93,108.0,2.8,26.0,3.36,189.5
2024-09-08 00:00:00.000,54.72666666666666,-6.251388888888889,19.547,19.952,112.3,2.7,26.0,3.57,198.9
