Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-08-25 00:00:00.000,57.68874999999999,31.684166666666666,16.045,16.057,88.9,3.6,22.2,0.29,127.1
2023-08-30 00:00:00.000,57.68333333333333,31.67527777777778,15.985,16.081,93.6,3.6,22.2,0.63,236.0
2023-09-04 00:00:00.000,57.64791666666667,31.660555555555554,15.926,16.105,98.4,3.6,22.2,1.39,247.2
2023-09-09 00:00:00.000,57.58291666666666,31.639444444444443,15.868,16.129,103.2,3.5,22.2,2.17,250.1
2023-09-14 00:00:00.000,57.48833333333332,31.611111111111114,15.812,16.152,108.1,3.4,22.2,2.95,251.1
2023-09-19 00:00:00.000,57.36458333333332,31.575555555555557,15.758,16.176,112.9,3.3,22.2,3.72,251.5
2023-09-24 00:00:00.000,57.21291666666666,31.53222222222222,15.707,16.2,117.9,3.1,22.2,4.47,251.4
2023-09-29 00:00:00.000,57.03374999999999,31.480555555555554,15.659,16.224,122.8,3.0,22.3,5.19,251.2
2023-10-04 00:00:00.000,56.82874999999999,31.420833333333334,15.616,16.247,127.7,2.8,22.3,5.88,250.9
2023-10-09 00:00:00.000,56.599999999999994,31.352222222222224,15.577,16.271,132.7,2.6,22.3,6.54,250.5
2024-01-02 00:00:00.000,51.600833333333334,29.13361111111111,15.964,16.673,134.9,2.4,22.4,7.05,229.4
2024-01-07 00:00:00.000,51.40916666666666,28.98222222222222,16.05,16.697,129.8,2.6,22.4,6.49,226.2
2024-01-12 00:00:00.000,51.24416666666666,28.834444444444443,16.141,16.72,124.7,2.8,22.4,5.91,222.3
2024-01-17 00:00:00.000,51.10666666666666,28.691111111111113,16.237,16.744,119.5,2.9,22.4,5.33,217.6
2024-01-22 00:00:00.000,50.99708333333333,28.553055555555556,16.337,16.767,114.4,3.1,22.4,4.76,211.7
2024-01-27 00:00:00.000,50.91666666666666,28.421111111111113,16.439,16.791,109.3,3.2,22.4,4.24,204.3
2024-02-01 00:00:00.000,50.864999999999995,28.295555555555556,16.545,16.814,104.2,3.3,22.4,3.79,195.1
2024-02-06 00:00:00.000,50.84208333333332,28.176944444444445,16.652,16.838,99.2,3.3,22.4,3.45,183.7
2024-02-11 00:00:00.000,50.84749999999999,28.065833333333334,16.761,16.861,94.2,3.3,22.5,3.26,170.6
