Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-01 00:00:00.000,350.54749999999996,-14.105555555555556,19.063,19.476,112.6,2.8,28.8,2.43,223.9
2023-07-06 00:00:00.000,350.48,-14.167222222222222,19.014,19.502,117.3,2.7,28.8,2.98,229.0
2023-07-11 00:00:00.000,350.3933333333333,-14.235277777777776,18.968,19.528,122.1,2.5,28.8,3.52,232.6
2023-07-16 00:00:00.000,350.28791666666666,-14.309444444444445,18.926,19.554,126.9,2.4,28.8,4.04,235.3
2023-07-21 00:00:00.000,350.1649999999999,-14.38861111111111,18.888,19.579,131.7,2.2,28.8,4.54,237.4
2023-10-24 00:00:00.000,346.4679166666666,-15.780000000000001,19.405,20.068,130.8,2.2,29.0,4.24,262.0
2023-10-29 00:00:00.000,346.3304166666666,-15.795,19.497,20.094,125.8,2.3,29.0,3.73,265.1
2023-11-03 00:00:00.000,346.2104166666666,-15.801111111111112,19.594,20.12,120.8,2.4,29.0,3.21,269.1
2023-11-08 00:00:00.000,346.10874999999993,-15.798333333333334,19.695,20.145,115.7,2.5,29.0,2.68,274.8
2023-11-13 00:00:00.000,346.02624999999995,-15.786388888888888,19.799,20.171,110.7,2.6,29.0,2.16,283.2
2023-11-18 00:00:00.000,345.9633333333333,-15.765277777777778,19.906,20.196,105.7,2.7,29.0,1.7,296.6
2023-11-23 00:00:00.000,345.9208333333333,-15.735555555555555,20.015,20.222,100.7,2.8,29.1,1.38,317.7
2023-11-28 00:00:00.000,345.89874999999995,-15.697222222222223,20.125,20.247,95.7,2.8,29.1,1.32,345.0
2023-12-03 00:00:00.000,345.8970833333333,-15.650833333333333,20.236,20.273,90.7,2.8,29.1,1.53,9.4
2023-12-08 00:00:00.000,345.91624999999993,-15.596388888888889,20.347,20.298,85.7,2.8,29.1,1.94,25.7
2024-06-05 00:00:00.000,351.88291666666663,-12.924722222222222,21.233,21.206,87.1,2.7,29.4,1.32,108.2
2024-06-10 00:00:00.000,351.91666666666663,-12.9425,21.175,21.231,91.8,2.7,29.4,0.97,131.8
2024-06-15 00:00:00.000,351.93249999999995,-12.968055555555555,21.116,21.256,96.5,2.7,29.4,0.9,167.7
2024-06-20 00:00:00.000,351.92999999999995,-13.001111111111111,21.059,21.281,101.3,2.7,29.4,1.15,197.2
2024-06-25 00:00:00.000,351.9091666666666,-13.04138888888889,21.003,21.306,106.0,2.6,29.4,1.58,213.6
2024-06-30 00:00:00.000,351.8704166666666,-13.088611111111112,20.949,21.331,110.8,2.6,29.4,2.06,222.7
2024-07-05 00:00:00.000,351.8137499999999,-13.142222222222221,20.898,21.356,115.5,2.5,29.4,2.57,228.3
2024-07-10 00:00:00.000,351.7391666666666,-13.202222222222222,20.849,21.381,120.3,2.4,29.4,3.07,232.2
2024-07-15 00:00:00.000,351.6479166666666,-13.2675,20.805,21.405,125.1,2.2,29.4,3.55,234.9
2024-07-20 00:00:00.000,351.5404166666666,-13.338055555555556,20.764,21.43,129.9,2.1,29.4,4.01,237.1
2024-07-25 00:00:00.000,351.4170833333333,-13.412777777777778,20.728,21.455,134.7,1.9,29.4,4.45,238.8
2024-10-23 00:00:00.000,348.15874999999994,-14.657222222222222,21.21,21.9,133.0,1.9,29.5,4.14,259.9
2024-10-28 00:00:00.000,348.0258333333333,-14.6775,21.299,21.925,128.0,2.0,29.6,3.68,262.4
2024-11-02 00:00:00.000,347.9079166666666,-14.689444444444444,21.394,21.95,123.0,2.2,29.6,3.2,265.8
2024-11-07 00:00:00.000,347.80625,-14.693055555555556,21.492,21.974,118.0,2.3,29.6,2.7,270.3
2024-11-12 00:00:00.000,347.7220833333333,-14.688611111111111,21.594,21.999,112.9,2.4,29.6,2.21,276.9
2024-11-17 00:00:00.000,347.65541666666667,-14.675555555555555,21.699,22.023,107.9,2.4,29.6,1.75,286.9
2024-11-22 00:00:00.000,347.6066666666666,-14.654722222222222,21.806,22.048,102.9,2.5,29.6,1.37,303.3
2024-11-27 00:00:00.000,347.57666666666665,-14.625555555555556,21.915,22.072,97.9,2.5,29.6,1.16,328.7
2024-12-02 00:00:00.000,347.5654166666667,-14.58888888888889,22.025,22.097,92.9,2.6,29.7,1.22,357.5
2024-12-07 00:00:00.000,347.57291666666663,-14.544444444444444,22.136,22.121,87.9,2.6,29.7,1.52,18.8
2025-06-05 00:00:00.000,352.9683333333333,-12.09138888888889,23.053,22.996,85.6,2.5,29.9,1.3,103.4
2025-06-10 00:00:00.000,353.0029166666667,-12.105,22.993,23.02,90.3,2.5,29.9,0.94,123.6
2025-06-15 00:00:00.000,353.02125,-12.125833333333334,22.934,23.044,95.0,2.5,29.9,0.79,158.2
2025-06-20 00:00:00.000,353.0229166666667,-12.15388888888889,22.875,23.068,99.7,2.5,29.9,0.96,192.0
2025-06-25 00:00:00.000,353.00791666666663,-12.188611111111111,22.818,23.093,104.5,2.4,29.9,1.34,211.3
2025-06-30 00:00:00.000,352.9758333333333,-12.229722222222222,22.762,23.117,109.2,2.4,29.9,1.78,221.6
2025-07-05 00:00:00.000,352.92708333333326,-12.277222222222223,22.709,23.141,114.0,2.3,29.9,2.25,227.7
2025-07-10 00:00:00.000,352.86249999999995,-12.330277777777777,22.658,23.165,118.8,2.2,29.9,2.71,231.7
2025-07-15 00:00:00.000,352.78249999999997,-12.38888888888889,22.611,23.189,123.6,2.1,29.9,3.16,234.6
2025-07-20 00:00:00.000,352.6870833333333,-12.452222222222222,22.569,23.213,128.3,2.0,29.9,3.6,236.8
2025-07-25 00:00:00.000,352.5770833333333,-12.519722222222223,22.53,23.237,133.2,1.8,29.9,4.01,238.6
2025-10-23 00:00:00.000,349.56541666666664,-13.703888888888889,22.954,23.667,134.9,1.7,30.0,4.02,258.3
2025-10-28 00:00:00.000,349.43666666666667,-13.727222222222222,23.041,23.69,129.9,1.8,30.1,3.6,260.5
2025-11-02 00:00:00.000,349.32208333333335,-13.743333333333332,23.133,23.714,124.9,2.0,30.1,3.16,263.4
2025-11-07 00:00:00.000,349.2216666666666,-13.751666666666667,23.229,23.738,119.9,2.1,30.1,2.71,267.1
2025-11-12 00:00:00.000,349.1366666666666,-13.7525,23.329,23.762,114.8,2.2,30.1,2.25,272.3
2025-11-17 00:00:00.000,349.06791666666663,-13.745555555555555,23.432,23.785,109.8,2.2,30.1,1.8,280.3
2025-11-22 00:00:00.000,349.01583333333326,-13.730833333333333,23.538,23.809,104.8,2.3,30.1,1.39,293.3
2025-11-27 00:00:00.000,348.98041666666666,-13.708888888888888,23.646,23.833,99.8,2.3,30.1,1.1,314.9
2025-12-02 00:00:00.000,348.9625,-13.679444444444444,23.755,23.856,94.7,2.4,30.2,1.03,344.6
2025-12-07 00:00:00.000,348.9616666666666,-13.643055555555556,23.864,23.88,89.7,2.4,30.2,1.22,10.8
2026-06-10 00:00:00.000,353.9316666666666,-11.383333333333333,24.748,24.75,88.9,2.4,30.4,0.92,116.8
2026-06-15 00:00:00.000,353.9516666666666,-11.400555555555556,24.688,24.773,93.6,2.3,30.4,0.72,149.5
2026-06-20 00:00:00.000,353.95624999999995,-11.424166666666666,24.628,24.796,98.4,2.3,30.4,0.82,186.7
2026-06-25 00:00:00.000,353.94541666666663,-11.454444444444444,24.57,24.82,103.1,2.3,30.4,1.14,208.9
2026-06-30 00:00:00.000,353.91874999999993,-11.490833333333333,24.512,24.843,107.8,2.2,30.4,1.55,220.4
