Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-08-30 00:00:00.000,291.7320833333333,-10.714722222222221,18.471,19.194,134.6,2.1,29.7,4.92,249.1
2023-09-04 00:00:00.000,291.585,-10.773055555555556,18.559,19.22,129.8,2.3,29.7,4.42,246.7
2023-09-09 00:00:00.000,291.45666666666665,-10.831388888888888,18.651,19.246,125.0,2.5,29.7,3.9,243.6
2023-09-14 00:00:00.000,291.3483333333333,-10.88861111111111,18.748,19.273,120.1,2.6,29.7,3.36,239.5
2023-09-19 00:00:00.000,291.2604166666667,-10.944722222222222,18.849,19.299,115.3,2.7,29.7,2.81,233.9
2023-09-24 00:00:00.000,291.1941666666666,-10.998888888888889,18.952,19.325,110.4,2.8,29.7,2.28,225.7
2023-09-29 00:00:00.000,291.1495833333332,-11.050833333333333,19.059,19.352,105.6,2.9,29.8,1.82,213.1
2023-10-04 00:00:00.000,291.1270833333333,-11.100277777777777,19.167,19.378,100.7,2.9,29.8,1.48,193.5
2023-10-09 00:00:00.000,291.1262499999999,-11.146944444444443,19.277,19.404,95.9,2.9,29.8,1.38,167.3
2023-10-14 00:00:00.000,291.1474999999999,-11.190277777777778,19.387,19.431,91.0,2.9,29.8,1.57,142.6
2023-10-19 00:00:00.000,291.1908333333333,-11.23,19.498,19.457,86.2,2.9,29.8,1.95,125.5
2024-04-16 00:00:00.000,297.6941666666666,-10.074166666666667,20.394,20.392,88.4,2.8,30.1,1.59,19.4
2024-04-21 00:00:00.000,297.7020833333333,-10.026111111111112,20.336,20.417,93.2,2.8,30.1,1.39,356.9
2024-04-26 00:00:00.000,297.6891666666666,-9.981666666666667,20.278,20.443,98.0,2.8,30.1,1.44,332.0
2024-05-01 00:00:00.000,297.65624999999994,-9.94111111111111,20.222,20.469,102.8,2.8,30.1,1.71,311.9
2024-05-06 00:00:00.000,297.6029166666666,-9.905277777777778,20.167,20.494,107.6,2.7,30.1,2.12,298.4
2024-05-11 00:00:00.000,297.5299999999999,-9.873888888888889,20.114,20.52,112.4,2.6,30.1,2.59,289.5
2024-05-16 00:00:00.000,297.43791666666664,-9.847777777777779,20.064,20.545,117.2,2.5,30.1,3.08,283.4
2024-05-21 00:00:00.000,297.3275,-9.82638888888889,20.017,20.571,122.0,2.4,30.1,3.57,279.0
2024-05-26 00:00:00.000,297.1995833333333,-9.81027777777778,19.974,20.597,126.8,2.3,30.1,4.04,275.7
2024-05-31 00:00:00.000,297.05541666666664,-9.799444444444445,19.936,20.622,131.5,2.1,30.1,4.5,273.1
2024-09-03 00:00:00.000,293.32583333333326,-10.428888888888888,20.42,21.105,131.7,2.0,30.3,4.27,247.1
2024-09-08 00:00:00.000,293.2008333333333,-10.484166666666665,20.509,21.13,126.9,2.2,30.3,3.8,244.4
