Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-06 00:00:00.000,244.2229166666666,-60.87722222222222,13.813,14.523,132.9,2.9,23.8,11.83,303.2
2023-07-11 00:00:00.000,243.57083333333335,-60.655,13.875,14.55,130.1,3.1,23.8,11.47,306.7
2023-07-16 00:00:00.000,242.97333333333333,-60.42055555555555,13.942,14.577,127.1,3.2,23.9,11.07,310.5
2023-07-21 00:00:00.000,242.43374999999997,-60.17666666666666,14.014,14.604,123.8,3.3,23.9,10.64,314.3
2023-07-26 00:00:00.000,241.95374999999999,-59.92583333333333,14.09,14.63,120.4,3.4,23.9,10.18,318.4
2023-07-31 00:00:00.000,241.53458333333333,-59.67027777777778,14.17,14.657,116.9,3.5,23.9,9.7,322.6
2023-08-05 00:00:00.000,241.1758333333333,-59.4125,14.254,14.684,113.2,3.6,23.9,9.23,327.1
2023-08-10 00:00:00.000,240.87791666666666,-59.154444444444444,14.342,14.71,109.4,3.7,24.0,8.75,331.9
2023-08-15 00:00:00.000,240.64000000000001,-58.89805555555556,14.432,14.737,105.6,3.8,24.0,8.29,337.1
2023-08-20 00:00:00.000,240.4616666666666,-58.64555555555555,14.524,14.764,101.8,3.8,24.0,7.85,342.7
2023-08-25 00:00:00.000,240.3404166666666,-58.39861111111111,14.618,14.79,97.9,3.9,24.0,7.45,348.7
2023-08-30 00:00:00.000,240.27499999999992,-58.159166666666664,14.713,14.817,93.9,3.9,24.0,7.1,355.1
2023-09-04 00:00:00.000,240.26249999999993,-57.92777777777778,14.809,14.843,90.0,3.9,24.1,6.8,1.8
2023-09-09 00:00:00.000,240.30124999999995,-57.70638888888889,14.906,14.87,86.0,3.9,24.1,6.56,8.9
2024-03-02 00:00:00.000,250.64749999999995,-58.035,15.845,15.792,85.1,3.6,24.5,4.92,197.4
2024-03-07 00:00:00.000,250.52874999999995,-58.19027777777777,15.8,15.818,89.2,3.6,24.5,5.16,206.5
2024-03-12 00:00:00.000,250.35666666666665,-58.342222222222226,15.755,15.844,93.4,3.6,24.5,5.47,214.9
2024-03-17 00:00:00.000,250.1308333333333,-58.48888888888889,15.71,15.87,97.5,3.6,24.5,5.85,222.6
2024-03-22 00:00:00.000,249.8516666666666,-58.62888888888889,15.666,15.896,101.6,3.5,24.5,6.28,229.5
2024-03-27 00:00:00.000,249.51999999999998,-58.760555555555555,15.624,15.922,105.6,3.5,24.5,6.74,235.6
2024-04-01 00:00:00.000,249.13708333333332,-58.88194444444444,15.585,15.948,109.6,3.4,24.5,7.22,241.2
2024-04-06 00:00:00.000,248.7045833333333,-58.99194444444444,15.548,15.974,113.5,3.3,24.5,7.71,246.2
2024-04-11 00:00:00.000,248.22458333333333,-59.08861111111111,15.514,16.0,117.4,3.2,24.5,8.2,250.9
2024-04-16 00:00:00.000,247.70083333333332,-59.17027777777778,15.484,16.026,121.1,3.1,24.5,8.66,255.2
2024-04-21 00:00:00.000,247.1366666666666,-59.23583333333333,15.458,16.052,124.7,2.9,24.5,9.1,259.2
2024-04-26 00:00:00.000,246.5375,-59.28361111111111,15.437,16.078,128.1,2.8,24.5,9.51,263.0
2024-05-01 00:00:00.000,245.9070833333333,-59.31333333333333,15.421,16.104,131.3,2.7,24.5,9.88,266.5
2024-05-06 00:00:00.000,245.2508333333333,-59.32333333333334,15.409,16.13,134.2,2.6,24.5,10.21,270.0
2024-06-30 00:00:00.000,238.06541666666664,-58.151666666666664,15.686,16.414,134.4,2.5,24.6,10.19,305.0
2024-07-05 00:00:00.000,237.55874999999997,-57.95194444444445,15.747,16.44,131.6,2.7,24.6,9.88,308.4
2024-07-10 00:00:00.000,237.0945833333333,-57.74305555555556,15.814,16.465,128.5,2.8,24.7,9.53,312.0
2024-07-15 00:00:00.000,236.67499999999998,-57.527499999999996,15.885,16.491,125.1,2.9,24.7,9.15,315.7
2024-07-20 00:00:00.000,236.3020833333333,-57.30694444444444,15.961,16.517,121.7,3.0,24.7,8.75,319.6
2024-07-25 00:00:00.000,235.9758333333333,-57.08361111111111,16.041,16.543,118.0,3.1,24.7,8.34,323.8
2024-07-30 00:00:00.000,235.69791666666663,-56.85888888888889,16.125,16.568,114.3,3.2,24.7,7.93,328.3
2024-08-04 00:00:00.000,235.46791666666664,-56.635,16.212,16.594,110.5,3.3,24.7,7.51,333.1
2024-08-09 00:00:00.000,235.28583333333333,-56.41305555555555,16.302,16.62,106.6,3.4,24.8,7.11,338.3
2024-08-14 00:00:00.000,235.15124999999998,-56.19499999999999,16.394,16.645,102.7,3.4,24.8,6.72,344.0
2024-08-19 00:00:00.000,235.06333333333328,-55.9825,16.488,16.671,98.7,3.4,24.8,6.38,350.1
2024-08-24 00:00:00.000,235.01999999999995,-55.776666666666664,16.583,16.697,94.7,3.5,24.8,6.08,356.6
2024-08-29 00:00:00.000,235.02041666666662,-55.578611111111115,16.679,16.722,90.7,3.5,24.8,5.83,3.6
2024-09-03 00:00:00.000,235.06249999999997,-55.38944444444444,16.775,16.748,86.7,3.4,24.9,5.63,10.9
2025-03-02 00:00:00.000,244.02958333333328,-56.025555555555556,17.655,17.662,88.8,3.2,25.2,4.36,206.6
2025-03-07 00:00:00.000,243.89083333333332,-56.15333333333333,17.608,17.687,93.0,3.2,25.2,4.62,215.6
2025-03-12 00:00:00.000,243.70791666666665,-56.275555555555556,17.561,17.712,97.1,3.2,25.2,4.94,223.8
2025-03-17 00:00:00.000,243.4808333333333,-56.39083333333333,17.515,17.737,101.3,3.2,25.2,5.31,231.0
2025-03-22 00:00:00.000,243.21083333333328,-56.49777777777778,17.471,17.762,105.4,3.1,25.2,5.72,237.5
2025-03-27 00:00:00.000,242.89874999999995,-56.59527777777778,17.429,17.787,109.5,3.0,25.2,6.15,243.3
2025-04-01 00:00:00.000,242.54583333333332,-56.68194444444444,17.39,17.813,113.5,2.9,25.2,6.6,248.5
2025-04-06 00:00:00.000,242.15458333333328,-56.75611111111111,17.354,17.838,117.5,2.9,25.2,7.03,253.2
2025-04-11 00:00:00.000,241.72791666666663,-56.81722222222223,17.321,17.863,121.3,2.7,25.2,7.45,257.5
2025-04-16 00:00:00.000,241.2691666666666,-56.86361111111111,17.293,17.888,125.0,2.6,25.2,7.86,261.4
2025-04-21 00:00:00.000,240.78166666666667,-56.894999999999996,17.269,17.913,128.6,2.5,25.2,8.24,265.1
2025-04-26 00:00:00.000,240.26874999999993,-56.91027777777778,17.25,17.938,131.9,2.4,25.2,8.59,268.6
2025-06-30 00:00:00.000,233.42916666666665,-55.63666666666666,17.547,18.262,133.6,2.3,25.3,8.76,308.4
2025-07-05 00:00:00.000,233.04125,-55.452222222222225,17.612,18.287,130.4,2.4,25.4,8.45,311.8
2025-07-10 00:00:00.000,232.68916666666664,-55.26166666666666,17.681,18.312,127.1,2.5,25.4,8.12,315.4
2025-07-15 00:00:00.000,232.37416666666664,-55.0675,17.756,18.337,123.5,2.6,25.4,7.77,319.1
2025-07-20 00:00:00.000,232.0975,-54.870555555555555,17.834,18.362,119.9,2.8,25.4,7.41,323.2
2025-07-25 00:00:00.000,231.85999999999996,-54.672777777777775,17.917,18.387,116.1,2.8,25.4,7.03,327.6
2025-07-30 00:00:00.000,231.66291666666666,-54.47555555555556,18.003,18.411,112.3,2.9,25.4,6.66,332.3
2025-08-04 00:00:00.000,231.50541666666663,-54.280277777777776,18.092,18.436,108.3,3.0,25.4,6.29,337.5
2025-08-09 00:00:00.000,231.38708333333332,-54.08861111111111,18.183,18.461,104.4,3.0,25.5,5.94,343.0
2025-08-14 00:00:00.000,231.30791666666664,-53.901666666666664,18.277,18.486,100.4,3.1,25.5,5.63,349.1
2025-08-19 00:00:00.000,231.2670833333333,-53.720555555555556,18.372,18.511,96.3,3.1,25.5,5.35,355.8
2025-08-24 00:00:00.000,231.2633333333333,-53.54611111111111,18.468,18.535,92.3,3.1,25.5,5.12,2.9
2025-08-29 00:00:00.000,231.2958333333333,-53.37972222222222,18.564,18.56,88.2,3.1,25.5,4.94,10.4
2026-02-25 00:00:00.000,239.29124999999996,-54.038888888888884,19.463,19.444,87.4,2.9,25.8,3.74,203.9
2026-03-02 00:00:00.000,239.18624999999997,-54.150555555555556,19.414,19.468,91.7,2.9,25.8,3.94,213.6
2026-03-07 00:00:00.000,239.04374999999996,-54.25694444444444,19.365,19.492,95.9,2.9,25.8,4.2,222.4
2026-03-12 00:00:00.000,238.8633333333333,-54.356944444444444,19.317,19.517,100.2,2.9,25.8,4.52,230.3
2026-03-17 00:00:00.000,238.64624999999998,-54.44916666666666,19.27,19.541,104.4,2.8,25.8,4.88,237.2
2026-03-22 00:00:00.000,238.39291666666665,-54.532777777777774,19.226,19.565,108.5,2.8,25.8,5.27,243.4
2026-03-27 00:00:00.000,238.10499999999996,-54.60638888888889,19.184,19.59,112.6,2.7,25.8,5.67,248.9
2026-04-01 00:00:00.000,237.7845833333333,-54.66888888888889,19.145,19.614,116.7,2.6,25.8,6.07,253.7
2026-04-06 00:00:00.000,237.43374999999997,-54.719722222222224,19.109,19.638,120.6,2.5,25.8,6.47,258.1
2026-04-11 00:00:00.000,237.05499999999998,-54.757777777777775,19.078,19.662,124.5,2.4,25.8,6.85,262.1
2026-04-16 00:00:00.000,236.6508333333333,-54.7825,19.051,19.687,128.2,2.3,25.8,7.21,265.8
2026-04-21 00:00:00.000,236.2245833333333,-54.793055555555554,19.029,19.711,131.7,2.2,25.8,7.54,269.3
2026-04-26 00:00:00.000,235.77999999999997,-54.788888888888884,19.012,19.735,134.9,2.1,25.8,7.83,272.5
2026-06-30 00:00:00.000,230.07791666666665,-53.48722222222222,19.345,20.049,132.8,2.1,26.0,7.67,310.6
2026-07-05 00:00:00.000,229.76666666666665,-53.318333333333335,19.412,20.073,129.4,2.2,26.0,7.38,314.0
2026-07-10 00:00:00.000,229.48624999999998,-53.14555555555555,19.484,20.097,125.9,2.3,26.0,7.07,317.6
2026-07-15 00:00:00.000,229.23749999999998,-52.97027777777778,19.561,20.121,122.2,2.4,26.0,6.74,321.5
2026-07-20 00:00:00.000,229.02249999999998,-52.79416666666666,19.642,20.145,118.4,2.5,26.0,6.4,325.7
2026-07-25 00:00:00.000,228.8408333333333,-52.61833333333333,19.726,20.169,114.5,2.6,26.0,6.05,330.3
2026-07-30 00:00:00.000,228.69333333333327,-52.44416666666666,19.814,20.193,110.6,2.7,26.0,5.71,335.3
2026-08-04 00:00:00.000,228.5795833333333,-52.272777777777776,19.904,20.217,106.6,2.8,26.1,5.39,340.7
2026-08-09 00:00:00.000,228.49916666666664,-52.105000000000004,19.997,20.241,102.5,2.8,26.1,5.09,346.7
2026-08-14 00:00:00.000,228.4525,-51.942499999999995,20.091,20.265,98.5,2.8,26.1,4.82,353.3
2026-08-19 00:00:00.000,228.4383333333333,-51.78611111111111,20.187,20.289,94.4,2.9,26.1,4.6,0.5
2026-08-24 00:00:00.000,228.45624999999998,-51.63638888888889,20.283,20.313,90.3,2.9,26.1,4.42,8.1
2026-08-29 00:00:00.000,228.50499999999997,-51.49444444444445,20.379,20.337,86.2,2.8,26.1,4.3,16.0
2027-02-20 00:00:00.000,235.68499999999997,-52.25333333333333,21.225,21.17,85.4,2.7,26.4,3.27,199.0
2027-02-25 00:00:00.000,235.61041666666662,-52.35416666666667,21.174,21.193,89.7,2.7,26.4,3.4,209.4
2027-03-02 00:00:00.000,235.50291666666664,-52.45,21.124,21.217,94.0,2.7,26.4,3.6,219.0
2027-03-07 00:00:00.000,235.36249999999998,-52.540277777777774,21.074,21.24,98.3,2.6,26.4,3.87,227.7
2027-03-12 00:00:00.000,235.1895833333333,-52.623333333333335,21.025,21.264,102.6,2.6,26.4,4.19,235.4
2027-03-17 00:00:00.000,234.98458333333332,-52.69833333333333,20.977,21.287,106.9,2.6,26.4,4.53,242.0
2027-03-22 00:00:00.000,234.74958333333328,-52.764722222222225,20.933,21.311,111.1,2.5,26.4,4.9,247.8
2027-03-27 00:00:00.000,234.48541666666662,-52.821111111111115,20.891,21.335,115.2,2.4,26.4,5.27,253.0
2027-04-01 00:00:00.000,234.1945833333333,-52.867222222222225,20.852,21.358,119.3,2.3,26.4,5.64,257.6
2027-04-06 00:00:00.000,233.87791666666664,-52.901944444444446,20.817,21.382,123.2,2.2,26.4,6.0,261.7
2027-04-11 00:00:00.000,233.53874999999996,-52.92472222222222,20.786,21.405,127.1,2.1,26.4,6.35,265.5
2027-04-16 00:00:00.000,233.17916666666662,-52.934999999999995,20.761,21.429,130.7,2.0,26.4,6.66,269.0
2027-04-21 00:00:00.000,232.8025,-52.9325,20.74,21.452,134.2,1.9,26.4,6.95,272.3
2027-06-30 00:00:00.000,227.5308333333333,-51.63611111111111,21.086,21.78,132.0,2.0,26.5,6.83,312.2
2027-07-05 00:00:00.000,227.27249999999998,-51.48166666666667,21.155,21.803,128.5,2.1,26.5,6.55,315.6
2027-07-10 00:00:00.000,227.04124999999996,-51.324444444444445,21.229,21.827,124.9,2.2,26.5,6.25,319.3
2027-07-15 00:00:00.000,226.8383333333333,-51.16611111111111,21.308,21.85,121.1,2.3,26.5,5.94,323.3
2027-07-20 00:00:00.000,226.66416666666663,-51.0075,21.39,21.873,117.2,2.4,26.6,5.62,327.6
2027-07-25 00:00:00.000,226.51916666666665,-50.85,21.476,21.897,113.2,2.4,26.6,5.3,332.3
2027-07-30 00:00:00.000,226.40416666666667,-50.69472222222222,21.565,21.92,109.2,2.5,26.6,5.0,337.6
2027-08-04 00:00:00.000,226.31874999999997,-50.54222222222222,21.656,21.943,105.2,2.6,26.6,4.71,343.4
