Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-11-13 00:00:00.000,144.67791666666665,17.01638888888889,18.178,18.182,88.6,3.1,27.4,1.1,220.9
2023-11-18 00:00:00.000,144.64083333333332,16.9925,18.115,18.206,93.7,3.1,27.4,1.53,246.7
2023-11-23 00:00:00.000,144.57958333333332,16.97611111111111,18.053,18.23,98.8,3.1,27.4,2.13,259.7
2023-11-28 00:00:00.000,144.49458333333334,16.966944444444444,17.991,18.254,103.9,3.0,27.4,2.79,266.7
2023-12-03 00:00:00.000,144.38583333333332,16.96527777777778,17.932,18.278,109.1,2.9,27.4,3.47,270.9
2023-12-08 00:00:00.000,144.25291666666666,16.970555555555553,17.875,18.302,114.3,2.8,27.4,4.15,273.6
2023-12-13 00:00:00.000,144.0975,16.982499999999998,17.821,18.325,119.5,2.7,27.4,4.82,275.4
2023-12-18 00:00:00.000,143.91916666666665,17.000833333333333,17.771,18.349,124.7,2.5,27.4,5.46,276.7
2023-12-23 00:00:00.000,143.71999999999997,17.025,17.725,18.373,130.0,2.4,27.4,6.06,277.6
2024-03-22 00:00:00.000,138.7270833333333,17.693333333333335,18.093,18.801,134.2,2.2,27.5,6.28,273.1
2024-03-27 00:00:00.000,138.5170833333333,17.701666666666664,18.18,18.825,129.1,2.4,27.5,5.72,271.6
2024-04-01 00:00:00.000,138.3275,17.703888888888887,18.273,18.849,123.9,2.5,27.6,5.13,269.7
2024-04-06 00:00:00.000,138.1583333333333,17.7,18.369,18.872,118.9,2.7,27.6,4.52,267.3
2024-04-11 00:00:00.000,138.01166666666663,17.689722222222223,18.469,18.896,113.8,2.8,27.6,3.9,264.1
2024-04-16 00:00:00.000,137.88708333333332,17.673055555555557,18.572,18.92,108.8,2.9,27.6,3.29,259.6
2024-04-21 00:00:00.000,137.78499999999997,17.650277777777777,18.678,18.943,103.9,3.0,27.6,2.7,253.1
2024-04-26 00:00:00.000,137.70624999999998,17.621111111111112,18.785,18.967,98.9,3.0,27.6,2.16,243.3
2024-05-01 00:00:00.000,137.64999999999998,17.585555555555555,18.893,18.991,94.0,3.0,27.7,1.73,228.1
2024-05-06 00:00:00.000,137.61624999999998,17.54416666666667,19.002,19.014,89.2,3.0,27.7,1.48,205.6
2024-11-12 00:00:00.000,142.54874999999998,14.371944444444445,19.89,19.906,89.5,2.9,28.0,1.31,218.0
2024-11-17 00:00:00.000,142.51041666666666,14.340833333333334,19.826,19.929,94.5,2.8,28.0,1.66,239.8
2024-11-22 00:00:00.000,142.45041666666663,14.316111111111113,19.763,19.952,99.6,2.8,28.0,2.16,252.9
2024-11-27 00:00:00.000,142.3683333333333,14.298333333333334,19.701,19.976,104.8,2.7,28.0,2.72,260.8
2024-12-02 00:00:00.000,142.26541666666662,14.287222222222223,19.642,19.999,109.9,2.7,28.0,3.32,265.9
2024-12-07 00:00:00.000,142.14083333333332,14.28277777777778,19.584,20.022,115.1,2.6,28.0,3.92,269.4
2024-12-12 00:00:00.000,141.9958333333333,14.284444444444444,19.53,20.045,120.3,2.4,28.0,4.5,271.8
2024-12-17 00:00:00.000,141.83124999999998,14.292222222222222,19.481,20.069,125.6,2.3,28.0,5.07,273.6
2024-12-22 00:00:00.000,141.64833333333334,14.305833333333334,19.435,20.092,130.8,2.1,28.0,5.61,275.0
2025-03-22 00:00:00.000,137.18291666666664,14.929722222222221,19.806,20.509,133.9,2.0,28.1,5.61,276.4
2025-03-27 00:00:00.000,136.9995833333333,14.948333333333334,19.892,20.532,128.7,2.2,28.1,5.08,275.5
2025-04-01 00:00:00.000,136.83416666666668,14.962222222222222,19.984,20.555,123.6,2.3,28.1,4.53,274.3
2025-04-06 00:00:00.000,136.68833333333333,14.970833333333333,20.08,20.578,118.6,2.4,28.1,3.96,272.7
2025-04-11 00:00:00.000,136.56166666666664,14.974444444444444,20.18,20.601,113.5,2.6,28.2,3.37,270.4
2025-04-16 00:00:00.000,136.45541666666668,14.9725,20.283,20.624,108.6,2.6,28.2,2.79,267.2
2025-04-21 00:00:00.000,136.3695833333333,14.965277777777777,20.388,20.647,103.6,2.7,28.2,2.21,262.2
2025-04-26 00:00:00.000,136.3045833333333,14.952499999999999,20.494,20.67,98.7,2.8,28.2,1.66,253.6
2025-05-01 00:00:00.000,136.26,14.934166666666666,20.602,20.693,93.8,2.8,28.2,1.18,237.2
2025-05-06 00:00:00.000,136.23624999999998,14.91,20.711,20.716,88.9,2.8,28.2,0.9,206.6
2025-11-07 00:00:00.000,140.82874999999999,12.164166666666667,21.623,21.561,85.1,2.6,28.5,1.38,191.7
2025-11-12 00:00:00.000,140.8095833333333,12.121944444444445,21.559,21.584,90.1,2.6,28.5,1.45,215.9
2025-11-17 00:00:00.000,140.77041666666665,12.085833333333333,21.494,21.606,95.2,2.6,28.5,1.74,235.3
2025-11-22 00:00:00.000,140.71166666666664,12.055833333333334,21.431,21.629,100.3,2.6,28.5,2.17,248.1
2025-11-27 00:00:00.000,140.63333333333333,12.032222222222224,21.369,21.652,105.4,2.5,28.5,2.66,256.5
2025-12-02 00:00:00.000,140.53541666666666,12.014444444444445,21.309,21.674,110.5,2.4,28.5,3.19,262.1
2025-12-07 00:00:00.000,140.41833333333332,12.003055555555555,21.252,21.697,115.7,2.3,28.5,3.71,266.1
2025-12-12 00:00:00.000,140.28291666666667,11.997499999999999,21.198,21.72,120.9,2.2,28.5,4.24,269.0
2025-12-17 00:00:00.000,140.13,11.997777777777777,21.148,21.742,126.1,2.1,28.5,4.75,271.2
2025-12-22 00:00:00.000,139.95999999999998,12.004166666666666,21.103,21.765,131.3,1.9,28.5,5.23,272.9
2026-03-22 00:00:00.000,135.90708333333333,12.594444444444445,21.473,22.171,133.5,1.9,28.6,5.09,279.4
2026-03-27 00:00:00.000,135.74374999999998,12.620277777777778,21.56,22.193,128.4,2.0,28.6,4.6,279.0
2026-04-01 00:00:00.000,135.5970833333333,12.6425,21.651,22.215,123.3,2.2,28.6,4.09,278.5
2026-04-06 00:00:00.000,135.46791666666667,12.660277777777779,21.746,22.238,118.3,2.3,28.7,3.55,277.6
2026-04-11 00:00:00.000,135.35666666666665,12.673888888888888,21.845,22.26,113.3,2.4,28.7,3.01,276.4
2026-04-16 00:00:00.000,135.26375,12.682777777777778,21.947,22.283,108.3,2.5,28.7,2.45,274.6
2026-04-21 00:00:00.000,135.18999999999997,12.686666666666667,22.052,22.305,103.4,2.5,28.7,1.89,271.4
2026-04-26 00:00:00.000,135.135,12.685833333333333,22.158,22.328,98.4,2.6,28.7,1.33,265.5
2026-05-01 00:00:00.000,135.09916666666663,12.679722222222221,22.265,22.35,93.6,2.6,28.7,0.82,251.8
2026-05-06 00:00:00.000,135.08166666666665,12.66861111111111,22.372,22.372,88.7,2.6,28.7,0.48,210.5
2026-11-07 00:00:00.000,139.37249999999997,10.224444444444444,23.25,23.196,85.6,2.4,29.0,1.47,193.4
2026-11-12 00:00:00.000,139.3520833333333,10.179722222222221,23.186,23.218,90.6,2.4,29.0,1.54,214.7
2026-11-17 00:00:00.000,139.31291666666664,10.140277777777778,23.121,23.24,95.7,2.4,29.0,1.79,232.2
2026-11-22 00:00:00.000,139.2558333333333,10.106388888888889,23.058,23.262,100.7,2.4,29.0,2.16,244.5
2026-11-27 00:00:00.000,139.18083333333334,10.078333333333333,22.995,23.284,105.8,2.3,29.0,2.6,253.0
2026-12-02 00:00:00.000,139.08791666666667,10.055833333333334,22.935,23.306,110.9,2.3,29.0,3.06,259.0
2026-12-07 00:00:00.000,138.9775,10.039444444444444,22.878,23.328,116.1,2.2,29.0,3.54,263.4
2026-12-12 00:00:00.000,138.84999999999997,10.02888888888889,22.824,23.35,121.3,2.1,29.0,4.01,266.7
2026-12-17 00:00:00.000,138.70624999999998,10.023888888888889,22.774,23.372,126.4,1.9,29.0,4.47,269.2
2026-12-22 00:00:00.000,138.54749999999999,10.024722222222223,22.729,23.394,131.6,1.8,29.0,4.9,271.2
2027-03-22 00:00:00.000,134.82624999999996,10.588055555555556,23.098,23.79,133.1,1.8,29.1,4.68,282.1
2027-03-27 00:00:00.000,134.67874999999998,10.619166666666667,23.184,23.812,128.1,1.9,29.1,4.23,282.2
2027-04-01 00:00:00.000,134.54625,10.647222222222222,23.275,23.834,123.0,2.0,29.1,3.75,282.2
2027-04-06 00:00:00.000,134.42999999999998,10.671944444444444,23.369,23.856,118.0,2.1,29.1,3.25,282.1
2027-04-11 00:00:00.000,134.33083333333332,10.6925,23.468,23.878,113.0,2.2,29.1,2.74,281.9
2027-04-16 00:00:00.000,134.24874999999997,10.709444444444443,23.569,23.899,108.1,2.3,29.1,2.21,281.4
2027-04-21 00:00:00.000,134.18374999999997,10.721666666666668,23.672,23.921,103.2,2.3,29.2,1.68,280.5
2027-04-26 00:00:00.000,134.13625,10.729722222222222,23.778,23.943,98.3,2.4,29.2,1.15,278.5
2027-05-01 00:00:00.000,134.10625,10.733055555555556,23.884,23.965,93.4,2.4,29.2,0.63,272.6
2027-05-06 00:00:00.000,134.09374999999997,10.731666666666667,23.991,23.987,88.6,2.4,29.2,0.17,226.4
