Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-09-29 00:00:00.000,96.34208333333332,7.767777777777778,14.822,14.835,88.8,3.9,22.6,1.27,192.8
2023-10-04 00:00:00.000,96.31833333333333,7.726944444444444,14.768,14.864,93.6,3.9,22.6,1.66,223.4
2023-10-09 00:00:00.000,96.26541666666667,7.687777777777778,14.715,14.893,98.3,3.8,22.6,2.31,240.1
2023-10-14 00:00:00.000,96.18333333333332,7.650555555555556,14.663,14.922,103.2,3.7,22.6,3.07,249.5
2023-10-19 00:00:00.000,96.07249999999999,7.616111111111111,14.612,14.951,108.0,3.6,22.6,3.86,255.3
2023-10-24 00:00:00.000,95.93249999999999,7.585277777777778,14.564,14.98,112.9,3.5,22.6,4.66,259.3
2023-10-29 00:00:00.000,95.765,7.558888888888888,14.519,15.009,117.8,3.4,22.6,5.44,262.3
2023-11-03 00:00:00.000,95.57041666666665,7.536944444444444,14.477,15.038,122.8,3.2,22.6,6.2,264.6
2023-11-08 00:00:00.000,95.35041666666665,7.520277777777777,14.44,15.067,127.7,3.0,22.6,6.93,266.6
2023-11-13 00:00:00.000,95.10624999999997,7.509444444444444,14.408,15.096,132.6,2.8,22.6,7.61,268.3
2024-02-06 00:00:00.000,89.77374999999999,8.429166666666665,14.912,15.584,131.6,2.7,22.8,7.57,295.3
2024-02-11 00:00:00.000,89.55541666666666,8.539166666666667,15.003,15.612,126.6,2.9,22.8,6.96,298.7
2024-02-16 00:00:00.000,89.36291666666666,8.651944444444444,15.1,15.641,121.7,3.1,22.8,6.33,302.8
2024-02-21 00:00:00.000,89.19749999999999,8.7675,15.2,15.669,116.7,3.2,22.9,5.71,307.8
2024-02-26 00:00:00.000,89.05875,8.884722222222221,15.304,15.698,111.7,3.4,22.9,5.11,313.8
2024-03-02 00:00:00.000,88.94833333333332,9.003333333333334,15.411,15.726,106.8,3.5,22.9,4.57,321.3
2024-03-07 00:00:00.000,88.86625,9.1225,15.52,15.755,101.9,3.5,22.9,4.11,330.6
2024-03-12 00:00:00.000,88.81249999999999,9.241666666666665,15.631,15.783,97.0,3.6,23.0,3.76,341.8
2024-03-17 00:00:00.000,88.78666666666666,9.36,15.743,15.811,92.1,3.6,23.0,3.56,354.4
2024-03-22 00:00:00.000,88.78875,9.477222222222222,15.855,15.84,87.3,3.6,23.0,3.53,7.6
2024-09-28 00:00:00.000,95.90541666666667,10.807777777777778,16.887,16.901,89.1,3.4,23.4,0.83,196.2
2024-10-03 00:00:00.000,95.885,10.781666666666668,16.831,16.929,93.9,3.4,23.4,1.25,232.3
2024-10-08 00:00:00.000,95.83833333333334,10.756944444444445,16.775,16.956,98.8,3.3,23.4,1.89,247.7
2024-10-13 00:00:00.000,95.76625,10.733888888888888,16.72,16.984,103.7,3.3,23.4,2.59,255.3
2024-10-18 00:00:00.000,95.66833333333331,10.713055555555554,16.667,17.011,108.6,3.2,23.4,3.31,259.8
2024-10-23 00:00:00.000,95.54541666666665,10.694722222222222,16.617,17.039,113.5,3.1,23.4,4.02,262.8
2024-10-28 00:00:00.000,95.39791666666666,10.679722222222221,16.57,17.066,118.5,2.9,23.4,4.72,265.1
2024-11-02 00:00:00.000,95.22708333333333,10.668055555555554,16.526,17.093,123.5,2.8,23.4,5.4,266.9
2024-11-07 00:00:00.000,95.03291666666665,10.660277777777779,16.486,17.121,128.5,2.6,23.4,6.04,268.4
2024-11-12 00:00:00.000,94.81791666666665,10.656666666666666,16.452,17.148,133.5,2.4,23.4,6.64,269.7
2025-02-05 00:00:00.000,90.0925,11.369444444444445,16.926,17.611,132.8,2.4,23.6,6.55,291.4
2025-02-10 00:00:00.000,89.89583333333331,11.450277777777776,17.017,17.638,127.8,2.5,23.6,5.99,294.3
2025-02-15 00:00:00.000,89.72125,11.53361111111111,17.112,17.665,122.7,2.7,23.6,5.42,297.8
2025-02-20 00:00:00.000,89.57,11.618611111111111,17.211,17.692,117.7,2.8,23.7,4.84,302.2
2025-02-25 00:00:00.000,89.44249999999998,11.705277777777777,17.314,17.719,112.6,3.0,23.7,4.27,307.8
2025-03-02 00:00:00.000,89.33999999999999,11.792777777777777,17.42,17.746,107.7,3.1,23.7,3.73,315.0
2025-03-07 00:00:00.000,89.26291666666665,11.881111111111112,17.529,17.773,102.7,3.1,23.7,3.26,324.4
2025-03-12 00:00:00.000,89.21083333333333,11.969166666666666,17.639,17.8,97.7,3.2,23.7,2.89,336.4
2025-03-17 00:00:00.000,89.18416666666666,12.057222222222222,17.75,17.827,92.8,3.2,23.8,2.66,350.8
2025-03-22 00:00:00.000,89.18166666666666,12.144444444444444,17.862,17.854,88.0,3.2,23.8,2.62,6.4
2025-09-28 00:00:00.000,95.58374999999998,13.196388888888889,18.85,18.864,89.3,3.0,24.1,0.53,201.6
2025-10-03 00:00:00.000,95.56541666666665,13.180277777777777,18.792,18.89,94.1,3.0,24.1,0.99,241.8
2025-10-08 00:00:00.000,95.52416666666664,13.165277777777778,18.734,18.916,99.0,3.0,24.1,1.61,254.4
2025-10-13 00:00:00.000,95.45958333333331,13.151666666666667,18.677,18.942,103.9,2.9,24.1,2.26,260.2
2025-10-18 00:00:00.000,95.37208333333331,13.139722222222222,18.623,18.969,108.9,2.8,24.1,2.91,263.5
2025-10-23 00:00:00.000,95.26166666666664,13.129722222222222,18.57,18.995,113.9,2.7,24.1,3.56,265.8
2025-10-28 00:00:00.000,95.12874999999998,13.122222222222224,18.521,19.021,118.9,2.6,24.1,4.2,267.5
2025-11-02 00:00:00.000,94.97499999999998,13.1175,18.476,19.047,123.9,2.5,24.1,4.8,268.8
2025-11-07 00:00:00.000,94.80083333333332,13.115555555555556,18.434,19.073,129.0,2.3,24.1,5.37,269.9
2025-11-12 00:00:00.000,94.60749999999999,13.116666666666667,18.398,19.099,134.0,2.1,24.1,5.91,270.8
2026-02-05 00:00:00.000,90.33416666666666,13.691944444444445,18.847,19.541,133.7,2.1,24.3,5.84,288.2
2026-02-10 00:00:00.000,90.15333333333332,13.75361111111111,18.936,19.567,128.6,2.3,24.3,5.33,290.7
2026-02-15 00:00:00.000,89.99249999999999,13.816944444444443,19.03,19.593,123.5,2.4,24.3,4.79,293.7
2026-02-20 00:00:00.000,89.85249999999999,13.881666666666668,19.128,19.618,118.4,2.5,24.3,4.24,297.6
2026-02-25 00:00:00.000,89.73458333333332,13.947777777777778,19.231,19.644,113.4,2.7,24.4,3.7,302.6
2026-03-02 00:00:00.000,89.63874999999999,14.014444444444445,19.336,19.67,108.3,2.7,24.4,3.18,309.2
2026-03-07 00:00:00.000,89.56541666666665,14.081388888888888,19.443,19.696,103.3,2.8,24.4,2.7,318.2
2026-03-12 00:00:00.000,89.515,14.14861111111111,19.553,19.722,98.4,2.9,24.4,2.32,330.6
2026-03-17 00:00:00.000,89.48749999999998,14.215833333333332,19.663,19.747,93.4,2.9,24.4,2.06,346.7
2026-03-22 00:00:00.000,89.48208333333332,14.2825,19.774,19.773,88.5,2.9,24.4,2.0,5.2
2026-09-28 00:00:00.000,95.33374999999998,15.141388888888889,20.727,20.739,89.3,2.8,24.8,0.33,209.1
2026-10-03 00:00:00.000,95.31791666666665,15.132222222222223,20.667,20.765,94.2,2.8,24.7,0.81,251.2
2026-10-08 00:00:00.000,95.28041666666665,15.124166666666667,20.608,20.79,99.1,2.7,24.7,1.41,260.5
2026-10-13 00:00:00.000,95.22166666666665,15.116944444444444,20.55,20.815,104.1,2.7,24.7,2.02,264.5
2026-10-18 00:00:00.000,95.14208333333332,15.111388888888888,20.494,20.84,109.0,2.6,24.7,2.62,266.8
2026-10-23 00:00:00.000,95.04124999999998,15.107222222222221,20.44,20.865,114.0,2.5,24.7,3.21,268.3
2026-10-28 00:00:00.000,94.92041666666665,15.105,20.389,20.89,119.1,2.4,24.7,3.78,269.4
2026-11-02 00:00:00.000,94.78041666666665,15.105,20.342,20.915,124.1,2.3,24.7,4.34,270.3
2026-11-07 00:00:00.000,94.62124999999999,15.106944444444444,20.3,20.94,129.2,2.1,24.7,4.87,271.1
2026-11-12 00:00:00.000,94.44499999999998,15.111388888888888,20.262,20.965,134.3,1.9,24.7,5.36,271.8
2027-02-05 00:00:00.000,90.52333333333333,15.59,20.688,21.389,134.4,1.9,24.9,5.3,285.6
2027-02-10 00:00:00.000,90.35541666666666,15.638055555555555,20.776,21.414,129.3,2.0,24.9,4.82,287.7
2027-02-15 00:00:00.000,90.20583333333333,15.6875,20.869,21.439,124.2,2.2,24.9,4.32,290.3
