Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-01 00:00:00.000,197.66416666666663,9.338333333333335,13.948,14.052,93.8,4.1,22.7,4.87,175.1
2023-07-06 00:00:00.000,197.69166666666663,9.171944444444444,14.047,14.071,89.3,4.1,22.7,5.27,166.8
2024-01-12 00:00:00.000,207.47916666666663,3.090277777777778,14.827,14.803,86.6,3.8,23.1,3.09,094.7
2024-01-17 00:00:00.000,207.5683333333333,3.0875000000000004,14.763,14.822,91.5,3.8,23.1,2.27,088.2
2024-01-22 00:00:00.000,207.63041666666663,3.095,14.699,14.841,96.4,3.8,23.1,1.5,075.3
2024-01-27 00:00:00.000,207.66541666666666,3.112777777777778,14.636,14.861,101.3,3.7,23.0,0.92,043.2
2024-02-01 00:00:00.000,207.67291666666665,3.1397222222222223,14.574,14.88,106.3,3.6,23.0,0.97,348.5
2024-02-06 00:00:00.000,207.65249999999997,3.1755555555555555,14.515,14.9,111.2,3.5,23.0,1.57,319.8
2024-02-11 00:00:00.000,207.605,3.2194444444444446,14.458,14.919,116.1,3.4,23.0,2.32,308.0
2024-02-16 00:00:00.000,207.53083333333333,3.270277777777778,14.404,14.939,121.1,3.2,23.0,3.08,301.9
2024-02-21 00:00:00.000,207.4308333333333,3.3274999999999997,14.355,14.958,126.1,3.1,23.0,3.82,298.0
2024-02-26 00:00:00.000,207.30624999999998,3.3894444444444445,14.31,14.978,131.0,2.9,23.0,4.52,295.2
2024-05-26 00:00:00.000,203.24124999999995,4.0938888888888885,14.613,15.33,133.6,2.7,23.2,5.46,259.0
2024-05-31 00:00:00.000,203.07166666666663,4.053333333333333,14.692,15.349,128.9,2.9,23.2,4.97,253.9
2024-06-05 00:00:00.000,202.92208333333332,4.001666666666667,14.776,15.369,124.2,3.1,23.2,4.5,247.5
2024-06-10 00:00:00.000,202.79458333333332,3.938888888888889,14.863,15.389,119.5,3.3,23.2,4.05,239.6
2024-06-15 00:00:00.000,202.68916666666664,3.865,14.954,15.408,114.8,3.4,23.3,3.68,229.7
2024-06-20 00:00:00.000,202.60708333333332,3.7805555555555554,15.048,15.428,110.1,3.5,23.3,3.42,218.0
2024-06-25 00:00:00.000,202.54874999999996,3.6855555555555557,15.145,15.448,105.5,3.6,23.3,3.3,204.8
2024-06-30 00:00:00.000,202.5145833333333,3.580833333333333,15.244,15.467,100.8,3.7,23.3,3.35,191.4
2024-07-05 00:00:00.000,202.505,3.466666666666667,15.344,15.487,96.2,3.7,23.3,3.57,178.8
2024-07-10 00:00:00.000,202.51958333333332,3.3433333333333333,15.445,15.507,91.6,3.8,23.3,3.91,168.1
2024-07-15 00:00:00.000,202.5583333333333,3.211666666666667,15.546,15.526,87.0,3.7,23.4,4.35,159.5
2025-01-16 00:00:00.000,211.19416666666663,-1.8386111111111112,16.295,16.258,86.1,3.5,23.7,2.6,102.1
2025-01-21 00:00:00.000,211.26708333333332,-1.8522222222222222,16.23,16.278,91.0,3.5,23.7,1.83,098.4
2025-01-26 00:00:00.000,211.31499999999997,-1.856388888888889,16.165,16.298,96.0,3.4,23.7,1.06,089.8
2025-01-31 00:00:00.000,211.33749999999998,-1.8519444444444446,16.101,16.318,101.0,3.4,23.7,0.4,048.6
2025-02-05 00:00:00.000,211.33499999999998,-1.838888888888889,16.038,16.337,106.0,3.3,23.7,0.68,318.0
2025-02-10 00:00:00.000,211.3070833333333,-1.8183333333333334,15.978,16.357,111.0,3.2,23.7,1.41,301.4
2025-02-15 00:00:00.000,211.255,-1.7902777777777776,15.92,16.377,116.0,3.1,23.7,2.15,296.0
2025-02-20 00:00:00.000,211.1783333333333,-1.7558333333333334,15.866,16.397,121.0,3.0,23.6,2.87,293.2
2025-02-25 00:00:00.000,211.07874999999999,-1.7152777777777777,15.815,16.417,126.1,2.8,23.6,3.57,291.3
2025-03-02 00:00:00.000,210.95708333333332,-1.6694444444444443,15.769,16.437,131.1,2.6,23.6,4.23,289.9
2025-06-05 00:00:00.000,207.00208333333333,-1.0219444444444443,16.139,16.815,130.5,2.6,23.8,4.53,260.3
2025-06-10 00:00:00.000,206.86249999999998,-1.0519444444444446,16.223,16.835,125.7,2.8,23.8,4.04,255.0
2025-06-15 00:00:00.000,206.74249999999998,-1.0913888888888887,16.311,16.855,120.9,3.0,23.8,3.55,248.2
2025-06-20 00:00:00.000,206.64291666666668,-1.14,16.402,16.875,116.2,3.1,23.8,3.12,239.2
2025-06-25 00:00:00.000,206.56416666666667,-1.1975,16.497,16.895,111.4,3.2,23.9,2.76,227.4
2025-06-30 00:00:00.000,206.5075,-1.2641666666666667,16.595,16.915,106.7,3.3,23.9,2.53,212.6
2025-07-05 00:00:00.000,206.4733333333333,-1.3397222222222223,16.695,16.935,102.0,3.4,23.9,2.49,196.2
2025-07-10 00:00:00.000,206.46124999999998,-1.4236111111111112,16.796,16.955,97.3,3.4,23.9,2.64,180.5
2025-07-15 00:00:00.000,206.47166666666664,-1.5152777777777777,16.898,16.975,92.6,3.4,23.9,2.95,167.4
2025-07-20 00:00:00.000,206.50416666666663,-1.615,17.0,16.995,88.0,3.4,24.0,3.37,157.1
2026-01-21 00:00:00.000,214.3183333333333,-5.950833333333334,17.767,17.735,86.5,3.2,24.2,2.15,109.1
2026-01-26 00:00:00.000,214.37499999999997,-5.970277777777778,17.702,17.755,91.5,3.2,24.2,1.42,108.9
2026-01-31 00:00:00.000,214.40874999999997,-5.9816666666666665,17.636,17.775,96.5,3.2,24.2,0.69,109.0
2026-02-05 00:00:00.000,214.41916666666665,-5.985555555555556,17.572,17.795,101.5,3.1,24.2,0.03,5   270.4
