Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-01 00:00:00.000,237.1245833333333,23.12388888888889,15.019,15.524,118.1,3.3,27.8,7.34,251.2
2023-07-06 00:00:00.000,236.88374999999996,23.036944444444448,15.099,15.554,114.8,3.4,27.8,6.95,245.8
2023-07-11 00:00:00.000,236.66541666666666,22.934444444444445,15.183,15.584,111.5,3.5,27.8,6.58,240.0
2023-07-16 00:00:00.000,236.47166666666664,22.817777777777778,15.27,15.614,108.0,3.5,27.9,6.24,233.5
2023-07-21 00:00:00.000,236.30291666666665,22.68777777777778,15.359,15.643,104.5,3.6,27.9,5.92,226.5
2023-07-26 00:00:00.000,236.16124999999997,22.54638888888889,15.449,15.673,100.9,3.6,27.9,5.66,219.0
2023-07-31 00:00:00.000,236.04624999999996,22.395,15.542,15.703,97.3,3.7,27.9,5.46,211.0
2023-08-05 00:00:00.000,235.95874999999998,22.235,15.635,15.733,93.7,3.7,27.9,5.32,202.6
2023-08-10 00:00:00.000,235.89874999999998,22.067777777777778,15.729,15.763,90.0,3.7,28.0,5.27,194.1
2023-08-15 00:00:00.000,235.86624999999998,21.89472222222222,15.823,15.792,86.4,3.7,28.0,5.29,185.6
2024-02-11 00:00:00.000,243.41249999999997,20.841944444444444,16.879,16.845,86.4,3.4,28.4,6.54,20.0
2024-02-16 00:00:00.000,243.47916666666663,21.050555555555555,16.842,16.874,90.2,3.4,28.4,6.54,13.3
2024-02-21 00:00:00.000,243.5195833333333,21.265833333333333,16.806,16.903,94.0,3.3,28.4,6.6,6.5
2024-02-26 00:00:00.000,243.53291666666667,21.486944444444447,16.77,16.932,97.7,3.3,28.4,6.69,360.0
2024-03-02 00:00:00.000,243.51916666666662,21.711666666666666,16.736,16.96,101.4,3.3,28.4,6.83,353.6
2024-03-07 00:00:00.000,243.47833333333327,21.93888888888889,16.703,16.989,105.1,3.2,28.4,7.01,347.5
2024-03-12 00:00:00.000,243.40999999999994,22.166944444444447,16.673,17.018,108.7,3.2,28.4,7.2,341.6
2024-03-17 00:00:00.000,243.31499999999997,22.394166666666667,16.645,17.046,112.2,3.1,28.4,7.41,336.1
2024-03-22 00:00:00.000,243.19333333333327,22.618333333333332,16.621,17.075,115.6,3.0,28.4,7.63,330.9
2024-03-27 00:00:00.000,243.04708333333326,22.838055555555556,16.6,17.104,118.9,2.9,28.4,7.85,326.0
2024-04-01 00:00:00.000,242.87624999999994,23.051666666666666,16.583,17.132,121.9,2.8,28.4,8.07,321.4
2024-04-06 00:00:00.000,242.68291666666664,23.25777777777778,16.57,17.161,124.8,2.7,28.4,8.27,317.0
2024-04-11 00:00:00.000,242.46791666666664,23.454444444444444,16.561,17.189,127.5,2.7,28.4,8.45,312.8
2024-04-16 00:00:00.000,242.2333333333333,23.64,16.558,17.218,129.8,2.6,28.5,8.59,308.8
2024-04-21 00:00:00.000,241.98166666666665,23.813333333333333,16.559,17.246,131.9,2.5,28.5,8.71,305.0
2024-04-26 00:00:00.000,241.71458333333334,23.973055555555554,16.566,17.275,133.5,2.4,28.5,8.79,301.3
2024-05-01 00:00:00.000,241.4345833333333,24.11777777777778,16.579,17.303,134.8,2.4,28.5,8.84,297.7
2024-05-26 00:00:00.000,239.92791666666662,24.58888888888889,16.724,17.445,134.2,2.4,28.5,8.47,280.0
2024-05-31 00:00:00.000,239.62416666666664,24.628888888888888,16.77,17.474,132.8,2.4,28.5,8.28,276.4
2024-06-05 00:00:00.000,239.32541666666663,24.650277777777777,16.82,17.502,130.9,2.5,28.6,8.06,272.6
2024-06-10 00:00:00.000,239.03416666666664,24.653333333333332,16.876,17.53,128.8,2.6,28.6,7.81,268.7
2024-06-15 00:00:00.000,238.75374999999997,24.638333333333332,16.937,17.559,126.4,2.7,28.6,7.53,264.6
2024-06-20 00:00:00.000,238.48541666666662,24.605833333333333,17.002,17.587,123.7,2.8,28.6,7.23,260.2
2024-06-25 00:00:00.000,238.23166666666665,24.55666666666667,17.072,17.615,120.9,2.8,28.6,6.93,255.6
2024-06-30 00:00:00.000,237.99416666666662,24.49138888888889,17.145,17.643,117.8,2.9,28.6,6.62,250.7
2024-07-05 00:00:00.000,237.7745833333333,24.41111111111111,17.222,17.671,114.7,3.0,28.7,6.3,245.4
