Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-01 00:00:00.000,26.81708333333333,-63.34305555555556,11.787,12.06,103.2,4.7,27.2,10.42,173.7
2023-07-06 00:00:00.000,26.868749999999995,-63.695277777777775,11.774,12.078,105.0,4.7,27.2,10.78,178.8
2023-07-11 00:00:00.000,26.85083333333333,-64.06055555555555,11.763,12.096,106.8,4.6,27.2,11.15,183.7
2023-07-16 00:00:00.000,26.75791666666666,-64.43611111111112,11.755,12.115,108.4,4.6,27.2,11.51,188.5
2023-07-21 00:00:00.000,26.58583333333333,-64.81833333333333,11.749,12.133,109.9,4.5,27.2,11.86,193.3
2023-07-26 00:00:00.000,26.330416666666665,-65.20444444444445,11.746,12.152,111.2,4.5,27.2,12.18,197.9
2023-07-31 00:00:00.000,25.988749999999996,-65.58999999999999,11.747,12.17,112.4,4.4,27.2,12.48,202.5
2023-08-05 00:00:00.000,25.55833333333333,-65.97194444444445,11.751,12.188,113.3,4.4,27.2,12.76,207.1
2023-08-10 00:00:00.000,25.037083333333328,-66.34638888888888,11.758,12.206,114.1,4.3,27.2,13.02,211.6
2023-08-15 00:00:00.000,24.422916666666666,-66.70972222222223,11.769,12.225,114.6,4.3,27.2,13.25,216.3
2023-08-20 00:00:00.000,23.71583333333333,-67.05749999999999,11.783,12.243,114.9,4.3,27.2,13.44,220.9
2023-08-25 00:00:00.000,22.917916666666663,-67.38527777777779,11.801,12.261,114.9,4.3,27.2,13.59,225.6
2023-08-30 00:00:00.000,22.032916666666665,-67.68972222222223,11.823,12.279,114.7,4.3,27.3,13.71,230.4
2023-09-04 00:00:00.000,21.06541666666666,-67.96694444444445,11.848,12.297,114.3,4.3,27.3,13.8,235.2
2023-09-09 00:00:00.000,20.02166666666666,-68.21361111111112,11.878,12.316,113.6,4.3,27.3,13.86,240.1
2023-09-14 00:00:00.000,18.909999999999997,-68.42611111111111,11.911,12.334,112.7,4.3,27.3,13.88,245.2
2023-09-19 00:00:00.000,17.741666666666667,-68.60166666666666,11.947,12.352,111.6,4.3,27.3,13.87,250.3
2023-09-24 00:00:00.000,16.528333333333332,-68.7375,11.987,12.37,110.2,4.4,27.3,13.83,255.5
2023-09-29 00:00:00.000,15.28458333333333,-68.83222222222221,12.03,12.388,108.7,4.4,27.3,13.77,260.7
2023-10-04 00:00:00.000,14.024166666666666,-68.885,12.076,12.406,107.0,4.4,27.3,13.69,266.1
2023-10-09 00:00:00.000,12.762083333333331,-68.89472222222223,12.125,12.424,105.1,4.5,27.4,13.59,271.5
2023-10-14 00:00:00.000,11.513333333333334,-68.86166666666666,12.177,12.442,103.1,4.5,27.4,13.48,277.0
2023-10-19 00:00:00.000,10.293333333333333,-68.78611111111111,12.231,12.46,101.0,4.5,27.4,13.36,282.5
2023-10-24 00:00:00.000,9.115833333333331,-68.66972222222223,12.287,12.478,98.8,4.5,27.4,13.22,288.0
2023-10-29 00:00:00.000,7.993333333333333,-68.51388888888889,12.345,12.496,96.4,4.5,27.4,13.08,293.6
2023-11-03 00:00:00.000,6.936666666666666,-68.32166666666666,12.405,12.513,94.0,4.5,27.4,12.95,299.1
2023-11-08 00:00:00.000,5.954166666666667,-68.095,12.466,12.531,91.5,4.5,27.5,12.82,304.6
2023-11-13 00:00:00.000,5.053749999999999,-67.83694444444444,12.527,12.549,89.0,4.5,27.5,12.7,310.1
2023-11-18 00:00:00.000,4.240833333333333,-67.55055555555555,12.589,12.567,86.5,4.5,27.5,12.57,315.6
2024-05-16 00:00:00.000,11.980416666666667,-59.65083333333333,13.235,13.194,85.5,4.4,27.8,7.11,129.5
2024-05-21 00:00:00.000,12.324999999999998,-59.81333333333333,13.205,13.211,88.2,4.4,27.8,7.19,136.7
2024-05-26 00:00:00.000,12.633333333333331,-59.99888888888889,13.175,13.228,90.8,4.4,27.8,7.32,143.7
2024-05-31 00:00:00.000,12.901249999999997,-60.20666666666667,13.146,13.245,93.5,4.4,27.8,7.51,150.6
2024-06-05 00:00:00.000,13.125833333333333,-60.434999999999995,13.117,13.262,96.1,4.4,27.8,7.75,157.4
2024-06-10 00:00:00.000,13.303333333333331,-60.68277777777777,13.088,13.279,98.7,4.3,27.8,8.03,163.8
2024-06-15 00:00:00.000,13.429999999999998,-60.948055555555555,13.062,13.296,101.2,4.3,27.8,8.33,169.9
2024-06-20 00:00:00.000,13.502916666666666,-61.22888888888889,13.037,13.313,103.6,4.3,27.8,8.66,175.7
2024-06-25 00:00:00.000,13.518749999999999,-61.52305555555555,13.014,13.33,106.0,4.2,27.8,9.01,181.2
2024-06-30 00:00:00.000,13.474999999999998,-61.828611111111115,12.993,13.347,108.3,4.1,27.8,9.37,186.5
2024-07-05 00:00:00.000,13.36833333333333,-62.143055555555556,12.975,13.364,110.4,4.1,27.8,9.73,191.6
2024-07-10 00:00:00.000,13.195833333333333,-62.46333333333334,12.959,13.381,112.4,4.0,27.8,10.09,196.5
2024-07-15 00:00:00.000,12.954999999999998,-62.78666666666666,12.947,13.397,114.3,4.0,27.8,10.42,201.2
2024-07-20 00:00:00.000,12.645,-63.11,12.938,13.414,116.0,3.9,27.8,10.74,205.9
2024-07-25 00:00:00.000,12.264166666666664,-63.43,12.933,13.431,117.4,3.8,27.8,11.04,210.4
2024-07-30 00:00:00.000,11.812499999999998,-63.74388888888889,12.932,13.448,118.6,3.8,27.8,11.32,214.8
2024-08-04 00:00:00.000,11.289583333333331,-64.04805555555555,12.934,13.464,119.6,3.8,27.9,11.57,219.3
2024-08-09 00:00:00.000,10.696666666666664,-64.33944444444444,12.941,13.481,120.3,3.7,27.9,11.78,223.8
2024-08-14 00:00:00.000,10.036249999999997,-64.61388888888888,12.952,13.498,120.8,3.7,27.9,11.95,228.2
2024-08-19 00:00:00.000,9.312083333333334,-64.86888888888888,12.967,13.515,120.9,3.7,27.9,12.08,232.7
2024-08-24 00:00:00.000,8.528333333333332,-65.10083333333333,12.986,13.531,120.8,3.7,27.9,12.19,237.2
2024-08-29 00:00:00.000,7.691249999999999,-65.30777777777777,13.01,13.548,120.3,3.7,27.9,12.26,241.8
2024-09-03 00:00:00.000,6.806249999999999,-65.48611111111111,13.038,13.564,119.6,3.7,27.9,12.29,246.5
2024-09-08 00:00:00.000,5.8825,-65.63388888888889,13.07,13.581,118.6,3.7,27.9,12.29,251.2
2024-09-13 00:00:00.000,4.929166666666665,-65.74916666666667,13.107,13.598,117.3,3.8,27.9,12.25,256.1
2024-09-18 00:00:00.000,3.955833333333333,-65.83055555555555,13.147,13.614,115.8,3.8,27.9,12.19,260.9
2024-09-23 00:00:00.000,2.972916666666666,-65.87694444444443,13.191,13.631,114.0,3.9,27.9,12.1,265.9
2024-09-28 00:00:00.000,1.9899999999999995,-65.88777777777779,13.239,13.647,112.1,3.9,28.0,12.0,271.0
2024-10-03 00:00:00.000,1.0187499999999998,-65.86305555555555,13.29,13.664,110.0,3.9,28.0,11.87,276.2
2024-10-08 00:00:00.000,0.06874999999999999,-65.80305555555556,13.344,13.68,107.6,4.0,28.0,11.73,281.4
2024-10-13 00:00:00.000,359.1508333333333,-65.70833333333334,13.401,13.696,105.2,4.0,28.0,11.59,286.8
2024-10-18 00:00:00.000,358.27374999999995,-65.58055555555555,13.46,13.713,102.6,4.1,28.0,11.44,292.1
2024-10-23 00:00:00.000,357.445,-65.42166666666667,13.522,13.729,100.0,4.1,28.0,11.29,297.6
2024-10-28 00:00:00.000,356.67166666666657,-65.23305555555555,13.586,13.746,97.2,4.1,28.0,11.15,303.1
2024-11-02 00:00:00.000,355.9595833333333,-65.01694444444445,13.651,13.762,94.4,4.1,28.1,11.02,308.6
2024-11-07 00:00:00.000,355.3133333333333,-64.77555555555556,13.717,13.778,91.5,4.1,28.1,10.9,314.1
2024-11-12 00:00:00.000,354.73625,-64.51194444444444,13.784,13.795,88.6,4.1,28.1,10.79,319.6
2024-11-17 00:00:00.000,354.2308333333333,-64.2286111111111,13.851,13.811,85.6,4.1,28.1,10.7,325.1
2025-05-16 00:00:00.000,3.1133333333333333,-57.64527777777778,14.403,14.385,87.0,4.0,28.4,6.2,137.5
2025-05-21 00:00:00.000,3.3566666666666665,-57.80777777777777,14.366,14.401,90.0,4.0,28.4,6.29,145.1
2025-05-26 00:00:00.000,3.5625,-57.98916666666667,14.329,14.416,92.9,4.0,28.4,6.44,152.7
2025-05-31 00:00:00.000,3.727083333333333,-58.18861111111111,14.292,14.432,95.9,4.0,28.4,6.64,160.0
2025-06-05 00:00:00.000,3.8483333333333327,-58.404444444444444,14.257,14.447,98.8,4.0,28.4,6.89,167.0
2025-06-10 00:00:00.000,3.9237499999999996,-58.63527777777778,14.223,14.463,101.7,3.9,28.4,7.17,173.5
2025-06-15 00:00:00.000,3.95125,-58.87888888888889,14.19,14.478,104.5,3.9,28.4,7.49,179.7
2025-06-20 00:00:00.000,3.928333333333333,-59.134166666666665,14.16,14.494,107.2,3.8,28.4,7.84,185.5
2025-06-25 00:00:00.000,3.852916666666666,-59.39833333333333,14.132,14.509,109.9,3.8,28.4,8.2,191.0
2025-06-30 00:00:00.000,3.722916666666666,-59.66972222222222,14.106,14.525,112.4,3.7,28.4,8.56,196.2
2025-07-05 00:00:00.000,3.536666666666666,-59.945277777777775,14.084,14.54,114.8,3.6,28.4,8.91,201.2
2025-07-10 00:00:00.000,3.2941666666666665,-60.22277777777778,14.065,14.555,117.0,3.6,28.4,9.25,205.9
2025-07-15 00:00:00.000,2.994166666666666,-60.49916666666667,14.05,14.571,119.1,3.5,28.4,9.58,210.4
2025-07-20 00:00:00.000,2.637083333333333,-60.77222222222222,14.038,14.586,120.9,3.4,28.4,9.89,214.9
2025-07-25 00:00:00.000,2.2224999999999997,-61.03916666666667,14.031,14.601,122.5,3.4,28.4,10.17,219.2
2025-07-30 00:00:00.000,1.7516666666666665,-61.29666666666667,14.028,14.617,123.8,3.3,28.4,10.42,223.5
2025-08-04 00:00:00.000,1.227083333333333,-61.54194444444444,14.029,14.632,124.8,3.3,28.4,10.63,227.8
2025-08-09 00:00:00.000,0.6516666666666666,-61.7725,14.035,14.647,125.5,3.2,28.4,10.81,232.0
2025-08-14 00:00:00.000,0.02833333333333333,-61.98527777777778,14.046,14.663,125.9,3.2,28.4,10.95,236.2
2025-08-19 00:00:00.000,359.3616666666666,-62.17805555555555,14.062,14.678,125.9,3.2,28.4,11.06,240.4
2025-08-24 00:00:00.000,358.65624999999994,-62.34861111111111,14.082,14.693,125.6,3.2,28.4,11.13,244.7
