Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-09-09 00:00:00.000,304.33,-36.48722222222222,10.771,11.449,130.4,3.8,26.7,11.81,273.9
2023-09-14 00:00:00.000,303.86249999999995,-36.45277777777778,10.863,11.476,125.5,4.1,26.8,10.84,276.6
2023-09-19 00:00:00.000,303.4387499999999,-36.40416666666667,10.959,11.503,120.6,4.3,26.8,9.83,279.8
2023-09-24 00:00:00.000,303.06041666666664,-36.342222222222226,11.06,11.53,115.7,4.5,26.8,8.82,283.4
2023-09-29 00:00:00.000,302.7291666666667,-36.268055555555556,11.164,11.558,110.8,4.6,26.9,7.81,287.8
2023-10-04 00:00:00.000,302.44541666666663,-36.18333333333333,11.27,11.585,105.9,4.8,26.9,6.84,293.2
2023-10-09 00:00:00.000,302.2095833333333,-36.08888888888889,11.379,11.612,101.0,4.8,26.9,5.92,300.0
2023-10-14 00:00:00.000,302.0220833333333,-35.986111111111114,11.49,11.639,96.1,4.9,27.0,5.1,308.9
2023-10-19 00:00:00.000,301.88249999999994,-35.87583333333333,11.601,11.666,91.3,4.9,27.0,4.42,320.4
2023-10-24 00:00:00.000,301.78999999999996,-35.75944444444445,11.712,11.693,86.4,4.9,27.0,3.96,334.6
2024-04-21 00:00:00.000,309.79624999999993,-33.56638888888889,12.642,12.641,87.7,4.6,27.5,2.96,196.2
2024-04-26 00:00:00.000,309.7437499999999,-33.66611111111111,12.584,12.667,92.5,4.6,27.5,3.61,209.8
2024-05-01 00:00:00.000,309.6520833333333,-33.775,12.526,12.692,97.3,4.5,27.5,4.39,219.3
2024-05-06 00:00:00.000,309.5204166666666,-33.8925,12.469,12.718,102.1,4.4,27.5,5.25,226.1
2024-05-11 00:00:00.000,309.3483333333333,-34.01777777777777,12.414,12.744,106.9,4.3,27.5,6.15,231.1
2024-05-16 00:00:00.000,309.1358333333333,-34.14944444444444,12.361,12.77,111.7,4.2,27.5,7.05,235.0
2024-05-21 00:00:00.000,308.88374999999996,-34.286944444444444,12.31,12.795,116.6,4.1,27.5,7.93,238.1
2024-05-26 00:00:00.000,308.5924999999999,-34.42833333333333,12.264,12.821,121.4,3.9,27.5,8.8,240.8
2024-05-31 00:00:00.000,308.26333333333326,-34.57277777777778,12.221,12.846,126.2,3.6,27.5,9.63,243.1
2024-06-05 00:00:00.000,307.8974999999999,-34.71888888888889,12.183,12.872,131.1,3.4,27.5,10.42,245.1
2024-09-03 00:00:00.000,298.81166666666667,-36.12722222222222,12.64,13.327,131.3,3.3,27.8,9.83,274.7
2024-09-08 00:00:00.000,298.4245833333333,-36.09444444444445,12.729,13.352,126.5,3.5,27.8,9.03,277.3
2024-09-13 00:00:00.000,298.0733333333333,-36.05083333333333,12.822,13.377,121.6,3.7,27.8,8.2,280.2
2024-09-18 00:00:00.000,297.76,-35.9975,12.92,13.402,116.7,3.8,27.8,7.35,283.7
2024-09-23 00:00:00.000,297.48499999999996,-35.93527777777778,13.022,13.427,111.8,4.0,27.9,6.51,287.9
2024-09-28 00:00:00.000,297.24999999999994,-35.864444444444445,13.126,13.452,106.9,4.1,27.9,5.68,293.1
2024-10-03 00:00:00.000,297.055,-35.78638888888889,13.232,13.477,102.1,4.2,27.9,4.89,299.9
2024-10-08 00:00:00.000,296.90125,-35.70194444444445,13.34,13.502,97.2,4.2,27.9,4.18,308.9
2024-10-13 00:00:00.000,296.78791666666666,-35.61194444444445,13.449,13.526,92.3,4.2,28.0,3.59,320.6
2024-10-18 00:00:00.000,296.71416666666664,-35.51722222222222,13.558,13.551,87.5,4.2,28.0,3.19,335.6
2025-04-16 00:00:00.000,304.0933333333333,-33.748333333333335,14.439,14.427,87.3,4.0,28.4,2.3,193.2
2025-04-21 00:00:00.000,304.05541666666664,-33.82666666666667,14.379,14.451,92.1,4.0,28.4,2.82,209.3
2025-04-26 00:00:00.000,303.98249999999996,-33.911944444444444,14.319,14.475,96.9,4.0,28.4,3.49,220.3
2025-05-01 00:00:00.000,303.8741666666666,-34.00388888888889,14.26,14.499,101.8,3.9,28.4,4.23,227.8
2025-05-06 00:00:00.000,303.73041666666666,-34.10138888888889,14.202,14.523,106.6,3.8,28.4,5.01,233.1
2025-05-11 00:00:00.000,303.5516666666666,-34.20388888888889,14.147,14.546,111.4,3.7,28.4,5.79,237.2
2025-05-16 00:00:00.000,303.3383333333333,-34.31027777777778,14.095,14.57,116.3,3.6,28.4,6.57,240.4
2025-05-21 00:00:00.000,303.09124999999995,-34.419999999999995,14.045,14.594,121.1,3.4,28.4,7.33,243.0
2025-05-26 00:00:00.000,302.81083333333333,-34.531666666666666,14.0,14.618,125.9,3.2,28.4,8.06,245.3
2025-05-31 00:00:00.000,302.4987499999999,-34.64416666666666,13.959,14.641,130.8,3.0,28.4,8.76,247.3
2025-08-29 00:00:00.000,294.6758333333333,-35.70138888888889,14.354,15.064,133.2,2.8,28.6,8.66,274.8
2025-09-03 00:00:00.000,294.3358333333333,-35.672777777777775,14.44,15.087,128.4,3.0,28.6,7.98,277.1
2025-09-08 00:00:00.000,294.02625,-35.63583333333333,14.53,15.11,123.5,3.2,28.6,7.27,279.8
2025-09-13 00:00:00.000,293.7483333333333,-35.590833333333336,14.625,15.133,118.7,3.3,28.6,6.55,282.9
2025-09-18 00:00:00.000,293.50333333333333,-35.538333333333334,14.723,15.157,113.8,3.5,28.6,5.81,286.8
2025-09-23 00:00:00.000,293.29291666666666,-35.47944444444445,14.825,15.18,108.9,3.6,28.7,5.07,291.6
2025-09-28 00:00:00.000,293.1175,-35.41444444444444,14.929,15.203,104.0,3.7,28.7,4.36,297.8
