Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-01 00:00:00.000,16.869166666666665,-32.016666666666666,15.067,15.209,96.1,3.8,29.0,6.82,163.0
2023-07-06 00:00:00.000,16.932916666666664,-32.24,15.029,15.239,100.0,3.8,29.0,6.97,169.6
2023-07-11 00:00:00.000,16.968333333333334,-32.47361111111111,14.992,15.268,103.9,3.7,29.0,7.18,175.9
2023-07-16 00:00:00.000,16.973333333333333,-32.71666666666667,14.957,15.297,107.7,3.6,29.0,7.42,181.9
2023-07-21 00:00:00.000,16.94833333333333,-32.967222222222226,14.925,15.326,111.5,3.5,29.0,7.69,187.6
2023-07-26 00:00:00.000,16.892916666666665,-33.22416666666667,14.896,15.355,115.2,3.4,29.0,7.97,192.8
2023-07-31 00:00:00.000,16.807499999999997,-33.485,14.87,15.384,118.8,3.3,29.0,8.27,197.7
2023-08-05 00:00:00.000,16.692083333333333,-33.748333333333335,14.847,15.413,122.3,3.2,29.0,8.56,202.3
2023-08-10 00:00:00.000,16.5475,-34.0125,14.829,15.443,125.7,3.1,29.0,8.84,206.6
2023-08-15 00:00:00.000,16.37458333333333,-34.275,14.815,15.472,128.9,2.9,29.0,9.11,210.6
2023-08-20 00:00:00.000,16.17375,-34.534166666666664,14.807,15.501,131.9,2.8,29.1,9.34,214.5
2023-08-25 00:00:00.000,15.9475,-34.78777777777778,14.803,15.53,134.6,2.7,29.1,9.53,218.1
2023-10-19 00:00:00.000,12.429999999999998,-36.69305555555555,15.156,15.847,132.5,2.7,29.2,8.42,255.6
2023-10-24 00:00:00.000,12.09625,-36.75194444444445,15.224,15.876,129.5,2.8,29.2,8.02,259.7
2023-10-29 00:00:00.000,11.774166666666666,-36.78916666666667,15.296,15.904,126.3,2.9,29.2,7.61,264.0
2023-11-03 00:00:00.000,11.467499999999998,-36.80472222222222,15.373,15.933,122.8,3.0,29.2,7.17,268.8
2023-11-08 00:00:00.000,11.178333333333331,-36.79972222222222,15.455,15.962,119.2,3.1,29.2,6.73,274.0
2023-11-13 00:00:00.000,10.909583333333332,-36.77388888888889,15.54,15.99,115.4,3.2,29.2,6.28,279.8
2023-11-18 00:00:00.000,10.663749999999999,-36.72833333333333,15.629,16.019,111.6,3.3,29.2,5.85,286.4
2023-11-23 00:00:00.000,10.442916666666665,-36.66416666666667,15.72,16.047,107.6,3.4,29.2,5.46,293.7
2023-11-28 00:00:00.000,10.249166666666666,-36.58222222222223,15.814,16.076,103.6,3.4,29.2,5.11,301.9
2023-12-03 00:00:00.000,10.082916666666666,-36.48416666666667,15.91,16.104,99.6,3.5,29.2,4.84,310.9
2023-12-08 00:00:00.000,9.94625,-36.37111111111111,16.008,16.133,95.6,3.5,29.3,4.66,320.7
2023-12-13 00:00:00.000,9.839166666666666,-36.24444444444445,16.106,16.161,91.5,3.5,29.3,4.57,330.9
2023-12-18 00:00:00.000,9.7625,-36.10527777777778,16.204,16.19,87.4,3.5,29.3,4.58,341.2
2024-06-20 00:00:00.000,17.93083333333333,-33.75694444444444,17.227,17.227,88.3,3.4,29.6,6.04,148.3
2024-06-25 00:00:00.000,18.046249999999997,-33.93444444444444,17.188,17.254,92.1,3.4,29.6,6.07,154.9
2024-06-30 00:00:00.000,18.13708333333333,-34.123333333333335,17.149,17.282,95.8,3.4,29.6,6.15,161.6
2024-07-05 00:00:00.000,18.202499999999997,-34.32277777777778,17.111,17.309,99.6,3.3,29.6,6.27,168.1
2024-07-10 00:00:00.000,18.241249999999997,-34.531666666666666,17.075,17.337,103.3,3.3,29.6,6.43,174.3
2024-07-15 00:00:00.000,18.25375,-34.74888888888889,17.04,17.365,107.0,3.2,29.6,6.62,180.3
2024-07-20 00:00:00.000,18.238749999999996,-34.972500000000004,17.008,17.392,110.6,3.1,29.6,6.83,185.9
2024-07-25 00:00:00.000,18.196666666666662,-35.20138888888889,16.979,17.42,114.2,3.0,29.6,7.06,191.1
2024-07-30 00:00:00.000,18.127499999999998,-35.43388888888889,16.952,17.447,117.7,3.0,29.6,7.31,196.1
2024-08-04 00:00:00.000,18.03125,-35.66888888888889,16.93,17.474,121.0,2.9,29.6,7.55,200.7
2024-08-09 00:00:00.000,17.90833333333333,-35.903888888888886,16.911,17.502,124.3,2.7,29.6,7.78,205.1
2024-08-14 00:00:00.000,17.75958333333333,-36.1375,16.897,17.529,127.3,2.6,29.6,7.99,209.3
2024-08-19 00:00:00.000,17.586249999999996,-36.36805555555556,16.887,17.557,130.1,2.5,29.6,8.18,213.2
2024-08-24 00:00:00.000,17.38916666666666,-36.593333333333334,16.883,17.584,132.7,2.4,29.6,8.35,217.0
2024-10-13 00:00:00.000,14.551666666666666,-38.21555555555556,17.15,17.857,133.9,2.3,29.7,7.82,252.0
2024-10-18 00:00:00.000,14.238333333333332,-38.28666666666666,17.209,17.884,131.4,2.4,29.7,7.54,255.8
2024-10-23 00:00:00.000,13.931666666666663,-38.33833333333334,17.273,17.911,128.7,2.5,29.7,7.23,260.0
