Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-11-23 00:00:00.000,147.40874999999997,-6.441111111111112,9.454,9.475,88.3,6.0,23.6,1.25,280.1
2023-11-28 00:00:00.000,147.34541666666667,-6.4255555555555555,9.399,9.504,93.1,6.0,23.6,2.63,285.8
2023-12-03 00:00:00.000,147.23833333333332,-6.392777777777778,9.346,9.533,98.0,5.9,23.6,4.05,288.1
2023-12-08 00:00:00.000,147.0875,-6.341388888888889,9.293,9.562,103.0,5.8,23.6,5.48,289.6
2023-12-13 00:00:00.000,146.89249999999996,-6.27,9.241,9.592,108.0,5.6,23.6,6.91,290.9
2023-12-18 00:00:00.000,146.655,-6.176944444444445,9.193,9.621,113.0,5.4,23.6,8.32,292.0
2023-12-23 00:00:00.000,146.37625,-6.061944444444444,9.147,9.65,118.1,5.2,23.7,9.68,293.1
2023-12-28 00:00:00.000,146.0583333333333,-5.924166666666667,9.105,9.679,123.2,4.9,23.7,10.99,294.1
2024-01-02 00:00:00.000,145.70416666666662,-5.763055555555556,9.068,9.708,128.3,4.6,23.7,12.24,295.1
2024-01-07 00:00:00.000,145.31624999999997,-5.578333333333333,9.036,9.737,133.3,4.2,23.7,13.42,296.0
2024-03-27 00:00:00.000,138.24166666666665,-0.4172222222222222,9.502,10.2,132.3,4.2,24.0,13.65,321.4
2024-04-01 00:00:00.000,137.9770833333333,-0.06555555555555556,9.592,10.229,127.3,4.5,24.0,12.73,324.8
2024-04-06 00:00:00.000,137.7525,0.2758333333333333,9.686,10.258,122.4,4.7,24.0,11.8,328.6
2024-04-11 00:00:00.000,137.56791666666663,0.6055555555555555,9.785,10.286,117.5,5.0,24.1,10.87,333.2
2024-04-16 00:00:00.000,137.42499999999998,0.9222222222222222,9.888,10.315,112.6,5.2,24.1,9.99,338.4
2024-04-21 00:00:00.000,137.32291666666666,1.2244444444444447,9.994,10.344,107.7,5.3,24.1,9.18,344.5
2024-04-26 00:00:00.000,137.26166666666666,1.511388888888889,10.102,10.373,102.9,5.4,24.2,8.47,351.6
2024-05-01 00:00:00.000,137.23999999999998,1.7827777777777778,10.212,10.402,98.1,5.5,24.2,7.89,359.6
2024-05-06 00:00:00.000,137.2575,2.0375,10.323,10.431,93.3,5.5,24.3,7.47,8.4
2024-05-11 00:00:00.000,137.31291666666664,2.2752777777777777,10.435,10.459,88.6,5.5,24.3,7.23,17.8
2024-11-17 00:00:00.000,147.97291666666663,3.486666666666667,11.572,11.544,85.9,4.9,24.9,1.23,12.4
2024-11-22 00:00:00.000,147.96416666666664,3.5330555555555554,11.514,11.572,90.9,4.9,24.9,1.78,333.5
2024-11-27 00:00:00.000,147.91958333333332,3.593055555555556,11.456,11.601,96.0,4.9,24.9,2.75,317.0
2024-12-02 00:00:00.000,147.83916666666664,3.667222222222222,11.399,11.629,101.1,4.8,24.9,3.83,309.6
2024-12-07 00:00:00.000,147.7225,3.756111111111111,11.343,11.657,106.2,4.7,24.9,4.96,305.6
