Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-01 00:00:00.000,31.112499999999997,-40.32138888888889,12.833,12.868,89.7,4.5,25.1,11.19,137.6
2023-07-06 00:00:00.000,31.426666666666662,-40.60472222222222,12.801,12.89,92.8,4.5,25.1,11.07,142.2
2023-07-11 00:00:00.000,31.707916666666666,-40.903888888888886,12.77,12.913,95.8,4.5,25.1,10.97,146.9
2023-07-16 00:00:00.000,31.954583333333332,-41.217222222222226,12.74,12.935,98.8,4.5,25.1,10.9,151.7
2023-07-21 00:00:00.000,32.164583333333326,-41.543055555555554,12.712,12.958,101.8,4.4,25.1,10.83,156.6
2023-07-26 00:00:00.000,32.337083333333325,-41.87916666666667,12.685,12.98,104.7,4.3,25.1,10.78,161.5
2023-07-31 00:00:00.000,32.47083333333333,-42.22361111111111,12.661,13.002,107.5,4.3,25.2,10.74,166.3
2023-08-05 00:00:00.000,32.565416666666664,-42.57416666666667,12.64,13.025,110.2,4.2,25.2,10.71,171.2
2023-08-10 00:00:00.000,32.62,-42.92861111111111,12.621,13.047,112.8,4.1,25.2,10.69,176.0
2023-08-15 00:00:00.000,32.633333333333326,-43.28444444444444,12.606,13.07,115.2,4.0,25.2,10.67,180.8
2023-08-20 00:00:00.000,32.606249999999996,-43.63916666666667,12.594,13.092,117.5,3.9,25.2,10.64,185.6
2023-08-25 00:00:00.000,32.53874999999999,-43.98972222222222,12.586,13.115,119.6,3.8,25.2,10.6,190.3
2023-08-30 00:00:00.000,32.43125,-44.333333333333336,12.582,13.137,121.5,3.8,25.2,10.54,194.9
2023-09-04 00:00:00.000,32.28583333333333,-44.66777777777777,12.582,13.16,123.1,3.7,25.2,10.47,199.6
2023-09-09 00:00:00.000,32.102916666666665,-44.99,12.587,13.182,124.4,3.6,25.2,10.38,204.2
2023-09-14 00:00:00.000,31.884999999999994,-45.2975,12.596,13.205,125.4,3.6,25.2,10.26,208.9
2023-09-19 00:00:00.000,31.63458333333333,-45.58777777777778,12.61,13.227,126.1,3.5,25.2,10.1,213.6
2023-09-24 00:00:00.000,31.354166666666668,-45.85777777777778,12.628,13.25,126.5,3.5,25.2,9.91,218.3
2023-09-29 00:00:00.000,31.047499999999996,-46.10583333333334,12.651,13.272,126.5,3.5,25.2,9.7,223.1
2023-10-04 00:00:00.000,30.718333333333327,-46.32944444444445,12.679,13.295,126.2,3.5,25.3,9.46,228.0
2023-10-09 00:00:00.000,30.370416666666664,-46.527499999999996,12.712,13.317,125.5,3.5,25.3,9.19,233.0
2023-10-14 00:00:00.000,30.00833333333333,-46.69777777777777,12.749,13.34,124.5,3.5,25.3,8.9,238.2
2023-10-19 00:00:00.000,29.636666666666663,-46.83916666666667,12.791,13.362,123.2,3.6,25.3,8.57,243.7
2023-10-24 00:00:00.000,29.26083333333333,-46.95055555555556,12.837,13.385,121.6,3.6,25.3,8.24,249.4
2023-10-29 00:00:00.000,28.88541666666666,-47.031666666666666,12.887,13.407,119.7,3.7,25.3,7.89,255.5
2023-11-03 00:00:00.000,28.514999999999993,-47.0825,12.941,13.43,117.6,3.8,25.3,7.55,261.9
2023-11-08 00:00:00.000,28.154999999999998,-47.10305555555556,12.999,13.452,115.3,3.8,25.4,7.23,268.8
2023-11-13 00:00:00.000,27.809166666666666,-47.09305555555556,13.061,13.475,112.8,3.9,25.4,6.92,276.1
2023-11-18 00:00:00.000,27.482499999999998,-47.053888888888885,13.125,13.497,110.1,3.9,25.4,6.64,284.0
2023-11-23 00:00:00.000,27.17958333333333,-46.98638888888889,13.192,13.52,107.4,4.0,25.4,6.42,292.4
2023-11-28 00:00:00.000,26.903749999999995,-46.891666666666666,13.262,13.542,104.5,4.0,25.4,6.25,301.1
2023-12-03 00:00:00.000,26.65833333333333,-46.77194444444444,13.333,13.565,101.5,4.1,25.4,6.16,310.0
2023-12-08 00:00:00.000,26.445416666666663,-46.628055555555555,13.407,13.587,98.5,4.1,25.5,6.15,319.1
2023-12-13 00:00:00.000,26.26833333333333,-46.46222222222222,13.481,13.61,95.4,4.1,25.5,6.22,328.2
2023-12-18 00:00:00.000,26.12875,-46.27638888888889,13.556,13.632,92.4,4.1,25.5,6.36,336.9
2023-12-23 00:00:00.000,26.02833333333333,-46.07277777777778,13.632,13.655,89.3,4.1,25.5,6.57,345.2
2023-12-28 00:00:00.000,25.967499999999998,-45.85333333333333,13.708,13.677,86.2,4.1,25.5,6.84,352.9
2024-07-05 00:00:00.000,40.41833333333333,-42.37916666666667,14.539,14.535,87.8,4.0,25.9,10.11,134.5
2024-07-10 00:00:00.000,40.729166666666664,-42.623333333333335,14.514,14.558,90.5,4.0,25.9,9.98,139.1
2024-07-15 00:00:00.000,41.010416666666664,-42.88166666666667,14.488,14.58,93.2,4.0,25.9,9.87,143.7
2024-07-20 00:00:00.000,41.25999999999999,-43.153055555555554,14.464,14.603,95.9,4.0,25.9,9.76,148.4
2024-07-25 00:00:00.000,41.47749999999999,-43.43555555555555,14.441,14.626,98.5,3.9,25.9,9.68,153.2
2024-07-30 00:00:00.000,41.66083333333333,-43.72805555555556,14.419,14.648,101.1,3.9,26.0,9.6,158.0
2024-08-04 00:00:00.000,41.80874999999999,-44.02861111111111,14.399,14.671,103.6,3.9,26.0,9.54,162.9
2024-08-09 00:00:00.000,41.920416666666654,-44.335,14.381,14.693,106.0,3.8,26.0,9.47,167.8
2024-08-14 00:00:00.000,41.994583333333324,-44.64527777777778,14.366,14.716,108.4,3.7,26.0,9.42,172.7
2024-08-19 00:00:00.000,42.03166666666666,-44.956944444444446,14.353,14.739,110.6,3.7,26.0,9.36,177.6
2024-08-24 00:00:00.000,42.03083333333333,-45.268055555555556,14.343,14.761,112.6,3.6,26.0,9.31,182.5
2024-08-29 00:00:00.000,41.9925,-45.57638888888889,14.336,14.784,114.5,3.6,26.0,9.26,187.5
2024-09-03 00:00:00.000,41.91666666666666,-45.87972222222222,14.333,14.806,116.2,3.5,26.0,9.2,192.4
2024-09-08 00:00:00.000,41.80333333333333,-46.175,14.333,14.829,117.7,3.4,26.0,9.13,197.3
2024-09-13 00:00:00.000,41.654999999999994,-46.46,14.337,14.851,119.0,3.4,26.0,9.05,202.3
2024-09-18 00:00:00.000,41.47208333333333,-46.73222222222223,14.345,14.874,120.1,3.4,26.0,8.95,207.2
2024-09-23 00:00:00.000,41.2575,-46.99,14.357,14.897,120.9,3.3,26.0,8.84,212.2
2024-09-28 00:00:00.000,41.012499999999996,-47.230555555555554,14.373,14.919,121.4,3.3,26.0,8.72,217.2
2024-10-03 00:00:00.000,40.74041666666667,-47.45194444444445,14.393,14.942,121.6,3.3,26.0,8.58,222.4
2024-10-08 00:00:00.000,40.44416666666667,-47.65222222222222,14.418,14.964,121.5,3.3,26.0,8.41,227.6
2024-10-13 00:00:00.000,40.127083333333324,-47.82972222222222,14.446,14.987,121.2,3.3,26.1,8.23,232.9
2024-10-18 00:00:00.000,39.793749999999996,-47.9825,14.479,15.01,120.5,3.3,26.1,8.03,238.4
2024-10-23 00:00:00.000,39.447083333333325,-48.11,14.516,15.032,119.6,3.3,26.1,7.83,244.0
2024-10-28 00:00:00.000,39.09208333333333,-48.21083333333333,14.556,15.055,118.4,3.3,26.1,7.62,249.9
2024-11-02 00:00:00.000,38.73291666666666,-48.28444444444444,14.601,15.077,117.0,3.4,26.1,7.4,256.0
2024-11-07 00:00:00.000,38.37416666666666,-48.33027777777778,14.649,15.1,115.3,3.4,26.1,7.19,262.4
2024-11-12 00:00:00.000,38.02041666666666,-48.34805555555556,14.701,15.122,113.5,3.4,26.1,6.98,269.0
2024-11-17 00:00:00.000,37.67583333333333,-48.33833333333334,14.756,15.145,111.4,3.5,26.1,6.78,275.9
2024-11-22 00:00:00.000,37.345,-48.30138888888889,14.814,15.167,109.2,3.5,26.2,6.62,283.2
2024-11-27 00:00:00.000,37.03124999999999,-48.238055555555555,14.874,15.19,106.9,3.6,26.2,6.48,290.7
2024-12-02 00:00:00.000,36.738749999999996,-48.149166666666666,14.937,15.213,104.4,3.6,26.2,6.38,298.4
2024-12-07 00:00:00.000,36.47124999999999,-48.03583333333333,15.002,15.235,101.9,3.6,26.2,6.33,306.3
2024-12-12 00:00:00.000,36.23166666666666,-47.9,15.069,15.258,99.2,3.7,26.2,6.31,314.3
2024-12-17 00:00:00.000,36.022499999999994,-47.74277777777778,15.137,15.28,96.5,3.7,26.2,6.35,322.1
2024-12-22 00:00:00.000,35.84583333333333,-47.566111111111105,15.206,15.303,93.8,3.7,26.3,6.44,329.8
2024-12-27 00:00:00.000,35.703333333333326,-47.371944444444445,15.276,15.325,91.0,3.7,26.3,6.58,337.3
2025-01-01 00:00:00.000,35.59708333333333,-47.16222222222222,15.346,15.348,88.3,3.7,26.3,6.76,344.5
2025-01-06 00:00:00.000,35.52708333333333,-46.93861111111111,15.416,15.37,85.5,3.7,26.3,6.97,351.4
