Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-10-29 00:00:00.000,132.3433333333333,22.494722222222222,5.666,5.689,86.4,10.0,24.8,11.28,87.2
2023-11-03 00:00:00.000,132.7158333333333,22.523055555555555,5.586,5.691,91.0,10.0,24.8,9.44,82.9
2023-11-08 00:00:00.000,133.01875,22.572499999999998,5.507,5.693,95.8,10.0,24.8,7.6,76.3
2023-11-13 00:00:00.000,133.24791666666667,22.64361111111111,5.429,5.694,100.6,9.8,24.7,5.85,65.1
2023-11-18 00:00:00.000,133.40124999999998,22.737222222222222,5.352,5.696,105.5,9.6,24.7,4.46,45.2
2023-11-23 00:00:00.000,133.4758333333333,22.853055555555557,5.276,5.697,110.5,9.3,24.7,3.93,14.4
2023-11-28 00:00:00.000,133.47166666666664,22.990833333333335,5.203,5.698,115.5,9.0,24.6,4.63,344.6
2023-12-03 00:00:00.000,133.38708333333332,23.15,5.133,5.7,120.7,8.6,24.6,6.15,325.9
2023-12-08 00:00:00.000,133.22166666666664,23.329722222222223,5.067,5.701,125.9,8.0,24.6,8.02,315.1
2023-12-13 00:00:00.000,132.97624999999996,23.528055555555554,5.005,5.702,131.2,7.5,24.6,10.0,308.4
2024-03-07 00:00:00.000,123.27708333333334,26.794444444444448,4.998,5.716,132.6,7.3,24.6,9.86,278.7
2024-03-12 00:00:00.000,122.95124999999999,26.833055555555557,5.059,5.717,127.4,7.9,24.6,7.72,276.1
2024-03-17 00:00:00.000,122.70416666666664,26.849722222222223,5.124,5.717,122.2,8.5,24.6,5.53,272.0
2024-03-22 00:00:00.000,122.53833333333333,26.84583333333333,5.193,5.717,117.2,8.9,24.6,3.37,262.9
2024-03-27 00:00:00.000,122.45458333333332,26.822499999999998,5.266,5.718,112.2,9.3,24.7,1.52,229.7
2024-04-01 00:00:00.000,122.45166666666664,26.780555555555555,5.341,5.718,107.3,9.6,24.7,1.82,146.5
2024-04-06 00:00:00.000,122.52916666666664,26.72138888888889,5.418,5.718,102.5,9.8,24.7,3.75,122.8
2024-04-11 00:00:00.000,122.68624999999997,26.645833333333332,5.496,5.718,97.7,10.0,24.8,5.82,115.5
2024-04-16 00:00:00.000,122.91999999999999,26.554722222222225,5.575,5.718,93.1,10.1,24.8,7.85,112.1
2024-04-21 00:00:00.000,123.2270833333333,26.449166666666667,5.655,5.718,88.5,10.1,24.8,9.8,110.1
2024-11-22 00:00:00.000,158.7320833333333,17.705555555555556,5.656,5.676,86.1,10.0,24.8,12.17,89.6
2024-11-27 00:00:00.000,159.12666666666664,17.722777777777775,5.573,5.673,90.8,10.0,24.8,10.4,84.8
2024-12-02 00:00:00.000,159.45624999999998,17.769166666666667,5.491,5.671,95.5,10.0,24.7,8.65,77.7
2024-12-07 00:00:00.000,159.71749999999997,17.845555555555553,5.409,5.669,100.3,9.8,24.7,7.02,67.0
2024-12-12 00:00:00.000,159.90791666666667,17.9525,5.328,5.667,105.2,9.7,24.7,5.73,50.4
2024-12-17 00:00:00.000,160.0258333333333,18.089166666666664,5.25,5.665,110.2,9.4,24.6,5.1,26.9
2024-12-22 00:00:00.000,160.06916666666663,18.255277777777778,5.173,5.663,115.2,9.0,24.6,5.43,1.7
2024-12-27 00:00:00.000,160.03666666666663,18.450277777777778,5.1,5.66,120.3,8.6,24.6,6.59,342.1
2025-01-01 00:00:00.000,159.92666666666668,18.6725,5.031,5.658,125.5,8.1,24.5,8.22,329.2
