Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-10-19 00:00:00.000,106.2958333333333,-59.19416666666666,8.903,8.875,85.2,6.4,29.7,13.58,200.6
2023-10-24 00:00:00.000,105.93583333333332,-59.61138888888889,8.921,8.908,86.1,6.4,29.7,13.78,206.8
2023-10-29 00:00:00.000,105.47749999999998,-60.0125,8.938,8.94,86.9,6.4,29.8,13.99,213.0
2023-11-03 00:00:00.000,104.91999999999999,-60.3925,8.956,8.973,87.8,6.3,29.8,14.24,219.1
2023-11-08 00:00:00.000,104.26458333333332,-60.746944444444445,8.974,9.006,88.7,6.3,29.8,14.51,225.3
2023-11-13 00:00:00.000,103.51416666666665,-61.071111111111115,8.992,9.038,89.5,6.3,29.8,14.78,231.5
2023-11-18 00:00:00.000,102.67249999999999,-61.35944444444445,9.011,9.07,90.3,6.3,29.9,15.06,237.6
2023-11-23 00:00:00.000,101.74749999999999,-61.6075,9.031,9.103,91.1,6.2,29.9,15.34,243.7
2023-11-28 00:00:00.000,100.74749999999999,-61.811388888888885,9.051,9.135,91.8,6.2,29.9,15.63,249.7
2023-12-03 00:00:00.000,99.68249999999998,-61.967222222222226,9.072,9.167,92.5,6.2,29.9,15.91,255.7
2023-12-08 00:00:00.000,98.56416666666665,-62.07222222222222,9.094,9.199,93.1,6.1,29.9,16.2,261.7
2023-12-13 00:00:00.000,97.40625,-62.12305555555555,9.117,9.232,93.6,6.1,30.0,16.47,267.6
2023-12-18 00:00:00.000,96.22374999999998,-62.117777777777775,9.142,9.264,94.1,6.1,30.0,16.72,273.5
2023-12-23 00:00:00.000,95.03249999999998,-62.05555555555555,9.168,9.296,94.4,6.1,30.0,16.95,279.2
2023-12-28 00:00:00.000,93.84875,-61.936388888888885,9.195,9.328,94.7,6.0,30.0,17.17,284.9
2024-01-02 00:00:00.000,92.68666666666665,-61.76083333333333,9.224,9.359,94.9,6.0,30.0,17.37,290.5
2024-01-07 00:00:00.000,91.56083333333332,-61.53055555555555,9.254,9.391,95.0,6.0,30.1,17.56,296.1
2024-01-12 00:00:00.000,90.48499999999999,-61.24722222222222,9.285,9.423,95.0,6.0,30.1,17.72,301.5
2024-01-17 00:00:00.000,89.47166666666666,-60.913888888888884,9.319,9.455,95.0,5.9,30.1,17.85,306.9
2024-01-22 00:00:00.000,88.53083333333333,-60.534166666666664,9.354,9.487,94.8,5.9,30.1,17.95,312.1
2024-01-27 00:00:00.000,87.66999999999997,-60.11277777777778,9.39,9.518,94.5,5.9,30.1,18.03,317.2
2024-02-01 00:00:00.000,86.895,-59.65333333333333,9.428,9.55,94.1,5.9,30.2,18.09,322.2
2024-02-06 00:00:00.000,86.21,-59.16083333333333,9.468,9.581,93.7,5.9,30.2,18.12,327.2
2024-02-11 00:00:00.000,85.61791666666666,-58.63972222222222,9.509,9.613,93.1,5.9,30.2,18.14,332.0
2024-02-16 00:00:00.000,85.11958333333334,-58.095,9.551,9.644,92.5,5.9,30.2,18.11,336.7
2024-02-21 00:00:00.000,84.71499999999997,-57.53194444444444,9.595,9.675,91.7,5.9,30.3,18.07,341.4
2024-02-26 00:00:00.000,84.40166666666666,-56.955000000000005,9.64,9.707,91.0,5.9,30.3,18.01,345.9
2024-03-02 00:00:00.000,84.17666666666665,-56.36888888888889,9.686,9.738,90.1,5.8,30.3,17.93,350.3
2024-03-07 00:00:00.000,84.03708333333331,-55.77777777777778,9.733,9.769,89.2,5.8,30.3,17.84,354.7
2024-03-12 00:00:00.000,83.97916666666664,-55.18583333333333,9.781,9.8,88.2,5.8,30.4,17.73,359.0
2024-03-17 00:00:00.000,83.99916666666664,-54.59722222222222,9.829,9.832,87.2,5.8,30.4,17.6,3.2
2024-03-22 00:00:00.000,84.09208333333332,-54.01583333333333,9.878,9.863,86.2,5.8,30.4,17.45,7.4
2024-03-27 00:00:00.000,84.2525,-53.44472222222222,9.928,9.894,85.1,5.8,30.4,17.29,11.5
2024-10-03 00:00:00.000,101.74708333333332,-51.35611111111111,11.074,11.037,85.3,5.2,31.1,10.71,184.6
2024-10-08 00:00:00.000,101.66958333333332,-51.711111111111116,11.079,11.066,86.7,5.2,31.2,10.8,190.8
2024-10-13 00:00:00.000,101.52916666666665,-52.06194444444444,11.085,11.095,88.0,5.2,31.2,10.9,197.0
2024-10-18 00:00:00.000,101.32458333333332,-52.405277777777776,11.091,11.124,89.4,5.1,31.2,11.04,203.1
2024-10-23 00:00:00.000,101.05666666666666,-52.738055555555555,11.097,11.154,90.7,5.1,31.2,11.2,209.1
2024-10-28 00:00:00.000,100.72416666666666,-53.056666666666665,11.103,11.183,92.0,5.1,31.2,11.39,215.2
2024-11-02 00:00:00.000,100.32916666666665,-53.35722222222223,11.11,11.212,93.3,5.1,31.2,11.59,221.2
2024-11-07 00:00:00.000,99.8725,-53.63666666666666,11.118,11.241,94.6,5.0,31.2,11.8,227.2
2024-11-12 00:00:00.000,99.35749999999999,-53.89083333333333,11.127,11.27,95.7,5.0,31.3,12.01,233.1
2024-11-17 00:00:00.000,98.78791666666665,-54.11666666666667,11.138,11.298,96.9,5.0,31.3,12.23,238.9
2024-11-22 00:00:00.000,98.16833333333332,-54.311388888888885,11.149,11.327,97.9,5.0,31.3,12.46,244.6
2024-11-27 00:00:00.000,97.50416666666665,-54.47222222222222,11.163,11.356,98.8,4.9,31.3,12.69,250.3
2024-12-02 00:00:00.000,96.80083333333333,-54.596111111111114,11.178,11.385,99.7,4.9,31.3,12.91,255.9
2024-12-07 00:00:00.000,96.06625,-54.68111111111111,11.195,11.414,100.4,4.9,31.3,13.11,261.5
2024-12-12 00:00:00.000,95.30833333333331,-54.72527777777778,11.214,11.442,101.0,4.8,31.3,13.3,267.0
2024-12-17 00:00:00.000,94.53499999999998,-54.72805555555556,11.235,11.471,101.5,4.8,31.3,13.49,272.4
