Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-12-08 00:00:00.000,171.51749999999998,11.664722222222222,5.298,5.35,87.7,10.6,21.9,9.93,120.1
2023-12-13 00:00:00.000,171.77333333333328,11.51361111111111,5.253,5.386,92.5,10.5,21.9,7.62,122.4
2023-12-18 00:00:00.000,171.9545833333333,11.3925,5.209,5.422,97.3,10.4,21.9,5.29,127.0
2023-12-23 00:00:00.000,172.06041666666664,11.301388888888889,5.165,5.459,102.2,10.1,21.9,3.03,139.2
2023-12-28 00:00:00.000,172.08916666666667,11.239444444444443,5.123,5.495,107.2,9.8,21.9,1.46,191.0
2024-01-02 00:00:00.000,172.04125,11.205555555555556,5.083,5.531,112.3,9.5,22.0,2.62,256.9
2024-01-07 00:00:00.000,171.91624999999996,11.199166666666667,5.046,5.568,117.4,9.0,22.0,4.81,272.5
2024-01-12 00:00:00.000,171.71499999999997,11.21888888888889,5.011,5.604,122.7,8.5,22.0,7.09,277.8
2024-01-17 00:00:00.000,171.43999999999997,11.2625,4.981,5.64,128.0,7.9,22.0,9.3,280.2
2024-01-22 00:00:00.000,171.09416666666664,11.3275,4.956,5.677,133.4,7.2,22.0,11.37,281.3
2024-04-16 00:00:00.000,161.77083333333331,12.494444444444444,5.575,6.292,132.1,6.8,22.7,9.3,257.6
2024-04-21 00:00:00.000,161.49166666666665,12.416666666666666,5.671,6.328,127.1,7.3,22.8,7.73,249.8
2024-04-26 00:00:00.000,161.2758333333333,12.316666666666666,5.772,6.364,122.1,7.7,22.8,6.34,238.4
2024-05-01 00:00:00.000,161.1233333333333,12.195277777777777,5.877,6.4,117.1,8.1,22.9,5.32,221.8
2024-05-06 00:00:00.000,161.03374999999997,12.0525,5.985,6.436,112.3,8.3,23.0,4.89,200.4
2024-05-11 00:00:00.000,161.00666666666663,11.889722222222222,6.096,6.472,107.5,8.6,23.0,5.18,178.8
2024-05-16 00:00:00.000,161.04041666666663,11.7075,6.209,6.508,102.8,8.7,23.1,6.04,162.0
2024-05-21 00:00:00.000,161.13249999999996,11.506944444444445,6.323,6.544,98.1,8.8,23.2,7.21,150.5
2024-05-26 00:00:00.000,161.28124999999997,11.289444444444444,6.439,6.579,93.5,8.8,23.2,8.52,142.7
2024-05-31 00:00:00.000,161.48291666666663,11.055555555555557,6.554,6.615,89.0,8.8,23.3,9.87,137.3
2024-12-22 00:00:00.000,182.35333333333332,-1.5586111111111112,8.04,8.057,87.5,7.0,24.6,5.27,138.6
2024-12-27 00:00:00.000,182.445,-1.6802777777777775,7.989,8.091,92.5,7.0,24.6,3.91,148.9
