Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-16 00:00:00.000,12.932083333333331,31.420833333333334,2.357,2.54,88.4,23.6,15.4,35.09,219.6
2023-07-21 00:00:00.000,11.960833333333332,30.460833333333333,2.306,2.583,93.9,23.1,15.4,41.29,222.1
2023-07-26 00:00:00.000,10.79208333333333,29.372222222222224,2.257,2.627,99.7,22.4,15.5,48.0,223.6
2023-07-31 00:00:00.000,9.429166666666665,28.139444444444443,2.21,2.671,105.8,21.5,15.5,55.06,224.5
2023-08-05 00:00:00.000,7.879166666666666,26.748611111111114,2.165,2.715,112.1,20.3,15.5,62.33,224.8
2023-08-10 00:00:00.000,6.154166666666666,25.18888888888889,2.126,2.759,118.6,18.8,15.5,69.63,224.8
2023-08-15 00:00:00.000,4.272083333333333,23.453611111111112,2.092,2.804,125.4,17.1,15.6,76.68,224.5
2023-08-20 00:00:00.000,2.2591666666666663,21.54388888888889,2.066,2.849,132.5,15.2,15.6,83.12,224.0
2023-10-24 00:00:00.000,339.9491666666666,-5.775555555555555,2.728,3.445,129.3,12.9,17.1,46.87,208.2
2023-10-29 00:00:00.000,339.2908333333333,-7.074722222222222,2.846,3.491,123.2,13.8,17.2,40.51,205.0
2023-11-03 00:00:00.000,338.79374999999993,-8.225833333333334,2.97,3.537,117.4,14.4,17.3,34.72,201.0
2023-11-08 00:00:00.000,338.44791666666663,-9.239166666666666,3.097,3.583,111.7,14.9,17.5,29.58,195.9
2023-11-13 00:00:00.000,338.24291666666664,-10.126111111111111,3.228,3.629,106.1,15.2,17.6,25.16,189.3
2023-11-18 00:00:00.000,338.1675,-10.898055555555555,3.361,3.676,100.7,15.3,17.8,21.54,181.1
2023-11-23 00:00:00.000,338.21124999999995,-11.565833333333334,3.495,3.722,95.5,15.3,17.9,18.81,171.1
2023-11-28 00:00:00.000,338.36249999999995,-12.140555555555554,3.63,3.768,90.3,15.2,18.1,17.01,159.7
2023-12-03 00:00:00.000,338.61125,-12.631944444444445,3.765,3.814,85.3,14.9,18.2,16.09,147.7
2024-06-15 00:00:00.000,4.569583333333333,-19.36888888888889,5.492,5.55,88.0,10.5,20.6,17.97,167.1
2024-06-20 00:00:00.000,4.677083333333333,-19.972777777777775,5.453,5.593,92.7,10.5,20.7,18.82,173.7
2024-06-25 00:00:00.000,4.7141666666666655,-20.615555555555556,5.414,5.635,97.4,10.3,20.7,19.85,179.9
2024-06-30 00:00:00.000,4.677916666666666,-21.295833333333334,5.378,5.678,102.1,10.1,20.7,21.05,185.7
2024-07-05 00:00:00.000,4.5649999999999995,-22.011111111111113,5.343,5.721,106.8,9.8,20.7,22.37,190.9
2024-07-10 00:00:00.000,4.373333333333333,-22.75888888888889,5.311,5.763,111.6,9.4,20.7,23.75,195.6
2024-07-15 00:00:00.000,4.102083333333333,-23.534166666666668,5.282,5.805,116.3,9.0,20.8,25.14,199.9
2024-07-20 00:00:00.000,3.7508333333333326,-24.33277777777778,5.258,5.848,121.1,8.6,20.8,26.5,203.8
2024-07-25 00:00:00.000,3.32,-25.148888888888887,5.238,5.89,125.7,8.0,20.8,27.8,207.4
2024-07-30 00:00:00.000,2.810416666666666,-25.976388888888888,5.224,5.932,130.3,7.5,20.8,28.99,210.7
2024-08-04 00:00:00.000,2.2237499999999994,-26.80888888888889,5.216,5.974,134.8,6.9,20.8,30.04,213.8
2024-10-08 00:00:00.000,350.9579166666666,-34.83888888888889,5.778,6.512,134.0,6.3,21.4,21.63,247.7
2024-10-13 00:00:00.000,350.1737499999999,-35.08361111111111,5.871,6.552,129.6,6.7,21.5,19.62,250.7
2024-10-18 00:00:00.000,349.45166666666665,-35.272777777777776,5.969,6.593,125.1,7.1,21.6,17.57,253.9
