Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-09-19 00:00:00.000,308.54166666666663,-19.540277777777778,6.105,6.8,130.5,6.5,18.3,6.68,265.7
2023-09-24 00:00:00.000,308.335,-19.55,6.139,6.77,125.4,6.9,18.2,5.02,269.2
2023-09-29 00:00:00.000,308.1875,-19.545,6.177,6.739,120.4,7.4,18.2,3.33,276.4
2023-10-04 00:00:00.000,308.10125,-19.525277777777777,6.218,6.708,115.4,7.7,18.2,1.75,297.8
2023-10-09 00:00:00.000,308.07875,-19.490833333333335,6.262,6.677,110.4,8.1,18.2,1.29,12.2
2023-10-14 00:00:00.000,308.1208333333333,-19.440833333333334,6.309,6.646,105.5,8.3,18.2,2.73,51.0
2023-10-19 00:00:00.000,308.22875,-19.375833333333333,6.357,6.615,100.7,8.5,18.2,4.54,61.3
2023-10-24 00:00:00.000,308.40208333333334,-19.295555555555556,6.407,6.584,95.9,8.6,18.2,6.4,65.6
2023-10-29 00:00:00.000,308.64,-19.199722222222224,6.458,6.554,91.2,8.7,18.2,8.24,67.9
2023-11-03 00:00:00.000,308.9408333333333,-19.08888888888889,6.508,6.523,86.5,8.7,18.2,10.05,69.3
2024-05-31 00:00:00.000,343.7433333333333,-5.662777777777778,5.237,5.28,86.9,11.1,16.8,18.12,61.5
2024-06-05 00:00:00.000,344.25041666666664,-5.384166666666667,5.134,5.252,91.1,11.1,16.8,16.45,60.6
2024-06-10 00:00:00.000,344.7020833333333,-5.125277777777777,5.031,5.224,95.3,11.2,16.7,14.68,59.4
2024-06-15 00:00:00.000,345.0954166666666,-4.8872222222222215,4.928,5.196,99.7,11.1,16.6,12.83,57.9
2024-06-20 00:00:00.000,345.4283333333333,-4.670833333333333,4.827,5.169,104.1,11.0,16.6,10.92,55.8
2024-06-25 00:00:00.000,345.69874999999996,-4.478055555555556,4.728,5.142,108.5,10.8,16.5,8.95,52.7
2024-06-30 00:00:00.000,345.9033333333333,-4.309444444444444,4.631,5.115,113.0,10.5,16.4,6.94,47.6
2024-07-05 00:00:00.000,346.0408333333333,-4.166666666666667,4.536,5.088,117.6,10.2,16.3,4.96,38.3
2024-07-10 00:00:00.000,346.10874999999993,-4.050277777777778,4.445,5.061,122.2,9.8,16.3,3.24,17.9
2024-07-15 00:00:00.000,346.10708333333326,-3.9611111111111112,4.357,5.034,127.0,9.3,16.2,2.51,334.3
2024-07-20 00:00:00.000,346.03624999999994,-3.8994444444444443,4.273,5.007,131.8,8.7,16.1,3.47,294.6
2024-10-18 00:00:00.000,339.06041666666664,-5.476944444444444,3.814,4.56,133.8,9.1,15.5,5.02,256.7
2024-10-23 00:00:00.000,338.9362499999999,-5.501944444444445,3.849,4.537,128.7,9.9,15.5,2.51,262.3
2024-10-28 00:00:00.000,338.895,-5.498611111111111,3.888,4.515,123.7,10.6,15.5,0.55,3.9
2024-11-02 00:00:00.000,338.93999999999994,-5.465,3.93,4.492,118.7,11.2,15.5,3.03,60.8
