Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-12-28 00:00:00.000,221.98583333333332,48.22083333333334,5.599,5.623,86.4,10.1,23.2,21.32,65.5
2024-01-02 00:00:00.000,222.91833333333332,48.53666666666666,5.597,5.66,88.7,10.0,23.3,20.42,60.3
2024-01-07 00:00:00.000,223.77124999999998,48.89361111111111,5.596,5.698,90.9,9.9,23.3,19.59,54.7
2024-01-12 00:00:00.000,224.53833333333333,49.28944444444444,5.596,5.735,93.2,9.9,23.3,18.81,48.7
2024-01-17 00:00:00.000,225.21416666666664,49.72,5.596,5.773,95.4,9.8,23.4,18.11,42.3
2024-01-22 00:00:00.000,225.7933333333333,50.18138888888889,5.598,5.81,97.6,9.7,23.4,17.51,35.5
2024-01-27 00:00:00.000,226.27124999999998,50.66833333333333,5.601,5.848,99.7,9.6,23.4,17.01,28.4
2024-02-01 00:00:00.000,226.64333333333332,51.17666666666666,5.606,5.885,101.7,9.4,23.4,16.62,21.0
2024-02-06 00:00:00.000,226.9045833333333,51.700833333333335,5.612,5.922,103.6,9.3,23.5,16.35,13.4
2024-02-11 00:00:00.000,227.04958333333332,52.23444444444444,5.621,5.96,105.4,9.2,23.5,16.17,5.6
2024-02-16 00:00:00.000,227.0745833333333,52.77111111111111,5.632,5.997,107.1,9.1,23.5,16.08,357.7
2024-02-21 00:00:00.000,226.97791666666666,53.30333333333333,5.645,6.034,108.6,8.9,23.6,16.07,349.8
2024-02-26 00:00:00.000,226.75791666666666,53.82361111111111,5.661,6.071,110.0,8.8,23.6,16.15,342.0
2024-03-02 00:00:00.000,226.41541666666666,54.32527777777778,5.68,6.109,111.2,8.7,23.6,16.3,334.3
2024-03-07 00:00:00.000,225.95125,54.800555555555555,5.702,6.146,112.1,8.6,23.7,16.5,326.7
2024-03-12 00:00:00.000,225.3683333333333,55.24166666666667,5.728,6.183,112.9,8.5,23.7,16.73,319.1
2024-03-17 00:00:00.000,224.6733333333333,55.64111111111111,5.756,6.22,113.5,8.4,23.7,16.97,311.7
2024-03-22 00:00:00.000,223.8754166666666,55.99194444444444,5.788,6.257,113.8,8.4,23.8,17.21,304.4
2024-03-27 00:00:00.000,222.9845833333333,56.28777777777778,5.823,6.294,113.9,8.3,23.8,17.47,297.2
2024-04-01 00:00:00.000,222.01416666666665,56.52333333333333,5.862,6.331,113.8,8.3,23.9,17.73,290.2
2024-04-06 00:00:00.000,220.97833333333332,56.69416666666666,5.904,6.368,113.4,8.3,23.9,17.99,283.2
2024-04-11 00:00:00.000,219.89374999999998,56.796388888888885,5.949,6.405,112.8,8.3,23.9,18.23,276.3
2024-04-16 00:00:00.000,218.7783333333333,56.82694444444445,5.998,6.442,112.0,8.3,24.0,18.45,269.5
2024-04-21 00:00:00.000,217.65166666666664,56.78472222222222,6.05,6.478,111.0,8.3,24.0,18.66,262.8
2024-04-26 00:00:00.000,216.5308333333333,56.67055555555555,6.105,6.515,109.8,8.4,24.1,18.87,256.2
2024-05-01 00:00:00.000,215.4333333333333,56.48555555555556,6.164,6.552,108.4,8.4,24.1,19.08,249.8
2024-05-06 00:00:00.000,214.37416666666664,56.231388888888894,6.225,6.589,106.9,8.4,24.2,19.29,243.4
2024-05-11 00:00:00.000,213.36874999999998,55.91138888888889,6.289,6.625,105.2,8.5,24.2,19.49,237.2
2024-05-16 00:00:00.000,212.42999999999998,55.52916666666667,6.355,6.662,103.4,8.5,24.3,19.68,231.1
2024-05-21 00:00:00.000,211.56749999999997,55.089444444444446,6.424,6.699,101.5,8.5,24.3,19.87,225.2
2024-05-26 00:00:00.000,210.78833333333333,54.59805555555556,6.495,6.735,99.4,8.5,24.3,20.07,219.6
2024-05-31 00:00:00.000,210.0983333333333,54.05972222222222,6.568,6.772,97.3,8.5,24.4,20.28,214.0
2024-06-05 00:00:00.000,209.49999999999997,53.47944444444445,6.642,6.808,95.1,8.5,24.4,20.5,208.7
2024-06-10 00:00:00.000,208.99624999999997,52.86277777777778,6.718,6.845,92.9,8.5,24.5,20.71,203.5
2024-06-15 00:00:00.000,208.5870833333333,52.215,6.795,6.881,90.6,8.5,24.5,20.93,198.6
2024-06-20 00:00:00.000,208.2708333333333,51.54194444444444,6.873,6.918,88.3,8.4,24.6,21.14,193.8
2024-06-25 00:00:00.000,208.04541666666665,50.84805555555556,6.952,6.954,85.9,8.4,24.6,21.36,189.3
2025-01-21 00:00:00.000,231.13458333333332,36.13638888888889,8.418,8.442,88.0,6.7,25.9,11.53,42.7
2025-01-26 00:00:00.000,231.42999999999998,36.43,8.401,8.477,91.0,6.7,25.9,11.19,35.3
2025-01-31 00:00:00.000,231.66916666666665,36.74444444444445,8.385,8.511,94.0,6.6,25.9,10.95,27.4
2025-02-05 00:00:00.000,231.84916666666663,37.07666666666667,8.369,8.546,97.0,6.6,25.9,10.81,19.4
2025-02-10 00:00:00.000,231.96833333333328,37.422777777777775,8.354,8.58,99.9,6.5,25.9,10.77,11.3
2025-02-15 00:00:00.000,232.0258333333333,37.779444444444444,8.341,8.614,102.8,6.4,26.0,10.83,3.3
2025-02-20 00:00:00.000,232.01999999999998,38.14277777777778,8.33,8.649,105.6,6.3,26.0,11.0,355.4
2025-02-25 00:00:00.000,231.94999999999996,38.50861111111111,8.321,8.683,108.3,6.2,26.0,11.24,347.7
2025-03-02 00:00:00.000,231.81583333333327,38.87305555555555,8.315,8.717,110.9,6.1,26.0,11.53,340.3
2025-03-07 00:00:00.000,231.61791666666664,39.23083333333334,8.312,8.751,113.3,6.0,26.0,11.86,333.3
2025-03-12 00:00:00.000,231.35791666666663,39.57805555555556,8.312,8.786,115.5,5.9,26.0,12.21,326.7
2025-03-17 00:00:00.000,231.03791666666663,39.90972222222222,8.315,8.82,117.5,5.7,26.1,12.58,320.3
2025-03-22 00:00:00.000,230.6608333333333,40.22222222222222,8.323,8.854,119.4,5.6,26.1,12.94,314.3
2025-03-27 00:00:00.000,230.22999999999996,40.51083333333333,8.334,8.888,120.9,5.5,26.1,13.29,308.4
2025-04-01 00:00:00.000,229.7495833333333,40.77166666666667,8.35,8.922,122.2,5.4,26.1,13.6,302.8
2025-04-06 00:00:00.000,229.22541666666666,41.000277777777775,8.37,8.956,123.1,5.4,26.1,13.87,297.3
2025-04-11 00:00:00.000,228.66291666666663,41.19416666666666,8.394,8.99,123.8,5.3,26.2,14.09,291.9
2025-04-16 00:00:00.000,228.0695833333333,41.35,8.423,9.024,124.1,5.3,26.2,14.27,286.6
2025-04-21 00:00:00.000,227.45124999999996,41.46555555555556,8.457,9.058,124.0,5.3,26.2,14.41,281.4
2025-04-26 00:00:00.000,226.81499999999997,41.53916666666667,8.495,9.091,123.7,5.3,26.2,14.51,276.2
2025-05-01 00:00:00.000,226.16916666666663,41.56916666666667,8.538,9.125,123.0,5.3,26.3,14.55,270.9
2025-05-06 00:00:00.000,225.5208333333333,41.555,8.585,9.159,122.0,5.4,26.3,14.55,265.7
2025-05-11 00:00:00.000,224.87874999999997,41.49638888888889,8.637,9.193,120.6,5.4,26.3,14.52,260.4
2025-05-16 00:00:00.000,224.24916666666664,41.394444444444446,8.693,9.226,119.1,5.5,26.3,14.46,255.1
2025-05-21 00:00:00.000,223.63833333333332,41.249722222222225,8.752,9.26,117.3,5.6,26.4,14.39,249.8
2025-05-26 00:00:00.000,223.0533333333333,41.06361111111111,8.816,9.293,115.2,5.7,26.4,14.31,244.4
2025-05-31 00:00:00.000,222.49999999999997,40.838055555555556,8.884,9.327,113.0,5.7,26.4,14.21,238.9
2025-06-05 00:00:00.000,221.98291666666663,40.575,8.954,9.361,110.7,5.8,26.5,14.11,233.4
2025-06-10 00:00:00.000,221.5075,40.27777777777778,9.028,9.394,108.2,5.9,26.5,14.02,227.8
2025-06-15 00:00:00.000,221.0758333333333,39.948611111111106,9.104,9.427,105.5,6.0,26.5,13.95,222.3
2025-06-20 00:00:00.000,220.69166666666663,39.590833333333336,9.183,9.461,102.8,6.0,26.6,13.91,216.8
2025-06-25 00:00:00.000,220.35666666666665,39.206944444444446,9.264,9.494,100.0,6.1,26.6,13.89,211.2
2025-06-30 00:00:00.000,220.07249999999996,38.8,9.347,9.527,97.2,6.1,26.6,13.89,205.7
2025-07-05 00:00:00.000,219.8408333333333,38.37361111111111,9.431,9.561,94.3,6.1,26.7,13.92,200.3
2025-07-10 00:00:00.000,219.6608333333333,37.93055555555555,9.517,9.594,91.3,6.1,26.7,13.98,195.1
2025-07-15 00:00:00.000,219.53291666666664,37.474444444444444,9.603,9.627,88.3,6.1,26.7,14.08,190.0
2025-07-20 00:00:00.000,219.45583333333332,37.007222222222225,9.689,9.66,85.4,6.0,26.8,14.2,185.0
2026-01-26 00:00:00.000,233.75791666666666,28.878333333333334,10.917,10.894,86.1,5.2,27.6,8.36,40.0
2026-01-31 00:00:00.000,233.9420833333333,29.099722222222223,10.89,10.926,89.5,5.2,27.6,8.11,32.0
2026-02-05 00:00:00.000,234.08541666666662,29.33611111111111,10.863,10.958,92.9,5.2,27.6,7.96,23.7
2026-02-10 00:00:00.000,234.1858333333333,29.584999999999997,10.836,10.989,96.3,5.1,27.6,7.91,15.1
2026-02-15 00:00:00.000,234.24249999999998,29.844166666666666,10.811,11.021,99.7,5.1,27.6,7.96,6.5
2026-02-20 00:00:00.000,234.25458333333333,30.11138888888889,10.787,11.053,103.1,5.0,27.6,8.1,358.0
2026-02-25 00:00:00.000,234.22124999999997,30.383055555555558,10.765,11.084,106.4,4.9,27.6,8.32,350.0
2026-03-02 00:00:00.000,234.14249999999996,30.656388888888888,10.745,11.116,109.6,4.8,27.6,8.61,342.4
2026-03-07 00:00:00.000,234.01958333333332,30.92888888888889,10.728,11.147,112.6,4.7,27.6,8.94,335.3
2026-03-12 00:00:00.000,233.85249999999996,31.197222222222223,10.714,11.179,115.6,4.6,27.6,9.32,328.7
2026-03-17 00:00:00.000,233.64291666666665,31.45861111111111,10.703,11.21,118.4,4.5,27.6,9.7,322.5
2026-03-22 00:00:00.000,233.39166666666665,31.709444444444443,10.697,11.242,121.0,4.4,27.7,10.08,316.7
2026-03-27 00:00:00.000,233.10166666666663,31.946944444444444,10.694,11.273,123.3,4.2,27.7,10.44,311.3
2026-04-01 00:00:00.000,232.7758333333333,32.16777777777777,10.696,11.305,125.4,4.1,27.7,10.78,306.1
2026-04-06 00:00:00.000,232.4170833333333,32.36972222222222,10.703,11.336,127.2,4.0,27.7,11.08,301.2
2026-04-11 00:00:00.000,232.02916666666664,32.55027777777777,10.714,11.367,128.7,3.9,27.7,11.35,296.5
