Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-01 00:00:00.000,229.7708333333333,-12.427777777777777,4.837,5.566,131.8,7.8,19.2,9.25,273.3
2023-07-06 00:00:00.000,229.48999999999998,-12.420555555555556,4.894,5.563,126.8,8.4,19.2,7.22,269.1
2023-07-11 00:00:00.000,229.27916666666664,-12.435,4.956,5.561,121.9,8.9,19.2,5.19,261.6
2023-07-16 00:00:00.000,229.14041666666665,-12.470833333333333,5.022,5.558,117.0,9.4,19.2,3.31,245.1
2023-07-21 00:00:00.000,229.075,-12.527777777777779,5.091,5.555,112.2,9.7,19.2,2.19,202.6
2023-07-26 00:00:00.000,229.08291666666665,-12.605277777777777,5.162,5.552,107.5,10.0,19.3,2.93,153.5
2023-07-31 00:00:00.000,229.16375,-12.701944444444443,5.235,5.549,102.9,10.3,19.3,4.67,133.0
2023-08-05 00:00:00.000,229.3158333333333,-12.816944444444443,5.309,5.547,98.3,10.4,19.3,6.62,124.1
2023-08-10 00:00:00.000,229.53791666666663,-12.949166666666667,5.384,5.543,93.7,10.5,19.3,8.6,119.3
2023-08-15 00:00:00.000,229.82833333333332,-13.097222222222223,5.46,5.54,89.3,10.5,19.4,10.55,116.3
2024-03-12 00:00:00.000,266.36041666666665,-18.398611111111112,5.355,5.362,85.1,10.6,19.2,13.75,82.6
2024-03-17 00:00:00.000,266.8041666666667,-18.336666666666666,5.27,5.356,89.6,10.7,19.2,11.78,80.5
2024-03-22 00:00:00.000,267.1758333333333,-18.27,5.185,5.351,94.2,10.7,19.2,9.75,77.8
2024-03-27 00:00:00.000,267.47249999999997,-18.199444444444445,5.1,5.345,98.9,10.6,19.1,7.68,73.6
2024-04-01 00:00:00.000,267.6916666666666,-18.125833333333333,5.016,5.34,103.6,10.5,19.1,5.59,66.3
2024-04-06 00:00:00.000,267.8308333333333,-18.05,4.934,5.334,108.3,10.3,19.1,3.62,50.6
2024-04-11 00:00:00.000,267.8875,-17.972777777777775,4.854,5.329,113.2,10.0,19.0,2.36,10.5
2024-04-16 00:00:00.000,267.86083333333335,-17.89527777777778,4.776,5.323,118.1,9.6,19.0,3.03,320.1
2024-04-21 00:00:00.000,267.75166666666667,-17.81833333333333,4.702,5.317,123.0,9.1,19.0,4.88,298.1
