Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-01 00:00:00.000,331.9525,-7.8275,3.867,4.556,127.4,10.2,18.7,6.44,275.6
2023-07-06 00:00:00.000,331.695,-7.822222222222222,3.801,4.549,132.4,9.5,18.7,8.9,267.9
2023-10-04 00:00:00.000,321.26041666666663,-10.717777777777778,3.7,4.409,129.9,10.0,18.5,8.09,245.5
2023-10-09 00:00:00.000,321.0566666666666,-10.816666666666666,3.754,4.401,124.8,10.7,18.5,5.29,240.8
2023-10-14 00:00:00.000,320.94791666666663,-10.889166666666666,3.812,4.393,119.7,11.4,18.6,2.51,225.5
2023-10-19 00:00:00.000,320.93541666666664,-10.93388888888889,3.873,4.385,114.8,11.9,18.6,1.39,131.1
2023-10-24 00:00:00.000,321.0187499999999,-10.949722222222222,3.937,4.377,109.9,12.3,18.6,3.85,90.7
2023-10-29 00:00:00.000,321.19624999999996,-10.936666666666667,4.003,4.368,105.1,12.7,18.7,6.64,82.9
2023-11-03 00:00:00.000,321.4654166666666,-10.89472222222222,4.071,4.36,100.4,12.9,18.7,9.4,79.6
2023-11-08 00:00:00.000,321.82333333333327,-10.823888888888888,4.14,4.352,95.7,13.1,18.7,12.11,77.8
2023-11-13 00:00:00.000,322.2670833333333,-10.723611111111111,4.209,4.343,91.1,13.2,18.7,14.72,76.5
2023-11-18 00:00:00.000,322.7933333333333,-10.594444444444445,4.279,4.335,86.7,13.2,18.8,17.23,75.5
2024-07-05 00:00:00.000,13.312916666666665,11.100833333333332,3.853,3.927,86.6,15.0,18.3,22.39,58.8
2024-07-10 00:00:00.000,13.928333333333331,11.474166666666667,3.772,3.917,90.6,15.0,18.3,20.16,57.6
2024-07-15 00:00:00.000,14.46958333333333,11.820277777777777,3.69,3.908,94.8,15.0,18.2,17.8,56.0
2024-07-20 00:00:00.000,14.932083333333331,12.137222222222222,3.609,3.899,99.0,14.9,18.2,15.33,53.8
2024-07-25 00:00:00.000,15.311666666666666,12.423055555555555,3.529,3.89,103.3,14.7,18.1,12.75,50.6
2024-07-30 00:00:00.000,15.602916666666667,12.675833333333333,3.451,3.881,107.7,14.4,18.1,10.07,45.5
2024-08-04 00:00:00.000,15.801249999999998,12.892777777777777,3.374,3.872,112.2,14.0,18.0,7.4,36.6
2024-08-09 00:00:00.000,15.902916666666664,13.071111111111112,3.299,3.863,116.8,13.6,18.0,5.0,17.9
2024-08-14 00:00:00.000,15.90583333333333,13.209444444444443,3.228,3.854,121.5,13.0,17.9,3.78,338.6
2024-08-19 00:00:00.000,15.807916666666666,13.305277777777778,3.159,3.846,126.3,12.3,17.9,4.86,297.4
2024-08-24 00:00:00.000,15.610000000000001,13.3575,3.095,3.837,131.2,11.4,17.8,7.3,277.0
2024-11-17 00:00:00.000,5.580833333333333,9.28138888888889,2.936,3.689,133.7,11.2,17.6,9.78,225.1
2024-11-22 00:00:00.000,5.4016666666666655,9.070555555555556,2.984,3.681,128.5,12.1,17.6,6.8,212.8
2024-11-27 00:00:00.000,5.333333333333332,8.901388888888889,3.037,3.673,123.3,13.0,17.7,4.44,184.7
2024-12-02 00:00:00.000,5.3774999999999995,8.776666666666667,3.093,3.664,118.3,13.7,17.7,4.27,135.8
2024-12-07 00:00:00.000,5.534166666666666,8.697777777777778,3.152,3.656,113.4,14.3,17.7,6.5,104.8
2024-12-12 00:00:00.000,5.800416666666666,8.665833333333333,3.213,3.648,108.6,14.8,17.8,9.5,91.6
2024-12-17 00:00:00.000,6.172916666666667,8.680277777777777,3.277,3.64,103.9,15.2,17.8,12.63,84.9
2024-12-22 00:00:00.000,6.6475,8.739999999999998,3.342,3.632,99.2,15.5,17.8,15.74,81.0
2024-12-27 00:00:00.000,7.219999999999999,8.844166666666668,3.408,3.624,94.7,15.7,17.9,18.77,78.4
2025-01-01 00:00:00.000,7.8862499999999995,8.991388888888888,3.474,3.616,90.3,15.8,17.9,21.68,76.5
2025-01-06 00:00:00.000,8.641249999999998,9.18,3.541,3.608,86.0,15.8,18.0,24.44,75.2
2025-09-18 00:00:00.000,87.20583333333332,26.433611111111112,3.212,3.323,87.5,17.6,17.6,28.02,88.9
2025-09-23 00:00:00.000,88.2,26.447222222222223,3.14,3.321,91.5,17.6,17.5,25.35,89.3
2025-09-28 00:00:00.000,89.09125,26.453333333333333,3.067,3.318,95.6,17.5,17.5,22.5,89.8
2025-10-03 00:00:00.000,89.87291666666665,26.453055555555554,2.996,3.316,99.8,17.3,17.4,19.47,90.3
2025-10-08 00:00:00.000,90.53874999999998,26.447777777777777,2.925,3.314,104.1,17.0,17.4,16.26,90.8
2025-10-13 00:00:00.000,91.08125,26.438333333333333,2.856,3.312,108.6,16.6,17.3,12.85,91.5
2025-10-18 00:00:00.000,91.49249999999999,26.425,2.789,3.31,113.1,16.1,17.2,9.25,92.8
2025-10-23 00:00:00.000,91.76708333333332,26.40861111111111,2.724,3.308,117.9,15.4,17.2,5.51,95.6
